Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2159,888,2010,7302.06,ALL,ALL,ALL,0TO99
2148,869,2010,5105.69,ALL,ALL,ALL,0TO99
2151,877,2010,160761.67,ALL,ALL,ALL,0TO99
2155,874,2010,926.90,ALL,ALL,ALL,0TO99
2153,887,2010,9297.25,ALL,ALL,ALL,0TO99
2153,870,2010,5100.12,ALL,ALL,ALL,0TO99
2146,875,2010,242564.06,ALL,ALL,ALL,0TO99
2154,869,2010,4928.62,ALL,ALL,ALL,0TO99
2154,885,2010,15576.53,ALL,ALL,ALL,0TO99
2147,875,2010,39815.52,ALL,ALL,ALL,0TO99
2154,873,2010,4143.18,ALL,ALL,ALL,0TO99
2149,861,2010,5147.87,ALL,ALL,ALL,0TO99
2148,879,2010,122642.83,ALL,ALL,ALL,0TO99
2147,869,2010,5105.69,ALL,ALL,ALL,0TO99
2147,866,2010,5121.58,ALL,ALL,ALL,0TO99
2148,874,2010,16516.44,ALL,ALL,ALL,0TO99
2144,871,2010,5725.18,ALL,ALL,ALL,0TO99
2152,877,2010,133852.89,ALL,ALL,ALL,0TO99
2148,871,2010,5094.90,ALL,ALL,ALL,0TO99
2150,877,2010,164770.09,ALL,ALL,ALL,0TO99
2151,858,2010,3577.74,ALL,ALL,ALL,0TO99
2156,888,2010,57960.00,ALL,ALL,ALL,0TO99
2151,869,2010,5105.69,ALL,ALL,ALL,0TO99
2150,862,2010,5142.61,ALL,ALL,ALL,0TO99
2152,863,2010,4463.85,ALL,ALL,ALL,0TO99
2151,867,2010,5116.23,ALL,ALL,ALL,0TO99
2152,868,2010,5110.88,ALL,ALL,ALL,0TO99
2151,870,2010,5100.12,ALL,ALL,ALL,0TO99
2150,867,2010,5116.23,ALL,ALL,ALL,0TO99
2145,868,2010,4554.18,ALL,ALL,ALL,0TO99
2148,868,2010,5110.88,ALL,ALL,ALL,0TO99
2154,886,2010,11365.71,ALL,ALL,ALL,0TO99
2150,871,2010,5094.90,ALL,ALL,ALL,0TO99
2159,893,2010,8786.63,ALL,ALL,ALL,0TO99
2154,874,2010,24020.45,ALL,ALL,ALL,0TO99
2145,872,2010,5089.48,ALL,ALL,ALL,0TO99
2155,890,2010,59497.65,ALL,ALL,ALL,0TO99
2157,889,2010,23002.69,ALL,ALL,ALL,0TO99
2156,890,2010,71744.42,ALL,ALL,ALL,0TO99
2148,864,2010,5132.21,ALL,ALL,ALL,0TO99
2148,877,2010,52404.91,ALL,ALL,ALL,0TO99
2151,865,2010,5126.72,ALL,ALL,ALL,0TO99
2153,885,2010,25544.93,ALL,ALL,ALL,0TO99
2151,864,2010,5132.21,ALL,ALL,ALL,0TO99
2159,890,2010,26887.36,ALL,ALL,ALL,0TO99
2149,859,2010,5143.57,ALL,ALL,ALL,0TO99
2148,860,2010,3361.43,ALL,ALL,ALL,0TO99
2145,874,2010,339457.44,ALL,ALL,ALL,0TO99
2152,871,2010,5094.90,ALL,ALL,ALL,0TO99
2153,889,2010,8426.54,ALL,ALL,ALL,0TO99
2153,872,2010,5089.48,ALL,ALL,ALL,0TO99
2148,875,2010,39815.52,ALL,ALL,ALL,0TO99
2149,870,2010,5100.12,ALL,ALL,ALL,0TO99
2149,871,2010,5094.90,ALL,ALL,ALL,0TO99
2151,868,2010,5110.88,ALL,ALL,ALL,0TO99
2152,870,2010,5100.12,ALL,ALL,ALL,0TO99
2153,867,2010,4893.37,ALL,ALL,ALL,0TO99
2150,861,2010,5147.87,ALL,ALL,ALL,0TO99
2147,872,2010,5089.48,ALL,ALL,ALL,0TO99
