Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1932,936,D24HourMean,QuarterlyMean,Mean,14.65
1914,1020,D24HourMean,QuarterlyMean,Mean,16.57
1935,976,D24HourMean,QuarterlyMean,Mean,11.98
1894,964,D24HourMean,QuarterlyMean,Mean,9.46
1924,995,D24HourMean,QuarterlyMean,Mean,9.70
1880,1006,D24HourMean,QuarterlyMean,Mean,13.68
1884,1018,D24HourMean,QuarterlyMean,Mean,16.29
1885,1004,D24HourMean,QuarterlyMean,Mean,10.80
1915,991,D24HourMean,QuarterlyMean,Mean,9.67
1916,992,D24HourMean,QuarterlyMean,Mean,9.58
1887,1013,D24HourMean,QuarterlyMean,Mean,22.07
1930,982,D24HourMean,QuarterlyMean,Mean,7.68
1920,993,D24HourMean,QuarterlyMean,Mean,9.05
1886,1014,D24HourMean,QuarterlyMean,Mean,20.09
1876,1019,D24HourMean,QuarterlyMean,Mean,14.33
1925,983,D24HourMean,QuarterlyMean,Mean,9.99
1966,971,D24HourMean,QuarterlyMean,Mean,11.81
1951,932,D24HourMean,QuarterlyMean,Mean,13.89
1889,1017,D24HourMean,QuarterlyMean,Mean,27.54
1966,962,D24HourMean,QuarterlyMean,Mean,10.32
1953,930,D24HourMean,QuarterlyMean,Mean,14.87
1932,992,D24HourMean,QuarterlyMean,Mean,12.13
1892,1020,D24HourMean,QuarterlyMean,Mean,20.47
1921,1024,D24HourMean,QuarterlyMean,Mean,15.49
1887,951,D24HourMean,QuarterlyMean,Mean,14.09
1902,1025,D24HourMean,QuarterlyMean,Mean,11.44
1913,1023,D24HourMean,QuarterlyMean,Mean,16.22
1886,1006,D24HourMean,QuarterlyMean,Mean,14.46
1910,1024,D24HourMean,QuarterlyMean,Mean,16.74
1890,952,D24HourMean,QuarterlyMean,Mean,13.92
1900,1006,D24HourMean,QuarterlyMean,Mean,13.77
1908,1019,D24HourMean,QuarterlyMean,Mean,15.94
1965,947,D24HourMean,QuarterlyMean,Mean,10.20
1912,1023,D24HourMean,QuarterlyMean,Mean,16.89
1904,995,D24HourMean,QuarterlyMean,Mean,10.66
1949,935,D24HourMean,QuarterlyMean,Mean,13.84
1967,968,D24HourMean,QuarterlyMean,Mean,10.69
1873,1006,D24HourMean,QuarterlyMean,Mean,13.55
1891,967,D24HourMean,QuarterlyMean,Mean,9.44
1922,1000,D24HourMean,QuarterlyMean,Mean,13.61
1896,1019,D24HourMean,QuarterlyMean,Mean,19.71
1920,1017,D24HourMean,QuarterlyMean,Mean,23.41
1893,959,D24HourMean,QuarterlyMean,Mean,9.99
1893,964,D24HourMean,QuarterlyMean,Mean,9.20
1943,968,D24HourMean,QuarterlyMean,Mean,13.39
1923,1002,D24HourMean,QuarterlyMean,Mean,15.57
1883,1013,D24HourMean,QuarterlyMean,Mean,16.93
1922,991,D24HourMean,QuarterlyMean,Mean,10.06
1929,1023,D24HourMean,QuarterlyMean,Mean,16.00
1923,983,D24HourMean,QuarterlyMean,Mean,10.03
1917,986,D24HourMean,QuarterlyMean,Mean,9.74
1948,968,D24HourMean,QuarterlyMean,Mean,10.53
1897,1001,D24HourMean,QuarterlyMean,Mean,11.66
1910,1010,D24HourMean,QuarterlyMean,Mean,20.57
1918,1019,D24HourMean,QuarterlyMean,Mean,17.27
1930,1024,D24HourMean,QuarterlyMean,Mean,15.72
1933,1025,D24HourMean,QuarterlyMean,Mean,14.42
1879,1012,D24HourMean,QuarterlyMean,Mean,16.46
1911,1017,D24HourMean,QuarterlyMean,Mean,15.44
1923,1027,D24HourMean,QuarterlyMean,Mean,12.67
1924,1027,D24HourMean,QuarterlyMean,Mean,12.45
1933,1018,D24HourMean,QuarterlyMean,Mean,18.61
1941,974,D24HourMean,QuarterlyMean,Mean,10.84
1964,943,D24HourMean,QuarterlyMean,Mean,11.60
1890,1016,D24HourMean,QuarterlyMean,Mean,30.57
1942,980,D24HourMean,QuarterlyMean,Mean,12.42
1881,1003,D24HourMean,QuarterlyMean,Mean,9.08
1908,1010,D24HourMean,QuarterlyMean,Mean,21.07
1927,1023,D24HourMean,QuarterlyMean,Mean,15.59
1933,936,D24HourMean,QuarterlyMean,Mean,14.19
1930,988,D24HourMean,QuarterlyMean,Mean,9.68
1915,1000,D24HourMean,QuarterlyMean,Mean,10.61
