Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1025,741,D24HourMean,QuarterlyMean,Mean,9.60
1029,742,D24HourMean,QuarterlyMean,Mean,9.19
1024,742,D24HourMean,QuarterlyMean,Mean,10.11
1021,741,D24HourMean,QuarterlyMean,Mean,11.59
1023,744,D24HourMean,QuarterlyMean,Mean,10.56
1034,740,D24HourMean,QuarterlyMean,Mean,12.42
1027,744,D24HourMean,QuarterlyMean,Mean,10.09
1025,739,D24HourMean,QuarterlyMean,Mean,9.96
1024,739,D24HourMean,QuarterlyMean,Mean,10.52
1036,741,D24HourMean,QuarterlyMean,Mean,12.75
1028,742,D24HourMean,QuarterlyMean,Mean,8.43
1026,743,D24HourMean,QuarterlyMean,Mean,9.53
1022,744,D24HourMean,QuarterlyMean,Mean,10.83
1023,743,D24HourMean,QuarterlyMean,Mean,10.45
1037,740,D24HourMean,QuarterlyMean,Mean,13.57
1024,741,D24HourMean,QuarterlyMean,Mean,10.27
1030,740,D24HourMean,QuarterlyMean,Mean,9.47
1019,744,D24HourMean,QuarterlyMean,Mean,11.72
1028,744,D24HourMean,QuarterlyMean,Mean,10.75
1029,737,D24HourMean,QuarterlyMean,Mean,10.58
1027,741,D24HourMean,QuarterlyMean,Mean,8.81
1033,741,D24HourMean,QuarterlyMean,Mean,11.56
1031,738,D24HourMean,QuarterlyMean,Mean,11.48
1020,743,D24HourMean,QuarterlyMean,Mean,11.76
1019,742,D24HourMean,QuarterlyMean,Mean,12.46
1033,740,D24HourMean,QuarterlyMean,Mean,11.66
1033,742,D24HourMean,QuarterlyMean,Mean,11.56
1024,743,D24HourMean,QuarterlyMean,Mean,10.08
1023,741,D24HourMean,QuarterlyMean,Mean,10.76
1031,741,D24HourMean,QuarterlyMean,Mean,10.50
1027,742,D24HourMean,QuarterlyMean,Mean,8.24
1037,741,D24HourMean,QuarterlyMean,Mean,14.55
1027,739,D24HourMean,QuarterlyMean,Mean,9.47
1026,742,D24HourMean,QuarterlyMean,Mean,8.83
1018,742,D24HourMean,QuarterlyMean,Mean,12.71
1030,739,D24HourMean,QuarterlyMean,Mean,10.42
1027,738,D24HourMean,QuarterlyMean,Mean,10.25
1028,737,D24HourMean,QuarterlyMean,Mean,10.99
1032,741,D24HourMean,QuarterlyMean,Mean,10.71
1035,740,D24HourMean,QuarterlyMean,Mean,12.65
1029,741,D24HourMean,QuarterlyMean,Mean,9.16
1021,740,D24HourMean,QuarterlyMean,Mean,7.68
1022,743,D24HourMean,QuarterlyMean,Mean,11.01
1025,744,D24HourMean,QuarterlyMean,Mean,9.74
1025,742,D24HourMean,QuarterlyMean,Mean,9.34
1022,740,D24HourMean,QuarterlyMean,Mean,11.42
1023,740,D24HourMean,QuarterlyMean,Mean,10.86
1026,739,D24HourMean,QuarterlyMean,Mean,9.33
1020,744,D24HourMean,QuarterlyMean,Mean,11.52
1035,739,D24HourMean,QuarterlyMean,Mean,12.42
1027,740,D24HourMean,QuarterlyMean,Mean,8.69
1027,743,D24HourMean,QuarterlyMean,Mean,9.35
1032,740,D24HourMean,QuarterlyMean,Mean,10.79
1020,742,D24HourMean,QuarterlyMean,Mean,11.76
1023,742,D24HourMean,QuarterlyMean,Mean,10.86
1028,739,D24HourMean,QuarterlyMean,Mean,9.59
1022,742,D24HourMean,QuarterlyMean,Mean,11.00
1021,743,D24HourMean,QuarterlyMean,Mean,10.74
1029,743,D24HourMean,QuarterlyMean,Mean,9.05
1024,744,D24HourMean,QuarterlyMean,Mean,10.03
1036,739,D24HourMean,QuarterlyMean,Mean,12.82
1026,744,D24HourMean,QuarterlyMean,Mean,9.66
1031,743,D24HourMean,QuarterlyMean,Mean,10.71
1026,741,D24HourMean,QuarterlyMean,Mean,9.55
1018,743,D24HourMean,QuarterlyMean,Mean,12.51
1030,743,D24HourMean,QuarterlyMean,Mean,9.66
1028,738,D24HourMean,QuarterlyMean,Mean,10.36
1035,741,D24HourMean,QuarterlyMean,Mean,12.36
1025,740,D24HourMean,QuarterlyMean,Mean,9.72
1017,742,D24HourMean,QuarterlyMean,Mean,12.73
1024,740,D24HourMean,QuarterlyMean,Mean,10.35
1037,739,D24HourMean,QuarterlyMean,Mean,13.27
1021,742,D24HourMean,QuarterlyMean,Mean,11.10
1036,740,D24HourMean,QuarterlyMean,Mean,12.90
1023,739,D24HourMean,QuarterlyMean,Mean,11.15
1038,739,D24HourMean,QuarterlyMean,Mean,14.86
1030,742,D24HourMean,QuarterlyMean,Mean,9.69
1022,741,D24HourMean,QuarterlyMean,Mean,11.40
1030,741,D24HourMean,QuarterlyMean,Mean,9.66
1019,743,D24HourMean,QuarterlyMean,Mean,12.13
1034,739,D24HourMean,QuarterlyMean,Mean,11.98
1031,740,D24HourMean,QuarterlyMean,Mean,10.02
1032,742,D24HourMean,QuarterlyMean,Mean,10.90
1028,743,D24HourMean,QuarterlyMean,Mean,9.40
1026,740,D24HourMean,QuarterlyMean,Mean,9.31
1031,739,D24HourMean,QuarterlyMean,Mean,11.21
1034,741,D24HourMean,QuarterlyMean,Mean,12.42
1031,742,D24HourMean,QuarterlyMean,Mean,10.41
1028,740,D24HourMean,QuarterlyMean,Mean,8.89
1021,744,D24HourMean,QuarterlyMean,Mean,10.96
1025,743,D24HourMean,QuarterlyMean,Mean,9.62
1029,739,D24HourMean,QuarterlyMean,Mean,9.49
1029,740,D24HourMean,QuarterlyMean,Mean,8.90
1028,741,D24HourMean,QuarterlyMean,Mean,9.06
