Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1025,741,2010,30119.47,ALL,ALL,ALL,0TO99
1029,742,2010,18957.33,ALL,ALL,ALL,0TO99
1024,742,2010,12682.25,ALL,ALL,ALL,0TO99
1021,741,2010,21491.96,ALL,ALL,ALL,0TO99
1023,744,2010,22651.49,ALL,ALL,ALL,0TO99
1034,740,2010,108736.20,ALL,ALL,ALL,0TO99
1027,744,2010,10831.91,ALL,ALL,ALL,0TO99
1025,739,2010,27950.04,ALL,ALL,ALL,0TO99
1024,739,2010,15766.61,ALL,ALL,ALL,0TO99
1036,741,2010,9576.29,ALL,ALL,ALL,0TO99
1028,742,2010,17177.23,ALL,ALL,ALL,0TO99
1026,743,2010,13711.23,ALL,ALL,ALL,0TO99
1022,744,2010,34998.27,ALL,ALL,ALL,0TO99
1023,743,2010,18737.62,ALL,ALL,ALL,0TO99
1037,740,2010,11618.00,ALL,ALL,ALL,0TO99
1024,741,2010,20557.55,ALL,ALL,ALL,0TO99
1030,740,2010,58867.08,ALL,ALL,ALL,0TO99
1019,744,2010,8736.37,ALL,ALL,ALL,0TO99
1028,744,2010,9715.96,ALL,ALL,ALL,0TO99
1029,737,2010,10496.66,ALL,ALL,ALL,0TO99
1027,741,2010,24318.25,ALL,ALL,ALL,0TO99
1033,741,2010,62340.57,ALL,ALL,ALL,0TO99
1031,738,2010,29851.04,ALL,ALL,ALL,0TO99
1020,743,2010,17882.07,ALL,ALL,ALL,0TO99
1019,742,2010,22546.19,ALL,ALL,ALL,0TO99
1033,740,2010,146403.92,ALL,ALL,ALL,0TO99
1033,742,2010,14123.48,ALL,ALL,ALL,0TO99
1024,743,2010,9403.43,ALL,ALL,ALL,0TO99
1023,741,2010,15131.62,ALL,ALL,ALL,0TO99
1031,741,2010,55941.38,ALL,ALL,ALL,0TO99
1027,742,2010,17218.23,ALL,ALL,ALL,0TO99
1037,741,2010,5384.06,ALL,ALL,ALL,0TO99
1027,739,2010,26337.12,ALL,ALL,ALL,0TO99
1026,742,2010,15686.77,ALL,ALL,ALL,0TO99
1018,742,2010,21483.08,ALL,ALL,ALL,0TO99
1030,739,2010,55447.21,ALL,ALL,ALL,0TO99
1027,738,2010,18148.60,ALL,ALL,ALL,0TO99
1028,737,2010,12172.03,ALL,ALL,ALL,0TO99
1032,741,2010,99242.22,ALL,ALL,ALL,0TO99
1035,740,2010,13012.80,ALL,ALL,ALL,0TO99
1029,741,2010,50222.72,ALL,ALL,ALL,0TO99
1021,740,2010,7377.57,ALL,ALL,ALL,0TO99
1022,743,2010,35018.02,ALL,ALL,ALL,0TO99
1025,744,2010,8262.59,ALL,ALL,ALL,0TO99
1025,742,2010,14879.45,ALL,ALL,ALL,0TO99
1022,740,2010,12636.25,ALL,ALL,ALL,0TO99
1023,740,2010,15138.60,ALL,ALL,ALL,0TO99
1026,739,2010,30124.34,ALL,ALL,ALL,0TO99
1020,744,2010,8759.43,ALL,ALL,ALL,0TO99
1035,739,2010,16581.25,ALL,ALL,ALL,0TO99
