Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2165,875,D24HourMean,QuarterlyMean,Mean,25.20
2163,874,D24HourMean,QuarterlyMean,Mean,22.96
2178,886,D24HourMean,QuarterlyMean,Mean,32.28
2165,870,D24HourMean,QuarterlyMean,Mean,25.01
2160,879,D24HourMean,QuarterlyMean,Mean,26.52
2160,873,D24HourMean,QuarterlyMean,Mean,21.96
2172,877,D24HourMean,QuarterlyMean,Mean,24.22
2185,891,D24HourMean,QuarterlyMean,Mean,26.67
2158,880,D24HourMean,QuarterlyMean,Mean,23.41
2164,868,D24HourMean,QuarterlyMean,Mean,26.19
2156,862,D24HourMean,QuarterlyMean,Mean,20.56
2164,881,D24HourMean,QuarterlyMean,Mean,27.37
2158,872,D24HourMean,QuarterlyMean,Mean,22.47
2189,888,D24HourMean,QuarterlyMean,Mean,27.95
2172,870,D24HourMean,QuarterlyMean,Mean,26.72
2156,858,D24HourMean,QuarterlyMean,Mean,20.26
2189,886,D24HourMean,QuarterlyMean,Mean,28.58
2157,857,D24HourMean,QuarterlyMean,Mean,20.35
2169,874,D24HourMean,QuarterlyMean,Mean,26.45
2154,857,D24HourMean,QuarterlyMean,Mean,19.68
2164,861,D24HourMean,QuarterlyMean,Mean,25.20
2172,869,D24HourMean,QuarterlyMean,Mean,27.47
2191,880,D24HourMean,QuarterlyMean,Mean,31.85
2187,882,D24HourMean,QuarterlyMean,Mean,36.35
2156,865,D24HourMean,QuarterlyMean,Mean,22.41
2157,856,D24HourMean,QuarterlyMean,Mean,20.13
2159,856,D24HourMean,QuarterlyMean,Mean,22.68
2179,882,D24HourMean,QuarterlyMean,Mean,38.81
2189,887,D24HourMean,QuarterlyMean,Mean,28.82
2166,861,D24HourMean,QuarterlyMean,Mean,29.95
2177,866,D24HourMean,QuarterlyMean,Mean,32.05
2179,879,D24HourMean,QuarterlyMean,Mean,35.47
2156,869,D24HourMean,QuarterlyMean,Mean,24.39
2171,883,D24HourMean,QuarterlyMean,Mean,24.93
2155,855,D24HourMean,QuarterlyMean,Mean,21.48
2155,854,D24HourMean,QuarterlyMean,Mean,21.33
2175,877,D24HourMean,QuarterlyMean,Mean,27.22
2172,868,D24HourMean,QuarterlyMean,Mean,26.85
2177,886,D24HourMean,QuarterlyMean,Mean,32.47
