Column,Row,Metric,Seasonal Metric,Annual Metric,Values
3139,914,D24HourMean,QuarterlyMean,Mean,15.47
3219,1006,D24HourMean,QuarterlyMean,Mean,8.84
3139,899,D24HourMean,QuarterlyMean,Mean,14.23
3220,1004,D24HourMean,QuarterlyMean,Mean,7.75
3201,949,D24HourMean,QuarterlyMean,Mean,11.33
3205,916,D24HourMean,QuarterlyMean,Mean,17.67
3125,907,D24HourMean,QuarterlyMean,Mean,14.07
3131,908,D24HourMean,QuarterlyMean,Mean,14.48
3224,995,D24HourMean,QuarterlyMean,Mean,8.75
3195,934,D24HourMean,QuarterlyMean,Mean,15.04
3196,916,D24HourMean,QuarterlyMean,Mean,22.62
3204,966,D24HourMean,QuarterlyMean,Mean,11.10
3178,908,D24HourMean,QuarterlyMean,Mean,17.29
3181,907,D24HourMean,QuarterlyMean,Mean,16.43
3174,918,D24HourMean,QuarterlyMean,Mean,12.31
3213,966,D24HourMean,QuarterlyMean,Mean,10.57
3136,897,D24HourMean,QuarterlyMean,Mean,13.95
3202,977,D24HourMean,QuarterlyMean,Mean,11.27
3199,931,D24HourMean,QuarterlyMean,Mean,15.27
3126,893,D24HourMean,QuarterlyMean,Mean,16.34
3180,926,D24HourMean,QuarterlyMean,Mean,13.67
3099,886,D24HourMean,QuarterlyMean,Mean,19.51
3214,967,D24HourMean,QuarterlyMean,Mean,10.59
3212,946,D24HourMean,QuarterlyMean,Mean,14.13
3211,958,D24HourMean,QuarterlyMean,Mean,10.32
3114,892,D24HourMean,QuarterlyMean,Mean,16.66
3156,898,D24HourMean,QuarterlyMean,Mean,13.23
3161,905,D24HourMean,QuarterlyMean,Mean,14.62
3187,930,D24HourMean,QuarterlyMean,Mean,16.26
3184,931,D24HourMean,QuarterlyMean,Mean,17.88
3220,992,D24HourMean,QuarterlyMean,Mean,7.99
3099,891,D24HourMean,QuarterlyMean,Mean,17.10
3190,914,D24HourMean,QuarterlyMean,Mean,10.57
3226,993,D24HourMean,QuarterlyMean,Mean,7.78
3149,902,D24HourMean,QuarterlyMean,Mean,15.70
3164,906,D24HourMean,QuarterlyMean,Mean,16.64
3214,970,D24HourMean,QuarterlyMean,Mean,9.19
3253,1002,D24HourMean,QuarterlyMean,Mean,7.48
3170,914,D24HourMean,QuarterlyMean,Mean,21.51
3185,923,D24HourMean,QuarterlyMean,Mean,14.55
3237,994,D24HourMean,QuarterlyMean,Mean,6.98
3221,998,D24HourMean,QuarterlyMean,Mean,8.18
3169,909,D24HourMean,QuarterlyMean,Mean,25.78
3239,996,D24HourMean,QuarterlyMean,Mean,7.24
3134,896,D24HourMean,QuarterlyMean,Mean,13.63
3094,905,D24HourMean,QuarterlyMean,Mean,21.12
3207,917,D24HourMean,QuarterlyMean,Mean,17.98
3115,903,D24HourMean,QuarterlyMean,Mean,17.59
3251,991,D24HourMean,QuarterlyMean,Mean,8.81
3219,998,D24HourMean,QuarterlyMean,Mean,7.83
3202,947,D24HourMean,QuarterlyMean,Mean,13.43
3098,891,D24HourMean,QuarterlyMean,Mean,18.23
3205,953,D24HourMean,QuarterlyMean,Mean,12.95
3120,907,D24HourMean,QuarterlyMean,Mean,16.13
3212,955,D24HourMean,QuarterlyMean,Mean,11.18
3226,1008,D24HourMean,QuarterlyMean,Mean,7.80
3137,898,D24HourMean,QuarterlyMean,Mean,14.43
3215,988,D24HourMean,QuarterlyMean,Mean,8.96
3136,899,D24HourMean,QuarterlyMean,Mean,14.73
3231,983,D24HourMean,QuarterlyMean,Mean,9.96
3140,902,D24HourMean,QuarterlyMean,Mean,19.98
3203,978,D24HourMean,QuarterlyMean,Mean,11.49
3141,895,D24HourMean,QuarterlyMean,Mean,14.18
3197,921,D24HourMean,QuarterlyMean,Mean,23.17
3203,983,D24HourMean,QuarterlyMean,Mean,11.30
3101,891,D24HourMean,QuarterlyMean,Mean,18.79
3115,904,D24HourMean,QuarterlyMean,Mean,18.09
3109,878,D24HourMean,QuarterlyMean,Mean,15.92
3183,920,D24HourMean,QuarterlyMean,Mean,12.68
3230,985,D24HourMean,QuarterlyMean,Mean,9.14
3221,1012,D24HourMean,QuarterlyMean,Mean,8.60
3113,900,D24HourMean,QuarterlyMean,Mean,20.72
3177,929,D24HourMean,QuarterlyMean,Mean,13.03
3226,991,D24HourMean,QuarterlyMean,Mean,8.29
3215,948,D24HourMean,QuarterlyMean,Mean,12.26
3172,910,D24HourMean,QuarterlyMean,Mean,22.60
3191,912,D24HourMean,QuarterlyMean,Mean,14.70
3190,912,D24HourMean,QuarterlyMean,Mean,13.21
3194,916,D24HourMean,QuarterlyMean,Mean,21.48
3128,891,D24HourMean,QuarterlyMean,Mean,14.55
3113,818,D24HourMean,QuarterlyMean,Mean,15.92
3201,983,D24HourMean,QuarterlyMean,Mean,12.02
3204,992,D24HourMean,QuarterlyMean,Mean,8.03
3144,896,D24HourMean,QuarterlyMean,Mean,14.80
3175,907,D24HourMean,QuarterlyMean,Mean,23.52
3157,902,D24HourMean,QuarterlyMean,Mean,13.45
3167,922,D24HourMean,QuarterlyMean,Mean,13.75
3202,946,D24HourMean,QuarterlyMean,Mean,13.27
3179,912,D24HourMean,QuarterlyMean,Mean,11.50
3125,904,D24HourMean,QuarterlyMean,Mean,20.29
3169,920,D24HourMean,QuarterlyMean,Mean,12.16
3227,994,D24HourMean,QuarterlyMean,Mean,8.30
3165,909,D24HourMean,QuarterlyMean,Mean,20.34
3117,894,D24HourMean,QuarterlyMean,Mean,18.60
3180,920,D24HourMean,QuarterlyMean,Mean,13.57
3180,929,D24HourMean,QuarterlyMean,Mean,13.77
3130,912,D24HourMean,QuarterlyMean,Mean,15.44
3193,925,D24HourMean,QuarterlyMean,Mean,15.25
3197,936,D24HourMean,QuarterlyMean,Mean,15.22
3212,965,D24HourMean,QuarterlyMean,Mean,10.28
3219,959,D24HourMean,QuarterlyMean,Mean,8.94
3221,1011,D24HourMean,QuarterlyMean,Mean,8.74
3135,909,D24HourMean,QuarterlyMean,Mean,14.33
3223,1010,D24HourMean,QuarterlyMean,Mean,7.82
3178,927,D24HourMean,QuarterlyMean,Mean,12.20
3241,996,D24HourMean,QuarterlyMean,Mean,7.05
3219,961,D24HourMean,QuarterlyMean,Mean,9.36
3156,904,D24HourMean,QuarterlyMean,Mean,21.40
3102,886,D24HourMean,QuarterlyMean,Mean,18.37
3231,984,D24HourMean,QuarterlyMean,Mean,9.76
3103,887,D24HourMean,QuarterlyMean,Mean,18.06
3211,989,D24HourMean,QuarterlyMean,Mean,7.55
3216,962,D24HourMean,QuarterlyMean,Mean,9.38
3223,1007,D24HourMean,QuarterlyMean,Mean,7.66
3107,882,D24HourMean,QuarterlyMean,Mean,16.71
3129,908,D24HourMean,QuarterlyMean,Mean,14.70
3119,903,D24HourMean,QuarterlyMean,Mean,15.23
3135,913,D24HourMean,QuarterlyMean,Mean,16.23
3185,916,D24HourMean,QuarterlyMean,Mean,17.04
3139,909,D24HourMean,QuarterlyMean,Mean,14.69
3208,946,D24HourMean,QuarterlyMean,Mean,13.03
3202,987,D24HourMean,QuarterlyMean,Mean,9.98
3111,882,D24HourMean,QuarterlyMean,Mean,14.85
3198,936,D24HourMean,QuarterlyMean,Mean,16.41
3145,899,D24HourMean,QuarterlyMean,Mean,16.90
3191,937,D24HourMean,QuarterlyMean,Mean,18.14
3209,963,D24HourMean,QuarterlyMean,Mean,9.08
3119,906,D24HourMean,QuarterlyMean,Mean,16.34
3157,905,D24HourMean,QuarterlyMean,Mean,24.98
3158,901,D24HourMean,QuarterlyMean,Mean,11.39
3185,910,D24HourMean,QuarterlyMean,Mean,12.99
3205,959,D24HourMean,QuarterlyMean,Mean,8.48
3208,928,D24HourMean,QuarterlyMean,Mean,15.04
3151,907,D24HourMean,QuarterlyMean,Mean,20.42
3154,898,D24HourMean,QuarterlyMean,Mean,13.65
3202,963,D24HourMean,QuarterlyMean,Mean,9.36
3243,992,D24HourMean,QuarterlyMean,Mean,6.29
3202,914,D24HourMean,QuarterlyMean,Mean,13.70
3161,904,D24HourMean,QuarterlyMean,Mean,13.74
3137,900,D24HourMean,QuarterlyMean,Mean,17.85
3229,1002,D24HourMean,QuarterlyMean,Mean,7.47
3204,960,D24HourMean,QuarterlyMean,Mean,8.70
3130,913,D24HourMean,QuarterlyMean,Mean,16.80
3160,897,D24HourMean,QuarterlyMean,Mean,14.13
3200,929,D24HourMean,QuarterlyMean,Mean,16.21
3206,965,D24HourMean,QuarterlyMean,Mean,10.54
3131,913,D24HourMean,QuarterlyMean,Mean,16.49
3202,959,D24HourMean,QuarterlyMean,Mean,10.66
3210,946,D24HourMean,QuarterlyMean,Mean,13.77
3218,1011,D24HourMean,QuarterlyMean,Mean,11.22
3222,1009,D24HourMean,QuarterlyMean,Mean,7.64
3128,889,D24HourMean,QuarterlyMean,Mean,15.11
3144,898,D24HourMean,QuarterlyMean,Mean,14.05
3210,945,D24HourMean,QuarterlyMean,Mean,14.31
