Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3139,914,2010,26026.61,ALL,ALL,ALL,0TO99
3219,1006,2010,473.97,ALL,ALL,ALL,0TO99
3139,899,2010,6301.51,ALL,ALL,ALL,0TO99
3220,1004,2010,856.31,ALL,ALL,ALL,0TO99
3201,949,2010,3183.82,ALL,ALL,ALL,0TO99
3205,916,2010,38893.20,ALL,ALL,ALL,0TO99
3125,907,2010,3643.41,ALL,ALL,ALL,0TO99
3131,908,2010,7478.84,ALL,ALL,ALL,0TO99
3224,995,2010,8653.88,ALL,ALL,ALL,0TO99
3195,934,2010,861.49,ALL,ALL,ALL,0TO99
3196,916,2010,1067769.13,ALL,ALL,ALL,0TO99
3204,966,2010,22658.98,ALL,ALL,ALL,0TO99
3178,908,2010,109652.53,ALL,ALL,ALL,0TO99
3181,907,2010,49188.75,ALL,ALL,ALL,0TO99
3174,918,2010,1581.61,ALL,ALL,ALL,0TO99
3213,966,2010,15517.18,ALL,ALL,ALL,0TO99
3136,897,2010,3507.57,ALL,ALL,ALL,0TO99
3202,977,2010,1345.63,ALL,ALL,ALL,0TO99
3199,931,2010,7893.00,ALL,ALL,ALL,0TO99
3126,893,2010,13887.89,ALL,ALL,ALL,0TO99
3180,926,2010,4057.63,ALL,ALL,ALL,0TO99
3099,886,2010,59317.69,ALL,ALL,ALL,0TO99
3214,967,2010,20106.57,ALL,ALL,ALL,0TO99
3212,946,2010,22736.83,ALL,ALL,ALL,0TO99
3211,958,2010,24321.80,ALL,ALL,ALL,0TO99
3114,892,2010,17493.18,ALL,ALL,ALL,0TO99
3156,898,2010,1624.83,ALL,ALL,ALL,0TO99
3161,905,2010,18107.31,ALL,ALL,ALL,0TO99
3187,930,2010,5565.15,ALL,ALL,ALL,0TO99
3184,931,2010,26467.21,ALL,ALL,ALL,0TO99
3220,992,2010,5462.67,ALL,ALL,ALL,0TO99
3099,891,2010,61294.93,ALL,ALL,ALL,0TO99
3190,914,2010,9183.87,ALL,ALL,ALL,0TO99
3226,993,2010,4092.26,ALL,ALL,ALL,0TO99
3149,902,2010,19296.99,ALL,ALL,ALL,0TO99
3164,906,2010,21128.35,ALL,ALL,ALL,0TO99
3214,970,2010,3684.28,ALL,ALL,ALL,0TO99
3253,1002,2010,919.01,ALL,ALL,ALL,0TO99
3170,914,2010,90118.66,ALL,ALL,ALL,0TO99
3185,923,2010,39749.27,ALL,ALL,ALL,0TO99
3237,994,2010,452.16,ALL,ALL,ALL,0TO99
3221,998,2010,2643.27,ALL,ALL,ALL,0TO99
3169,909,2010,111933.50,ALL,ALL,ALL,0TO99
3239,996,2010,2915.37,ALL,ALL,ALL,0TO99
3134,896,2010,6498.16,ALL,ALL,ALL,0TO99
3094,905,2010,2296.04,ALL,ALL,ALL,0TO99
3207,917,2010,46643.10,ALL,ALL,ALL,0TO99
3115,903,2010,6008.92,ALL,ALL,ALL,0TO99
3251,991,2010,1337.24,ALL,ALL,ALL,0TO99
3219,998,2010,3989.30,ALL,ALL,ALL,0TO99
3202,947,2010,2502.99,ALL,ALL,ALL,0TO99
3098,891,2010,73230.82,ALL,ALL,ALL,0TO99
3205,953,2010,16040.43,ALL,ALL,ALL,0TO99
3120,907,2010,6836.63,ALL,ALL,ALL,0TO99
3212,955,2010,19975.48,ALL,ALL,ALL,0TO99
3226,1008,2010,898.83,ALL,ALL,ALL,0TO99
3137,898,2010,2715.89,ALL,ALL,ALL,0TO99
3215,988,2010,25548.54,ALL,ALL,ALL,0TO99
3136,899,2010,19324.04,ALL,ALL,ALL,0TO99
3231,983,2010,1365.90,ALL,ALL,ALL,0TO99
3140,902,2010,59268.66,ALL,ALL,ALL,0TO99
3203,978,2010,1916.79,ALL,ALL,ALL,0TO99
3141,895,2010,2416.19,ALL,ALL,ALL,0TO99
3197,921,2010,116485.45,ALL,ALL,ALL,0TO99
3203,983,2010,1681.26,ALL,ALL,ALL,0TO99
3101,891,2010,26487.87,ALL,ALL,ALL,0TO99
3115,904,2010,12305.30,ALL,ALL,ALL,0TO99
3109,878,2010,12368.84,ALL,ALL,ALL,0TO99
3183,920,2010,20957.44,ALL,ALL,ALL,0TO99
3230,985,2010,997.92,ALL,ALL,ALL,0TO99
3221,1012,2010,405.03,ALL,ALL,ALL,0TO99
3113,900,2010,53438.26,ALL,ALL,ALL,0TO99
3177,929,2010,5911.32,ALL,ALL,ALL,0TO99
3226,991,2010,792.56,ALL,ALL,ALL,0TO99
3215,948,2010,11836.18,ALL,ALL,ALL,0TO99
3172,910,2010,138104.19,ALL,ALL,ALL,0TO99
3191,912,2010,51833.10,ALL,ALL,ALL,0TO99
3190,912,2010,39677.73,ALL,ALL,ALL,0TO99
3194,916,2010,432659.88,ALL,ALL,ALL,0TO99
3128,891,2010,2014.43,ALL,ALL,ALL,0TO99
3113,818,2010,1294.52,ALL,ALL,ALL,0TO99
3201,983,2010,1072.51,ALL,ALL,ALL,0TO99
3204,992,2010,453.10,ALL,ALL,ALL,0TO99
3144,896,2010,3952.01,ALL,ALL,ALL,0TO99
3175,907,2010,134845.16,ALL,ALL,ALL,0TO99
3157,902,2010,19067.44,ALL,ALL,ALL,0TO99
3167,922,2010,2591.32,ALL,ALL,ALL,0TO99
3202,946,2010,1975.04,ALL,ALL,ALL,0TO99
3179,912,2010,1596.57,ALL,ALL,ALL,0TO99
3125,904,2010,267605.59,ALL,ALL,ALL,0TO99
3169,920,2010,1131.77,ALL,ALL,ALL,0TO99
3227,994,2010,2761.50,ALL,ALL,ALL,0TO99
3165,909,2010,89053.17,ALL,ALL,ALL,0TO99
3117,894,2010,17048.70,ALL,ALL,ALL,0TO99
3180,920,2010,27186.86,ALL,ALL,ALL,0TO99
3180,929,2010,5585.02,ALL,ALL,ALL,0TO99
3130,912,2010,10204.74,ALL,ALL,ALL,0TO99
3193,925,2010,3507.74,ALL,ALL,ALL,0TO99
3197,936,2010,2524.49,ALL,ALL,ALL,0TO99
3212,965,2010,15391.50,ALL,ALL,ALL,0TO99
3219,959,2010,2804.58,ALL,ALL,ALL,0TO99
3221,1011,2010,414.77,ALL,ALL,ALL,0TO99
3135,909,2010,4700.82,ALL,ALL,ALL,0TO99
3223,1010,2010,910.54,ALL,ALL,ALL,0TO99
3178,927,2010,3360.57,ALL,ALL,ALL,0TO99
3241,996,2010,733.54,ALL,ALL,ALL,0TO99
3219,961,2010,3655.55,ALL,ALL,ALL,0TO99
3156,904,2010,282802.03,ALL,ALL,ALL,0TO99
3102,886,2010,15297.90,ALL,ALL,ALL,0TO99
3231,984,2010,749.95,ALL,ALL,ALL,0TO99
3103,887,2010,24594.61,ALL,ALL,ALL,0TO99
3211,989,2010,15795.81,ALL,ALL,ALL,0TO99
3216,962,2010,3258.41,ALL,ALL,ALL,0TO99
3223,1007,2010,344.40,ALL,ALL,ALL,0TO99
3107,882,2010,3307.08,ALL,ALL,ALL,0TO99
3129,908,2010,9144.38,ALL,ALL,ALL,0TO99
3119,903,2010,2172.34,ALL,ALL,ALL,0TO99
3135,913,2010,17124.38,ALL,ALL,ALL,0TO99
3185,916,2010,53605.88,ALL,ALL,ALL,0TO99
3139,909,2010,5587.14,ALL,ALL,ALL,0TO99
3208,946,2010,5997.70,ALL,ALL,ALL,0TO99
3202,987,2010,340.44,ALL,ALL,ALL,0TO99
3111,882,2010,4885.51,ALL,ALL,ALL,0TO99
3198,936,2010,5086.31,ALL,ALL,ALL,0TO99
3145,899,2010,11628.82,ALL,ALL,ALL,0TO99
3191,937,2010,53338.32,ALL,ALL,ALL,0TO99
3209,963,2010,4446.18,ALL,ALL,ALL,0TO99
3119,906,2010,14718.91,ALL,ALL,ALL,0TO99
3157,905,2010,327224.31,ALL,ALL,ALL,0TO99
3158,901,2010,640.54,ALL,ALL,ALL,0TO99
3185,910,2010,81633.57,ALL,ALL,ALL,0TO99
3205,959,2010,950.93,ALL,ALL,ALL,0TO99
3208,928,2010,22885.22,ALL,ALL,ALL,0TO99
