Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2266,1044,D24HourMean,QuarterlyMean,Mean,11.50
2266,1045,D24HourMean,QuarterlyMean,Mean,10.94
2267,1044,D24HourMean,QuarterlyMean,Mean,11.45
2267,1045,D24HourMean,QuarterlyMean,Mean,10.97
2267,1046,D24HourMean,QuarterlyMean,Mean,10.82
2268,1044,D24HourMean,QuarterlyMean,Mean,11.62
2268,1045,D24HourMean,QuarterlyMean,Mean,11.19
2268,1046,D24HourMean,QuarterlyMean,Mean,11.03
2268,1047,D24HourMean,QuarterlyMean,Mean,10.84
2268,1048,D24HourMean,QuarterlyMean,Mean,10.54
2269,1043,D24HourMean,QuarterlyMean,Mean,12.22
2269,1044,D24HourMean,QuarterlyMean,Mean,11.72
2269,1045,D24HourMean,QuarterlyMean,Mean,11.18
2269,1046,D24HourMean,QuarterlyMean,Mean,11.33
2269,1047,D24HourMean,QuarterlyMean,Mean,10.98
2269,1048,D24HourMean,QuarterlyMean,Mean,10.44
2269,1049,D24HourMean,QuarterlyMean,Mean,10.30
2269,1053,D24HourMean,QuarterlyMean,Mean,9.88
2269,1054,D24HourMean,QuarterlyMean,Mean,9.71
2269,1055,D24HourMean,QuarterlyMean,Mean,10.03
2270,1043,D24HourMean,QuarterlyMean,Mean,12.19
2270,1044,D24HourMean,QuarterlyMean,Mean,11.53
2270,1045,D24HourMean,QuarterlyMean,Mean,11.36
2270,1046,D24HourMean,QuarterlyMean,Mean,11.04
2270,1047,D24HourMean,QuarterlyMean,Mean,10.91
2270,1048,D24HourMean,QuarterlyMean,Mean,10.59
2270,1049,D24HourMean,QuarterlyMean,Mean,10.32
2270,1053,D24HourMean,QuarterlyMean,Mean,9.76
2270,1054,D24HourMean,QuarterlyMean,Mean,9.73
2270,1055,D24HourMean,QuarterlyMean,Mean,10.14
2270,1056,D24HourMean,QuarterlyMean,Mean,9.99
2270,1057,D24HourMean,QuarterlyMean,Mean,9.60
2270,1058,D24HourMean,QuarterlyMean,Mean,8.86
2271,1042,D24HourMean,QuarterlyMean,Mean,12.32
2271,1043,D24HourMean,QuarterlyMean,Mean,12.17
2271,1044,D24HourMean,QuarterlyMean,Mean,11.38
2271,1045,D24HourMean,QuarterlyMean,Mean,11.37
2271,1046,D24HourMean,QuarterlyMean,Mean,11.06
2271,1047,D24HourMean,QuarterlyMean,Mean,10.76
2271,1048,D24HourMean,QuarterlyMean,Mean,11.07
2271,1049,D24HourMean,QuarterlyMean,Mean,10.65
2271,1050,D24HourMean,QuarterlyMean,Mean,10.03
2271,1051,D24HourMean,QuarterlyMean,Mean,10.24
2271,1052,D24HourMean,QuarterlyMean,Mean,10.26
2271,1053,D24HourMean,QuarterlyMean,Mean,10.07
2271,1054,D24HourMean,QuarterlyMean,Mean,9.99
2271,1055,D24HourMean,QuarterlyMean,Mean,9.90
2271,1056,D24HourMean,QuarterlyMean,Mean,9.61
2271,1057,D24HourMean,QuarterlyMean,Mean,9.58
2271,1058,D24HourMean,QuarterlyMean,Mean,9.07
2272,1039,D24HourMean,QuarterlyMean,Mean,12.04
2272,1040,D24HourMean,QuarterlyMean,Mean,11.99
2272,1041,D24HourMean,QuarterlyMean,Mean,12.02
2272,1042,D24HourMean,QuarterlyMean,Mean,12.21
2272,1043,D24HourMean,QuarterlyMean,Mean,11.97
2272,1044,D24HourMean,QuarterlyMean,Mean,11.60
2272,1045,D24HourMean,QuarterlyMean,Mean,11.40
2272,1046,D24HourMean,QuarterlyMean,Mean,11.22
2272,1047,D24HourMean,QuarterlyMean,Mean,10.90
2272,1048,D24HourMean,QuarterlyMean,Mean,10.95
2272,1049,D24HourMean,QuarterlyMean,Mean,10.61
2272,1050,D24HourMean,QuarterlyMean,Mean,10.43
2272,1051,D24HourMean,QuarterlyMean,Mean,10.46
2272,1052,D24HourMean,QuarterlyMean,Mean,10.48
2272,1053,D24HourMean,QuarterlyMean,Mean,10.14
2272,1054,D24HourMean,QuarterlyMean,Mean,10.20
2272,1055,D24HourMean,QuarterlyMean,Mean,9.79
2272,1056,D24HourMean,QuarterlyMean,Mean,9.39
2272,1057,D24HourMean,QuarterlyMean,Mean,9.07
2272,1058,D24HourMean,QuarterlyMean,Mean,8.93
2273,1037,D24HourMean,QuarterlyMean,Mean,12.64
2273,1038,D24HourMean,QuarterlyMean,Mean,12.38
2273,1039,D24HourMean,QuarterlyMean,Mean,12.34
2273,1040,D24HourMean,QuarterlyMean,Mean,12.12
2273,1041,D24HourMean,QuarterlyMean,Mean,11.99
2273,1042,D24HourMean,QuarterlyMean,Mean,12.11
2273,1043,D24HourMean,QuarterlyMean,Mean,12.06
2273,1044,D24HourMean,QuarterlyMean,Mean,11.82
2273,1045,D24HourMean,QuarterlyMean,Mean,11.44
2273,1046,D24HourMean,QuarterlyMean,Mean,11.45
2273,1047,D24HourMean,QuarterlyMean,Mean,11.05
2273,1048,D24HourMean,QuarterlyMean,Mean,10.99
2273,1049,D24HourMean,QuarterlyMean,Mean,10.56
2273,1050,D24HourMean,QuarterlyMean,Mean,10.52
2273,1051,D24HourMean,QuarterlyMean,Mean,10.38
2273,1052,D24HourMean,QuarterlyMean,Mean,10.26
2273,1053,D24HourMean,QuarterlyMean,Mean,10.11
2273,1054,D24HourMean,QuarterlyMean,Mean,10.44
2273,1055,D24HourMean,QuarterlyMean,Mean,9.91
2273,1056,D24HourMean,QuarterlyMean,Mean,9.53
2273,1057,D24HourMean,QuarterlyMean,Mean,9.26
2273,1058,D24HourMean,QuarterlyMean,Mean,9.05
2273,1059,D24HourMean,QuarterlyMean,Mean,8.95
2274,1037,D24HourMean,QuarterlyMean,Mean,12.59
2274,1038,D24HourMean,QuarterlyMean,Mean,12.68
2274,1039,D24HourMean,QuarterlyMean,Mean,12.61
2274,1040,D24HourMean,QuarterlyMean,Mean,12.31
2274,1041,D24HourMean,QuarterlyMean,Mean,12.07
2274,1042,D24HourMean,QuarterlyMean,Mean,11.96
2274,1043,D24HourMean,QuarterlyMean,Mean,12.29
2274,1044,D24HourMean,QuarterlyMean,Mean,12.46
2274,1045,D24HourMean,QuarterlyMean,Mean,11.69
2274,1046,D24HourMean,QuarterlyMean,Mean,12.28
2274,1047,D24HourMean,QuarterlyMean,Mean,11.46
2274,1048,D24HourMean,QuarterlyMean,Mean,10.90
2274,1049,D24HourMean,QuarterlyMean,Mean,10.90
2274,1050,D24HourMean,QuarterlyMean,Mean,10.77
2274,1051,D24HourMean,QuarterlyMean,Mean,10.55
2274,1052,D24HourMean,QuarterlyMean,Mean,10.59
2274,1053,D24HourMean,QuarterlyMean,Mean,10.20
2274,1054,D24HourMean,QuarterlyMean,Mean,9.87
2274,1055,D24HourMean,QuarterlyMean,Mean,9.67
2274,1056,D24HourMean,QuarterlyMean,Mean,9.36
2274,1057,D24HourMean,QuarterlyMean,Mean,9.40
2274,1058,D24HourMean,QuarterlyMean,Mean,8.86
2274,1059,D24HourMean,QuarterlyMean,Mean,9.11
2274,1060,D24HourMean,QuarterlyMean,Mean,8.80
2274,1061,D24HourMean,QuarterlyMean,Mean,8.97
2274,1062,D24HourMean,QuarterlyMean,Mean,9.42
2275,1038,D24HourMean,QuarterlyMean,Mean,12.68
2275,1039,D24HourMean,QuarterlyMean,Mean,12.80
2275,1040,D24HourMean,QuarterlyMean,Mean,12.51
2275,1041,D24HourMean,QuarterlyMean,Mean,12.29
2275,1042,D24HourMean,QuarterlyMean,Mean,12.65
2275,1043,D24HourMean,QuarterlyMean,Mean,12.50
2275,1044,D24HourMean,QuarterlyMean,Mean,12.67
2275,1045,D24HourMean,QuarterlyMean,Mean,7.87
2275,1046,D24HourMean,QuarterlyMean,Mean,12.13
2275,1047,D24HourMean,QuarterlyMean,Mean,11.39
2275,1048,D24HourMean,QuarterlyMean,Mean,11.07
2275,1049,D24HourMean,QuarterlyMean,Mean,11.07
2275,1050,D24HourMean,QuarterlyMean,Mean,10.65
2275,1051,D24HourMean,QuarterlyMean,Mean,10.74
2275,1052,D24HourMean,QuarterlyMean,Mean,10.74
2275,1053,D24HourMean,QuarterlyMean,Mean,10.45
2275,1054,D24HourMean,QuarterlyMean,Mean,10.04
2275,1055,D24HourMean,QuarterlyMean,Mean,9.82
2275,1056,D24HourMean,QuarterlyMean,Mean,9.58
2275,1057,D24HourMean,QuarterlyMean,Mean,9.31
2275,1058,D24HourMean,QuarterlyMean,Mean,9.05
2275,1059,D24HourMean,QuarterlyMean,Mean,9.43
2275,1060,D24HourMean,QuarterlyMean,Mean,9.42
2275,1061,D24HourMean,QuarterlyMean,Mean,9.58
2275,1062,D24HourMean,QuarterlyMean,Mean,9.58
2275,1063,D24HourMean,QuarterlyMean,Mean,9.30
2276,1038,D24HourMean,QuarterlyMean,Mean,12.63
2276,1039,D24HourMean,QuarterlyMean,Mean,12.58
2276,1040,D24HourMean,QuarterlyMean,Mean,12.33
2276,1041,D24HourMean,QuarterlyMean,Mean,12.48
2276,1042,D24HourMean,QuarterlyMean,Mean,12.85
2276,1043,D24HourMean,QuarterlyMean,Mean,12.73
2276,1044,D24HourMean,QuarterlyMean,Mean,9.09
2276,1045,D24HourMean,QuarterlyMean,Mean,12.78
2276,1046,D24HourMean,QuarterlyMean,Mean,12.30
2276,1047,D24HourMean,QuarterlyMean,Mean,11.53
2276,1048,D24HourMean,QuarterlyMean,Mean,10.95
2276,1049,D24HourMean,QuarterlyMean,Mean,10.94
2276,1050,D24HourMean,QuarterlyMean,Mean,10.74
2276,1051,D24HourMean,QuarterlyMean,Mean,10.84
2276,1052,D24HourMean,QuarterlyMean,Mean,10.91
2276,1053,D24HourMean,QuarterlyMean,Mean,10.53
2276,1054,D24HourMean,QuarterlyMean,Mean,10.43
2276,1055,D24HourMean,QuarterlyMean,Mean,10.14
2276,1056,D24HourMean,QuarterlyMean,Mean,9.97
2276,1057,D24HourMean,QuarterlyMean,Mean,9.74
2276,1058,D24HourMean,QuarterlyMean,Mean,9.67
2276,1059,D24HourMean,QuarterlyMean,Mean,9.71
2276,1060,D24HourMean,QuarterlyMean,Mean,9.79
2276,1061,D24HourMean,QuarterlyMean,Mean,9.97
2276,1062,D24HourMean,QuarterlyMean,Mean,10.02
2276,1063,D24HourMean,QuarterlyMean,Mean,9.68
2276,1064,D24HourMean,QuarterlyMean,Mean,9.30
2277,1038,D24HourMean,QuarterlyMean,Mean,12.61
2277,1039,D24HourMean,QuarterlyMean,Mean,12.51
2277,1040,D24HourMean,QuarterlyMean,Mean,12.18
2277,1041,D24HourMean,QuarterlyMean,Mean,12.48
2277,1042,D24HourMean,QuarterlyMean,Mean,12.78
2277,1043,D24HourMean,QuarterlyMean,Mean,12.53
2277,1044,D24HourMean,QuarterlyMean,Mean,13.17
2277,1045,D24HourMean,QuarterlyMean,Mean,12.45
2277,1046,D24HourMean,QuarterlyMean,Mean,11.64
2277,1047,D24HourMean,QuarterlyMean,Mean,11.68
2277,1048,D24HourMean,QuarterlyMean,Mean,10.56
2277,1049,D24HourMean,QuarterlyMean,Mean,10.58
2277,1050,D24HourMean,QuarterlyMean,Mean,11.11
2277,1051,D24HourMean,QuarterlyMean,Mean,11.09
2277,1052,D24HourMean,QuarterlyMean,Mean,11.19
2277,1053,D24HourMean,QuarterlyMean,Mean,10.80
2277,1054,D24HourMean,QuarterlyMean,Mean,10.74
2277,1055,D24HourMean,QuarterlyMean,Mean,10.47
2277,1056,D24HourMean,QuarterlyMean,Mean,10.18
2277,1057,D24HourMean,QuarterlyMean,Mean,10.25
2277,1058,D24HourMean,QuarterlyMean,Mean,10.09
2277,1059,D24HourMean,QuarterlyMean,Mean,10.11
2277,1060,D24HourMean,QuarterlyMean,Mean,10.17
2277,1061,D24HourMean,QuarterlyMean,Mean,10.42
2277,1062,D24HourMean,QuarterlyMean,Mean,10.36
2277,1063,D24HourMean,QuarterlyMean,Mean,10.17
2278,1037,D24HourMean,QuarterlyMean,Mean,12.29
2278,1038,D24HourMean,QuarterlyMean,Mean,12.34
2278,1039,D24HourMean,QuarterlyMean,Mean,12.46
2278,1040,D24HourMean,QuarterlyMean,Mean,12.33
2278,1041,D24HourMean,QuarterlyMean,Mean,12.36
2278,1042,D24HourMean,QuarterlyMean,Mean,12.50
2278,1043,D24HourMean,QuarterlyMean,Mean,12.43
2278,1044,D24HourMean,QuarterlyMean,Mean,12.83
2278,1045,D24HourMean,QuarterlyMean,Mean,12.10
2278,1046,D24HourMean,QuarterlyMean,Mean,11.17
2278,1047,D24HourMean,QuarterlyMean,Mean,11.10
2278,1048,D24HourMean,QuarterlyMean,Mean,10.61
2278,1049,D24HourMean,QuarterlyMean,Mean,10.56
2278,1050,D24HourMean,QuarterlyMean,Mean,11.09
2278,1051,D24HourMean,QuarterlyMean,Mean,11.16
2278,1052,D24HourMean,QuarterlyMean,Mean,11.23
2278,1053,D24HourMean,QuarterlyMean,Mean,11.09
2278,1054,D24HourMean,QuarterlyMean,Mean,10.96
2278,1055,D24HourMean,QuarterlyMean,Mean,11.08
