Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2266,1044,2010,111.48,ALL,ALL,ALL,0TO99
2266,1045,2010,135.71,ALL,ALL,ALL,0TO99
2267,1044,2010,91.39,ALL,ALL,ALL,0TO99
2267,1045,2010,82.20,ALL,ALL,ALL,0TO99
2267,1046,2010,109.05,ALL,ALL,ALL,0TO99
2268,1044,2010,82.70,ALL,ALL,ALL,0TO99
2268,1045,2010,82.12,ALL,ALL,ALL,0TO99
2268,1046,2010,81.96,ALL,ALL,ALL,0TO99
2268,1047,2010,85.89,ALL,ALL,ALL,0TO99
2268,1048,2010,144.88,ALL,ALL,ALL,0TO99
2269,1043,2010,128.36,ALL,ALL,ALL,0TO99
2269,1044,2010,82.29,ALL,ALL,ALL,0TO99
2269,1045,2010,82.12,ALL,ALL,ALL,0TO99
2269,1046,2010,81.96,ALL,ALL,ALL,0TO99
2269,1047,2010,81.79,ALL,ALL,ALL,0TO99
2269,1048,2010,81.63,ALL,ALL,ALL,0TO99
2269,1049,2010,167.63,ALL,ALL,ALL,0TO99
2269,1053,2010,219.56,ALL,ALL,ALL,0TO99
2269,1054,2010,215.26,ALL,ALL,ALL,0TO99
2269,1055,2010,239.46,ALL,ALL,ALL,0TO99
2270,1043,2010,98.92,ALL,ALL,ALL,0TO99
2270,1044,2010,82.29,ALL,ALL,ALL,0TO99
2270,1045,2010,82.12,ALL,ALL,ALL,0TO99
2270,1046,2010,81.96,ALL,ALL,ALL,0TO99
2270,1047,2010,81.79,ALL,ALL,ALL,0TO99
2270,1048,2010,81.63,ALL,ALL,ALL,0TO99
2270,1049,2010,88.78,ALL,ALL,ALL,0TO99
2270,1053,2010,202.84,ALL,ALL,ALL,0TO99
2270,1054,2010,202.38,ALL,ALL,ALL,0TO99
2270,1055,2010,201.95,ALL,ALL,ALL,0TO99
2270,1056,2010,201.56,ALL,ALL,ALL,0TO99
2270,1057,2010,202.57,ALL,ALL,ALL,0TO99
2270,1058,2010,249.58,ALL,ALL,ALL,0TO99
2271,1042,2010,160.62,ALL,ALL,ALL,0TO99
2271,1043,2010,82.44,ALL,ALL,ALL,0TO99
2271,1044,2010,74.14,ALL,ALL,ALL,0TO99
2271,1045,2010,50.54,ALL,ALL,ALL,0TO99
2271,1046,2010,81.32,ALL,ALL,ALL,0TO99
2271,1047,2010,81.79,ALL,ALL,ALL,0TO99
2271,1048,2010,81.63,ALL,ALL,ALL,0TO99
2271,1049,2010,81.47,ALL,ALL,ALL,0TO99
2271,1050,2010,102.35,ALL,ALL,ALL,0TO99
2271,1051,2010,240.73,ALL,ALL,ALL,0TO99
2271,1052,2010,210.07,ALL,ALL,ALL,0TO99
2271,1053,2010,202.78,ALL,ALL,ALL,0TO99
2271,1054,2010,202.38,ALL,ALL,ALL,0TO99
2271,1055,2010,201.95,ALL,ALL,ALL,0TO99
2271,1056,2010,201.55,ALL,ALL,ALL,0TO99
2271,1057,2010,201.13,ALL,ALL,ALL,0TO99
2271,1058,2010,222.59,ALL,ALL,ALL,0TO99
2272,1039,2010,195.17,ALL,ALL,ALL,0TO99
2272,1040,2010,194.14,ALL,ALL,ALL,0TO99
2272,1041,2010,194.13,ALL,ALL,ALL,0TO99
2272,1042,2010,144.76,ALL,ALL,ALL,0TO99
2272,1043,2010,82.44,ALL,ALL,ALL,0TO99
2272,1044,2010,76.69,ALL,ALL,ALL,0TO99
2272,1045,2010,42.97,ALL,ALL,ALL,0TO99
2272,1046,2010,47.19,ALL,ALL,ALL,0TO99
2272,1047,2010,78.77,ALL,ALL,ALL,0TO99
2272,1048,2010,81.63,ALL,ALL,ALL,0TO99
2272,1049,2010,81.47,ALL,ALL,ALL,0TO99
2272,1050,2010,94.39,ALL,ALL,ALL,0TO99
2272,1051,2010,192.33,ALL,ALL,ALL,0TO99
2272,1052,2010,203.20,ALL,ALL,ALL,0TO99
2272,1053,2010,202.78,ALL,ALL,ALL,0TO99
2272,1054,2010,202.38,ALL,ALL,ALL,0TO99
2272,1055,2010,201.95,ALL,ALL,ALL,0TO99
2272,1056,2010,201.55,ALL,ALL,ALL,0TO99
2272,1057,2010,201.13,ALL,ALL,ALL,0TO99
2272,1058,2010,204.00,ALL,ALL,ALL,0TO99
