Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2154,547,D24HourMean,QuarterlyMean,Mean,9.77
2184,593,D24HourMean,QuarterlyMean,Mean,8.88
2157,587,D24HourMean,QuarterlyMean,Mean,9.62
2144,603,D24HourMean,QuarterlyMean,Mean,10.03
2211,593,D24HourMean,QuarterlyMean,Mean,6.68
2195,534,D24HourMean,QuarterlyMean,Mean,3.22
2200,555,D24HourMean,QuarterlyMean,Mean,8.39
2180,563,D24HourMean,QuarterlyMean,Mean,7.10
2142,565,D24HourMean,QuarterlyMean,Mean,10.42
2158,540,D24HourMean,QuarterlyMean,Mean,7.78
2176,582,D24HourMean,QuarterlyMean,Mean,8.74
2202,547,D24HourMean,QuarterlyMean,Mean,9.00
2169,536,D24HourMean,QuarterlyMean,Mean,6.39
2173,576,D24HourMean,QuarterlyMean,Mean,8.05
2205,567,D24HourMean,QuarterlyMean,Mean,7.50
2196,549,D24HourMean,QuarterlyMean,Mean,9.67
2183,543,D24HourMean,QuarterlyMean,Mean,5.55
2189,519,D24HourMean,QuarterlyMean,Mean,5.01
2191,542,D24HourMean,QuarterlyMean,Mean,6.57
2164,596,D24HourMean,QuarterlyMean,Mean,9.00
2209,589,D24HourMean,QuarterlyMean,Mean,7.34
2189,527,D24HourMean,QuarterlyMean,Mean,6.91
2163,589,D24HourMean,QuarterlyMean,Mean,9.05
2149,603,D24HourMean,QuarterlyMean,Mean,10.18
2191,544,D24HourMean,QuarterlyMean,Mean,7.26
2169,550,D24HourMean,QuarterlyMean,Mean,7.63
2157,596,D24HourMean,QuarterlyMean,Mean,9.53
2176,530,D24HourMean,QuarterlyMean,Mean,6.30
2201,568,D24HourMean,QuarterlyMean,Mean,8.24
2159,540,D24HourMean,QuarterlyMean,Mean,7.83
2178,541,D24HourMean,QuarterlyMean,Mean,5.82
2196,582,D24HourMean,QuarterlyMean,Mean,3.71
2165,602,D24HourMean,QuarterlyMean,Mean,9.17
2154,596,D24HourMean,QuarterlyMean,Mean,9.56
2171,566,D24HourMean,QuarterlyMean,Mean,9.02
2204,550,D24HourMean,QuarterlyMean,Mean,9.24
2189,555,D24HourMean,QuarterlyMean,Mean,7.85
2195,540,D24HourMean,QuarterlyMean,Mean,7.29
2185,565,D24HourMean,QuarterlyMean,Mean,7.68
2185,534,D24HourMean,QuarterlyMean,Mean,5.41
2190,594,D24HourMean,QuarterlyMean,Mean,5.21
2202,568,D24HourMean,QuarterlyMean,Mean,7.08
2169,603,D24HourMean,QuarterlyMean,Mean,8.63
2176,585,D24HourMean,QuarterlyMean,Mean,8.72
2163,593,D24HourMean,QuarterlyMean,Mean,9.55
2184,546,D24HourMean,QuarterlyMean,Mean,5.28
2177,579,D24HourMean,QuarterlyMean,Mean,8.89
2161,538,D24HourMean,QuarterlyMean,Mean,10.74
2205,552,D24HourMean,QuarterlyMean,Mean,8.50
2165,569,D24HourMean,QuarterlyMean,Mean,9.50
2192,555,D24HourMean,QuarterlyMean,Mean,7.66
2200,598,D24HourMean,QuarterlyMean,Mean,5.48
2162,590,D24HourMean,QuarterlyMean,Mean,9.20
2174,569,D24HourMean,QuarterlyMean,Mean,7.58
2171,557,D24HourMean,QuarterlyMean,Mean,8.13
2169,566,D24HourMean,QuarterlyMean,Mean,7.64
2173,548,D24HourMean,QuarterlyMean,Mean,7.72
2172,592,D24HourMean,QuarterlyMean,Mean,10.42
2147,599,D24HourMean,QuarterlyMean,Mean,9.77
2150,553,D24HourMean,QuarterlyMean,Mean,9.82
2205,594,D24HourMean,QuarterlyMean,Mean,5.66
2189,548,D24HourMean,QuarterlyMean,Mean,7.01
2185,549,D24HourMean,QuarterlyMean,Mean,5.16
2151,559,D24HourMean,QuarterlyMean,Mean,10.20
2198,593,D24HourMean,QuarterlyMean,Mean,4.94
2196,569,D24HourMean,QuarterlyMean,Mean,8.93
2204,594,D24HourMean,QuarterlyMean,Mean,5.50
2203,596,D24HourMean,QuarterlyMean,Mean,6.11
2150,564,D24HourMean,QuarterlyMean,Mean,9.67
2151,548,D24HourMean,QuarterlyMean,Mean,9.63
2160,542,D24HourMean,QuarterlyMean,Mean,8.77
2170,575,D24HourMean,QuarterlyMean,Mean,9.22
2146,603,D24HourMean,QuarterlyMean,Mean,10.09
2180,535,D24HourMean,QuarterlyMean,Mean,6.18
2206,537,D24HourMean,QuarterlyMean,Mean,6.64
2166,566,D24HourMean,QuarterlyMean,Mean,7.15
2202,596,D24HourMean,QuarterlyMean,Mean,6.16
2182,566,D24HourMean,QuarterlyMean,Mean,6.91
2151,594,D24HourMean,QuarterlyMean,Mean,9.50
2140,554,D24HourMean,QuarterlyMean,Mean,6.99
2170,539,D24HourMean,QuarterlyMean,Mean,6.37
2174,590,D24HourMean,QuarterlyMean,Mean,9.67
2194,529,D24HourMean,QuarterlyMean,Mean,3.17
2215,598,D24HourMean,QuarterlyMean,Mean,9.24
2187,568,D24HourMean,QuarterlyMean,Mean,7.57
2198,547,D24HourMean,QuarterlyMean,Mean,3.67
2165,590,D24HourMean,QuarterlyMean,Mean,9.62
2153,593,D24HourMean,QuarterlyMean,Mean,9.96
2194,531,D24HourMean,QuarterlyMean,Mean,3.15
2160,580,D24HourMean,QuarterlyMean,Mean,9.87
2193,525,D24HourMean,QuarterlyMean,Mean,5.48
2150,562,D24HourMean,QuarterlyMean,Mean,9.87
2209,566,D24HourMean,QuarterlyMean,Mean,7.20
2213,544,D24HourMean,QuarterlyMean,Mean,6.34
2181,595,D24HourMean,QuarterlyMean,Mean,9.29
2201,587,D24HourMean,QuarterlyMean,Mean,3.99
2151,592,D24HourMean,QuarterlyMean,Mean,9.41
2164,572,D24HourMean,QuarterlyMean,Mean,10.39
2153,568,D24HourMean,QuarterlyMean,Mean,9.81
2162,577,D24HourMean,QuarterlyMean,Mean,10.13
2189,590,D24HourMean,QuarterlyMean,Mean,7.26
2170,562,D24HourMean,QuarterlyMean,Mean,7.66
2178,590,D24HourMean,QuarterlyMean,Mean,8.70
2195,521,D24HourMean,QuarterlyMean,Mean,5.57
2194,577,D24HourMean,QuarterlyMean,Mean,7.99
2162,573,D24HourMean,QuarterlyMean,Mean,10.52
2163,573,D24HourMean,QuarterlyMean,Mean,10.68
2190,579,D24HourMean,QuarterlyMean,Mean,9.00
2205,596,D24HourMean,QuarterlyMean,Mean,5.61
2158,600,D24HourMean,QuarterlyMean,Mean,8.88
2142,561,D24HourMean,QuarterlyMean,Mean,10.06
2157,567,D24HourMean,QuarterlyMean,Mean,8.71
2189,541,D24HourMean,QuarterlyMean,Mean,5.64
2184,552,D24HourMean,QuarterlyMean,Mean,5.43
2175,531,D24HourMean,QuarterlyMean,Mean,7.12
2182,538,D24HourMean,QuarterlyMean,Mean,5.63
2174,592,D24HourMean,QuarterlyMean,Mean,10.03
2195,517,D24HourMean,QuarterlyMean,Mean,6.05
2155,594,D24HourMean,QuarterlyMean,Mean,9.43
2170,566,D24HourMean,QuarterlyMean,Mean,9.03
2186,595,D24HourMean,QuarterlyMean,Mean,7.31
2195,524,D24HourMean,QuarterlyMean,Mean,6.55
2174,546,D24HourMean,QuarterlyMean,Mean,6.77
2188,592,D24HourMean,QuarterlyMean,Mean,7.26
2162,564,D24HourMean,QuarterlyMean,Mean,9.98
2181,557,D24HourMean,QuarterlyMean,Mean,6.59
