Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2154,547,2010,1530.24,ALL,ALL,ALL,0TO99
2184,593,2010,78.89,ALL,ALL,ALL,0TO99
2157,587,2010,793.26,ALL,ALL,ALL,0TO99
2144,603,2010,1977.17,ALL,ALL,ALL,0TO99
2211,593,2010,344.62,ALL,ALL,ALL,0TO99
2195,534,2010,10.46,ALL,ALL,ALL,0TO99
2200,555,2010,187.45,ALL,ALL,ALL,0TO99
2180,563,2010,74336.15,ALL,ALL,ALL,0TO99
2142,565,2010,42043.03,ALL,ALL,ALL,0TO99
2158,540,2010,2903.22,ALL,ALL,ALL,0TO99
2176,582,2010,131.92,ALL,ALL,ALL,0TO99
2202,547,2010,661.60,ALL,ALL,ALL,0TO99
2169,536,2010,1772.90,ALL,ALL,ALL,0TO99
2173,576,2010,572.15,ALL,ALL,ALL,0TO99
2205,567,2010,777.24,ALL,ALL,ALL,0TO99
2196,549,2010,154.96,ALL,ALL,ALL,0TO99
2183,543,2010,3924.99,ALL,ALL,ALL,0TO99
2189,519,2010,1663.35,ALL,ALL,ALL,0TO99
2191,542,2010,375.25,ALL,ALL,ALL,0TO99
2164,596,2010,94.11,ALL,ALL,ALL,0TO99
2209,589,2010,1122.33,ALL,ALL,ALL,0TO99
2189,527,2010,41.42,ALL,ALL,ALL,0TO99
2163,589,2010,362.64,ALL,ALL,ALL,0TO99
2149,603,2010,176.70,ALL,ALL,ALL,0TO99
2191,544,2010,375.20,ALL,ALL,ALL,0TO99
2169,550,2010,72579.06,ALL,ALL,ALL,0TO99
2157,596,2010,587.65,ALL,ALL,ALL,0TO99
2176,530,2010,28182.09,ALL,ALL,ALL,0TO99
2201,568,2010,185.44,ALL,ALL,ALL,0TO99
2159,540,2010,2419.23,ALL,ALL,ALL,0TO99
2178,541,2010,13259.51,ALL,ALL,ALL,0TO99
2196,582,2010,809.55,ALL,ALL,ALL,0TO99
2165,602,2010,166.18,ALL,ALL,ALL,0TO99
2154,596,2010,817.35,ALL,ALL,ALL,0TO99
2171,566,2010,1316.10,ALL,ALL,ALL,0TO99
2204,550,2010,304.62,ALL,ALL,ALL,0TO99
2189,555,2010,154.22,ALL,ALL,ALL,0TO99
2195,540,2010,26.72,ALL,ALL,ALL,0TO99
2185,565,2010,388.01,ALL,ALL,ALL,0TO99
2185,534,2010,0.23,ALL,ALL,ALL,0TO99
2190,594,2010,773.98,ALL,ALL,ALL,0TO99
2202,568,2010,537.08,ALL,ALL,ALL,0TO99
2169,603,2010,156.21,ALL,ALL,ALL,0TO99
2176,585,2010,131.15,ALL,ALL,ALL,0TO99
2163,593,2010,258.06,ALL,ALL,ALL,0TO99
2184,546,2010,2639.48,ALL,ALL,ALL,0TO99
2177,579,2010,769.17,ALL,ALL,ALL,0TO99
2161,538,2010,792.02,ALL,ALL,ALL,0TO99
2205,552,2010,194.16,ALL,ALL,ALL,0TO99
2165,569,2010,1725.53,ALL,ALL,ALL,0TO99
2192,555,2010,154.22,ALL,ALL,ALL,0TO99
2200,598,2010,1543.52,ALL,ALL,ALL,0TO99
2162,590,2010,509.13,ALL,ALL,ALL,0TO99
2174,569,2010,4364.08,ALL,ALL,ALL,0TO99
2171,557,2010,14736.99,ALL,ALL,ALL,0TO99
2169,566,2010,1374.65,ALL,ALL,ALL,0TO99
2173,548,2010,18445.31,ALL,ALL,ALL,0TO99
2172,592,2010,71.85,ALL,ALL,ALL,0TO99
2147,599,2010,190.77,ALL,ALL,ALL,0TO99
2150,553,2010,100735.65,ALL,ALL,ALL,0TO99
2205,594,2010,884.38,ALL,ALL,ALL,0TO99
2189,548,2010,546.65,ALL,ALL,ALL,0TO99
2185,549,2010,1645.80,ALL,ALL,ALL,0TO99
2151,559,2010,27383.36,ALL,ALL,ALL,0TO99
2198,593,2010,1465.84,ALL,ALL,ALL,0TO99
2196,569,2010,5927.82,ALL,ALL,ALL,0TO99
2204,594,2010,652.87,ALL,ALL,ALL,0TO99
2203,596,2010,516.52,ALL,ALL,ALL,0TO99
2150,564,2010,34600.41,ALL,ALL,ALL,0TO99
2151,548,2010,4975.99,ALL,ALL,ALL,0TO99
2160,542,2010,1251.83,ALL,ALL,ALL,0TO99
2170,575,2010,430.00,ALL,ALL,ALL,0TO99
2146,603,2010,255.99,ALL,ALL,ALL,0TO99
2180,535,2010,12335.46,ALL,ALL,ALL,0TO99
2206,537,2010,233.63,ALL,ALL,ALL,0TO99
2166,566,2010,2588.46,ALL,ALL,ALL,0TO99
2202,596,2010,484.92,ALL,ALL,ALL,0TO99
2182,566,2010,269.40,ALL,ALL,ALL,0TO99
2151,594,2010,513.36,ALL,ALL,ALL,0TO99
2140,554,2010,0.00,ALL,ALL,ALL,0TO99
2170,539,2010,2621.38,ALL,ALL,ALL,0TO99
2174,590,2010,138.32,ALL,ALL,ALL,0TO99
2194,529,2010,236.36,ALL,ALL,ALL,0TO99
2215,598,2010,1155.44,ALL,ALL,ALL,0TO99
2187,568,2010,612.35,ALL,ALL,ALL,0TO99
2198,547,2010,455.44,ALL,ALL,ALL,0TO99
2165,590,2010,423.60,ALL,ALL,ALL,0TO99
2153,593,2010,1601.23,ALL,ALL,ALL,0TO99
2194,531,2010,25.92,ALL,ALL,ALL,0TO99
2160,580,2010,729.02,ALL,ALL,ALL,0TO99
2193,525,2010,197.31,ALL,ALL,ALL,0TO99
2150,562,2010,30161.32,ALL,ALL,ALL,0TO99
2209,566,2010,833.34,ALL,ALL,ALL,0TO99
2213,544,2010,280.93,ALL,ALL,ALL,0TO99
2181,595,2010,149.66,ALL,ALL,ALL,0TO99
2201,587,2010,806.45,ALL,ALL,ALL,0TO99
2151,592,2010,867.29,ALL,ALL,ALL,0TO99
2164,572,2010,233.22,ALL,ALL,ALL,0TO99
2153,568,2010,31854.57,ALL,ALL,ALL,0TO99
2162,577,2010,266.70,ALL,ALL,ALL,0TO99
2189,590,2010,54.83,ALL,ALL,ALL,0TO99
2170,562,2010,1461.46,ALL,ALL,ALL,0TO99
2178,590,2010,169.08,ALL,ALL,ALL,0TO99
2195,521,2010,27886.21,ALL,ALL,ALL,0TO99
2194,577,2010,206.45,ALL,ALL,ALL,0TO99
2162,573,2010,93.58,ALL,ALL,ALL,0TO99
2163,573,2010,177.74,ALL,ALL,ALL,0TO99
2190,579,2010,0.00,ALL,ALL,ALL,0TO99
2205,596,2010,662.78,ALL,ALL,ALL,0TO99
2158,600,2010,2610.58,ALL,ALL,ALL,0TO99
2142,561,2010,42043.45,ALL,ALL,ALL,0TO99
2157,567,2010,5433.25,ALL,ALL,ALL,0TO99
2189,541,2010,185.92,ALL,ALL,ALL,0TO99
2184,552,2010,3589.67,ALL,ALL,ALL,0TO99
2175,531,2010,11449.63,ALL,ALL,ALL,0TO99
2182,538,2010,3967.79,ALL,ALL,ALL,0TO99
2174,592,2010,256.52,ALL,ALL,ALL,0TO99
2195,517,2010,8234.10,ALL,ALL,ALL,0TO99
2155,594,2010,1336.29,ALL,ALL,ALL,0TO99
2170,566,2010,2338.77,ALL,ALL,ALL,0TO99
2186,595,2010,1370.07,ALL,ALL,ALL,0TO99
2195,524,2010,3648.02,ALL,ALL,ALL,0TO99
2174,546,2010,71077.43,ALL,ALL,ALL,0TO99
2188,592,2010,140.76,ALL,ALL,ALL,0TO99
2162,564,2010,3515.71,ALL,ALL,ALL,0TO99
2181,557,2010,4721.55,ALL,ALL,ALL,0TO99
2198,523,2010,21470.95,ALL,ALL,ALL,0TO99
2194,587,2010,558.58,ALL,ALL,ALL,0TO99
2166,554,2010,23560.63,ALL,ALL,ALL,0TO99
2190,561,2010,1574.10,ALL,ALL,ALL,0TO99
2160,548,2010,6974.72,ALL,ALL,ALL,0TO99
2194,550,2010,227.58,ALL,ALL,ALL,0TO99
2189,567,2010,15.05,ALL,ALL,ALL,0TO99
2174,583,2010,131.18,ALL,ALL,ALL,0TO99
2180,562,2010,119964.80,ALL,ALL,ALL,0TO99
2150,545,2010,2423.49,ALL,ALL,ALL,0TO99
2175,598,2010,207.64,ALL,ALL,ALL,0TO99
2187,593,2010,195.89,ALL,ALL,ALL,0TO99
2182,525,2010,527.38,ALL,ALL,ALL,0TO99
2195,529,2010,226.00,ALL,ALL,ALL,0TO99
2179,543,2010,7919.70,ALL,ALL,ALL,0TO99
2165,595,2010,76.90,ALL,ALL,ALL,0TO99
2172,574,2010,236.29,ALL,ALL,ALL,0TO99
2202,563,2010,1076.21,ALL,ALL,ALL,0TO99
2184,534,2010,2444.07,ALL,ALL,ALL,0TO99
2159,571,2010,2032.70,ALL,ALL,ALL,0TO99
2194,560,2010,1278.96,ALL,ALL,ALL,0TO99
2171,546,2010,5369.22,ALL,ALL,ALL,0TO99
2207,585,2010,769.99,ALL,ALL,ALL,0TO99
2168,548,2010,125755.14,ALL,ALL,ALL,0TO99
2177,596,2010,298.66,ALL,ALL,ALL,0TO99
2141,550,2010,4522.00,ALL,ALL,ALL,0TO99
2200,571,2010,804.29,ALL,ALL,ALL,0TO99
2207,571,2010,349.42,ALL,ALL,ALL,0TO99
2208,580,2010,741.28,ALL,ALL,ALL,0TO99
2193,560,2010,1128.29,ALL,ALL,ALL,0TO99
2205,599,2010,2759.10,ALL,ALL,ALL,0TO99
2195,560,2010,877.43,ALL,ALL,ALL,0TO99
2197,537,2010,34.42,ALL,ALL,ALL,0TO99
2157,585,2010,918.75,ALL,ALL,ALL,0TO99
2198,531,2010,252.13,ALL,ALL,ALL,0TO99
2164,561,2010,15372.51,ALL,ALL,ALL,0TO99
2140,553,2010,0.00,ALL,ALL,ALL,0TO99
2172,585,2010,143.09,ALL,ALL,ALL,0TO99
2150,594,2010,1202.59,ALL,ALL,ALL,0TO99
2182,561,2010,66.50,ALL,ALL,ALL,0TO99
2185,556,2010,801.20,ALL,ALL,ALL,0TO99
2204,570,2010,304.88,ALL,ALL,ALL,0TO99
2172,556,2010,19007.87,ALL,ALL,ALL,0TO99
2187,528,2010,41.42,ALL,ALL,ALL,0TO99
2190,554,2010,154.21,ALL,ALL,ALL,0TO99
2187,548,2010,592.38,ALL,ALL,ALL,0TO99
2188,526,2010,41.41,ALL,ALL,ALL,0TO99
2198,520,2010,98768.79,ALL,ALL,ALL,0TO99
2151,544,2010,1285.36,ALL,ALL,ALL,0TO99
2159,542,2010,1246.19,ALL,ALL,ALL,0TO99
2166,591,2010,182.42,ALL,ALL,ALL,0TO99
2199,559,2010,247.84,ALL,ALL,ALL,0TO99
2168,600,2010,156.29,ALL,ALL,ALL,0TO99
2172,600,2010,178.15,ALL,ALL,ALL,0TO99
2205,553,2010,154.44,ALL,ALL,ALL,0TO99
2146,559,2010,58884.53,ALL,ALL,ALL,0TO99
2165,592,2010,219.12,ALL,ALL,ALL,0TO99
2187,564,2010,1580.74,ALL,ALL,ALL,0TO99
2198,555,2010,6302.40,ALL,ALL,ALL,0TO99
2197,528,2010,587.27,ALL,ALL,ALL,0TO99
2180,567,2010,186.20,ALL,ALL,ALL,0TO99
2192,569,2010,351.58,ALL,ALL,ALL,0TO99
2207,599,2010,1051.92,ALL,ALL,ALL,0TO99
2152,582,2010,1195.59,ALL,ALL,ALL,0TO99
2147,559,2010,66438.52,ALL,ALL,ALL,0TO99
2180,528,2010,41.42,ALL,ALL,ALL,0TO99
2188,537,2010,0.23,ALL,ALL,ALL,0TO99
2146,594,2010,1202.14,ALL,ALL,ALL,0TO99
2173,570,2010,1567.89,ALL,ALL,ALL,0TO99
2157,547,2010,1386.21,ALL,ALL,ALL,0TO99
2158,555,2010,10789.47,ALL,ALL,ALL,0TO99
2161,584,2010,463.49,ALL,ALL,ALL,0TO99
2210,567,2010,636.66,ALL,ALL,ALL,0TO99
2190,581,2010,355.75,ALL,ALL,ALL,0TO99
2205,582,2010,1305.55,ALL,ALL,ALL,0TO99
2181,548,2010,20511.32,ALL,ALL,ALL,0TO99
2188,551,2010,563.12,ALL,ALL,ALL,0TO99
2208,550,2010,934.16,ALL,ALL,ALL,0TO99
2201,583,2010,1193.20,ALL,ALL,ALL,0TO99
2182,542,2010,7151.88,ALL,ALL,ALL,0TO99
2192,544,2010,295.56,ALL,ALL,ALL,0TO99
2205,593,2010,676.81,ALL,ALL,ALL,0TO99
2163,590,2010,0.00,ALL,ALL,ALL,0TO99
2174,578,2010,542.05,ALL,ALL,ALL,0TO99
2174,540,2010,21533.69,ALL,ALL,ALL,0TO99
2183,575,2010,212.70,ALL,ALL,ALL,0TO99
2188,560,2010,1503.98,ALL,ALL,ALL,0TO99
2176,564,2010,3239.66,ALL,ALL,ALL,0TO99
2198,554,2010,1730.31,ALL,ALL,ALL,0TO99
2163,542,2010,604.72,ALL,ALL,ALL,0TO99
2159,547,2010,1555.64,ALL,ALL,ALL,0TO99
2171,578,2010,838.74,ALL,ALL,ALL,0TO99
2162,556,2010,40234.89,ALL,ALL,ALL,0TO99
2175,562,2010,2836.34,ALL,ALL,ALL,0TO99
2177,555,2010,47337.11,ALL,ALL,ALL,0TO99
2203,588,2010,301.92,ALL,ALL,ALL,0TO99
2178,578,2010,323.31,ALL,ALL,ALL,0TO99
2204,552,2010,334.13,ALL,ALL,ALL,0TO99
2175,587,2010,85.00,ALL,ALL,ALL,0TO99
2184,521,2010,51.98,ALL,ALL,ALL,0TO99
2206,572,2010,349.51,ALL,ALL,ALL,0TO99
2160,603,2010,323.27,ALL,ALL,ALL,0TO99
2171,592,2010,176.02,ALL,ALL,ALL,0TO99
2208,569,2010,625.46,ALL,ALL,ALL,0TO99
2156,586,2010,794.63,ALL,ALL,ALL,0TO99
2188,547,2010,345.36,ALL,ALL,ALL,0TO99
2189,568,2010,33.11,ALL,ALL,ALL,0TO99
2171,580,2010,529.43,ALL,ALL,ALL,0TO99
2175,576,2010,480.77,ALL,ALL,ALL,0TO99
2188,546,2010,162.41,ALL,ALL,ALL,0TO99
2189,594,2010,198.69,ALL,ALL,ALL,0TO99
2156,596,2010,301.06,ALL,ALL,ALL,0TO99
2192,514,2010,13926.13,ALL,ALL,ALL,0TO99
2195,539,2010,28.68,ALL,ALL,ALL,0TO99
2189,523,2010,194.76,ALL,ALL,ALL,0TO99
2149,551,2010,103673.68,ALL,ALL,ALL,0TO99
2151,551,2010,38222.56,ALL,ALL,ALL,0TO99
2192,582,2010,654.13,ALL,ALL,ALL,0TO99
2156,595,2010,310.70,ALL,ALL,ALL,0TO99
2158,580,2010,198.50,ALL,ALL,ALL,0TO99
2201,591,2010,483.57,ALL,ALL,ALL,0TO99
2196,573,2010,990.30,ALL,ALL,ALL,0TO99
2212,543,2010,299.78,ALL,ALL,ALL,0TO99
2153,592,2010,1822.51,ALL,ALL,ALL,0TO99
2180,559,2010,18826.91,ALL,ALL,ALL,0TO99
2183,554,2010,5697.33,ALL,ALL,ALL,0TO99
2157,541,2010,1659.76,ALL,ALL,ALL,0TO99
2203,541,2010,2202.25,ALL,ALL,ALL,0TO99
2166,556,2010,19910.67,ALL,ALL,ALL,0TO99
2172,565,2010,1236.27,ALL,ALL,ALL,0TO99
2188,548,2010,476.87,ALL,ALL,ALL,0TO99
2210,560,2010,934.74,ALL,ALL,ALL,0TO99
2191,541,2010,375.22,ALL,ALL,ALL,0TO99
2179,541,2010,10001.32,ALL,ALL,ALL,0TO99
2155,564,2010,17348.70,ALL,ALL,ALL,0TO99
2146,550,2010,44162.80,ALL,ALL,ALL,0TO99
2185,584,2010,99.69,ALL,ALL,ALL,0TO99
2172,594,2010,254.11,ALL,ALL,ALL,0TO99
2175,569,2010,851.13,ALL,ALL,ALL,0TO99
2172,560,2010,19112.49,ALL,ALL,ALL,0TO99
2152,589,2010,788.82,ALL,ALL,ALL,0TO99
2205,573,2010,358.10,ALL,ALL,ALL,0TO99
2180,557,2010,7609.33,ALL,ALL,ALL,0TO99
2190,576,2010,0.00,ALL,ALL,ALL,0TO99
2149,605,2010,167.53,ALL,ALL,ALL,0TO99
2187,531,2010,0.23,ALL,ALL,ALL,0TO99
2207,548,2010,872.83,ALL,ALL,ALL,0TO99
2210,569,2010,1229.99,ALL,ALL,ALL,0TO99
2205,545,2010,699.25,ALL,ALL,ALL,0TO99
2186,527,2010,707.30,ALL,ALL,ALL,0TO99
2158,586,2010,869.00,ALL,ALL,ALL,0TO99
2173,580,2010,273.93,ALL,ALL,ALL,0TO99
2164,544,2010,757.70,ALL,ALL,ALL,0TO99
2173,571,2010,608.12,ALL,ALL,ALL,0TO99
2186,543,2010,211.08,ALL,ALL,ALL,0TO99
2145,593,2010,878.53,ALL,ALL,ALL,0TO99
2177,544,2010,15914.06,ALL,ALL,ALL,0TO99
2164,540,2010,2632.22,ALL,ALL,ALL,0TO99
2173,562,2010,3753.31,ALL,ALL,ALL,0TO99
2206,582,2010,2094.84,ALL,ALL,ALL,0TO99
2188,550,2010,439.72,ALL,ALL,ALL,0TO99
2208,585,2010,725.98,ALL,ALL,ALL,0TO99
2167,549,2010,59204.86,ALL,ALL,ALL,0TO99
2180,525,2010,41.41,ALL,ALL,ALL,0TO99
2171,570,2010,1149.52,ALL,ALL,ALL,0TO99
2146,595,2010,710.19,ALL,ALL,ALL,0TO99
2184,553,2010,3223.40,ALL,ALL,ALL,0TO99
2178,587,2010,168.04,ALL,ALL,ALL,0TO99
2211,597,2010,1669.95,ALL,ALL,ALL,0TO99
2184,520,2010,41.39,ALL,ALL,ALL,0TO99
2184,537,2010,28.74,ALL,ALL,ALL,0TO99
2158,541,2010,1942.99,ALL,ALL,ALL,0TO99
2203,560,2010,39193.73,ALL,ALL,ALL,0TO99
2145,597,2010,636.41,ALL,ALL,ALL,0TO99
2193,544,2010,265.37,ALL,ALL,ALL,0TO99
2208,547,2010,1203.71,ALL,ALL,ALL,0TO99
2190,564,2010,1908.38,ALL,ALL,ALL,0TO99
2182,543,2010,10777.39,ALL,ALL,ALL,0TO99
2179,588,2010,167.90,ALL,ALL,ALL,0TO99
2182,581,2010,594.99,ALL,ALL,ALL,0TO99
2162,545,2010,1314.50,ALL,ALL,ALL,0TO99
2169,585,2010,415.58,ALL,ALL,ALL,0TO99
2208,596,2010,596.03,ALL,ALL,ALL,0TO99
2176,540,2010,22118.61,ALL,ALL,ALL,0TO99
2192,534,2010,9.45,ALL,ALL,ALL,0TO99
2209,562,2010,1444.49,ALL,ALL,ALL,0TO99
2153,590,2010,585.66,ALL,ALL,ALL,0TO99
2170,561,2010,1305.80,ALL,ALL,ALL,0TO99
2151,556,2010,38973.90,ALL,ALL,ALL,0TO99
2158,604,2010,1039.33,ALL,ALL,ALL,0TO99
2160,549,2010,6756.94,ALL,ALL,ALL,0TO99
2196,517,2010,54765.68,ALL,ALL,ALL,0TO99
2179,584,2010,1271.96,ALL,ALL,ALL,0TO99
2209,595,2010,1586.08,ALL,ALL,ALL,0TO99
2161,571,2010,1984.33,ALL,ALL,ALL,0TO99
2165,562,2010,10900.00,ALL,ALL,ALL,0TO99
2199,551,2010,1424.75,ALL,ALL,ALL,0TO99
2175,591,2010,1023.02,ALL,ALL,ALL,0TO99
2172,546,2010,3622.86,ALL,ALL,ALL,0TO99
2184,586,2010,94.21,ALL,ALL,ALL,0TO99
2178,538,2010,6502.26,ALL,ALL,ALL,0TO99
2169,583,2010,209.34,ALL,ALL,ALL,0TO99
2195,538,2010,34.42,ALL,ALL,ALL,0TO99
2168,569,2010,3919.30,ALL,ALL,ALL,0TO99
2192,570,2010,709.72,ALL,ALL,ALL,0TO99
2186,566,2010,228.23,ALL,ALL,ALL,0TO99
2175,589,2010,138.37,ALL,ALL,ALL,0TO99
2190,518,2010,2715.76,ALL,ALL,ALL,0TO99
2166,595,2010,69.88,ALL,ALL,ALL,0TO99
2191,573,2010,166.47,ALL,ALL,ALL,0TO99
2167,597,2010,69.86,ALL,ALL,ALL,0TO99
2168,567,2010,1109.22,ALL,ALL,ALL,0TO99
2175,535,2010,1385.10,ALL,ALL,ALL,0TO99
2197,526,2010,4823.35,ALL,ALL,ALL,0TO99
2188,533,2010,0.19,ALL,ALL,ALL,0TO99
2143,564,2010,47878.32,ALL,ALL,ALL,0TO99
2150,568,2010,41836.07,ALL,ALL,ALL,0TO99
2155,560,2010,15520.22,ALL,ALL,ALL,0TO99
2148,568,2010,57628.59,ALL,ALL,ALL,0TO99
2157,544,2010,2294.94,ALL,ALL,ALL,0TO99
2196,518,2010,32617.24,ALL,ALL,ALL,0TO99
2190,533,2010,0.00,ALL,ALL,ALL,0TO99
2184,576,2010,144.96,ALL,ALL,ALL,0TO99
2156,566,2010,19985.76,ALL,ALL,ALL,0TO99
2181,551,2010,9573.04,ALL,ALL,ALL,0TO99
2160,605,2010,443.03,ALL,ALL,ALL,0TO99
2192,568,2010,329.02,ALL,ALL,ALL,0TO99
2167,580,2010,724.15,ALL,ALL,ALL,0TO99
2182,551,2010,7838.90,ALL,ALL,ALL,0TO99
2198,579,2010,2778.88,ALL,ALL,ALL,0TO99
2200,529,2010,6884.69,ALL,ALL,ALL,0TO99
2160,577,2010,136.46,ALL,ALL,ALL,0TO99
2179,552,2010,4883.08,ALL,ALL,ALL,0TO99
2170,599,2010,156.29,ALL,ALL,ALL,0TO99
2156,580,2010,837.85,ALL,ALL,ALL,0TO99
2175,555,2010,81521.03,ALL,ALL,ALL,0TO99
2196,525,2010,8527.52,ALL,ALL,ALL,0TO99
2209,599,2010,1426.13,ALL,ALL,ALL,0TO99
2145,604,2010,392.52,ALL,ALL,ALL,0TO99
2207,549,2010,482.52,ALL,ALL,ALL,0TO99
2178,567,2010,160.97,ALL,ALL,ALL,0TO99
2175,585,2010,131.15,ALL,ALL,ALL,0TO99
2179,530,2010,2097.66,ALL,ALL,ALL,0TO99
2191,530,2010,0.03,ALL,ALL,ALL,0TO99
2208,559,2010,682.81,ALL,ALL,ALL,0TO99
2144,560,2010,59407.39,ALL,ALL,ALL,0TO99
2156,583,2010,2761.40,ALL,ALL,ALL,0TO99
2187,557,2010,161.81,ALL,ALL,ALL,0TO99
2180,555,2010,4882.33,ALL,ALL,ALL,0TO99
2184,544,2010,5274.12,ALL,ALL,ALL,0TO99
2199,568,2010,417.53,ALL,ALL,ALL,0TO99
2157,583,2010,3014.81,ALL,ALL,ALL,0TO99
2178,574,2010,1507.64,ALL,ALL,ALL,0TO99
2201,537,2010,5641.18,ALL,ALL,ALL,0TO99
2154,600,2010,247.98,ALL,ALL,ALL,0TO99
2197,547,2010,92.34,ALL,ALL,ALL,0TO99
