Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2539,963,D24HourMean,QuarterlyMean,Mean,13.37
2498,960,D24HourMean,QuarterlyMean,Mean,15.45
2542,968,D24HourMean,QuarterlyMean,Mean,14.26
2539,965,D24HourMean,QuarterlyMean,Mean,11.44
2521,960,D24HourMean,QuarterlyMean,Mean,10.89
2513,982,D24HourMean,QuarterlyMean,Mean,6.71
2523,952,D24HourMean,QuarterlyMean,Mean,3.76
2533,958,D24HourMean,QuarterlyMean,Mean,13.40
2535,981,D24HourMean,QuarterlyMean,Mean,14.73
2577,977,D24HourMean,QuarterlyMean,Mean,20.77
2576,970,D24HourMean,QuarterlyMean,Mean,25.55
2524,953,D24HourMean,QuarterlyMean,Mean,3.70
2573,981,D24HourMean,QuarterlyMean,Mean,17.54
2511,979,D24HourMean,QuarterlyMean,Mean,6.39
2575,971,D24HourMean,QuarterlyMean,Mean,22.13
2531,956,D24HourMean,QuarterlyMean,Mean,16.00
2534,982,D24HourMean,QuarterlyMean,Mean,13.58
2543,971,D24HourMean,QuarterlyMean,Mean,15.04
2502,959,D24HourMean,QuarterlyMean,Mean,13.97
2511,984,D24HourMean,QuarterlyMean,Mean,13.07
2546,968,D24HourMean,QuarterlyMean,Mean,6.57
2572,975,D24HourMean,QuarterlyMean,Mean,15.88
2532,963,D24HourMean,QuarterlyMean,Mean,9.76
2569,975,D24HourMean,QuarterlyMean,Mean,28.71
2546,963,D24HourMean,QuarterlyMean,Mean,6.49
2541,963,D24HourMean,QuarterlyMean,Mean,3.56
2545,974,D24HourMean,QuarterlyMean,Mean,6.16
2578,984,D24HourMean,QuarterlyMean,Mean,12.23
2547,981,D24HourMean,QuarterlyMean,Mean,16.33
2577,978,D24HourMean,QuarterlyMean,Mean,19.06
2526,974,D24HourMean,QuarterlyMean,Mean,11.54
2531,972,D24HourMean,QuarterlyMean,Mean,11.40
2524,976,D24HourMean,QuarterlyMean,Mean,11.41
2559,976,D24HourMean,QuarterlyMean,Mean,20.23
2592,984,D24HourMean,QuarterlyMean,Mean,36.06
2562,967,D24HourMean,QuarterlyMean,Mean,35.06
2526,977,D24HourMean,QuarterlyMean,Mean,11.61
2581,980,D24HourMean,QuarterlyMean,Mean,21.52
2500,961,D24HourMean,QuarterlyMean,Mean,16.29
2537,955,D24HourMean,QuarterlyMean,Mean,13.20
2531,967,D24HourMean,QuarterlyMean,Mean,16.41
2564,967,D24HourMean,QuarterlyMean,Mean,18.62
2540,981,D24HourMean,QuarterlyMean,Mean,13.24
2530,960,D24HourMean,QuarterlyMean,Mean,12.74
2507,957,D24HourMean,QuarterlyMean,Mean,4.14
2572,980,D24HourMean,QuarterlyMean,Mean,19.95
2533,973,D24HourMean,QuarterlyMean,Mean,10.91
2553,978,D24HourMean,QuarterlyMean,Mean,21.63
2545,980,D24HourMean,QuarterlyMean,Mean,6.60
2537,985,D24HourMean,QuarterlyMean,Mean,12.24
2497,959,D24HourMean,QuarterlyMean,Mean,13.56
2517,960,D24HourMean,QuarterlyMean,Mean,12.23
2524,978,D24HourMean,QuarterlyMean,Mean,13.04
2538,975,D24HourMean,QuarterlyMean,Mean,12.82
2544,971,D24HourMean,QuarterlyMean,Mean,14.55
2530,981,D24HourMean,QuarterlyMean,Mean,14.45
2505,974,D24HourMean,QuarterlyMean,Mean,11.96
2518,978,D24HourMean,QuarterlyMean,Mean,12.22
2563,982,D24HourMean,QuarterlyMean,Mean,16.68
2561,972,D24HourMean,QuarterlyMean,Mean,24.53
2522,972,D24HourMean,QuarterlyMean,Mean,13.78
2551,977,D24HourMean,QuarterlyMean,Mean,8.89
2581,970,D24HourMean,QuarterlyMean,Mean,39.42
2597,983,D24HourMean,QuarterlyMean,Mean,33.18
2537,988,D24HourMean,QuarterlyMean,Mean,15.52
2561,964,D24HourMean,QuarterlyMean,Mean,20.50
2576,975,D24HourMean,QuarterlyMean,Mean,34.28
2530,958,D24HourMean,QuarterlyMean,Mean,4.14
2517,958,D24HourMean,QuarterlyMean,Mean,12.11
2569,981,D24HourMean,QuarterlyMean,Mean,17.95
2590,979,D24HourMean,QuarterlyMean,Mean,33.38
2572,984,D24HourMean,QuarterlyMean,Mean,-4.90
2528,965,D24HourMean,QuarterlyMean,Mean,14.95
2576,974,D24HourMean,QuarterlyMean,Mean,22.98
2535,964,D24HourMean,QuarterlyMean,Mean,8.97
2539,981,D24HourMean,QuarterlyMean,Mean,13.35
2551,976,D24HourMean,QuarterlyMean,Mean,22.43
2554,979,D24HourMean,QuarterlyMean,Mean,8.99
2518,986,D24HourMean,QuarterlyMean,Mean,12.14
2577,976,D24HourMean,QuarterlyMean,Mean,33.63
2531,957,D24HourMean,QuarterlyMean,Mean,15.91
2540,971,D24HourMean,QuarterlyMean,Mean,4.92
2558,963,D24HourMean,QuarterlyMean,Mean,18.19
2533,969,D24HourMean,QuarterlyMean,Mean,14.83
2562,976,D24HourMean,QuarterlyMean,Mean,20.90
2540,973,D24HourMean,QuarterlyMean,Mean,11.88
2577,979,D24HourMean,QuarterlyMean,Mean,17.65
2589,983,D24HourMean,QuarterlyMean,Mean,34.49
2588,984,D24HourMean,QuarterlyMean,Mean,30.37
2530,970,D24HourMean,QuarterlyMean,Mean,14.72
2583,984,D24HourMean,QuarterlyMean,Mean,25.30
2588,976,D24HourMean,QuarterlyMean,Mean,40.94
2541,973,D24HourMean,QuarterlyMean,Mean,11.95
2531,958,D24HourMean,QuarterlyMean,Mean,4.18
2521,972,D24HourMean,QuarterlyMean,Mean,13.93
2550,977,D24HourMean,QuarterlyMean,Mean,8.58
2566,975,D24HourMean,QuarterlyMean,Mean,21.24
2596,979,D24HourMean,QuarterlyMean,Mean,38.44
2551,985,D24HourMean,QuarterlyMean,Mean,13.59
2585,979,D24HourMean,QuarterlyMean,Mean,26.02
2523,953,D24HourMean,QuarterlyMean,Mean,3.68
2543,991,D24HourMean,QuarterlyMean,Mean,14.02
2575,979,D24HourMean,QuarterlyMean,Mean,22.37
2523,970,D24HourMean,QuarterlyMean,Mean,14.74
2495,957,D24HourMean,QuarterlyMean,Mean,13.20
2583,974,D24HourMean,QuarterlyMean,Mean,36.25
2554,986,D24HourMean,QuarterlyMean,Mean,13.87
2544,963,D24HourMean,QuarterlyMean,Mean,4.46
2517,961,D24HourMean,QuarterlyMean,Mean,14.56
2554,982,D24HourMean,QuarterlyMean,Mean,17.20
2503,960,D24HourMean,QuarterlyMean,Mean,15.30
2533,955,D24HourMean,QuarterlyMean,Mean,15.11
2566,987,D24HourMean,QuarterlyMean,Mean,17.04
2501,959,D24HourMean,QuarterlyMean,Mean,12.57
2530,972,D24HourMean,QuarterlyMean,Mean,11.40
2552,985,D24HourMean,QuarterlyMean,Mean,13.91
2531,963,D24HourMean,QuarterlyMean,Mean,10.82
2597,979,D24HourMean,QuarterlyMean,Mean,39.91
2560,978,D24HourMean,QuarterlyMean,Mean,11.23
2501,957,D24HourMean,QuarterlyMean,Mean,12.92
2521,975,D24HourMean,QuarterlyMean,Mean,12.06
2554,969,D24HourMean,QuarterlyMean,Mean,21.23
2555,978,D24HourMean,QuarterlyMean,Mean,18.16
2525,959,D24HourMean,QuarterlyMean,Mean,3.95
2560,966,D24HourMean,QuarterlyMean,Mean,29.83
2521,973,D24HourMean,QuarterlyMean,Mean,14.00
2558,971,D24HourMean,QuarterlyMean,Mean,23.44
2582,971,D24HourMean,QuarterlyMean,Mean,39.05
2532,966,D24HourMean,QuarterlyMean,Mean,15.84
2581,986,D24HourMean,QuarterlyMean,Mean,11.42
2553,976,D24HourMean,QuarterlyMean,Mean,9.47
2562,965,D24HourMean,QuarterlyMean,Mean,20.05
2521,984,D24HourMean,QuarterlyMean,Mean,13.72
2550,967,D24HourMean,QuarterlyMean,Mean,10.19
2526,984,D24HourMean,QuarterlyMean,Mean,12.09
2540,968,D24HourMean,QuarterlyMean,Mean,12.24
2549,982,D24HourMean,QuarterlyMean,Mean,15.37
2515,956,D24HourMean,QuarterlyMean,Mean,3.58
2545,987,D24HourMean,QuarterlyMean,Mean,14.96
2548,986,D24HourMean,QuarterlyMean,Mean,12.54
2499,955,D24HourMean,QuarterlyMean,Mean,4.60
2534,960,D24HourMean,QuarterlyMean,Mean,11.98
2525,978,D24HourMean,QuarterlyMean,Mean,13.47
2555,974,D24HourMean,QuarterlyMean,Mean,23.00
2530,964,D24HourMean,QuarterlyMean,Mean,15.12
2568,969,D24HourMean,QuarterlyMean,Mean,18.45
2517,987,D24HourMean,QuarterlyMean,Mean,11.52
2509,977,D24HourMean,QuarterlyMean,Mean,12.87
2570,986,D24HourMean,QuarterlyMean,Mean,17.35
2508,975,D24HourMean,QuarterlyMean,Mean,12.03
2558,977,D24HourMean,QuarterlyMean,Mean,11.05
2541,987,D24HourMean,QuarterlyMean,Mean,12.42
2537,970,D24HourMean,QuarterlyMean,Mean,9.94
2536,956,D24HourMean,QuarterlyMean,Mean,14.05
2543,967,D24HourMean,QuarterlyMean,Mean,14.45
2592,985,D24HourMean,QuarterlyMean,Mean,32.65
2536,982,D24HourMean,QuarterlyMean,Mean,13.73
2542,964,D24HourMean,QuarterlyMean,Mean,3.67
2526,963,D24HourMean,QuarterlyMean,Mean,14.09
2549,983,D24HourMean,QuarterlyMean,Mean,7.80
2526,962,D24HourMean,QuarterlyMean,Mean,14.22
2587,976,D24HourMean,QuarterlyMean,Mean,38.64
2497,960,D24HourMean,QuarterlyMean,Mean,15.56
2587,975,D24HourMean,QuarterlyMean,Mean,42.00
2557,976,D24HourMean,QuarterlyMean,Mean,19.15
2515,987,D24HourMean,QuarterlyMean,Mean,13.58
2580,987,D24HourMean,QuarterlyMean,Mean,22.57
2515,962,D24HourMean,QuarterlyMean,Mean,14.59
2526,976,D24HourMean,QuarterlyMean,Mean,12.13
2560,981,D24HourMean,QuarterlyMean,Mean,17.78
2515,985,D24HourMean,QuarterlyMean,Mean,10.90
2529,960,D24HourMean,QuarterlyMean,Mean,14.82
2566,966,D24HourMean,QuarterlyMean,Mean,21.17
2551,973,D24HourMean,QuarterlyMean,Mean,21.55
2525,977,D24HourMean,QuarterlyMean,Mean,11.93
2532,957,D24HourMean,QuarterlyMean,Mean,17.31
2511,980,D24HourMean,QuarterlyMean,Mean,6.56
2572,970,D24HourMean,QuarterlyMean,Mean,18.16
2581,976,D24HourMean,QuarterlyMean,Mean,30.02
2592,978,D24HourMean,QuarterlyMean,Mean,38.22
2599,983,D24HourMean,QuarterlyMean,Mean,35.40
2526,969,D24HourMean,QuarterlyMean,Mean,15.59
2529,964,D24HourMean,QuarterlyMean,Mean,14.95
2564,983,D24HourMean,QuarterlyMean,Mean,18.01
2591,987,D24HourMean,QuarterlyMean,Mean,27.42
2553,973,D24HourMean,QuarterlyMean,Mean,22.97
2583,987,D24HourMean,QuarterlyMean,Mean,23.78
2514,986,D24HourMean,QuarterlyMean,Mean,12.41
2597,980,D24HourMean,QuarterlyMean,Mean,36.82
2536,968,D24HourMean,QuarterlyMean,Mean,11.28
2543,963,D24HourMean,QuarterlyMean,Mean,3.82
2552,971,D24HourMean,QuarterlyMean,Mean,19.73
2552,986,D24HourMean,QuarterlyMean,Mean,14.41
2586,975,D24HourMean,QuarterlyMean,Mean,39.55
2545,965,D24HourMean,QuarterlyMean,Mean,5.53
2545,979,D24HourMean,QuarterlyMean,Mean,16.81
2541,966,D24HourMean,QuarterlyMean,Mean,14.68
2562,983,D24HourMean,QuarterlyMean,Mean,17.79
2527,972,D24HourMean,QuarterlyMean,Mean,11.61
2535,965,D24HourMean,QuarterlyMean,Mean,9.95
2566,986,D24HourMean,QuarterlyMean,Mean,17.27
2524,961,D24HourMean,QuarterlyMean,Mean,10.42
2532,981,D24HourMean,QuarterlyMean,Mean,13.66
2532,983,D24HourMean,QuarterlyMean,Mean,12.37
2571,976,D24HourMean,QuarterlyMean,Mean,27.97
2523,987,D24HourMean,QuarterlyMean,Mean,11.89
2541,962,D24HourMean,QuarterlyMean,Mean,3.47
2557,965,D24HourMean,QuarterlyMean,Mean,34.17
2511,962,D24HourMean,QuarterlyMean,Mean,14.20
2539,974,D24HourMean,QuarterlyMean,Mean,13.24
2505,958,D24HourMean,QuarterlyMean,Mean,17.10
2526,958,D24HourMean,QuarterlyMean,Mean,4.00
2545,977,D24HourMean,QuarterlyMean,Mean,13.80
2554,981,D24HourMean,QuarterlyMean,Mean,17.10
2586,988,D24HourMean,QuarterlyMean,Mean,24.40
2564,968,D24HourMean,QuarterlyMean,Mean,30.76
2531,983,D24HourMean,QuarterlyMean,Mean,12.14
2528,961,D24HourMean,QuarterlyMean,Mean,12.51
2556,977,D24HourMean,QuarterlyMean,Mean,17.99
2543,973,D24HourMean,QuarterlyMean,Mean,11.64
2589,987,D24HourMean,QuarterlyMean,Mean,26.82
2542,969,D24HourMean,QuarterlyMean,Mean,4.71
2559,972,D24HourMean,QuarterlyMean,Mean,23.61
2581,982,D24HourMean,QuarterlyMean,Mean,25.97
2537,966,D24HourMean,QuarterlyMean,Mean,8.84
2543,987,D24HourMean,QuarterlyMean,Mean,12.92
2567,978,D24HourMean,QuarterlyMean,Mean,23.79
