Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2539,963,2010,1730.07,ALL,ALL,ALL,0TO99
2498,960,2010,3355.77,ALL,ALL,ALL,0TO99
2542,968,2010,5708.18,ALL,ALL,ALL,0TO99
2539,965,2010,1879.56,ALL,ALL,ALL,0TO99
2521,960,2010,2896.99,ALL,ALL,ALL,0TO99
2513,982,2010,2110.74,ALL,ALL,ALL,0TO99
2523,952,2010,657.79,ALL,ALL,ALL,0TO99
2533,958,2010,991.51,ALL,ALL,ALL,0TO99
2535,981,2010,456.46,ALL,ALL,ALL,0TO99
2577,977,2010,316.33,ALL,ALL,ALL,0TO99
2576,970,2010,100.24,ALL,ALL,ALL,0TO99
2524,953,2010,531.16,ALL,ALL,ALL,0TO99
2573,981,2010,284.63,ALL,ALL,ALL,0TO99
2511,979,2010,219.85,ALL,ALL,ALL,0TO99
2575,971,2010,168.18,ALL,ALL,ALL,0TO99
2531,956,2010,802.32,ALL,ALL,ALL,0TO99
2534,982,2010,471.48,ALL,ALL,ALL,0TO99
2543,971,2010,348.19,ALL,ALL,ALL,0TO99
2502,959,2010,2613.70,ALL,ALL,ALL,0TO99
2511,984,2010,1784.45,ALL,ALL,ALL,0TO99
2546,968,2010,170.67,ALL,ALL,ALL,0TO99
2572,975,2010,330.68,ALL,ALL,ALL,0TO99
2532,963,2010,15342.65,ALL,ALL,ALL,0TO99
2569,975,2010,292.93,ALL,ALL,ALL,0TO99
2546,963,2010,1885.20,ALL,ALL,ALL,0TO99
2541,963,2010,1885.20,ALL,ALL,ALL,0TO99
2545,974,2010,412.35,ALL,ALL,ALL,0TO99
2578,984,2010,2.56,ALL,ALL,ALL,0TO99
2547,981,2010,686.54,ALL,ALL,ALL,0TO99
2577,978,2010,337.59,ALL,ALL,ALL,0TO99
2526,974,2010,3357.49,ALL,ALL,ALL,0TO99
2531,972,2010,9190.53,ALL,ALL,ALL,0TO99
2524,976,2010,2216.64,ALL,ALL,ALL,0TO99
2559,976,2010,480.77,ALL,ALL,ALL,0TO99
2592,984,2010,482.25,ALL,ALL,ALL,0TO99
2562,967,2010,169.20,ALL,ALL,ALL,0TO99
2526,977,2010,892.82,ALL,ALL,ALL,0TO99
2581,980,2010,332.15,ALL,ALL,ALL,0TO99
2500,961,2010,3766.06,ALL,ALL,ALL,0TO99
2537,955,2010,667.84,ALL,ALL,ALL,0TO99
2531,967,2010,19268.58,ALL,ALL,ALL,0TO99
2564,967,2010,169.20,ALL,ALL,ALL,0TO99
2540,981,2010,2919.44,ALL,ALL,ALL,0TO99
2530,960,2010,7834.41,ALL,ALL,ALL,0TO99
2507,957,2010,2030.87,ALL,ALL,ALL,0TO99
2572,980,2010,414.40,ALL,ALL,ALL,0TO99
2533,973,2010,9156.19,ALL,ALL,ALL,0TO99
2553,978,2010,241.01,ALL,ALL,ALL,0TO99
2545,980,2010,781.08,ALL,ALL,ALL,0TO99
2537,985,2010,511.58,ALL,ALL,ALL,0TO99
2497,959,2010,4704.38,ALL,ALL,ALL,0TO99
2517,960,2010,2896.99,ALL,ALL,ALL,0TO99
2524,978,2010,1713.10,ALL,ALL,ALL,0TO99
2538,975,2010,581.91,ALL,ALL,ALL,0TO99
2544,971,2010,347.16,ALL,ALL,ALL,0TO99
2530,981,2010,748.73,ALL,ALL,ALL,0TO99
2505,974,2010,1325.48,ALL,ALL,ALL,0TO99
