Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2841,673,D24HourMean,QuarterlyMean,Mean,10.57
2859,698,D24HourMean,QuarterlyMean,Mean,13.63
2855,693,D24HourMean,QuarterlyMean,Mean,14.40
2853,700,D24HourMean,QuarterlyMean,Mean,14.76
2827,691,D24HourMean,QuarterlyMean,Mean,15.93
2839,680,D24HourMean,QuarterlyMean,Mean,12.73
2860,682,D24HourMean,QuarterlyMean,Mean,14.35
2856,679,D24HourMean,QuarterlyMean,Mean,13.72
2857,690,D24HourMean,QuarterlyMean,Mean,14.66
2862,684,D24HourMean,QuarterlyMean,Mean,15.19
2853,675,D24HourMean,QuarterlyMean,Mean,16.42
2841,695,D24HourMean,QuarterlyMean,Mean,15.27
2859,690,D24HourMean,QuarterlyMean,Mean,14.30
2845,675,D24HourMean,QuarterlyMean,Mean,13.28
2833,685,D24HourMean,QuarterlyMean,Mean,14.81
2869,693,D24HourMean,QuarterlyMean,Mean,15.85
2843,675,D24HourMean,QuarterlyMean,Mean,11.64
2850,668,D24HourMean,QuarterlyMean,Mean,16.37
2847,687,D24HourMean,QuarterlyMean,Mean,13.73
2863,678,D24HourMean,QuarterlyMean,Mean,14.83
2834,702,D24HourMean,QuarterlyMean,Mean,16.18
2838,693,D24HourMean,QuarterlyMean,Mean,17.03
2835,682,D24HourMean,QuarterlyMean,Mean,13.13
2846,669,D24HourMean,QuarterlyMean,Mean,13.12
2848,676,D24HourMean,QuarterlyMean,Mean,17.11
2835,683,D24HourMean,QuarterlyMean,Mean,13.85
2872,686,D24HourMean,QuarterlyMean,Mean,16.61
2858,678,D24HourMean,QuarterlyMean,Mean,14.91
2862,695,D24HourMean,QuarterlyMean,Mean,14.63
2853,680,D24HourMean,QuarterlyMean,Mean,17.00
2834,678,D24HourMean,QuarterlyMean,Mean,9.96
2827,689,D24HourMean,QuarterlyMean,Mean,15.31
2852,687,D24HourMean,QuarterlyMean,Mean,14.26
2840,685,D24HourMean,QuarterlyMean,Mean,13.88
2854,669,D24HourMean,QuarterlyMean,Mean,14.96
2836,700,D24HourMean,QuarterlyMean,Mean,15.85
2845,679,D24HourMean,QuarterlyMean,Mean,12.78
2859,694,D24HourMean,QuarterlyMean,Mean,13.67
2856,687,D24HourMean,QuarterlyMean,Mean,14.07
2831,691,D24HourMean,QuarterlyMean,Mean,14.76
2867,687,D24HourMean,QuarterlyMean,Mean,16.16
2848,688,D24HourMean,QuarterlyMean,Mean,13.62
2862,688,D24HourMean,QuarterlyMean,Mean,15.37
2830,691,D24HourMean,QuarterlyMean,Mean,15.50
2865,690,D24HourMean,QuarterlyMean,Mean,15.44
2849,666,D24HourMean,QuarterlyMean,Mean,14.13
2867,683,D24HourMean,QuarterlyMean,Mean,16.49
2859,692,D24HourMean,QuarterlyMean,Mean,13.70
2861,678,D24HourMean,QuarterlyMean,Mean,15.78
2865,683,D24HourMean,QuarterlyMean,Mean,16.36
2845,680,D24HourMean,QuarterlyMean,Mean,12.48
2843,676,D24HourMean,QuarterlyMean,Mean,12.85
2855,684,D24HourMean,QuarterlyMean,Mean,13.87
2871,687,D24HourMean,QuarterlyMean,Mean,15.85
2831,681,D24HourMean,QuarterlyMean,Mean,10.59
2848,693,D24HourMean,QuarterlyMean,Mean,14.07
2825,692,D24HourMean,QuarterlyMean,Mean,15.80
2852,681,D24HourMean,QuarterlyMean,Mean,14.81
2870,682,D24HourMean,QuarterlyMean,Mean,16.33
2827,687,D24HourMean,QuarterlyMean,Mean,13.77
2851,695,D24HourMean,QuarterlyMean,Mean,15.19
2875,692,D24HourMean,QuarterlyMean,Mean,15.82
2841,666,D24HourMean,QuarterlyMean,Mean,11.01
2870,688,D24HourMean,QuarterlyMean,Mean,16.05
2850,695,D24HourMean,QuarterlyMean,Mean,15.29
2837,698,D24HourMean,QuarterlyMean,Mean,15.62
2846,665,D24HourMean,QuarterlyMean,Mean,12.16
2841,680,D24HourMean,QuarterlyMean,Mean,12.08
2851,698,D24HourMean,QuarterlyMean,Mean,15.39
2871,701,D24HourMean,QuarterlyMean,Mean,14.63
2842,688,D24HourMean,QuarterlyMean,Mean,14.46
2829,697,D24HourMean,QuarterlyMean,Mean,15.50
2852,679,D24HourMean,QuarterlyMean,Mean,16.90
2847,667,D24HourMean,QuarterlyMean,Mean,14.31
2845,686,D24HourMean,QuarterlyMean,Mean,14.25
2850,669,D24HourMean,QuarterlyMean,Mean,15.95
2842,701,D24HourMean,QuarterlyMean,Mean,15.27
2860,670,D24HourMean,QuarterlyMean,Mean,14.25
2844,695,D24HourMean,QuarterlyMean,Mean,14.51
2839,690,D24HourMean,QuarterlyMean,Mean,13.08
2845,671,D24HourMean,QuarterlyMean,Mean,11.99
2865,687,D24HourMean,QuarterlyMean,Mean,16.19
2832,698,D24HourMean,QuarterlyMean,Mean,16.21
2836,673,D24HourMean,QuarterlyMean,Mean,10.16
2863,685,D24HourMean,QuarterlyMean,Mean,15.12
2845,689,D24HourMean,QuarterlyMean,Mean,13.87
2866,701,D24HourMean,QuarterlyMean,Mean,14.99
2838,682,D24HourMean,QuarterlyMean,Mean,13.80
2840,691,D24HourMean,QuarterlyMean,Mean,15.06
2850,666,D24HourMean,QuarterlyMean,Mean,14.76
2857,673,D24HourMean,QuarterlyMean,Mean,14.55
2844,692,D24HourMean,QuarterlyMean,Mean,14.12
2856,686,D24HourMean,QuarterlyMean,Mean,13.85
2872,694,D24HourMean,QuarterlyMean,Mean,16.31
2850,702,D24HourMean,QuarterlyMean,Mean,15.64
2869,702,D24HourMean,QuarterlyMean,Mean,13.50
2838,679,D24HourMean,QuarterlyMean,Mean,11.39
2866,680,D24HourMean,QuarterlyMean,Mean,16.95
2838,700,D24HourMean,QuarterlyMean,Mean,15.31
