Column,Row,Metric,Seasonal Metric,Annual Metric,Values
3529,578,D24HourMean,QuarterlyMean,Mean,-1.40
3548,547,D24HourMean,QuarterlyMean,Mean,-1.43
251,519,D24HourMean,QuarterlyMean,Mean,-2.49
227,579,D24HourMean,QuarterlyMean,Mean,10.47
228,577,D24HourMean,QuarterlyMean,Mean,10.88
225,578,D24HourMean,QuarterlyMean,Mean,7.68
3545,553,D24HourMean,QuarterlyMean,Mean,6.41
227,578,D24HourMean,QuarterlyMean,Mean,11.22
3551,545,D24HourMean,QuarterlyMean,Mean,7.15
88,515,D24HourMean,QuarterlyMean,Mean,8.04
