Column,Row,Metric,Seasonal Metric,Annual Metric,Values
3081,913,D24HourMean,QuarterlyMean,Mean,20.68
3075,937,D24HourMean,QuarterlyMean,Mean,26.90
3081,928,D24HourMean,QuarterlyMean,Mean,23.74
3083,935,D24HourMean,QuarterlyMean,Mean,23.87
3069,930,D24HourMean,QuarterlyMean,Mean,36.68
3081,942,D24HourMean,QuarterlyMean,Mean,25.85
3093,913,D24HourMean,QuarterlyMean,Mean,19.43
3074,942,D24HourMean,QuarterlyMean,Mean,27.23
3089,927,D24HourMean,QuarterlyMean,Mean,23.18
3083,940,D24HourMean,QuarterlyMean,Mean,25.58
3088,937,D24HourMean,QuarterlyMean,Mean,23.33
3078,930,D24HourMean,QuarterlyMean,Mean,25.13
3086,928,D24HourMean,QuarterlyMean,Mean,24.63
3087,930,D24HourMean,QuarterlyMean,Mean,21.09
3079,921,D24HourMean,QuarterlyMean,Mean,22.76
3093,912,D24HourMean,QuarterlyMean,Mean,21.06
3069,934,D24HourMean,QuarterlyMean,Mean,40.68
3068,905,D24HourMean,QuarterlyMean,Mean,24.17
3069,923,D24HourMean,QuarterlyMean,Mean,25.20
3079,935,D24HourMean,QuarterlyMean,Mean,24.77
3077,922,D24HourMean,QuarterlyMean,Mean,23.29
3063,893,D24HourMean,QuarterlyMean,Mean,24.05
3076,930,D24HourMean,QuarterlyMean,Mean,30.75
3066,893,D24HourMean,QuarterlyMean,Mean,20.93
3079,940,D24HourMean,QuarterlyMean,Mean,26.18
3088,925,D24HourMean,QuarterlyMean,Mean,25.07
3088,935,D24HourMean,QuarterlyMean,Mean,21.57
3089,936,D24HourMean,QuarterlyMean,Mean,23.03
3088,932,D24HourMean,QuarterlyMean,Mean,20.38
3065,894,D24HourMean,QuarterlyMean,Mean,21.81
3065,937,D24HourMean,QuarterlyMean,Mean,29.31
3084,925,D24HourMean,QuarterlyMean,Mean,29.22
3082,912,D24HourMean,QuarterlyMean,Mean,20.23
3088,920,D24HourMean,QuarterlyMean,Mean,25.45
3092,932,D24HourMean,QuarterlyMean,Mean,20.19
3089,922,D24HourMean,QuarterlyMean,Mean,21.60
3081,923,D24HourMean,QuarterlyMean,Mean,24.31
3073,922,D24HourMean,QuarterlyMean,Mean,27.79
3081,907,D24HourMean,QuarterlyMean,Mean,22.33
3092,931,D24HourMean,QuarterlyMean,Mean,19.51
3070,935,D24HourMean,QuarterlyMean,Mean,41.56
3079,908,D24HourMean,QuarterlyMean,Mean,25.52
3080,935,D24HourMean,QuarterlyMean,Mean,24.72
3068,906,D24HourMean,QuarterlyMean,Mean,23.55
3075,909,D24HourMean,QuarterlyMean,Mean,23.89
3089,928,D24HourMean,QuarterlyMean,Mean,23.93
3066,927,D24HourMean,QuarterlyMean,Mean,29.38
3081,940,D24HourMean,QuarterlyMean,Mean,25.99
3070,906,D24HourMean,QuarterlyMean,Mean,22.57
3084,922,D24HourMean,QuarterlyMean,Mean,32.85
3079,925,D24HourMean,QuarterlyMean,Mean,23.47
3085,928,D24HourMean,QuarterlyMean,Mean,23.65
3081,908,D24HourMean,QuarterlyMean,Mean,23.90
3076,929,D24HourMean,QuarterlyMean,Mean,28.46
3085,908,D24HourMean,QuarterlyMean,Mean,25.86
3075,913,D24HourMean,QuarterlyMean,Mean,21.43
3081,938,D24HourMean,QuarterlyMean,Mean,25.69
3081,910,D24HourMean,QuarterlyMean,Mean,22.24
3087,925,D24HourMean,QuarterlyMean,Mean,26.27
3081,936,D24HourMean,QuarterlyMean,Mean,24.70
3082,922,D24HourMean,QuarterlyMean,Mean,26.65
3084,945,D24HourMean,QuarterlyMean,Mean,25.76
3081,922,D24HourMean,QuarterlyMean,Mean,24.14
3076,909,D24HourMean,QuarterlyMean,Mean,26.32
3067,905,D24HourMean,QuarterlyMean,Mean,25.03
3090,913,D24HourMean,QuarterlyMean,Mean,21.42
3092,913,D24HourMean,QuarterlyMean,Mean,19.56
3066,907,D24HourMean,QuarterlyMean,Mean,29.97
3074,925,D24HourMean,QuarterlyMean,Mean,33.07
3077,937,D24HourMean,QuarterlyMean,Mean,25.76
3069,916,D24HourMean,QuarterlyMean,Mean,32.53
3085,916,D24HourMean,QuarterlyMean,Mean,25.28
3086,926,D24HourMean,QuarterlyMean,Mean,27.69
