Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3081,913,2010,4800.69,ALL,ALL,ALL,0TO99
3075,937,2010,6195.69,ALL,ALL,ALL,0TO99
3081,928,2010,19032.25,ALL,ALL,ALL,0TO99
3083,935,2010,3458.80,ALL,ALL,ALL,0TO99
3069,930,2010,32001.90,ALL,ALL,ALL,0TO99
3081,942,2010,3354.18,ALL,ALL,ALL,0TO99
3093,913,2010,32478.08,ALL,ALL,ALL,0TO99
3074,942,2010,6277.22,ALL,ALL,ALL,0TO99
3089,927,2010,8079.16,ALL,ALL,ALL,0TO99
3083,940,2010,1678.19,ALL,ALL,ALL,0TO99
3088,937,2010,18704.65,ALL,ALL,ALL,0TO99
3078,930,2010,20092.07,ALL,ALL,ALL,0TO99
3086,928,2010,16681.14,ALL,ALL,ALL,0TO99
3087,930,2010,6955.56,ALL,ALL,ALL,0TO99
3079,921,2010,5375.86,ALL,ALL,ALL,0TO99
3093,912,2010,34676.89,ALL,ALL,ALL,0TO99
3069,934,2010,948267.75,ALL,ALL,ALL,0TO99
3068,905,2010,4357.73,ALL,ALL,ALL,0TO99
3069,923,2010,7157.97,ALL,ALL,ALL,0TO99
3079,935,2010,4363.66,ALL,ALL,ALL,0TO99
3077,922,2010,8968.07,ALL,ALL,ALL,0TO99
3063,893,2010,12469.26,ALL,ALL,ALL,0TO99
3076,930,2010,35616.11,ALL,ALL,ALL,0TO99
3066,893,2010,41601.92,ALL,ALL,ALL,0TO99
3079,940,2010,6664.04,ALL,ALL,ALL,0TO99
3088,925,2010,10082.38,ALL,ALL,ALL,0TO99
3088,935,2010,14977.32,ALL,ALL,ALL,0TO99
3089,936,2010,20136.26,ALL,ALL,ALL,0TO99
3088,932,2010,2424.66,ALL,ALL,ALL,0TO99
3065,894,2010,82194.30,ALL,ALL,ALL,0TO99
3065,937,2010,12757.64,ALL,ALL,ALL,0TO99
3084,925,2010,6188.69,ALL,ALL,ALL,0TO99
3082,912,2010,42563.02,ALL,ALL,ALL,0TO99
3088,920,2010,8655.60,ALL,ALL,ALL,0TO99
3092,932,2010,4620.08,ALL,ALL,ALL,0TO99
3089,922,2010,4316.09,ALL,ALL,ALL,0TO99
3081,923,2010,7729.75,ALL,ALL,ALL,0TO99
3073,922,2010,91027.49,ALL,ALL,ALL,0TO99
3081,907,2010,5490.10,ALL,ALL,ALL,0TO99
3092,931,2010,4621.21,ALL,ALL,ALL,0TO99
3070,935,2010,1221360.63,ALL,ALL,ALL,0TO99
3079,908,2010,8090.93,ALL,ALL,ALL,0TO99
3080,935,2010,3694.90,ALL,ALL,ALL,0TO99
3068,906,2010,6113.46,ALL,ALL,ALL,0TO99
3075,909,2010,33709.68,ALL,ALL,ALL,0TO99
3089,928,2010,2216.18,ALL,ALL,ALL,0TO99
3066,927,2010,22819.93,ALL,ALL,ALL,0TO99
3081,940,2010,2800.40,ALL,ALL,ALL,0TO99
