Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2277,857,D24HourMean,QuarterlyMean,Mean,39.13
2271,850,D24HourMean,QuarterlyMean,Mean,42.16
2272,852,D24HourMean,QuarterlyMean,Mean,44.16
2268,852,D24HourMean,QuarterlyMean,Mean,43.06
2277,855,D24HourMean,QuarterlyMean,Mean,41.54
2277,853,D24HourMean,QuarterlyMean,Mean,43.81
2282,855,D24HourMean,QuarterlyMean,Mean,46.38
2275,857,D24HourMean,QuarterlyMean,Mean,40.42
2276,854,D24HourMean,QuarterlyMean,Mean,42.06
2276,853,D24HourMean,QuarterlyMean,Mean,42.30
2272,855,D24HourMean,QuarterlyMean,Mean,42.92
2276,857,D24HourMean,QuarterlyMean,Mean,40.45
2278,845,D24HourMean,QuarterlyMean,Mean,40.81
2270,853,D24HourMean,QuarterlyMean,Mean,43.07
2283,845,D24HourMean,QuarterlyMean,Mean,41.03
2274,858,D24HourMean,QuarterlyMean,Mean,39.04
2280,858,D24HourMean,QuarterlyMean,Mean,39.31
2279,855,D24HourMean,QuarterlyMean,Mean,44.32
2278,848,D24HourMean,QuarterlyMean,Mean,39.54
2279,852,D24HourMean,QuarterlyMean,Mean,47.01
2277,846,D24HourMean,QuarterlyMean,Mean,40.53
2274,856,D24HourMean,QuarterlyMean,Mean,41.48
2275,856,D24HourMean,QuarterlyMean,Mean,40.69
2276,856,D24HourMean,QuarterlyMean,Mean,41.32
2280,849,D24HourMean,QuarterlyMean,Mean,41.12
2280,846,D24HourMean,QuarterlyMean,Mean,41.60
2272,856,D24HourMean,QuarterlyMean,Mean,41.62
2269,853,D24HourMean,QuarterlyMean,Mean,43.12
2274,850,D24HourMean,QuarterlyMean,Mean,42.72
2279,851,D24HourMean,QuarterlyMean,Mean,40.89
2276,855,D24HourMean,QuarterlyMean,Mean,41.80
2284,845,D24HourMean,QuarterlyMean,Mean,39.15
2272,854,D24HourMean,QuarterlyMean,Mean,44.61
2275,860,D24HourMean,QuarterlyMean,Mean,37.45
2278,860,D24HourMean,QuarterlyMean,Mean,37.53
2279,856,D24HourMean,QuarterlyMean,Mean,38.37
2283,858,D24HourMean,QuarterlyMean,Mean,44.92
2276,858,D24HourMean,QuarterlyMean,Mean,37.79
2278,856,D24HourMean,QuarterlyMean,Mean,39.25
2273,854,D24HourMean,QuarterlyMean,Mean,45.18
2282,856,D24HourMean,QuarterlyMean,Mean,43.67
2278,859,D24HourMean,QuarterlyMean,Mean,37.16
2279,845,D24HourMean,QuarterlyMean,Mean,40.50
2275,858,D24HourMean,QuarterlyMean,Mean,39.33
2278,850,D24HourMean,QuarterlyMean,Mean,40.42
2277,859,D24HourMean,QuarterlyMean,Mean,36.23
2279,859,D24HourMean,QuarterlyMean,Mean,38.37
2280,852,D24HourMean,QuarterlyMean,Mean,46.05
2281,847,D24HourMean,QuarterlyMean,Mean,40.22
2270,855,D24HourMean,QuarterlyMean,Mean,40.31
2281,852,D24HourMean,QuarterlyMean,Mean,45.74
2281,850,D24HourMean,QuarterlyMean,Mean,41.91
2276,851,D24HourMean,QuarterlyMean,Mean,42.86
2278,857,D24HourMean,QuarterlyMean,Mean,38.06
2274,853,D24HourMean,QuarterlyMean,Mean,44.19
2282,858,D24HourMean,QuarterlyMean,Mean,47.69
2272,857,D24HourMean,QuarterlyMean,Mean,39.65
2274,860,D24HourMean,QuarterlyMean,Mean,39.15
2278,852,D24HourMean,QuarterlyMean,Mean,43.51
2280,850,D24HourMean,QuarterlyMean,Mean,42.44
2283,846,D24HourMean,QuarterlyMean,Mean,40.76
2274,851,D24HourMean,QuarterlyMean,Mean,43.66
2282,845,D24HourMean,QuarterlyMean,Mean,42.10
2281,848,D24HourMean,QuarterlyMean,Mean,40.44
2273,855,D24HourMean,QuarterlyMean,Mean,43.59
2282,846,D24HourMean,QuarterlyMean,Mean,41.38
2280,859,D24HourMean,QuarterlyMean,Mean,39.90
2274,857,D24HourMean,QuarterlyMean,Mean,40.54
2283,856,D24HourMean,QuarterlyMean,Mean,44.96
2282,849,D24HourMean,QuarterlyMean,Mean,40.38
2276,850,D24HourMean,QuarterlyMean,Mean,40.36
2277,852,D24HourMean,QuarterlyMean,Mean,44.05
2274,852,D24HourMean,QuarterlyMean,Mean,44.17
2283,847,D24HourMean,QuarterlyMean,Mean,40.06
2281,849,D24HourMean,QuarterlyMean,Mean,41.10
2278,854,D24HourMean,QuarterlyMean,Mean,43.69
2273,850,D24HourMean,QuarterlyMean,Mean,42.68
2271,853,D24HourMean,QuarterlyMean,Mean,44.35
2272,858,D24HourMean,QuarterlyMean,Mean,39.02
2269,854,D24HourMean,QuarterlyMean,Mean,41.00
2273,851,D24HourMean,QuarterlyMean,Mean,43.60
2284,846,D24HourMean,QuarterlyMean,Mean,40.04
2272,850,D24HourMean,QuarterlyMean,Mean,42.04
2274,855,D24HourMean,QuarterlyMean,Mean,43.86
2278,858,D24HourMean,QuarterlyMean,Mean,37.74
2283,857,D24HourMean,QuarterlyMean,Mean,44.92
2282,847,D24HourMean,QuarterlyMean,Mean,39.51
2271,854,D24HourMean,QuarterlyMean,Mean,43.00
2275,851,D24HourMean,QuarterlyMean,Mean,43.51
2271,855,D24HourMean,QuarterlyMean,Mean,41.56
2274,859,D24HourMean,QuarterlyMean,Mean,38.50
2267,851,D24HourMean,QuarterlyMean,Mean,42.77
2272,853,D24HourMean,QuarterlyMean,Mean,45.39
2283,848,D24HourMean,QuarterlyMean,Mean,40.73
2277,858,D24HourMean,QuarterlyMean,Mean,37.43
2271,856,D24HourMean,QuarterlyMean,Mean,40.09
2278,847,D24HourMean,QuarterlyMean,Mean,39.86
2276,859,D24HourMean,QuarterlyMean,Mean,37.30
2276,860,D24HourMean,QuarterlyMean,Mean,36.66
2277,851,D24HourMean,QuarterlyMean,Mean,43.69
2273,858,D24HourMean,QuarterlyMean,Mean,38.63
