Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2277,857,2010,2928.26,ALL,ALL,ALL,0TO99
2271,850,2010,1892.79,ALL,ALL,ALL,0TO99
2272,852,2010,2942.75,ALL,ALL,ALL,0TO99
2268,852,2010,4628.60,ALL,ALL,ALL,0TO99
2277,855,2010,2934.02,ALL,ALL,ALL,0TO99
2277,853,2010,2929.81,ALL,ALL,ALL,0TO99
2282,855,2010,3480.26,ALL,ALL,ALL,0TO99
2275,857,2010,2928.26,ALL,ALL,ALL,0TO99
2276,854,2010,2937.04,ALL,ALL,ALL,0TO99
2276,853,2010,2939.85,ALL,ALL,ALL,0TO99
2272,855,2010,2934.02,ALL,ALL,ALL,0TO99
2276,857,2010,2928.26,ALL,ALL,ALL,0TO99
2278,845,2010,6772.32,ALL,ALL,ALL,0TO99
2270,853,2010,2939.85,ALL,ALL,ALL,0TO99
2283,845,2010,6399.16,ALL,ALL,ALL,0TO99
2274,858,2010,2925.31,ALL,ALL,ALL,0TO99
2280,858,2010,2925.31,ALL,ALL,ALL,0TO99
2279,855,2010,2627.97,ALL,ALL,ALL,0TO99
2278,848,2010,9191.46,ALL,ALL,ALL,0TO99
2279,852,2010,114722.38,ALL,ALL,ALL,0TO99
2277,846,2010,6886.13,ALL,ALL,ALL,0TO99
2274,856,2010,2931.20,ALL,ALL,ALL,0TO99
2275,856,2010,2931.20,ALL,ALL,ALL,0TO99
2276,856,2010,2931.20,ALL,ALL,ALL,0TO99
2280,849,2010,9182.86,ALL,ALL,ALL,0TO99
2280,846,2010,9209.21,ALL,ALL,ALL,0TO99
2272,856,2010,2931.20,ALL,ALL,ALL,0TO99
2269,853,2010,3935.41,ALL,ALL,ALL,0TO99
2274,850,2010,2655.02,ALL,ALL,ALL,0TO99
2279,851,2010,20238.08,ALL,ALL,ALL,0TO99
2276,855,2010,2934.02,ALL,ALL,ALL,0TO99
2284,845,2010,5922.95,ALL,ALL,ALL,0TO99
2272,854,2010,2937.04,ALL,ALL,ALL,0TO99
2275,860,2010,4584.43,ALL,ALL,ALL,0TO99
2278,860,2010,5630.03,ALL,ALL,ALL,0TO99
2279,856,2010,2931.20,ALL,ALL,ALL,0TO99
2283,858,2010,47883.11,ALL,ALL,ALL,0TO99
