Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2843,739,D24HourMean,QuarterlyMean,Mean,19.33
2818,782,D24HourMean,QuarterlyMean,Mean,21.21
2866,713,D24HourMean,QuarterlyMean,Mean,15.24
2857,716,D24HourMean,QuarterlyMean,Mean,16.51
2831,742,D24HourMean,QuarterlyMean,Mean,20.63
2866,724,D24HourMean,QuarterlyMean,Mean,16.97
2846,746,D24HourMean,QuarterlyMean,Mean,18.46
2852,736,D24HourMean,QuarterlyMean,Mean,17.58
2818,740,D24HourMean,QuarterlyMean,Mean,21.88
2833,760,D24HourMean,QuarterlyMean,Mean,18.43
2865,719,D24HourMean,QuarterlyMean,Mean,15.75
2838,752,D24HourMean,QuarterlyMean,Mean,17.49
2858,713,D24HourMean,QuarterlyMean,Mean,14.95
2821,770,D24HourMean,QuarterlyMean,Mean,20.92
2805,757,D24HourMean,QuarterlyMean,Mean,19.50
2846,762,D24HourMean,QuarterlyMean,Mean,20.15
2856,727,D24HourMean,QuarterlyMean,Mean,18.22
2808,764,D24HourMean,QuarterlyMean,Mean,20.05
2808,770,D24HourMean,QuarterlyMean,Mean,19.37
2814,747,D24HourMean,QuarterlyMean,Mean,18.11
2845,749,D24HourMean,QuarterlyMean,Mean,19.11
2856,726,D24HourMean,QuarterlyMean,Mean,16.90
2830,741,D24HourMean,QuarterlyMean,Mean,21.27
2822,744,D24HourMean,QuarterlyMean,Mean,20.73
2843,747,D24HourMean,QuarterlyMean,Mean,19.03
2841,754,D24HourMean,QuarterlyMean,Mean,20.84
2820,783,D24HourMean,QuarterlyMean,Mean,21.06
2857,728,D24HourMean,QuarterlyMean,Mean,17.93
2813,766,D24HourMean,QuarterlyMean,Mean,20.58
2837,754,D24HourMean,QuarterlyMean,Mean,18.30
2855,717,D24HourMean,QuarterlyMean,Mean,16.51
2817,759,D24HourMean,QuarterlyMean,Mean,21.72
2856,732,D24HourMean,QuarterlyMean,Mean,17.94
2812,773,D24HourMean,QuarterlyMean,Mean,20.77
2869,703,D24HourMean,QuarterlyMean,Mean,13.30
2844,764,D24HourMean,QuarterlyMean,Mean,20.09
2818,752,D24HourMean,QuarterlyMean,Mean,20.87
2869,707,D24HourMean,QuarterlyMean,Mean,15.49
2847,764,D24HourMean,QuarterlyMean,Mean,20.72
2871,705,D24HourMean,QuarterlyMean,Mean,13.27
2816,769,D24HourMean,QuarterlyMean,Mean,21.32
2825,764,D24HourMean,QuarterlyMean,Mean,22.48
2820,775,D24HourMean,QuarterlyMean,Mean,21.32
2829,767,D24HourMean,QuarterlyMean,Mean,21.08
2867,716,D24HourMean,QuarterlyMean,Mean,15.57
2819,775,D24HourMean,QuarterlyMean,Mean,21.40
2807,764,D24HourMean,QuarterlyMean,Mean,20.02
