Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2164,904,D24HourMean,QuarterlyMean,Mean,18.84
2158,893,D24HourMean,QuarterlyMean,Mean,21.16
2163,902,D24HourMean,QuarterlyMean,Mean,18.64
2157,902,D24HourMean,QuarterlyMean,Mean,19.69
2155,894,D24HourMean,QuarterlyMean,Mean,19.76
2159,895,D24HourMean,QuarterlyMean,Mean,20.50
2163,899,D24HourMean,QuarterlyMean,Mean,17.81
2158,899,D24HourMean,QuarterlyMean,Mean,21.11
2155,895,D24HourMean,QuarterlyMean,Mean,20.26
2166,902,D24HourMean,QuarterlyMean,Mean,19.53
2164,900,D24HourMean,QuarterlyMean,Mean,16.06
2155,892,D24HourMean,QuarterlyMean,Mean,20.10
2162,900,D24HourMean,QuarterlyMean,Mean,21.59
2162,899,D24HourMean,QuarterlyMean,Mean,20.00
2163,905,D24HourMean,QuarterlyMean,Mean,19.37
2156,893,D24HourMean,QuarterlyMean,Mean,20.74
2163,903,D24HourMean,QuarterlyMean,Mean,18.01
2153,891,D24HourMean,QuarterlyMean,Mean,19.81
2162,898,D24HourMean,QuarterlyMean,Mean,19.06
2156,898,D24HourMean,QuarterlyMean,Mean,22.22
2157,901,D24HourMean,QuarterlyMean,Mean,20.00
2156,896,D24HourMean,QuarterlyMean,Mean,19.68
2164,905,D24HourMean,QuarterlyMean,Mean,19.36
2162,904,D24HourMean,QuarterlyMean,Mean,18.80
2164,902,D24HourMean,QuarterlyMean,Mean,19.64
2160,900,D24HourMean,QuarterlyMean,Mean,19.24
2155,893,D24HourMean,QuarterlyMean,Mean,20.58
2154,893,D24HourMean,QuarterlyMean,Mean,20.37
2155,897,D24HourMean,QuarterlyMean,Mean,19.74
2162,902,D24HourMean,QuarterlyMean,Mean,18.40
2161,895,D24HourMean,QuarterlyMean,Mean,19.45
2158,898,D24HourMean,QuarterlyMean,Mean,21.72
2166,903,D24HourMean,QuarterlyMean,Mean,20.88
2162,903,D24HourMean,QuarterlyMean,Mean,17.54
2159,899,D24HourMean,QuarterlyMean,Mean,20.92
2160,899,D24HourMean,QuarterlyMean,Mean,21.19
2164,901,D24HourMean,QuarterlyMean,Mean,19.50
2156,894,D24HourMean,QuarterlyMean,Mean,20.16
2161,902,D24HourMean,QuarterlyMean,Mean,17.36
2162,905,D24HourMean,QuarterlyMean,Mean,20.34
2161,900,D24HourMean,QuarterlyMean,Mean,20.35
2161,898,D24HourMean,QuarterlyMean,Mean,20.90
2157,894,D24HourMean,QuarterlyMean,Mean,21.70
2158,903,D24HourMean,QuarterlyMean,Mean,20.05
2157,898,D24HourMean,QuarterlyMean,Mean,21.42
2158,900,D24HourMean,QuarterlyMean,Mean,20.69
2156,895,D24HourMean,QuarterlyMean,Mean,19.92
2163,901,D24HourMean,QuarterlyMean,Mean,19.63
2159,900,D24HourMean,QuarterlyMean,Mean,19.29
2156,897,D24HourMean,QuarterlyMean,Mean,21.14
2155,891,D24HourMean,QuarterlyMean,Mean,20.37
2158,902,D24HourMean,QuarterlyMean,Mean,19.74
2154,894,D24HourMean,QuarterlyMean,Mean,20.78
2159,896,D24HourMean,QuarterlyMean,Mean,20.93
2163,898,D24HourMean,QuarterlyMean,Mean,18.98
2165,904,D24HourMean,QuarterlyMean,Mean,20.26
2160,895,D24HourMean,QuarterlyMean,Mean,20.30
2153,892,D24HourMean,QuarterlyMean,Mean,20.26
2160,901,D24HourMean,QuarterlyMean,Mean,16.80
2157,893,D24HourMean,QuarterlyMean,Mean,20.53
2164,898,D24HourMean,QuarterlyMean,Mean,19.38
2161,905,D24HourMean,QuarterlyMean,Mean,23.71
2157,896,D24HourMean,QuarterlyMean,Mean,19.84
2157,897,D24HourMean,QuarterlyMean,Mean,22.01
2165,901,D24HourMean,QuarterlyMean,Mean,18.22
2160,902,D24HourMean,QuarterlyMean,Mean,17.06
2164,906,D24HourMean,QuarterlyMean,Mean,20.90
2161,901,D24HourMean,QuarterlyMean,Mean,17.80
2160,898,D24HourMean,QuarterlyMean,Mean,22.17
2161,903,D24HourMean,QuarterlyMean,Mean,18.37
2161,899,D24HourMean,QuarterlyMean,Mean,20.85
2165,903,D24HourMean,QuarterlyMean,Mean,19.27
2157,899,D24HourMean,QuarterlyMean,Mean,21.56
2158,896,D24HourMean,QuarterlyMean,Mean,21.20
2159,897,D24HourMean,QuarterlyMean,Mean,23.12
2159,902,D24HourMean,QuarterlyMean,Mean,18.11
2163,904,D24HourMean,QuarterlyMean,Mean,18.51
2154,892,D24HourMean,QuarterlyMean,Mean,20.10
2158,901,D24HourMean,QuarterlyMean,Mean,19.24
2157,895,D24HourMean,QuarterlyMean,Mean,19.87
2161,904,D24HourMean,QuarterlyMean,Mean,22.37
2159,898,D24HourMean,QuarterlyMean,Mean,22.84
2154,891,D24HourMean,QuarterlyMean,Mean,19.66
2162,901,D24HourMean,QuarterlyMean,Mean,20.21
2159,901,D24HourMean,QuarterlyMean,Mean,17.63
2160,903,D24HourMean,QuarterlyMean,Mean,19.27
2159,894,D24HourMean,QuarterlyMean,Mean,20.71
2163,900,D24HourMean,QuarterlyMean,Mean,18.77
2165,902,D24HourMean,QuarterlyMean,Mean,19.34
2158,895,D24HourMean,QuarterlyMean,Mean,20.80
2158,894,D24HourMean,QuarterlyMean,Mean,22.09
2153,893,D24HourMean,QuarterlyMean,Mean,21.71
2160,897,D24HourMean,QuarterlyMean,Mean,22.50
2158,897,D24HourMean,QuarterlyMean,Mean,23.01
2157,900,D24HourMean,QuarterlyMean,Mean,20.63
2164,903,D24HourMean,QuarterlyMean,Mean,18.97
2160,904,D24HourMean,QuarterlyMean,Mean,21.73
2155,896,D24HourMean,QuarterlyMean,Mean,20.39
2156,892,D24HourMean,QuarterlyMean,Mean,20.52
2166,901,D24HourMean,QuarterlyMean,Mean,16.98
2159,903,D24HourMean,QuarterlyMean,Mean,20.76
