Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2164,904,2010,9287.85,ALL,ALL,ALL,0TO99
2158,893,2010,7832.15,ALL,ALL,ALL,0TO99
2163,902,2010,8975.39,ALL,ALL,ALL,0TO99
2157,902,2010,7137.16,ALL,ALL,ALL,0TO99
2155,894,2010,48216.57,ALL,ALL,ALL,0TO99
2159,895,2010,6779.74,ALL,ALL,ALL,0TO99
2163,899,2010,8625.47,ALL,ALL,ALL,0TO99
2158,899,2010,133191.08,ALL,ALL,ALL,0TO99
2155,895,2010,34152.52,ALL,ALL,ALL,0TO99
2166,902,2010,7961.85,ALL,ALL,ALL,0TO99
2164,900,2010,8617.82,ALL,ALL,ALL,0TO99
2155,892,2010,25203.94,ALL,ALL,ALL,0TO99
2162,900,2010,8610.75,ALL,ALL,ALL,0TO99
2162,899,2010,8621.31,ALL,ALL,ALL,0TO99
2163,905,2010,34089.02,ALL,ALL,ALL,0TO99
2156,893,2010,24349.76,ALL,ALL,ALL,0TO99
2163,903,2010,10743.73,ALL,ALL,ALL,0TO99
2153,891,2010,40867.19,ALL,ALL,ALL,0TO99
2162,898,2010,8857.06,ALL,ALL,ALL,0TO99
2156,898,2010,375426.66,ALL,ALL,ALL,0TO99
2157,901,2010,10131.05,ALL,ALL,ALL,0TO99
2156,896,2010,34550.82,ALL,ALL,ALL,0TO99
2164,905,2010,26309.67,ALL,ALL,ALL,0TO99
2162,904,2010,31582.52,ALL,ALL,ALL,0TO99
2164,902,2010,8718.82,ALL,ALL,ALL,0TO99
2160,900,2010,19402.30,ALL,ALL,ALL,0TO99
2155,893,2010,41200.43,ALL,ALL,ALL,0TO99
2154,893,2010,54144.14,ALL,ALL,ALL,0TO99
2155,897,2010,17447.18,ALL,ALL,ALL,0TO99
2162,902,2010,9816.80,ALL,ALL,ALL,0TO99
2161,895,2010,8006.43,ALL,ALL,ALL,0TO99
2158,898,2010,212738.52,ALL,ALL,ALL,0TO99
2166,903,2010,6073.24,ALL,ALL,ALL,0TO99
2162,903,2010,22907.29,ALL,ALL,ALL,0TO99
2159,899,2010,96275.26,ALL,ALL,ALL,0TO99
2160,899,2010,15460.17,ALL,ALL,ALL,0TO99
2164,901,2010,8600.88,ALL,ALL,ALL,0TO99
2156,894,2010,15018.71,ALL,ALL,ALL,0TO99
2161,902,2010,14879.94,ALL,ALL,ALL,0TO99
2162,905,2010,34381.96,ALL,ALL,ALL,0TO99
2161,900,2010,8610.75,ALL,ALL,ALL,0TO99
2161,898,2010,24373.34,ALL,ALL,ALL,0TO99
2157,894,2010,12027.39,ALL,ALL,ALL,0TO99
2158,903,2010,28476.83,ALL,ALL,ALL,0TO99
2157,898,2010,209241.36,ALL,ALL,ALL,0TO99
2158,900,2010,40425.08,ALL,ALL,ALL,0TO99
2156,895,2010,12518.26,ALL,ALL,ALL,0TO99
2163,901,2010,8600.88,ALL,ALL,ALL,0TO99
2159,900,2010,34151.88,ALL,ALL,ALL,0TO99
2156,897,2010,60049.17,ALL,ALL,ALL,0TO99
2155,891,2010,25664.96,ALL,ALL,ALL,0TO99
2158,902,2010,22603.37,ALL,ALL,ALL,0TO99
2154,894,2010,61275.30,ALL,ALL,ALL,0TO99
2159,896,2010,13902.44,ALL,ALL,ALL,0TO99
2163,898,2010,8698.26,ALL,ALL,ALL,0TO99
2165,904,2010,8178.86,ALL,ALL,ALL,0TO99
2160,895,2010,6646.67,ALL,ALL,ALL,0TO99
2153,892,2010,38463.50,ALL,ALL,ALL,0TO99
2160,901,2010,18250.15,ALL,ALL,ALL,0TO99
2157,893,2010,11879.17,ALL,ALL,ALL,0TO99
2164,898,2010,8733.53,ALL,ALL,ALL,0TO99
2161,905,2010,34381.96,ALL,ALL,ALL,0TO99
2157,896,2010,31471.83,ALL,ALL,ALL,0TO99
2157,897,2010,57465.39,ALL,ALL,ALL,0TO99
2165,901,2010,8600.88,ALL,ALL,ALL,0TO99
2160,902,2010,19537.85,ALL,ALL,ALL,0TO99
2164,906,2010,21019.30,ALL,ALL,ALL,0TO99
2161,901,2010,9347.35,ALL,ALL,ALL,0TO99
2160,898,2010,32625.52,ALL,ALL,ALL,0TO99
2161,903,2010,29040.97,ALL,ALL,ALL,0TO99
2161,899,2010,8635.77,ALL,ALL,ALL,0TO99
2165,903,2010,8680.00,ALL,ALL,ALL,0TO99
2157,899,2010,105456.82,ALL,ALL,ALL,0TO99
2158,896,2010,16955.92,ALL,ALL,ALL,0TO99
2159,897,2010,28186.06,ALL,ALL,ALL,0TO99
2159,902,2010,23245.41,ALL,ALL,ALL,0TO99
2163,904,2010,22177.69,ALL,ALL,ALL,0TO99
2154,892,2010,43139.16,ALL,ALL,ALL,0TO99
2158,901,2010,18571.03,ALL,ALL,ALL,0TO99
2157,895,2010,15218.55,ALL,ALL,ALL,0TO99
2161,904,2010,31926.73,ALL,ALL,ALL,0TO99
2159,898,2010,81548.42,ALL,ALL,ALL,0TO99
2154,891,2010,27924.37,ALL,ALL,ALL,0TO99
2162,901,2010,8600.88,ALL,ALL,ALL,0TO99
2159,901,2010,18583.38,ALL,ALL,ALL,0TO99
2160,903,2010,35409.84,ALL,ALL,ALL,0TO99
2159,894,2010,6147.64,ALL,ALL,ALL,0TO99
2163,900,2010,8610.75,ALL,ALL,ALL,0TO99
2165,902,2010,8590.67,ALL,ALL,ALL,0TO99
2158,895,2010,11154.03,ALL,ALL,ALL,0TO99
2158,894,2010,9026.76,ALL,ALL,ALL,0TO99
2153,893,2010,30611.07,ALL,ALL,ALL,0TO99
