Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1715,628,D24HourMean,QuarterlyMean,Mean,10.21
1717,620,D24HourMean,QuarterlyMean,Mean,11.03
1708,613,D24HourMean,QuarterlyMean,Mean,9.20
1710,628,D24HourMean,QuarterlyMean,Mean,11.37
1715,616,D24HourMean,QuarterlyMean,Mean,9.27
1714,623,D24HourMean,QuarterlyMean,Mean,13.00
1697,625,D24HourMean,QuarterlyMean,Mean,10.18
1698,623,D24HourMean,QuarterlyMean,Mean,11.44
1712,623,D24HourMean,QuarterlyMean,Mean,13.03
1696,638,D24HourMean,QuarterlyMean,Mean,11.57
1699,638,D24HourMean,QuarterlyMean,Mean,11.61
1717,628,D24HourMean,QuarterlyMean,Mean,13.73
1714,630,D24HourMean,QuarterlyMean,Mean,10.98
1724,612,D24HourMean,QuarterlyMean,Mean,9.39
1712,610,D24HourMean,QuarterlyMean,Mean,11.05
1716,634,D24HourMean,QuarterlyMean,Mean,16.13
1706,639,D24HourMean,QuarterlyMean,Mean,13.62
1710,613,D24HourMean,QuarterlyMean,Mean,8.46
1706,626,D24HourMean,QuarterlyMean,Mean,12.30
1697,621,D24HourMean,QuarterlyMean,Mean,10.81
1725,611,D24HourMean,QuarterlyMean,Mean,10.03
1725,615,D24HourMean,QuarterlyMean,Mean,9.44
1698,628,D24HourMean,QuarterlyMean,Mean,10.93
1721,619,D24HourMean,QuarterlyMean,Mean,10.86
1703,635,D24HourMean,QuarterlyMean,Mean,13.60
1693,625,D24HourMean,QuarterlyMean,Mean,11.18
1703,629,D24HourMean,QuarterlyMean,Mean,9.53
1720,612,D24HourMean,QuarterlyMean,Mean,8.63
1703,620,D24HourMean,QuarterlyMean,Mean,10.57
1719,618,D24HourMean,QuarterlyMean,Mean,9.12
1714,615,D24HourMean,QuarterlyMean,Mean,5.25
1701,634,D24HourMean,QuarterlyMean,Mean,12.43
1718,619,D24HourMean,QuarterlyMean,Mean,10.88
1711,624,D24HourMean,QuarterlyMean,Mean,11.82
1712,614,D24HourMean,QuarterlyMean,Mean,10.42
1721,609,D24HourMean,QuarterlyMean,Mean,5.10
1706,625,D24HourMean,QuarterlyMean,Mean,10.33
1704,633,D24HourMean,QuarterlyMean,Mean,13.07
1693,633,D24HourMean,QuarterlyMean,Mean,11.03
1705,641,D24HourMean,QuarterlyMean,Mean,13.62
1710,619,D24HourMean,QuarterlyMean,Mean,8.24
1719,616,D24HourMean,QuarterlyMean,Mean,9.10
1703,632,D24HourMean,QuarterlyMean,Mean,11.59
1722,606,D24HourMean,QuarterlyMean,Mean,5.28
1705,626,D24HourMean,QuarterlyMean,Mean,10.91
1708,630,D24HourMean,QuarterlyMean,Mean,10.64
1704,642,D24HourMean,QuarterlyMean,Mean,11.89
1699,621,D24HourMean,QuarterlyMean,Mean,11.79
1705,616,D24HourMean,QuarterlyMean,Mean,8.15
1701,630,D24HourMean,QuarterlyMean,Mean,9.91
1704,625,D24HourMean,QuarterlyMean,Mean,10.49
1694,629,D24HourMean,QuarterlyMean,Mean,11.11
1702,637,D24HourMean,QuarterlyMean,Mean,12.53
1722,614,D24HourMean,QuarterlyMean,Mean,5.21
1691,631,D24HourMean,QuarterlyMean,Mean,9.82
1713,614,D24HourMean,QuarterlyMean,Mean,5.19
1721,620,D24HourMean,QuarterlyMean,Mean,10.86
1704,638,D24HourMean,QuarterlyMean,Mean,12.21
1721,606,D24HourMean,QuarterlyMean,Mean,9.99
1691,633,D24HourMean,QuarterlyMean,Mean,10.18
1719,608,D24HourMean,QuarterlyMean,Mean,5.19
1699,637,D24HourMean,QuarterlyMean,Mean,11.93
1716,629,D24HourMean,QuarterlyMean,Mean,10.66
1725,612,D24HourMean,QuarterlyMean,Mean,9.75
1704,616,D24HourMean,QuarterlyMean,Mean,9.25
1700,619,D24HourMean,QuarterlyMean,Mean,8.32
1707,637,D24HourMean,QuarterlyMean,Mean,13.23
1713,616,D24HourMean,QuarterlyMean,Mean,5.23
1688,628,D24HourMean,QuarterlyMean,Mean,13.42
1725,613,D24HourMean,QuarterlyMean,Mean,5.21
1709,619,D24HourMean,QuarterlyMean,Mean,8.20
1695,635,D24HourMean,QuarterlyMean,Mean,11.05
