Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1715,628,2010,2722.78,ALL,ALL,ALL,0TO99
1717,620,2010,20020.46,ALL,ALL,ALL,0TO99
1708,613,2010,5998.21,ALL,ALL,ALL,0TO99
1710,628,2010,5039.02,ALL,ALL,ALL,0TO99
1715,616,2010,12167.18,ALL,ALL,ALL,0TO99
1714,623,2010,22862.52,ALL,ALL,ALL,0TO99
1697,625,2010,8936.70,ALL,ALL,ALL,0TO99
1698,623,2010,9037.45,ALL,ALL,ALL,0TO99
1712,623,2010,1775.97,ALL,ALL,ALL,0TO99
1696,638,2010,4696.03,ALL,ALL,ALL,0TO99
1699,638,2010,1322.28,ALL,ALL,ALL,0TO99
1717,628,2010,6818.33,ALL,ALL,ALL,0TO99
1714,630,2010,4290.30,ALL,ALL,ALL,0TO99
1724,612,2010,3432.33,ALL,ALL,ALL,0TO99
1712,610,2010,4898.29,ALL,ALL,ALL,0TO99
1716,634,2010,3638.51,ALL,ALL,ALL,0TO99
1706,639,2010,3903.28,ALL,ALL,ALL,0TO99
1710,613,2010,1559.56,ALL,ALL,ALL,0TO99
1706,626,2010,15521.46,ALL,ALL,ALL,0TO99
1697,621,2010,21517.74,ALL,ALL,ALL,0TO99
1725,611,2010,3474.70,ALL,ALL,ALL,0TO99
1725,615,2010,2158.70,ALL,ALL,ALL,0TO99
1698,628,2010,2232.53,ALL,ALL,ALL,0TO99
1721,619,2010,642.11,ALL,ALL,ALL,0TO99
1703,635,2010,678.13,ALL,ALL,ALL,0TO99
1693,625,2010,15077.31,ALL,ALL,ALL,0TO99
1703,629,2010,1763.20,ALL,ALL,ALL,0TO99
1720,612,2010,864.72,ALL,ALL,ALL,0TO99
1703,620,2010,6776.80,ALL,ALL,ALL,0TO99
1719,618,2010,851.34,ALL,ALL,ALL,0TO99
1714,615,2010,3171.77,ALL,ALL,ALL,0TO99
1701,634,2010,334.62,ALL,ALL,ALL,0TO99
1718,619,2010,1118.05,ALL,ALL,ALL,0TO99
1711,624,2010,1481.34,ALL,ALL,ALL,0TO99
1712,614,2010,2573.58,ALL,ALL,ALL,0TO99
1721,609,2010,2048.71,ALL,ALL,ALL,0TO99
1706,625,2010,18168.32,ALL,ALL,ALL,0TO99
1704,633,2010,3081.79,ALL,ALL,ALL,0TO99
1693,633,2010,1561.54,ALL,ALL,ALL,0TO99
1705,641,2010,3231.83,ALL,ALL,ALL,0TO99
1710,619,2010,1839.76,ALL,ALL,ALL,0TO99
1719,616,2010,642.45,ALL,ALL,ALL,0TO99
1703,632,2010,3056.13,ALL,ALL,ALL,0TO99
1722,606,2010,7189.72,ALL,ALL,ALL,0TO99
1705,626,2010,9340.84,ALL,ALL,ALL,0TO99
1708,630,2010,857.75,ALL,ALL,ALL,0TO99
1704,642,2010,508.07,ALL,ALL,ALL,0TO99
1699,621,2010,1680.79,ALL,ALL,ALL,0TO99
1705,616,2010,2233.79,ALL,ALL,ALL,0TO99
1701,630,2010,6136.61,ALL,ALL,ALL,0TO99
1704,625,2010,5494.60,ALL,ALL,ALL,0TO99
1694,629,2010,334.99,ALL,ALL,ALL,0TO99
1702,637,2010,2504.53,ALL,ALL,ALL,0TO99
1722,614,2010,907.96,ALL,ALL,ALL,0TO99
1691,631,2010,2235.32,ALL,ALL,ALL,0TO99
1713,614,2010,3389.13,ALL,ALL,ALL,0TO99
1721,620,2010,678.84,ALL,ALL,ALL,0TO99
1704,638,2010,3078.21,ALL,ALL,ALL,0TO99
1721,606,2010,7794.09,ALL,ALL,ALL,0TO99
1691,633,2010,1022.05,ALL,ALL,ALL,0TO99
1719,608,2010,3220.25,ALL,ALL,ALL,0TO99
1699,637,2010,801.16,ALL,ALL,ALL,0TO99
1716,629,2010,4629.66,ALL,ALL,ALL,0TO99
1725,612,2010,3432.33,ALL,ALL,ALL,0TO99
1704,616,2010,2378.17,ALL,ALL,ALL,0TO99
