Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2604,620,2010,90253.00,ALL,ALL,ALL,0TO99
2605,621,2010,45169.52,ALL,ALL,ALL,0TO99
2610,625,2010,5409.51,ALL,ALL,ALL,0TO99
2617,628,2010,17392.71,ALL,ALL,ALL,0TO99
2602,646,2010,6887.52,ALL,ALL,ALL,0TO99
2612,640,2010,17834.03,ALL,ALL,ALL,0TO99
2604,642,2010,30938.21,ALL,ALL,ALL,0TO99
2609,621,2010,38817.53,ALL,ALL,ALL,0TO99
2611,638,2010,18611.22,ALL,ALL,ALL,0TO99
2600,644,2010,3582.72,ALL,ALL,ALL,0TO99
2607,631,2010,78670.71,ALL,ALL,ALL,0TO99
2601,634,2010,53651.03,ALL,ALL,ALL,0TO99
2614,640,2010,26928.89,ALL,ALL,ALL,0TO99
2605,638,2010,20643.94,ALL,ALL,ALL,0TO99
2611,623,2010,19641.17,ALL,ALL,ALL,0TO99
2615,637,2010,29936.71,ALL,ALL,ALL,0TO99
2608,631,2010,54268.69,ALL,ALL,ALL,0TO99
2604,625,2010,21957.92,ALL,ALL,ALL,0TO99
2599,634,2010,83748.53,ALL,ALL,ALL,0TO99
2609,647,2010,7387.58,ALL,ALL,ALL,0TO99
2604,634,2010,102755.48,ALL,ALL,ALL,0TO99
2609,634,2010,11344.01,ALL,ALL,ALL,0TO99
2604,628,2010,48101.91,ALL,ALL,ALL,0TO99
2600,657,2010,27077.38,ALL,ALL,ALL,0TO99
2604,641,2010,36396.86,ALL,ALL,ALL,0TO99
2613,625,2010,9946.32,ALL,ALL,ALL,0TO99
2609,635,2010,5727.08,ALL,ALL,ALL,0TO99
2601,638,2010,17405.66,ALL,ALL,ALL,0TO99
2604,639,2010,18254.44,ALL,ALL,ALL,0TO99
2605,637,2010,23006.68,ALL,ALL,ALL,0TO99
2604,626,2010,45726.65,ALL,ALL,ALL,0TO99
2602,625,2010,56166.56,ALL,ALL,ALL,0TO99
2611,624,2010,8710.34,ALL,ALL,ALL,0TO99
2604,633,2010,74479.48,ALL,ALL,ALL,0TO99
2604,621,2010,45639.70,ALL,ALL,ALL,0TO99
2607,632,2010,184723.03,ALL,ALL,ALL,0TO99
2603,642,2010,10894.46,ALL,ALL,ALL,0TO99
2615,634,2010,16465.78,ALL,ALL,ALL,0TO99
2607,650,2010,11220.24,ALL,ALL,ALL,0TO99
2602,641,2010,22018.36,ALL,ALL,ALL,0TO99
2605,619,2010,65694.14,ALL,ALL,ALL,0TO99
2612,622,2010,15811.28,ALL,ALL,ALL,0TO99
2600,648,2010,8444.10,ALL,ALL,ALL,0TO99
2601,640,2010,8425.46,ALL,ALL,ALL,0TO99
2614,635,2010,20871.94,ALL,ALL,ALL,0TO99
2607,636,2010,33876.35,ALL,ALL,ALL,0TO99
2616,639,2010,14355.19,ALL,ALL,ALL,0TO99
2611,642,2010,15497.70,ALL,ALL,ALL,0TO99
2605,651,2010,8587.59,ALL,ALL,ALL,0TO99
2602,630,2010,107566.48,ALL,ALL,ALL,0TO99
2610,644,2010,10227.10,ALL,ALL,ALL,0TO99
2606,635,2010,54013.92,ALL,ALL,ALL,0TO99
2605,627,2010,48927.85,ALL,ALL,ALL,0TO99
2604,627,2010,57377.95,ALL,ALL,ALL,0TO99
2601,629,2010,243483.39,ALL,ALL,ALL,0TO99
2601,622,2010,73225.93,ALL,ALL,ALL,0TO99
2610,637,2010,20590.32,ALL,ALL,ALL,0TO99
2605,648,2010,12034.02,ALL,ALL,ALL,0TO99
2606,632,2010,180375.70,ALL,ALL,ALL,0TO99
2613,624,2010,6123.69,ALL,ALL,ALL,0TO99
2615,627,2010,8847.18,ALL,ALL,ALL,0TO99
2606,649,2010,12061.38,ALL,ALL,ALL,0TO99
2605,640,2010,29475.87,ALL,ALL,ALL,0TO99
2607,640,2010,16153.05,ALL,ALL,ALL,0TO99
2604,640,2010,24098.18,ALL,ALL,ALL,0TO99
2616,636,2010,29943.80,ALL,ALL,ALL,0TO99
2618,633,2010,20890.27,ALL,ALL,ALL,0TO99
