Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2078,259,D24HourMean,QuarterlyMean,Mean,7.84
2080,265,D24HourMean,QuarterlyMean,Mean,8.29
2087,262,D24HourMean,QuarterlyMean,Mean,8.10
2078,258,D24HourMean,QuarterlyMean,Mean,7.91
2089,261,D24HourMean,QuarterlyMean,Mean,8.25
2086,261,D24HourMean,QuarterlyMean,Mean,7.82
2080,258,D24HourMean,QuarterlyMean,Mean,8.25
2079,267,D24HourMean,QuarterlyMean,Mean,8.81
2085,271,D24HourMean,QuarterlyMean,Mean,8.31
2080,267,D24HourMean,QuarterlyMean,Mean,8.25
2075,265,D24HourMean,QuarterlyMean,Mean,10.34
2075,263,D24HourMean,QuarterlyMean,Mean,9.69
2087,273,D24HourMean,QuarterlyMean,Mean,9.08
2092,269,D24HourMean,QuarterlyMean,Mean,9.00
2079,256,D24HourMean,QuarterlyMean,Mean,8.74
2085,263,D24HourMean,QuarterlyMean,Mean,7.71
2081,270,D24HourMean,QuarterlyMean,Mean,8.69
2084,265,D24HourMean,QuarterlyMean,Mean,7.71
2081,266,D24HourMean,QuarterlyMean,Mean,8.34
2082,267,D24HourMean,QuarterlyMean,Mean,9.05
2076,264,D24HourMean,QuarterlyMean,Mean,8.71
2091,264,D24HourMean,QuarterlyMean,Mean,7.89
2077,259,D24HourMean,QuarterlyMean,Mean,8.03
2080,264,D24HourMean,QuarterlyMean,Mean,8.18
2081,265,D24HourMean,QuarterlyMean,Mean,8.08
2085,262,D24HourMean,QuarterlyMean,Mean,7.66
2077,256,D24HourMean,QuarterlyMean,Mean,8.81
2084,270,D24HourMean,QuarterlyMean,Mean,8.88
2084,260,D24HourMean,QuarterlyMean,Mean,7.99
2085,273,D24HourMean,QuarterlyMean,Mean,8.50
2085,261,D24HourMean,QuarterlyMean,Mean,7.99
2094,266,D24HourMean,QuarterlyMean,Mean,8.76
2074,261,D24HourMean,QuarterlyMean,Mean,9.17
2083,268,D24HourMean,QuarterlyMean,Mean,9.36
2088,260,D24HourMean,QuarterlyMean,Mean,5.50
2077,260,D24HourMean,QuarterlyMean,Mean,8.24
2086,259,D24HourMean,QuarterlyMean,Mean,7.64
2081,255,D24HourMean,QuarterlyMean,Mean,7.47
2085,264,D24HourMean,QuarterlyMean,Mean,7.64
2086,271,D24HourMean,QuarterlyMean,Mean,9.20
2082,255,D24HourMean,QuarterlyMean,Mean,7.70
2078,254,D24HourMean,QuarterlyMean,Mean,8.10
2077,266,D24HourMean,QuarterlyMean,Mean,10.35
2088,271,D24HourMean,QuarterlyMean,Mean,9.08
2091,266,D24HourMean,QuarterlyMean,Mean,5.45
2087,272,D24HourMean,QuarterlyMean,Mean,9.31
2075,262,D24HourMean,QuarterlyMean,Mean,9.57
2080,270,D24HourMean,QuarterlyMean,Mean,9.46
2086,267,D24HourMean,QuarterlyMean,Mean,7.96
2080,261,D24HourMean,QuarterlyMean,Mean,7.14
2081,269,D24HourMean,QuarterlyMean,Mean,8.34
2079,260,D24HourMean,QuarterlyMean,Mean,7.70
2076,261,D24HourMean,QuarterlyMean,Mean,8.13
2088,262,D24HourMean,QuarterlyMean,Mean,9.07
2082,259,D24HourMean,QuarterlyMean,Mean,8.32
2086,263,D24HourMean,QuarterlyMean,Mean,7.54
2086,268,D24HourMean,QuarterlyMean,Mean,7.89
2081,261,D24HourMean,QuarterlyMean,Mean,7.31
2077,268,D24HourMean,QuarterlyMean,Mean,10.95
2087,263,D24HourMean,QuarterlyMean,Mean,8.13
2093,265,D24HourMean,QuarterlyMean,Mean,8.71
2074,260,D24HourMean,QuarterlyMean,Mean,9.60
2091,261,D24HourMean,QuarterlyMean,Mean,7.89
2092,265,D24HourMean,QuarterlyMean,Mean,8.38
2088,266,D24HourMean,QuarterlyMean,Mean,7.89
2082,265,D24HourMean,QuarterlyMean,Mean,7.91
2081,271,D24HourMean,QuarterlyMean,Mean,9.17
2090,271,D24HourMean,QuarterlyMean,Mean,9.15
2074,263,D24HourMean,QuarterlyMean,Mean,10.29
2089,266,D24HourMean,QuarterlyMean,Mean,5.48
2076,256,D24HourMean,QuarterlyMean,Mean,9.33
2087,265,D24HourMean,QuarterlyMean,Mean,8.25
2086,264,D24HourMean,QuarterlyMean,Mean,7.92
2075,257,D24HourMean,QuarterlyMean,Mean,9.55
2083,258,D24HourMean,QuarterlyMean,Mean,7.82
2089,264,D24HourMean,QuarterlyMean,Mean,9.19
2084,262,D24HourMean,QuarterlyMean,Mean,7.66
2080,266,D24HourMean,QuarterlyMean,Mean,8.53
2084,271,D24HourMean,QuarterlyMean,Mean,8.67
2076,257,D24HourMean,QuarterlyMean,Mean,9.15
2078,257,D24HourMean,QuarterlyMean,Mean,8.64
2094,267,D24HourMean,QuarterlyMean,Mean,9.03
2078,261,D24HourMean,QuarterlyMean,Mean,8.36
2086,265,D24HourMean,QuarterlyMean,Mean,8.08
2082,256,D24HourMean,QuarterlyMean,Mean,7.49
2083,256,D24HourMean,QuarterlyMean,Mean,7.71
2089,269,D24HourMean,QuarterlyMean,Mean,8.10
2082,254,D24HourMean,QuarterlyMean,Mean,7.59
2084,267,D24HourMean,QuarterlyMean,Mean,8.44
2081,267,D24HourMean,QuarterlyMean,Mean,9.08
2082,261,D24HourMean,QuarterlyMean,Mean,7.49
2073,260,D24HourMean,QuarterlyMean,Mean,9.43
2073,262,D24HourMean,QuarterlyMean,Mean,10.10
2090,268,D24HourMean,QuarterlyMean,Mean,7.99
