Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2078,259,2010,5935.16,ALL,ALL,ALL,0TO99
2080,265,2010,13034.04,ALL,ALL,ALL,0TO99
2087,262,2010,2570.44,ALL,ALL,ALL,0TO99
2078,258,2010,5928.67,ALL,ALL,ALL,0TO99
2089,261,2010,3412.08,ALL,ALL,ALL,0TO99
2086,261,2010,5285.79,ALL,ALL,ALL,0TO99
2080,258,2010,4912.75,ALL,ALL,ALL,0TO99
2079,267,2010,17134.69,ALL,ALL,ALL,0TO99
2085,271,2010,8561.18,ALL,ALL,ALL,0TO99
2080,267,2010,17115.90,ALL,ALL,ALL,0TO99
2075,265,2010,12507.56,ALL,ALL,ALL,0TO99
2075,263,2010,12320.21,ALL,ALL,ALL,0TO99
2087,273,2010,6696.48,ALL,ALL,ALL,0TO99
2092,269,2010,1766.97,ALL,ALL,ALL,0TO99
2079,256,2010,4668.05,ALL,ALL,ALL,0TO99
2085,263,2010,2437.05,ALL,ALL,ALL,0TO99
2081,270,2010,14277.13,ALL,ALL,ALL,0TO99
2084,265,2010,2441.90,ALL,ALL,ALL,0TO99
2081,266,2010,15301.55,ALL,ALL,ALL,0TO99
2082,267,2010,17095.29,ALL,ALL,ALL,0TO99
2076,264,2010,13020.63,ALL,ALL,ALL,0TO99
2091,264,2010,2305.44,ALL,ALL,ALL,0TO99
2077,259,2010,5937.13,ALL,ALL,ALL,0TO99
2080,264,2010,13020.63,ALL,ALL,ALL,0TO99
2081,265,2010,12406.31,ALL,ALL,ALL,0TO99
2085,262,2010,2489.77,ALL,ALL,ALL,0TO99
2077,256,2010,5466.04,ALL,ALL,ALL,0TO99
2084,270,2010,14002.20,ALL,ALL,ALL,0TO99
2084,260,2010,6208.72,ALL,ALL,ALL,0TO99
2085,273,2010,5733.47,ALL,ALL,ALL,0TO99
2085,261,2010,4841.98,ALL,ALL,ALL,0TO99
2094,266,2010,1822.22,ALL,ALL,ALL,0TO99
2074,261,2010,10250.43,ALL,ALL,ALL,0TO99
2083,268,2010,11377.33,ALL,ALL,ALL,0TO99
2088,260,2010,3765.06,ALL,ALL,ALL,0TO99
2077,260,2010,9535.88,ALL,ALL,ALL,0TO99
2086,259,2010,3772.83,ALL,ALL,ALL,0TO99
2081,255,2010,4661.27,ALL,ALL,ALL,0TO99
2085,264,2010,2439.39,ALL,ALL,ALL,0TO99
2086,271,2010,7211.79,ALL,ALL,ALL,0TO99
2082,255,2010,3739.36,ALL,ALL,ALL,0TO99
2078,254,2010,5278.52,ALL,ALL,ALL,0TO99
2077,266,2010,14837.16,ALL,ALL,ALL,0TO99
2088,271,2010,6942.50,ALL,ALL,ALL,0TO99
2091,266,2010,1822.22,ALL,ALL,ALL,0TO99
2087,272,2010,7218.42,ALL,ALL,ALL,0TO99
2075,262,2010,10920.60,ALL,ALL,ALL,0TO99
2080,270,2010,18157.84,ALL,ALL,ALL,0TO99
2086,267,2010,10318.85,ALL,ALL,ALL,0TO99
2080,261,2010,12897.57,ALL,ALL,ALL,0TO99
2081,269,2010,16846.99,ALL,ALL,ALL,0TO99
2079,260,2010,8696.74,ALL,ALL,ALL,0TO99
2076,261,2010,10836.62,ALL,ALL,ALL,0TO99
2088,262,2010,2446.11,ALL,ALL,ALL,0TO99
2082,259,2010,5431.77,ALL,ALL,ALL,0TO99
2086,263,2010,2437.05,ALL,ALL,ALL,0TO99
2086,268,2010,13718.16,ALL,ALL,ALL,0TO99
2081,261,2010,12769.62,ALL,ALL,ALL,0TO99
2077,268,2010,13638.02,ALL,ALL,ALL,0TO99
2087,263,2010,2437.05,ALL,ALL,ALL,0TO99
2093,265,2010,1797.28,ALL,ALL,ALL,0TO99
2074,260,2010,7946.73,ALL,ALL,ALL,0TO99
2091,261,2010,3732.68,ALL,ALL,ALL,0TO99
2092,265,2010,1820.48,ALL,ALL,ALL,0TO99
2088,266,2010,2058.21,ALL,ALL,ALL,0TO99
2082,265,2010,4640.77,ALL,ALL,ALL,0TO99
2081,271,2010,9233.30,ALL,ALL,ALL,0TO99
2090,271,2010,988.75,ALL,ALL,ALL,0TO99
2074,263,2010,10988.77,ALL,ALL,ALL,0TO99
2089,266,2010,1864.05,ALL,ALL,ALL,0TO99
2076,256,2010,5739.09,ALL,ALL,ALL,0TO99
2087,265,2010,2452.85,ALL,ALL,ALL,0TO99
2086,264,2010,2439.39,ALL,ALL,ALL,0TO99
2075,257,2010,5744.81,ALL,ALL,ALL,0TO99
2083,258,2010,4340.06,ALL,ALL,ALL,0TO99
2089,264,2010,2381.88,ALL,ALL,ALL,0TO99
2084,262,2010,2434.60,ALL,ALL,ALL,0TO99
2080,266,2010,15111.22,ALL,ALL,ALL,0TO99
2084,271,2010,11232.47,ALL,ALL,ALL,0TO99
2076,257,2010,5922.61,ALL,ALL,ALL,0TO99
2078,257,2010,5785.87,ALL,ALL,ALL,0TO99
2094,267,2010,1734.84,ALL,ALL,ALL,0TO99
2078,261,2010,12073.05,ALL,ALL,ALL,0TO99
2086,265,2010,2481.16,ALL,ALL,ALL,0TO99
2082,256,2010,4665.92,ALL,ALL,ALL,0TO99
2083,256,2010,3055.99,ALL,ALL,ALL,0TO99
2089,269,2010,1827.53,ALL,ALL,ALL,0TO99
2082,254,2010,2708.36,ALL,ALL,ALL,0TO99
2084,267,2010,6407.42,ALL,ALL,ALL,0TO99
2081,267,2010,17057.26,ALL,ALL,ALL,0TO99
2082,261,2010,12881.32,ALL,ALL,ALL,0TO99
2073,260,2010,6375.81,ALL,ALL,ALL,0TO99
2073,262,2010,10845.29,ALL,ALL,ALL,0TO99
2090,268,2010,1825.81,ALL,ALL,ALL,0TO99
2086,272,2010,7218.76,ALL,ALL,ALL,0TO99
2073,263,2010,10856.17,ALL,ALL,ALL,0TO99
2075,266,2010,8275.34,ALL,ALL,ALL,0TO99
2083,260,2010,8177.21,ALL,ALL,ALL,0TO99
2076,258,2010,5928.67,ALL,ALL,ALL,0TO99
2088,268,2010,3067.58,ALL,ALL,ALL,0TO99
2081,257,2010,4670.72,ALL,ALL,ALL,0TO99
2090,269,2010,1827.53,ALL,ALL,ALL,0TO99
2079,268,2010,17145.14,ALL,ALL,ALL,0TO99
2073,261,2010,10687.42,ALL,ALL,ALL,0TO99
2087,259,2010,3773.39,ALL,ALL,ALL,0TO99
2089,270,2010,1981.09,ALL,ALL,ALL,0TO99
2089,259,2010,3507.54,ALL,ALL,ALL,0TO99
2082,269,2010,14946.32,ALL,ALL,ALL,0TO99
2083,272,2010,9309.97,ALL,ALL,ALL,0TO99
2078,270,2010,9567.61,ALL,ALL,ALL,0TO99
2082,266,2010,13325.69,ALL,ALL,ALL,0TO99
2082,262,2010,12507.40,ALL,ALL,ALL,0TO99
2084,268,2010,11285.24,ALL,ALL,ALL,0TO99
2082,268,2010,17070.89,ALL,ALL,ALL,0TO99
2087,271,2010,7211.79,ALL,ALL,ALL,0TO99
2084,272,2010,7017.18,ALL,ALL,ALL,0TO99
2083,264,2010,2439.76,ALL,ALL,ALL,0TO99
