Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2051,1116,D24HourMean,QuarterlyMean,Mean,8.02
2033,1108,D24HourMean,QuarterlyMean,Mean,8.54
2013,1121,D24HourMean,QuarterlyMean,Mean,8.94
2015,1120,D24HourMean,QuarterlyMean,Mean,8.57
2026,1116,D24HourMean,QuarterlyMean,Mean,7.58
2038,1106,D24HourMean,QuarterlyMean,Mean,7.75
2023,1122,D24HourMean,QuarterlyMean,Mean,8.35
2056,1120,D24HourMean,QuarterlyMean,Mean,7.25
2043,1099,D24HourMean,QuarterlyMean,Mean,8.31
2025,1123,D24HourMean,QuarterlyMean,Mean,8.39
2062,1117,D24HourMean,QuarterlyMean,Mean,7.53
2060,1113,D24HourMean,QuarterlyMean,Mean,7.95
2049,1104,D24HourMean,QuarterlyMean,Mean,8.25
2052,1111,D24HourMean,QuarterlyMean,Mean,7.81
2038,1102,D24HourMean,QuarterlyMean,Mean,7.50
2038,1100,D24HourMean,QuarterlyMean,Mean,7.87
2023,1123,D24HourMean,QuarterlyMean,Mean,8.44
2042,1105,D24HourMean,QuarterlyMean,Mean,7.95
2046,1121,D24HourMean,QuarterlyMean,Mean,8.07
2050,1114,D24HourMean,QuarterlyMean,Mean,8.18
2051,1119,D24HourMean,QuarterlyMean,Mean,7.52
2033,1120,D24HourMean,QuarterlyMean,Mean,7.78
2036,1114,D24HourMean,QuarterlyMean,Mean,8.10
2023,1115,D24HourMean,QuarterlyMean,Mean,7.54
2025,1118,D24HourMean,QuarterlyMean,Mean,7.79
2064,1112,D24HourMean,QuarterlyMean,Mean,7.72
2019,1113,D24HourMean,QuarterlyMean,Mean,7.85
2018,1122,D24HourMean,QuarterlyMean,Mean,8.24
2028,1111,D24HourMean,QuarterlyMean,Mean,8.66
2034,1123,D24HourMean,QuarterlyMean,Mean,8.08
2045,1103,D24HourMean,QuarterlyMean,Mean,7.44
2041,1112,D24HourMean,QuarterlyMean,Mean,8.57
2053,1112,D24HourMean,QuarterlyMean,Mean,8.18
2053,1120,D24HourMean,QuarterlyMean,Mean,7.54
2030,1111,D24HourMean,QuarterlyMean,Mean,8.39
2044,1122,D24HourMean,QuarterlyMean,Mean,8.05
2026,1123,D24HourMean,QuarterlyMean,Mean,8.32
2046,1105,D24HourMean,QuarterlyMean,Mean,7.35
2030,1104,D24HourMean,QuarterlyMean,Mean,7.91
2047,1118,D24HourMean,QuarterlyMean,Mean,7.68
2055,1109,D24HourMean,QuarterlyMean,Mean,8.06
2038,1119,D24HourMean,QuarterlyMean,Mean,7.74
2021,1118,D24HourMean,QuarterlyMean,Mean,7.94
2036,1103,D24HourMean,QuarterlyMean,Mean,7.66
2029,1112,D24HourMean,QuarterlyMean,Mean,8.26
2033,1119,D24HourMean,QuarterlyMean,Mean,7.87
2045,1104,D24HourMean,QuarterlyMean,Mean,7.51
2061,1112,D24HourMean,QuarterlyMean,Mean,8.00
2041,1117,D24HourMean,QuarterlyMean,Mean,7.87
2046,1101,D24HourMean,QuarterlyMean,Mean,7.86
2036,1119,D24HourMean,QuarterlyMean,Mean,7.64
2059,1112,D24HourMean,QuarterlyMean,Mean,7.87
2052,1110,D24HourMean,QuarterlyMean,Mean,7.71
2033,1117,D24HourMean,QuarterlyMean,Mean,7.47
2032,1119,D24HourMean,QuarterlyMean,Mean,7.76
2054,1113,D24HourMean,QuarterlyMean,Mean,7.95
2051,1109,D24HourMean,QuarterlyMean,Mean,8.29
2039,1117,D24HourMean,QuarterlyMean,Mean,7.81
2028,1113,D24HourMean,QuarterlyMean,Mean,7.68
2029,1114,D24HourMean,QuarterlyMean,Mean,7.52
2035,1104,D24HourMean,QuarterlyMean,Mean,8.21
2035,1113,D24HourMean,QuarterlyMean,Mean,7.89
2055,1103,D24HourMean,QuarterlyMean,Mean,7.71
2055,1110,D24HourMean,QuarterlyMean,Mean,7.76
2034,1111,D24HourMean,QuarterlyMean,Mean,7.88
2052,1104,D24HourMean,QuarterlyMean,Mean,8.20
2039,1109,D24HourMean,QuarterlyMean,Mean,9.83
2044,1116,D24HourMean,QuarterlyMean,Mean,8.17
2039,1104,D24HourMean,QuarterlyMean,Mean,8.23
2038,1101,D24HourMean,QuarterlyMean,Mean,7.60
2057,1118,D24HourMean,QuarterlyMean,Mean,7.41
2044,1109,D24HourMean,QuarterlyMean,Mean,8.34
2057,1117,D24HourMean,QuarterlyMean,Mean,7.44
2032,1118,D24HourMean,QuarterlyMean,Mean,7.55
2041,1121,D24HourMean,QuarterlyMean,Mean,7.98
2061,1114,D24HourMean,QuarterlyMean,Mean,7.95
2042,1103,D24HourMean,QuarterlyMean,Mean,7.61
2043,1114,D24HourMean,QuarterlyMean,Mean,8.33
2049,1116,D24HourMean,QuarterlyMean,Mean,7.95
2066,1115,D24HourMean,QuarterlyMean,Mean,7.37
2057,1113,D24HourMean,QuarterlyMean,Mean,7.99
2024,1118,D24HourMean,QuarterlyMean,Mean,7.67
2036,1104,D24HourMean,QuarterlyMean,Mean,8.10
2026,1114,D24HourMean,QuarterlyMean,Mean,7.67
2066,1116,D24HourMean,QuarterlyMean,Mean,7.24
2028,1122,D24HourMean,QuarterlyMean,Mean,8.20
2032,1121,D24HourMean,QuarterlyMean,Mean,7.63
2062,1118,D24HourMean,QuarterlyMean,Mean,7.46
2037,1113,D24HourMean,QuarterlyMean,Mean,7.99
2050,1119,D24HourMean,QuarterlyMean,Mean,7.52
2041,1120,D24HourMean,QuarterlyMean,Mean,8.28
2037,1099,D24HourMean,QuarterlyMean,Mean,8.69
2063,1117,D24HourMean,QuarterlyMean,Mean,7.47
2032,1106,D24HourMean,QuarterlyMean,Mean,7.87
2020,1113,D24HourMean,QuarterlyMean,Mean,7.92
2022,1122,D24HourMean,QuarterlyMean,Mean,8.37
2063,1114,D24HourMean,QuarterlyMean,Mean,7.77
2039,1114,D24HourMean,QuarterlyMean,Mean,8.25
2049,1107,D24HourMean,QuarterlyMean,Mean,8.20
2054,1115,D24HourMean,QuarterlyMean,Mean,7.95
2062,1116,D24HourMean,QuarterlyMean,Mean,7.73
2060,1118,D24HourMean,QuarterlyMean,Mean,7.44
2043,1117,D24HourMean,QuarterlyMean,Mean,8.19
2045,1115,D24HourMean,QuarterlyMean,Mean,8.15
2053,1111,D24HourMean,QuarterlyMean,Mean,7.75
2036,1099,D24HourMean,QuarterlyMean,Mean,9.04
2020,1111,D24HourMean,QuarterlyMean,Mean,8.30
2055,1111,D24HourMean,QuarterlyMean,Mean,7.86
2050,1116,D24HourMean,QuarterlyMean,Mean,7.88
2032,1108,D24HourMean,QuarterlyMean,Mean,8.62
2015,1118,D24HourMean,QuarterlyMean,Mean,8.55
2017,1115,D24HourMean,QuarterlyMean,Mean,8.16
2055,1104,D24HourMean,QuarterlyMean,Mean,7.96
2045,1107,D24HourMean,QuarterlyMean,Mean,7.72
2029,1117,D24HourMean,QuarterlyMean,Mean,7.64
2043,1119,D24HourMean,QuarterlyMean,Mean,8.22
2048,1123,D24HourMean,QuarterlyMean,Mean,7.72
2030,1114,D24HourMean,QuarterlyMean,Mean,7.64
2051,1115,D24HourMean,QuarterlyMean,Mean,8.23
2049,1106,D24HourMean,QuarterlyMean,Mean,8.14
2040,1104,D24HourMean,QuarterlyMean,Mean,8.38
2015,1113,D24HourMean,QuarterlyMean,Mean,8.04
2056,1121,D24HourMean,QuarterlyMean,Mean,7.23
2031,1121,D24HourMean,QuarterlyMean,Mean,7.79
2055,1115,D24HourMean,QuarterlyMean,Mean,8.13
2044,1115,D24HourMean,QuarterlyMean,Mean,8.10
2027,1116,D24HourMean,QuarterlyMean,Mean,7.53
2030,1116,D24HourMean,QuarterlyMean,Mean,7.66
2019,1119,D24HourMean,QuarterlyMean,Mean,8.15
2058,1117,D24HourMean,QuarterlyMean,Mean,7.53
2056,1117,D24HourMean,QuarterlyMean,Mean,7.46
2031,1103,D24HourMean,QuarterlyMean,Mean,7.97
2027,1123,D24HourMean,QuarterlyMean,Mean,8.42
2023,1114,D24HourMean,QuarterlyMean,Mean,7.60
2036,1117,D24HourMean,QuarterlyMean,Mean,7.64
2049,1112,D24HourMean,QuarterlyMean,Mean,8.23
2056,1118,D24HourMean,QuarterlyMean,Mean,7.39
2056,1108,D24HourMean,QuarterlyMean,Mean,8.40
2059,1113,D24HourMean,QuarterlyMean,Mean,7.81
2041,1109,D24HourMean,QuarterlyMean,Mean,9.54
2061,1117,D24HourMean,QuarterlyMean,Mean,7.54
2035,1112,D24HourMean,QuarterlyMean,Mean,8.02
2045,1106,D24HourMean,QuarterlyMean,Mean,7.48
2018,1120,D24HourMean,QuarterlyMean,Mean,8.16
2033,1109,D24HourMean,QuarterlyMean,Mean,8.88
2041,1116,D24HourMean,QuarterlyMean,Mean,8.09
2034,1122,D24HourMean,QuarterlyMean,Mean,7.88
2052,1116,D24HourMean,QuarterlyMean,Mean,8.09
2044,1101,D24HourMean,QuarterlyMean,Mean,7.82
