Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2051,1116,2010,1366.25,ALL,ALL,ALL,0TO99
2033,1108,2010,3111.59,ALL,ALL,ALL,0TO99
2013,1121,2010,1638.18,ALL,ALL,ALL,0TO99
2015,1120,2010,3435.26,ALL,ALL,ALL,0TO99
2026,1116,2010,1755.16,ALL,ALL,ALL,0TO99
2038,1106,2010,2413.22,ALL,ALL,ALL,0TO99
2023,1122,2010,4332.37,ALL,ALL,ALL,0TO99
2056,1120,2010,1578.93,ALL,ALL,ALL,0TO99
2043,1099,2010,5027.60,ALL,ALL,ALL,0TO99
2025,1123,2010,4040.34,ALL,ALL,ALL,0TO99
2062,1117,2010,1137.89,ALL,ALL,ALL,0TO99
2060,1113,2010,4609.42,ALL,ALL,ALL,0TO99
2049,1104,2010,2258.15,ALL,ALL,ALL,0TO99
2052,1111,2010,2040.23,ALL,ALL,ALL,0TO99
2038,1102,2010,1364.25,ALL,ALL,ALL,0TO99
2038,1100,2010,1380.37,ALL,ALL,ALL,0TO99
2023,1123,2010,4118.65,ALL,ALL,ALL,0TO99
2042,1105,2010,2581.04,ALL,ALL,ALL,0TO99
2046,1121,2010,1742.94,ALL,ALL,ALL,0TO99
2050,1114,2010,1367.38,ALL,ALL,ALL,0TO99
2051,1119,2010,1581.95,ALL,ALL,ALL,0TO99
2033,1120,2010,2108.32,ALL,ALL,ALL,0TO99
2036,1114,2010,2194.46,ALL,ALL,ALL,0TO99
2023,1115,2010,1954.18,ALL,ALL,ALL,0TO99
2025,1118,2010,2927.41,ALL,ALL,ALL,0TO99
2064,1112,2010,4401.90,ALL,ALL,ALL,0TO99
2019,1113,2010,2174.89,ALL,ALL,ALL,0TO99
2018,1122,2010,1960.21,ALL,ALL,ALL,0TO99
2028,1111,2010,1790.45,ALL,ALL,ALL,0TO99
2034,1123,2010,1787.63,ALL,ALL,ALL,0TO99
2045,1103,2010,1117.08,ALL,ALL,ALL,0TO99
2041,1112,2010,2875.02,ALL,ALL,ALL,0TO99
2053,1112,2010,1391.13,ALL,ALL,ALL,0TO99
2053,1120,2010,1579.39,ALL,ALL,ALL,0TO99
2030,1111,2010,1824.60,ALL,ALL,ALL,0TO99
2044,1122,2010,1786.12,ALL,ALL,ALL,0TO99
2026,1123,2010,3509.40,ALL,ALL,ALL,0TO99
2046,1105,2010,2456.03,ALL,ALL,ALL,0TO99
2030,1104,2010,3028.52,ALL,ALL,ALL,0TO99
2047,1118,2010,1457.58,ALL,ALL,ALL,0TO99
2055,1109,2010,3019.24,ALL,ALL,ALL,0TO99
2038,1119,2010,1576.92,ALL,ALL,ALL,0TO99
2021,1118,2010,2433.08,ALL,ALL,ALL,0TO99
2036,1103,2010,1420.44,ALL,ALL,ALL,0TO99
2029,1112,2010,1794.91,ALL,ALL,ALL,0TO99
2033,1119,2010,22659.71,ALL,ALL,ALL,0TO99
2045,1104,2010,2058.36,ALL,ALL,ALL,0TO99
2061,1112,2010,1840.94,ALL,ALL,ALL,0TO99
2041,1117,2010,1666.87,ALL,ALL,ALL,0TO99
2046,1101,2010,903.61,ALL,ALL,ALL,0TO99
2036,1119,2010,1933.89,ALL,ALL,ALL,0TO99
2059,1112,2010,1653.30,ALL,ALL,ALL,0TO99
2052,1110,2010,1634.50,ALL,ALL,ALL,0TO99
2033,1117,2010,2103.69,ALL,ALL,ALL,0TO99
2032,1119,2010,2114.01,ALL,ALL,ALL,0TO99
2054,1113,2010,1340.55,ALL,ALL,ALL,0TO99
2051,1109,2010,1661.18,ALL,ALL,ALL,0TO99
2039,1117,2010,2227.33,ALL,ALL,ALL,0TO99
2028,1113,2010,1924.25,ALL,ALL,ALL,0TO99
2029,1114,2010,1930.49,ALL,ALL,ALL,0TO99
2035,1104,2010,2999.78,ALL,ALL,ALL,0TO99
2035,1113,2010,1985.54,ALL,ALL,ALL,0TO99
2055,1103,2010,1871.37,ALL,ALL,ALL,0TO99
2055,1110,2010,1956.74,ALL,ALL,ALL,0TO99
2034,1111,2010,1790.53,ALL,ALL,ALL,0TO99
2052,1104,2010,2027.26,ALL,ALL,ALL,0TO99
2039,1109,2010,67488.78,ALL,ALL,ALL,0TO99
2044,1116,2010,14765.78,ALL,ALL,ALL,0TO99
2039,1104,2010,1963.95,ALL,ALL,ALL,0TO99
2038,1101,2010,1428.01,ALL,ALL,ALL,0TO99
2057,1118,2010,1587.17,ALL,ALL,ALL,0TO99
2044,1109,2010,2908.38,ALL,ALL,ALL,0TO99
2057,1117,2010,1984.36,ALL,ALL,ALL,0TO99
2032,1118,2010,2119.31,ALL,ALL,ALL,0TO99
2041,1121,2010,1569.67,ALL,ALL,ALL,0TO99
2061,1114,2010,4742.41,ALL,ALL,ALL,0TO99
2042,1103,2010,3740.44,ALL,ALL,ALL,0TO99
2043,1114,2010,2231.81,ALL,ALL,ALL,0TO99
2049,1116,2010,1360.99,ALL,ALL,ALL,0TO99
2066,1115,2010,3884.34,ALL,ALL,ALL,0TO99
2057,1113,2010,1719.53,ALL,ALL,ALL,0TO99
2024,1118,2010,2927.41,ALL,ALL,ALL,0TO99
2036,1104,2010,2136.20,ALL,ALL,ALL,0TO99
2026,1114,2010,2613.40,ALL,ALL,ALL,0TO99
2066,1116,2010,1659.84,ALL,ALL,ALL,0TO99
2028,1122,2010,2214.13,ALL,ALL,ALL,0TO99
2032,1121,2010,2100.57,ALL,ALL,ALL,0TO99
2062,1118,2010,1094.34,ALL,ALL,ALL,0TO99
2037,1113,2010,2717.20,ALL,ALL,ALL,0TO99
2050,1119,2010,1582.56,ALL,ALL,ALL,0TO99
2041,1120,2010,1676.55,ALL,ALL,ALL,0TO99
2037,1099,2010,4315.07,ALL,ALL,ALL,0TO99
2063,1117,2010,1069.16,ALL,ALL,ALL,0TO99
2032,1106,2010,3127.11,ALL,ALL,ALL,0TO99
2020,1113,2010,2524.12,ALL,ALL,ALL,0TO99
2022,1122,2010,4332.37,ALL,ALL,ALL,0TO99
2063,1114,2010,5218.10,ALL,ALL,ALL,0TO99
2039,1114,2010,2836.12,ALL,ALL,ALL,0TO99
2049,1107,2010,2454.70,ALL,ALL,ALL,0TO99
2054,1115,2010,1395.06,ALL,ALL,ALL,0TO99
2062,1116,2010,1140.83,ALL,ALL,ALL,0TO99
2060,1118,2010,1271.72,ALL,ALL,ALL,0TO99
2043,1117,2010,16393.72,ALL,ALL,ALL,0TO99
2045,1115,2010,1466.05,ALL,ALL,ALL,0TO99
2053,1111,2010,1495.66,ALL,ALL,ALL,0TO99
2036,1099,2010,4659.80,ALL,ALL,ALL,0TO99
2020,1111,2010,2171.99,ALL,ALL,ALL,0TO99
2055,1111,2010,1343.22,ALL,ALL,ALL,0TO99
2050,1116,2010,1360.40,ALL,ALL,ALL,0TO99
2032,1108,2010,3111.59,ALL,ALL,ALL,0TO99
2015,1118,2010,3382.11,ALL,ALL,ALL,0TO99
2017,1115,2010,2416.38,ALL,ALL,ALL,0TO99
2055,1104,2010,1956.20,ALL,ALL,ALL,0TO99
2045,1107,2010,2444.10,ALL,ALL,ALL,0TO99
2029,1117,2010,1696.72,ALL,ALL,ALL,0TO99
2043,1119,2010,1867.59,ALL,ALL,ALL,0TO99
2048,1123,2010,1504.23,ALL,ALL,ALL,0TO99
2030,1114,2010,1937.15,ALL,ALL,ALL,0TO99
2051,1115,2010,1363.77,ALL,ALL,ALL,0TO99
2049,1106,2010,2450.17,ALL,ALL,ALL,0TO99
2040,1104,2010,4516.01,ALL,ALL,ALL,0TO99
2015,1113,2010,2168.29,ALL,ALL,ALL,0TO99
2056,1121,2010,1055.76,ALL,ALL,ALL,0TO99
2031,1121,2010,2115.63,ALL,ALL,ALL,0TO99
2055,1115,2010,2548.52,ALL,ALL,ALL,0TO99
2044,1115,2010,1466.05,ALL,ALL,ALL,0TO99
2027,1116,2010,1701.09,ALL,ALL,ALL,0TO99
2030,1116,2010,1701.09,ALL,ALL,ALL,0TO99
2019,1119,2010,2426.94,ALL,ALL,ALL,0TO99
2058,1117,2010,1370.23,ALL,ALL,ALL,0TO99
2056,1117,2010,1910.58,ALL,ALL,ALL,0TO99
2031,1103,2010,2685.90,ALL,ALL,ALL,0TO99
2027,1123,2010,1870.80,ALL,ALL,ALL,0TO99
2023,1114,2010,2116.15,ALL,ALL,ALL,0TO99
2036,1117,2010,2238.00,ALL,ALL,ALL,0TO99
2049,1112,2010,2460.46,ALL,ALL,ALL,0TO99
2056,1118,2010,1587.17,ALL,ALL,ALL,0TO99
2056,1108,2010,3026.55,ALL,ALL,ALL,0TO99
2059,1113,2010,3269.57,ALL,ALL,ALL,0TO99
2041,1109,2010,32886.04,ALL,ALL,ALL,0TO99
2061,1117,2010,1137.89,ALL,ALL,ALL,0TO99
2035,1112,2010,1981.64,ALL,ALL,ALL,0TO99
2045,1106,2010,2439.51,ALL,ALL,ALL,0TO99
2018,1120,2010,2379.77,ALL,ALL,ALL,0TO99
2033,1109,2010,3104.09,ALL,ALL,ALL,0TO99
2041,1116,2010,1642.07,ALL,ALL,ALL,0TO99
2034,1122,2010,1936.01,ALL,ALL,ALL,0TO99
2052,1116,2010,1385.93,ALL,ALL,ALL,0TO99
2044,1101,2010,903.61,ALL,ALL,ALL,0TO99
2049,1119,2010,1596.89,ALL,ALL,ALL,0TO99
2036,1113,2010,2087.19,ALL,ALL,ALL,0TO99
2036,1112,2010,2177.78,ALL,ALL,ALL,0TO99
2051,1103,2010,1858.51,ALL,ALL,ALL,0TO99
2035,1121,2010,1953.80,ALL,ALL,ALL,0TO99
2026,1111,2010,2586.70,ALL,ALL,ALL,0TO99
2017,1112,2010,2155.57,ALL,ALL,ALL,0TO99
2015,1121,2010,2435.98,ALL,ALL,ALL,0TO99
2024,1113,2010,3348.04,ALL,ALL,ALL,0TO99
2044,1105,2010,2249.96,ALL,ALL,ALL,0TO99
2039,1108,2010,49565.16,ALL,ALL,ALL,0TO99
2033,1106,2010,3127.11,ALL,ALL,ALL,0TO99
2056,1112,2010,1339.83,ALL,ALL,ALL,0TO99
2032,1104,2010,3142.59,ALL,ALL,ALL,0TO99
2032,1114,2010,1980.67,ALL,ALL,ALL,0TO99
2047,1122,2010,1602.63,ALL,ALL,ALL,0TO99
2038,1117,2010,2237.78,ALL,ALL,ALL,0TO99
2027,1120,2010,2571.47,ALL,ALL,ALL,0TO99
2055,1118,2010,1587.17,ALL,ALL,ALL,0TO99
2044,1110,2010,4025.98,ALL,ALL,ALL,0TO99
2058,1107,2010,2066.98,ALL,ALL,ALL,0TO99
2062,1110,2010,1335.48,ALL,ALL,ALL,0TO99
2055,1114,2010,2722.66,ALL,ALL,ALL,0TO99
2037,1111,2010,3457.59,ALL,ALL,ALL,0TO99
2035,1120,2010,2089.65,ALL,ALL,ALL,0TO99
2034,1120,2010,2106.79,ALL,ALL,ALL,0TO99
2050,1103,2010,1490.40,ALL,ALL,ALL,0TO99
2021,1119,2010,2497.12,ALL,ALL,ALL,0TO99
2041,1114,2010,2379.44,ALL,ALL,ALL,0TO99
2044,1118,2010,1490.59,ALL,ALL,ALL,0TO99
2041,1118,2010,1525.55,ALL,ALL,ALL,0TO99
2057,1107,2010,3034.09,ALL,ALL,ALL,0TO99
2060,1114,2010,3236.78,ALL,ALL,ALL,0TO99
2057,1109,2010,2267.96,ALL,ALL,ALL,0TO99
2029,1109,2010,2961.44,ALL,ALL,ALL,0TO99
2019,1114,2010,2109.37,ALL,ALL,ALL,0TO99
2060,1119,2010,1484.79,ALL,ALL,ALL,0TO99
2049,1110,2010,1654.61,ALL,ALL,ALL,0TO99
2055,1107,2010,41724.42,ALL,ALL,ALL,0TO99
2054,1121,2010,1371.12,ALL,ALL,ALL,0TO99
2058,1113,2010,2339.99,ALL,ALL,ALL,0TO99
2034,1119,2010,49075.86,ALL,ALL,ALL,0TO99
2038,1123,2010,1807.18,ALL,ALL,ALL,0TO99
2040,1110,2010,3952.27,ALL,ALL,ALL,0TO99
2027,1119,2010,2494.79,ALL,ALL,ALL,0TO99
2038,1112,2010,2850.59,ALL,ALL,ALL,0TO99
2018,1116,2010,2614.20,ALL,ALL,ALL,0TO99
2051,1101,2010,1847.53,ALL,ALL,ALL,0TO99
2044,1108,2010,2438.02,ALL,ALL,ALL,0TO99
2031,1120,2010,2108.32,ALL,ALL,ALL,0TO99
2054,1111,2010,1343.22,ALL,ALL,ALL,0TO99
2056,1116,2010,2913.44,ALL,ALL,ALL,0TO99
2034,1102,2010,1843.68,ALL,ALL,ALL,0TO99
2021,1115,2010,1968.03,ALL,ALL,ALL,0TO99
2050,1122,2010,1582.76,ALL,ALL,ALL,0TO99
2020,1123,2010,2525.21,ALL,ALL,ALL,0TO99
2059,1119,2010,1602.54,ALL,ALL,ALL,0TO99
2033,1123,2010,1677.01,ALL,ALL,ALL,0TO99
2033,1111,2010,1792.81,ALL,ALL,ALL,0TO99
2057,1112,2010,1337.90,ALL,ALL,ALL,0TO99
2063,1116,2010,1410.79,ALL,ALL,ALL,0TO99
2029,1118,2010,1834.26,ALL,ALL,ALL,0TO99
2062,1115,2010,2464.18,ALL,ALL,ALL,0TO99
2043,1116,2010,2207.52,ALL,ALL,ALL,0TO99
2058,1110,2010,1339.10,ALL,ALL,ALL,0TO99
2040,1106,2010,2639.71,ALL,ALL,ALL,0TO99
2042,1118,2010,1677.11,ALL,ALL,ALL,0TO99
2026,1121,2010,3727.84,ALL,ALL,ALL,0TO99
2034,1115,2010,2035.60,ALL,ALL,ALL,0TO99
2059,1116,2010,1484.58,ALL,ALL,ALL,0TO99
2015,1116,2010,2631.23,ALL,ALL,ALL,0TO99
2040,1118,2010,1690.88,ALL,ALL,ALL,0TO99
2046,1115,2010,1466.05,ALL,ALL,ALL,0TO99
2060,1115,2010,2370.25,ALL,ALL,ALL,0TO99
2050,1106,2010,2450.17,ALL,ALL,ALL,0TO99
2016,1114,2010,2163.47,ALL,ALL,ALL,0TO99
2053,1121,2010,1396.24,ALL,ALL,ALL,0TO99
2018,1111,2010,12615.09,ALL,ALL,ALL,0TO99
2030,1107,2010,3116.18,ALL,ALL,ALL,0TO99
2027,1121,2010,2444.35,ALL,ALL,ALL,0TO99
2028,1119,2010,2102.87,ALL,ALL,ALL,0TO99
2030,1105,2010,3134.59,ALL,ALL,ALL,0TO99
2019,1111,2010,15639.46,ALL,ALL,ALL,0TO99
2050,1108,2010,2585.07,ALL,ALL,ALL,0TO99
2041,1110,2010,3964.28,ALL,ALL,ALL,0TO99
2019,1121,2010,2073.74,ALL,ALL,ALL,0TO99
2034,1121,2010,2000.51,ALL,ALL,ALL,0TO99
2055,1112,2010,1339.83,ALL,ALL,ALL,0TO99
2036,1108,2010,3359.42,ALL,ALL,ALL,0TO99
2061,1116,2010,1140.83,ALL,ALL,ALL,0TO99
2052,1112,2010,1913.06,ALL,ALL,ALL,0TO99
2035,1106,2010,3127.11,ALL,ALL,ALL,0TO99
2033,1112,2010,1922.27,ALL,ALL,ALL,0TO99
2029,1104,2010,2998.99,ALL,ALL,ALL,0TO99
2035,1119,2010,5369.99,ALL,ALL,ALL,0TO99
2014,1121,2010,2569.99,ALL,ALL,ALL,0TO99
2041,1111,2010,3518.51,ALL,ALL,ALL,0TO99
2028,1117,2010,1696.72,ALL,ALL,ALL,0TO99
2037,1107,2010,2750.80,ALL,ALL,ALL,0TO99
2037,1102,2010,1354.61,ALL,ALL,ALL,0TO99
2044,1107,2010,2443.79,ALL,ALL,ALL,0TO99
2032,1120,2010,2108.32,ALL,ALL,ALL,0TO99
2054,1118,2010,1586.91,ALL,ALL,ALL,0TO99
2046,1104,2010,2084.85,ALL,ALL,ALL,0TO99
2043,1115,2010,1466.05,ALL,ALL,ALL,0TO99
2057,1110,2010,1346.94,ALL,ALL,ALL,0TO99
2022,1116,2010,2121.07,ALL,ALL,ALL,0TO99
2064,1116,2010,1621.09,ALL,ALL,ALL,0TO99
2040,1108,2010,101816.02,ALL,ALL,ALL,0TO99
2048,1104,2010,2241.34,ALL,ALL,ALL,0TO99
2032,1117,2010,1884.63,ALL,ALL,ALL,0TO99
2047,1100,2010,1009.85,ALL,ALL,ALL,0TO99
2048,1120,2010,1613.57,ALL,ALL,ALL,0TO99
2041,1115,2010,1485.63,ALL,ALL,ALL,0TO99
2039,1107,2010,3341.06,ALL,ALL,ALL,0TO99
2036,1121,2010,1939.62,ALL,ALL,ALL,0TO99
2044,1104,2010,1757.33,ALL,ALL,ALL,0TO99
2027,1118,2010,2001.37,ALL,ALL,ALL,0TO99
2055,1116,2010,1727.68,ALL,ALL,ALL,0TO99
2013,1115,2010,2744.73,ALL,ALL,ALL,0TO99
2053,1108,2010,6415.85,ALL,ALL,ALL,0TO99
2049,1111,2010,2337.88,ALL,ALL,ALL,0TO99
2053,1110,2010,2056.74,ALL,ALL,ALL,0TO99
2060,1109,2010,1324.06,ALL,ALL,ALL,0TO99
2040,1120,2010,1571.42,ALL,ALL,ALL,0TO99
2023,1113,2010,3142.18,ALL,ALL,ALL,0TO99
2029,1105,2010,3134.59,ALL,ALL,ALL,0TO99
2014,1113,2010,2168.04,ALL,ALL,ALL,0TO99
2051,1113,2010,1507.53,ALL,ALL,ALL,0TO99
2064,1113,2010,5230.94,ALL,ALL,ALL,0TO99
2045,1121,2010,1892.45,ALL,ALL,ALL,0TO99
2058,1114,2010,2927.32,ALL,ALL,ALL,0TO99
2047,1119,2010,1608.88,ALL,ALL,ALL,0TO99
2048,1108,2010,2426.83,ALL,ALL,ALL,0TO99
2026,1112,2010,2791.07,ALL,ALL,ALL,0TO99
2055,1121,2010,1085.15,ALL,ALL,ALL,0TO99
2032,1115,2010,1863.54,ALL,ALL,ALL,0TO99
2032,1111,2010,1844.64,ALL,ALL,ALL,0TO99
2054,1105,2010,5705.32,ALL,ALL,ALL,0TO99
2051,1108,2010,2765.02,ALL,ALL,ALL,0TO99
2032,1105,2010,3134.59,ALL,ALL,ALL,0TO99
2013,1117,2010,6836.08,ALL,ALL,ALL,0TO99
2025,1114,2010,2382.84,ALL,ALL,ALL,0TO99
2026,1122,2010,4178.62,ALL,ALL,ALL,0TO99
2034,1109,2010,3116.34,ALL,ALL,ALL,0TO99
2042,1101,2010,904.94,ALL,ALL,ALL,0TO99
2050,1102,2010,1854.18,ALL,ALL,ALL,0TO99
2041,1101,2010,1188.41,ALL,ALL,ALL,0TO99
2052,1114,2010,1366.21,ALL,ALL,ALL,0TO99
2039,1099,2010,6793.57,ALL,ALL,ALL,0TO99
2030,1108,2010,3100.76,ALL,ALL,ALL,0TO99
2036,1101,2010,1356.99,ALL,ALL,ALL,0TO99
2038,1120,2010,1571.56,ALL,ALL,ALL,0TO99
2040,1103,2010,6627.42,ALL,ALL,ALL,0TO99
2026,1115,2010,1873.92,ALL,ALL,ALL,0TO99
2042,1109,2010,3794.55,ALL,ALL,ALL,0TO99
2048,1105,2010,2456.03,ALL,ALL,ALL,0TO99
2053,1118,2010,1585.81,ALL,ALL,ALL,0TO99
2048,1115,2010,1370.53,ALL,ALL,ALL,0TO99
2015,1119,2010,3463.07,ALL,ALL,ALL,0TO99
2035,1103,2010,1656.16,ALL,ALL,ALL,0TO99
2038,1113,2010,2843.11,ALL,ALL,ALL,0TO99
2043,1110,2010,4025.98,ALL,ALL,ALL,0TO99
2059,1110,2010,1335.49,ALL,ALL,ALL,0TO99
2034,1103,2010,2527.01,ALL,ALL,ALL,0TO99
2034,1104,2010,3142.59,ALL,ALL,ALL,0TO99
2038,1104,2010,2085.86,ALL,ALL,ALL,0TO99
2048,1118,2010,1534.56,ALL,ALL,ALL,0TO99
2024,1116,2010,2262.02,ALL,ALL,ALL,0TO99
2017,1118,2010,2471.09,ALL,ALL,ALL,0TO99
2045,1113,2010,2403.58,ALL,ALL,ALL,0TO99
2054,1107,2010,96573.04,ALL,ALL,ALL,0TO99
2061,1118,2010,1131.22,ALL,ALL,ALL,0TO99
2029,1121,2010,2209.25,ALL,ALL,ALL,0TO99
2047,1112,2010,2460.46,ALL,ALL,ALL,0TO99
2027,1112,2010,1810.11,ALL,ALL,ALL,0TO99
2042,1119,2010,1897.35,ALL,ALL,ALL,0TO99
2030,1115,2010,1705.32,ALL,ALL,ALL,0TO99
2036,1107,2010,3111.74,ALL,ALL,ALL,0TO99
2041,1102,2010,1708.30,ALL,ALL,ALL,0TO99
2038,1118,2010,2013.88,ALL,ALL,ALL,0TO99
2044,1113,2010,2797.97,ALL,ALL,ALL,0TO99
2025,1116,2010,2181.20,ALL,ALL,ALL,0TO99
2012,1120,2010,5001.20,ALL,ALL,ALL,0TO99
2036,1102,2010,1353.53,ALL,ALL,ALL,0TO99
2065,1113,2010,4730.48,ALL,ALL,ALL,0TO99
2033,1105,2010,3134.59,ALL,ALL,ALL,0TO99
2042,1100,2010,3314.33,ALL,ALL,ALL,0TO99
2051,1107,2010,3823.99,ALL,ALL,ALL,0TO99
2062,1111,2010,1332.23,ALL,ALL,ALL,0TO99
2021,1123,2010,4313.81,ALL,ALL,ALL,0TO99
2058,1102,2010,1868.93,ALL,ALL,ALL,0TO99
2047,1117,2010,1466.74,ALL,ALL,ALL,0TO99
2057,1115,2010,2920.67,ALL,ALL,ALL,0TO99
2056,1106,2010,3041.64,ALL,ALL,ALL,0TO99
2061,1113,2010,5117.39,ALL,ALL,ALL,0TO99
2032,1113,2010,1985.54,ALL,ALL,ALL,0TO99
2052,1106,2010,80410.05,ALL,ALL,ALL,0TO99
2065,1114,2010,5218.10,ALL,ALL,ALL,0TO99
2040,1114,2010,2836.12,ALL,ALL,ALL,0TO99
2014,1120,2010,3453.74,ALL,ALL,ALL,0TO99
2031,1108,2010,3111.59,ALL,ALL,ALL,0TO99
2062,1113,2010,5228.52,ALL,ALL,ALL,0TO99
2056,1103,2010,1932.42,ALL,ALL,ALL,0TO99
2037,1123,2010,1942.15,ALL,ALL,ALL,0TO99
2037,1115,2010,2254.48,ALL,ALL,ALL,0TO99
2031,1115,2010,1740.82,ALL,ALL,ALL,0TO99
2039,1106,2010,2407.28,ALL,ALL,ALL,0TO99
2040,1107,2010,3324.35,ALL,ALL,ALL,0TO99
2033,1118,2010,20788.14,ALL,ALL,ALL,0TO99
2051,1106,2010,23943.12,ALL,ALL,ALL,0TO99
2047,1114,2010,2232.14,ALL,ALL,ALL,0TO99
2043,1105,2010,2101.89,ALL,ALL,ALL,0TO99
2058,1108,2010,1800.78,ALL,ALL,ALL,0TO99
2018,1115,2010,2453.52,ALL,ALL,ALL,0TO99
2045,1100,2010,905.74,ALL,ALL,ALL,0TO99
2034,1106,2010,3127.11,ALL,ALL,ALL,0TO99
2014,1115,2010,2572.07,ALL,ALL,ALL,0TO99
2038,1107,2010,2653.67,ALL,ALL,ALL,0TO99
2053,1105,2010,17093.14,ALL,ALL,ALL,0TO99
2028,1115,2010,1716.91,ALL,ALL,ALL,0TO99
2053,1109,2010,2984.11,ALL,ALL,ALL,0TO99
2031,1122,2010,2145.58,ALL,ALL,ALL,0TO99
2012,1117,2010,81948.99,ALL,ALL,ALL,0TO99
2049,1120,2010,1610.54,ALL,ALL,ALL,0TO99
2050,1121,2010,1606.97,ALL,ALL,ALL,0TO99
2027,1110,2010,2334.43,ALL,ALL,ALL,0TO99
2021,1117,2010,2439.34,ALL,ALL,ALL,0TO99
2043,1120,2010,1900.84,ALL,ALL,ALL,0TO99
2053,1116,2010,1362.47,ALL,ALL,ALL,0TO99
2048,1112,2010,2460.46,ALL,ALL,ALL,0TO99
2044,1111,2010,4016.19,ALL,ALL,ALL,0TO99
