Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1860,1060,2010,3293.94,ALL,ALL,ALL,0TO99
1859,1058,2010,3622.14,ALL,ALL,ALL,0TO99
1859,1055,2010,48017.59,ALL,ALL,ALL,0TO99
1861,1059,2010,2913.23,ALL,ALL,ALL,0TO99
1860,1057,2010,5602.27,ALL,ALL,ALL,0TO99
1861,1058,2010,11692.36,ALL,ALL,ALL,0TO99
1864,1055,2010,13456.69,ALL,ALL,ALL,0TO99
1862,1055,2010,37143.43,ALL,ALL,ALL,0TO99
1862,1056,2010,57297.15,ALL,ALL,ALL,0TO99
1861,1060,2010,3576.00,ALL,ALL,ALL,0TO99
1861,1055,2010,33751.46,ALL,ALL,ALL,0TO99
1860,1055,2010,42920.68,ALL,ALL,ALL,0TO99
1864,1056,2010,7986.61,ALL,ALL,ALL,0TO99
1859,1057,2010,7661.75,ALL,ALL,ALL,0TO99
1863,1056,2010,14137.40,ALL,ALL,ALL,0TO99
1859,1059,2010,3958.47,ALL,ALL,ALL,0TO99
1860,1058,2010,4728.68,ALL,ALL,ALL,0TO99
1865,1057,2010,7968.13,ALL,ALL,ALL,0TO99
1863,1058,2010,5719.38,ALL,ALL,ALL,0TO99
1863,1055,2010,13364.45,ALL,ALL,ALL,0TO99
1861,1056,2010,33557.47,ALL,ALL,ALL,0TO99
1863,1057,2010,7390.06,ALL,ALL,ALL,0TO99
1864,1057,2010,6440.85,ALL,ALL,ALL,0TO99
1862,1057,2010,10132.35,ALL,ALL,ALL,0TO99
1860,1056,2010,13803.44,ALL,ALL,ALL,0TO99
1860,1059,2010,6726.12,ALL,ALL,ALL,0TO99
1861,1061,2010,3229.78,ALL,ALL,ALL,0TO99
1862,1059,2010,4969.53,ALL,ALL,ALL,0TO99
1862,1058,2010,12893.87,ALL,ALL,ALL,0TO99
1864,1058,2010,6354.74,ALL,ALL,ALL,0TO99
1861,1057,2010,10304.92,ALL,ALL,ALL,0TO99
