Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2062,1125,D24HourMean,QuarterlyMean,Mean,7.26
2048,1139,D24HourMean,QuarterlyMean,Mean,6.83
2075,1134,D24HourMean,QuarterlyMean,Mean,6.73
2031,1123,D24HourMean,QuarterlyMean,Mean,8.03
2017,1130,D24HourMean,QuarterlyMean,Mean,7.25
2018,1129,D24HourMean,QuarterlyMean,Mean,7.48
2013,1127,D24HourMean,QuarterlyMean,Mean,8.64
2071,1133,D24HourMean,QuarterlyMean,Mean,6.39
2078,1133,D24HourMean,QuarterlyMean,Mean,6.83
2047,1138,D24HourMean,QuarterlyMean,Mean,6.85
2071,1121,D24HourMean,QuarterlyMean,Mean,6.67
2015,1123,D24HourMean,QuarterlyMean,Mean,8.80
2031,1125,D24HourMean,QuarterlyMean,Mean,8.06
2073,1130,D24HourMean,QuarterlyMean,Mean,6.27
2014,1124,D24HourMean,QuarterlyMean,Mean,9.17
2065,1130,D24HourMean,QuarterlyMean,Mean,6.59
2053,1127,D24HourMean,QuarterlyMean,Mean,7.54
2063,1128,D24HourMean,QuarterlyMean,Mean,6.89
2028,1133,D24HourMean,QuarterlyMean,Mean,7.14
2048,1133,D24HourMean,QuarterlyMean,Mean,7.33
2014,1128,D24HourMean,QuarterlyMean,Mean,8.54
2049,1130,D24HourMean,QuarterlyMean,Mean,7.51
2023,1131,D24HourMean,QuarterlyMean,Mean,6.53
2068,1133,D24HourMean,QuarterlyMean,Mean,6.58
2014,1122,D24HourMean,QuarterlyMean,Mean,9.03
2067,1130,D24HourMean,QuarterlyMean,Mean,6.44
2077,1132,D24HourMean,QuarterlyMean,Mean,6.76
2064,1124,D24HourMean,QuarterlyMean,Mean,7.21
2076,1131,D24HourMean,QuarterlyMean,Mean,6.67
2028,1129,D24HourMean,QuarterlyMean,Mean,7.30
2022,1134,D24HourMean,QuarterlyMean,Mean,6.55
2057,1133,D24HourMean,QuarterlyMean,Mean,6.90
2071,1118,D24HourMean,QuarterlyMean,Mean,7.15
2073,1123,D24HourMean,QuarterlyMean,Mean,6.84
2069,1130,D24HourMean,QuarterlyMean,Mean,6.43
2045,1138,D24HourMean,QuarterlyMean,Mean,6.56
2037,1128,D24HourMean,QuarterlyMean,Mean,7.66
2070,1119,D24HourMean,QuarterlyMean,Mean,6.85
2074,1125,D24HourMean,QuarterlyMean,Mean,6.81
2060,1127,D24HourMean,QuarterlyMean,Mean,7.02
