Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2062,1125,2010,701.68,ALL,ALL,ALL,0TO99
2048,1139,2010,249.99,ALL,ALL,ALL,0TO99
2075,1134,2010,401.03,ALL,ALL,ALL,0TO99
2031,1123,2010,1165.23,ALL,ALL,ALL,0TO99
2017,1130,2010,489.16,ALL,ALL,ALL,0TO99
2018,1129,2010,592.82,ALL,ALL,ALL,0TO99
2013,1127,2010,370.19,ALL,ALL,ALL,0TO99
2071,1133,2010,1252.52,ALL,ALL,ALL,0TO99
2078,1133,2010,583.10,ALL,ALL,ALL,0TO99
2047,1138,2010,285.02,ALL,ALL,ALL,0TO99
2071,1121,2010,1086.03,ALL,ALL,ALL,0TO99
2015,1123,2010,549.20,ALL,ALL,ALL,0TO99
2031,1125,2010,870.83,ALL,ALL,ALL,0TO99
2073,1130,2010,1033.91,ALL,ALL,ALL,0TO99
2014,1124,2010,480.26,ALL,ALL,ALL,0TO99
2065,1130,2010,784.80,ALL,ALL,ALL,0TO99
2053,1127,2010,914.33,ALL,ALL,ALL,0TO99
2063,1128,2010,8864.69,ALL,ALL,ALL,0TO99
2028,1133,2010,894.99,ALL,ALL,ALL,0TO99
2048,1133,2010,729.40,ALL,ALL,ALL,0TO99
2014,1128,2010,242.86,ALL,ALL,ALL,0TO99
2049,1130,2010,903.18,ALL,ALL,ALL,0TO99
2023,1131,2010,444.41,ALL,ALL,ALL,0TO99
2068,1133,2010,525.58,ALL,ALL,ALL,0TO99
2014,1122,2010,613.99,ALL,ALL,ALL,0TO99
2067,1130,2010,731.25,ALL,ALL,ALL,0TO99
2077,1132,2010,724.17,ALL,ALL,ALL,0TO99
2064,1124,2010,503.63,ALL,ALL,ALL,0TO99
2076,1131,2010,415.12,ALL,ALL,ALL,0TO99
2028,1129,2010,1349.75,ALL,ALL,ALL,0TO99
2022,1134,2010,299.98,ALL,ALL,ALL,0TO99
2057,1133,2010,1446.85,ALL,ALL,ALL,0TO99
2071,1118,2010,776.49,ALL,ALL,ALL,0TO99
2073,1123,2010,1924.56,ALL,ALL,ALL,0TO99
2069,1130,2010,783.25,ALL,ALL,ALL,0TO99
2045,1138,2010,380.53,ALL,ALL,ALL,0TO99
2037,1128,2010,1644.72,ALL,ALL,ALL,0TO99
2070,1119,2010,1182.03,ALL,ALL,ALL,0TO99
2074,1125,2010,29211.96,ALL,ALL,ALL,0TO99
2060,1127,2010,1034.47,ALL,ALL,ALL,0TO99
2051,1134,2010,580.66,ALL,ALL,ALL,0TO99
2066,1131,2010,722.78,ALL,ALL,ALL,0TO99
2053,1131,2010,544.83,ALL,ALL,ALL,0TO99
2071,1120,2010,919.34,ALL,ALL,ALL,0TO99
2054,1139,2010,1971.15,ALL,ALL,ALL,0TO99
2052,1130,2010,499.23,ALL,ALL,ALL,0TO99
2028,1132,2010,905.63,ALL,ALL,ALL,0TO99
2069,1131,2010,899.06,ALL,ALL,ALL,0TO99
2045,1124,2010,1001.51,ALL,ALL,ALL,0TO99
2058,1129,2010,344.27,ALL,ALL,ALL,0TO99
2061,1127,2010,978.50,ALL,ALL,ALL,0TO99
2030,1125,2010,607.30,ALL,ALL,ALL,0TO99
2051,1128,2010,813.19,ALL,ALL,ALL,0TO99
2046,1132,2010,677.03,ALL,ALL,ALL,0TO99
2025,1132,2010,604.77,ALL,ALL,ALL,0TO99
2074,1120,2010,654.55,ALL,ALL,ALL,0TO99
2054,1125,2010,527.47,ALL,ALL,ALL,0TO99
2070,1122,2010,625.81,ALL,ALL,ALL,0TO99
2042,1128,2010,24473.99,ALL,ALL,ALL,0TO99
2060,1121,2010,541.80,ALL,ALL,ALL,0TO99
2012,1124,2010,902.50,ALL,ALL,ALL,0TO99
2065,1131,2010,671.64,ALL,ALL,ALL,0TO99
2027,1132,2010,5594.41,ALL,ALL,ALL,0TO99
2024,1125,2010,648.75,ALL,ALL,ALL,0TO99
2039,1129,2010,10309.98,ALL,ALL,ALL,0TO99
2031,1126,2010,930.72,ALL,ALL,ALL,0TO99
2063,1125,2010,526.68,ALL,ALL,ALL,0TO99
2081,1124,2010,648.82,ALL,ALL,ALL,0TO99
2032,1127,2010,730.82,ALL,ALL,ALL,0TO99
2052,1126,2010,2271.34,ALL,ALL,ALL,0TO99
2046,1124,2010,854.98,ALL,ALL,ALL,0TO99
2059,1126,2010,542.34,ALL,ALL,ALL,0TO99
