Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1725,862,D24HourMean,QuarterlyMean,Mean,20.11
1727,869,D24HourMean,QuarterlyMean,Mean,19.97
1759,903,D24HourMean,QuarterlyMean,Mean,17.11
1743,888,D24HourMean,QuarterlyMean,Mean,18.07
1734,869,D24HourMean,QuarterlyMean,Mean,22.31
1697,844,D24HourMean,QuarterlyMean,Mean,31.31
1710,886,D24HourMean,QuarterlyMean,Mean,13.70
1723,889,D24HourMean,QuarterlyMean,Mean,12.10
1743,914,D24HourMean,QuarterlyMean,Mean,12.75
1760,883,D24HourMean,QuarterlyMean,Mean,21.64
1728,856,D24HourMean,QuarterlyMean,Mean,26.18
1747,872,D24HourMean,QuarterlyMean,Mean,23.82
1778,898,D24HourMean,QuarterlyMean,Mean,19.37
1710,860,D24HourMean,QuarterlyMean,Mean,16.93
1786,882,D24HourMean,QuarterlyMean,Mean,22.05
1713,884,D24HourMean,QuarterlyMean,Mean,10.91
1719,858,D24HourMean,QuarterlyMean,Mean,19.14
1724,869,D24HourMean,QuarterlyMean,Mean,18.02
1781,893,D24HourMean,QuarterlyMean,Mean,21.72
1782,883,D24HourMean,QuarterlyMean,Mean,22.63
1758,871,D24HourMean,QuarterlyMean,Mean,27.07
1727,871,D24HourMean,QuarterlyMean,Mean,18.23
1673,838,D24HourMean,QuarterlyMean,Mean,40.07
1707,844,D24HourMean,QuarterlyMean,Mean,31.31
1719,883,D24HourMean,QuarterlyMean,Mean,17.84
1761,911,D24HourMean,QuarterlyMean,Mean,17.83
1728,866,D24HourMean,QuarterlyMean,Mean,22.24
1746,898,D24HourMean,QuarterlyMean,Mean,18.95
1737,895,D24HourMean,QuarterlyMean,Mean,16.44
1741,892,D24HourMean,QuarterlyMean,Mean,16.83
1760,910,D24HourMean,QuarterlyMean,Mean,17.83
1698,851,D24HourMean,QuarterlyMean,Mean,25.94
1718,879,D24HourMean,QuarterlyMean,Mean,17.39
1756,901,D24HourMean,QuarterlyMean,Mean,18.20
1701,845,D24HourMean,QuarterlyMean,Mean,30.42
1745,864,D24HourMean,QuarterlyMean,Mean,27.14
1743,860,D24HourMean,QuarterlyMean,Mean,26.32
1725,873,D24HourMean,QuarterlyMean,Mean,15.75
1757,879,D24HourMean,QuarterlyMean,Mean,25.09
1746,905,D24HourMean,QuarterlyMean,Mean,15.75
1745,872,D24HourMean,QuarterlyMean,Mean,21.57
1734,898,D24HourMean,QuarterlyMean,Mean,13.97
1738,905,D24HourMean,QuarterlyMean,Mean,16.26
1752,879,D24HourMean,QuarterlyMean,Mean,21.81
1744,877,D24HourMean,QuarterlyMean,Mean,18.90
1685,839,D24HourMean,QuarterlyMean,Mean,40.92
1734,856,D24HourMean,QuarterlyMean,Mean,29.67
1725,891,D24HourMean,QuarterlyMean,Mean,12.10
1783,890,D24HourMean,QuarterlyMean,Mean,21.57
1700,852,D24HourMean,QuarterlyMean,Mean,23.90
1742,901,D24HourMean,QuarterlyMean,Mean,16.60
1765,907,D24HourMean,QuarterlyMean,Mean,16.64
1723,854,D24HourMean,QuarterlyMean,Mean,23.98
1777,898,D24HourMean,QuarterlyMean,Mean,18.72
1721,866,D24HourMean,QuarterlyMean,Mean,16.80
1708,843,D24HourMean,QuarterlyMean,Mean,34.68
1736,896,D24HourMean,QuarterlyMean,Mean,15.80
1742,896,D24HourMean,QuarterlyMean,Mean,17.58
1744,908,D24HourMean,QuarterlyMean,Mean,13.90
1760,906,D24HourMean,QuarterlyMean,Mean,16.65
1731,865,D24HourMean,QuarterlyMean,Mean,23.15
1754,903,D24HourMean,QuarterlyMean,Mean,17.83
1763,887,D24HourMean,QuarterlyMean,Mean,20.38
1717,872,D24HourMean,QuarterlyMean,Mean,14.03
1718,854,D24HourMean,QuarterlyMean,Mean,21.80
1728,861,D24HourMean,QuarterlyMean,Mean,22.99
1743,887,D24HourMean,QuarterlyMean,Mean,17.70
1700,853,D24HourMean,QuarterlyMean,Mean,21.61
1752,869,D24HourMean,QuarterlyMean,Mean,26.71
1746,888,D24HourMean,QuarterlyMean,Mean,16.75
1706,843,D24HourMean,QuarterlyMean,Mean,31.99
1732,884,D24HourMean,QuarterlyMean,Mean,19.50
1742,914,D24HourMean,QuarterlyMean,Mean,13.47
1718,851,D24HourMean,QuarterlyMean,Mean,22.74
1735,856,D24HourMean,QuarterlyMean,Mean,29.06
1709,867,D24HourMean,QuarterlyMean,Mean,13.58
1788,884,D24HourMean,QuarterlyMean,Mean,20.08
1735,901,D24HourMean,QuarterlyMean,Mean,16.29
1750,889,D24HourMean,QuarterlyMean,Mean,18.82
1721,893,D24HourMean,QuarterlyMean,Mean,12.30
1736,886,D24HourMean,QuarterlyMean,Mean,20.82
1743,876,D24HourMean,QuarterlyMean,Mean,18.54
1705,839,D24HourMean,QuarterlyMean,Mean,41.74
1759,880,D24HourMean,QuarterlyMean,Mean,23.17
1769,903,D24HourMean,QuarterlyMean,Mean,19.56
1713,851,D24HourMean,QuarterlyMean,Mean,22.40
1727,854,D24HourMean,QuarterlyMean,Mean,25.72
1747,870,D24HourMean,QuarterlyMean,Mean,23.69
1738,908,D24HourMean,QuarterlyMean,Mean,13.10
1767,888,D24HourMean,QuarterlyMean,Mean,20.56
1709,852,D24HourMean,QuarterlyMean,Mean,24.84
1735,862,D24HourMean,QuarterlyMean,Mean,25.66
