Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2098,1025,D24HourMean,QuarterlyMean,Mean,10.63
2088,1036,D24HourMean,QuarterlyMean,Mean,10.78
2092,1031,D24HourMean,QuarterlyMean,Mean,11.20
2078,1040,D24HourMean,QuarterlyMean,Mean,11.52
2099,1027,D24HourMean,QuarterlyMean,Mean,9.98
2084,1038,D24HourMean,QuarterlyMean,Mean,11.15
2086,1025,D24HourMean,QuarterlyMean,Mean,11.44
2071,1043,D24HourMean,QuarterlyMean,Mean,11.09
2088,1035,D24HourMean,QuarterlyMean,Mean,10.75
2092,1030,D24HourMean,QuarterlyMean,Mean,11.24
2076,1036,D24HourMean,QuarterlyMean,Mean,10.92
2088,1022,D24HourMean,QuarterlyMean,Mean,11.08
2094,1027,D24HourMean,QuarterlyMean,Mean,10.78
2087,1030,D24HourMean,QuarterlyMean,Mean,11.07
2097,1025,D24HourMean,QuarterlyMean,Mean,10.51
2082,1029,D24HourMean,QuarterlyMean,Mean,11.80
2089,1040,D24HourMean,QuarterlyMean,Mean,10.57
2081,1030,D24HourMean,QuarterlyMean,Mean,11.77
2086,1022,D24HourMean,QuarterlyMean,Mean,11.34
2079,1034,D24HourMean,QuarterlyMean,Mean,11.18
2084,1028,D24HourMean,QuarterlyMean,Mean,11.49
2084,1017,D24HourMean,QuarterlyMean,Mean,12.24
2098,1027,D24HourMean,QuarterlyMean,Mean,10.47
2084,1021,D24HourMean,QuarterlyMean,Mean,11.91
2090,1034,D24HourMean,QuarterlyMean,Mean,10.98
2093,1037,D24HourMean,QuarterlyMean,Mean,10.44
2088,1020,D24HourMean,QuarterlyMean,Mean,10.71
2084,1031,D24HourMean,QuarterlyMean,Mean,10.81
2093,1031,D24HourMean,QuarterlyMean,Mean,11.13
2089,1021,D24HourMean,QuarterlyMean,Mean,10.92
2072,1042,D24HourMean,QuarterlyMean,Mean,11.16
2069,1042,D24HourMean,QuarterlyMean,Mean,10.97
2090,1020,D24HourMean,QuarterlyMean,Mean,10.61
2087,1038,D24HourMean,QuarterlyMean,Mean,10.71
2087,1037,D24HourMean,QuarterlyMean,Mean,10.61
2090,1025,D24HourMean,QuarterlyMean,Mean,10.63
2088,1039,D24HourMean,QuarterlyMean,Mean,10.92
2094,1025,D24HourMean,QuarterlyMean,Mean,10.61
2087,1023,D24HourMean,QuarterlyMean,Mean,11.35
2085,1019,D24HourMean,QuarterlyMean,Mean,11.58
2089,1022,D24HourMean,QuarterlyMean,Mean,10.99
2093,1027,D24HourMean,QuarterlyMean,Mean,10.71
2094,1026,D24HourMean,QuarterlyMean,Mean,10.64
2073,1039,D24HourMean,QuarterlyMean,Mean,10.76
2083,1034,D24HourMean,QuarterlyMean,Mean,11.12
2098,1028,D24HourMean,QuarterlyMean,Mean,10.53
2074,1043,D24HourMean,QuarterlyMean,Mean,11.19
2087,1018,D24HourMean,QuarterlyMean,Mean,11.52
2092,1036,D24HourMean,QuarterlyMean,Mean,10.83
2075,1039,D24HourMean,QuarterlyMean,Mean,11.18
2075,1037,D24HourMean,QuarterlyMean,Mean,10.73
2082,1030,D24HourMean,QuarterlyMean,Mean,11.32
2087,1019,D24HourMean,QuarterlyMean,Mean,11.27
2086,1032,D24HourMean,QuarterlyMean,Mean,10.81
2090,1035,D24HourMean,QuarterlyMean,Mean,11.03
2092,1038,D24HourMean,QuarterlyMean,Mean,10.50
2081,1042,D24HourMean,QuarterlyMean,Mean,11.55
2100,1024,D24HourMean,QuarterlyMean,Mean,10.97
2070,1042,D24HourMean,QuarterlyMean,Mean,10.91
2084,1032,D24HourMean,QuarterlyMean,Mean,11.10
2073,1038,D24HourMean,QuarterlyMean,Mean,10.53
2084,1039,D24HourMean,QuarterlyMean,Mean,10.91
2079,1039,D24HourMean,QuarterlyMean,Mean,11.65
2074,1044,D24HourMean,QuarterlyMean,Mean,11.46
2083,1023,D24HourMean,QuarterlyMean,Mean,12.39
2085,1022,D24HourMean,QuarterlyMean,Mean,11.76
2084,1036,D24HourMean,QuarterlyMean,Mean,11.08
2088,1029,D24HourMean,QuarterlyMean,Mean,11.65
2075,1038,D24HourMean,QuarterlyMean,Mean,10.90
2081,1040,D24HourMean,QuarterlyMean,Mean,11.78
2084,1025,D24HourMean,QuarterlyMean,Mean,11.79
2091,1027,D24HourMean,QuarterlyMean,Mean,10.73
2089,1032,D24HourMean,QuarterlyMean,Mean,11.07
2088,1038,D24HourMean,QuarterlyMean,Mean,10.70
2093,1034,D24HourMean,QuarterlyMean,Mean,10.91
2087,1020,D24HourMean,QuarterlyMean,Mean,10.98
2081,1037,D24HourMean,QuarterlyMean,Mean,12.07
2087,1033,D24HourMean,QuarterlyMean,Mean,11.09
2080,1042,D24HourMean,QuarterlyMean,Mean,11.62
2080,1034,D24HourMean,QuarterlyMean,Mean,11.35
2077,1039,D24HourMean,QuarterlyMean,Mean,11.10
2089,1025,D24HourMean,QuarterlyMean,Mean,10.88
2094,1030,D24HourMean,QuarterlyMean,Mean,10.89
2084,1037,D24HourMean,QuarterlyMean,Mean,11.22
2091,1030,D24HourMean,QuarterlyMean,Mean,11.41
2086,1031,D24HourMean,QuarterlyMean,Mean,10.67
2076,1040,D24HourMean,QuarterlyMean,Mean,11.38
2096,1029,D24HourMean,QuarterlyMean,Mean,10.79
2083,1033,D24HourMean,QuarterlyMean,Mean,11.34
2080,1033,D24HourMean,QuarterlyMean,Mean,11.36
2083,1027,D24HourMean,QuarterlyMean,Mean,12.08
2092,1037,D24HourMean,QuarterlyMean,Mean,10.78
2077,1042,D24HourMean,QuarterlyMean,Mean,11.33
2085,1017,D24HourMean,QuarterlyMean,Mean,11.78
2080,1040,D24HourMean,QuarterlyMean,Mean,11.85
2085,1021,D24HourMean,QuarterlyMean,Mean,11.67
2092,1032,D24HourMean,QuarterlyMean,Mean,10.98
2085,1034,D24HourMean,QuarterlyMean,Mean,10.98
2082,1020,D24HourMean,QuarterlyMean,Mean,13.06
2082,1038,D24HourMean,QuarterlyMean,Mean,11.51
2087,1028,D24HourMean,QuarterlyMean,Mean,10.96
2088,1021,D24HourMean,QuarterlyMean,Mean,10.87
2095,1032,D24HourMean,QuarterlyMean,Mean,10.36
2091,1036,D24HourMean,QuarterlyMean,Mean,10.95
2088,1025,D24HourMean,QuarterlyMean,Mean,10.90
2096,1030,D24HourMean,QuarterlyMean,Mean,10.28
2096,1033,D24HourMean,QuarterlyMean,Mean,10.10
2075,1035,D24HourMean,QuarterlyMean,Mean,10.81
2082,1035,D24HourMean,QuarterlyMean,Mean,11.17
2097,1028,D24HourMean,QuarterlyMean,Mean,11.11
2080,1036,D24HourMean,QuarterlyMean,Mean,11.98
2083,1031,D24HourMean,QuarterlyMean,Mean,11.01
2082,1019,D24HourMean,QuarterlyMean,Mean,13.14
2087,1029,D24HourMean,QuarterlyMean,Mean,11.28
2085,1025,D24HourMean,QuarterlyMean,Mean,11.69
2089,1034,D24HourMean,QuarterlyMean,Mean,11.02
2087,1031,D24HourMean,QuarterlyMean,Mean,10.79
2074,1041,D24HourMean,QuarterlyMean,Mean,11.36
2091,1029,D24HourMean,QuarterlyMean,Mean,11.58
2097,1026,D24HourMean,QuarterlyMean,Mean,10.89
2075,1041,D24HourMean,QuarterlyMean,Mean,11.42
2085,1016,D24HourMean,QuarterlyMean,Mean,12.09
2085,1027,D24HourMean,QuarterlyMean,Mean,11.36
2071,1042,D24HourMean,QuarterlyMean,Mean,11.08
