Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2098,1025,2010,6079.29,ALL,ALL,ALL,0TO99
2088,1036,2010,6619.85,ALL,ALL,ALL,0TO99
2092,1031,2010,5345.41,ALL,ALL,ALL,0TO99
2078,1040,2010,7651.73,ALL,ALL,ALL,0TO99
2099,1027,2010,9148.82,ALL,ALL,ALL,0TO99
2084,1038,2010,6421.09,ALL,ALL,ALL,0TO99
2086,1025,2010,6711.33,ALL,ALL,ALL,0TO99
2071,1043,2010,7238.29,ALL,ALL,ALL,0TO99
2088,1035,2010,7047.20,ALL,ALL,ALL,0TO99
2092,1030,2010,5892.56,ALL,ALL,ALL,0TO99
2076,1036,2010,7142.62,ALL,ALL,ALL,0TO99
2088,1022,2010,7926.03,ALL,ALL,ALL,0TO99
2094,1027,2010,8740.81,ALL,ALL,ALL,0TO99
2087,1030,2010,19681.52,ALL,ALL,ALL,0TO99
2097,1025,2010,5783.53,ALL,ALL,ALL,0TO99
2082,1029,2010,8509.47,ALL,ALL,ALL,0TO99
2089,1040,2010,4051.28,ALL,ALL,ALL,0TO99
2081,1030,2010,8287.82,ALL,ALL,ALL,0TO99
2086,1022,2010,8813.00,ALL,ALL,ALL,0TO99
2079,1034,2010,7398.48,ALL,ALL,ALL,0TO99
2084,1028,2010,7820.30,ALL,ALL,ALL,0TO99
2084,1017,2010,1785.06,ALL,ALL,ALL,0TO99
2098,1027,2010,9147.29,ALL,ALL,ALL,0TO99
2084,1021,2010,6986.41,ALL,ALL,ALL,0TO99
2090,1034,2010,7705.60,ALL,ALL,ALL,0TO99
2093,1037,2010,2737.42,ALL,ALL,ALL,0TO99
2088,1020,2010,7481.29,ALL,ALL,ALL,0TO99
2084,1031,2010,9125.63,ALL,ALL,ALL,0TO99
2093,1031,2010,5687.37,ALL,ALL,ALL,0TO99
2089,1021,2010,7258.53,ALL,ALL,ALL,0TO99
2072,1042,2010,7517.06,ALL,ALL,ALL,0TO99
2069,1042,2010,5862.08,ALL,ALL,ALL,0TO99
2090,1020,2010,6423.59,ALL,ALL,ALL,0TO99
2087,1038,2010,5840.84,ALL,ALL,ALL,0TO99
2087,1037,2010,6127.84,ALL,ALL,ALL,0TO99
2090,1025,2010,4686.10,ALL,ALL,ALL,0TO99
2088,1039,2010,5701.10,ALL,ALL,ALL,0TO99
2094,1025,2010,8523.62,ALL,ALL,ALL,0TO99
2087,1023,2010,8865.63,ALL,ALL,ALL,0TO99
2085,1019,2010,5979.99,ALL,ALL,ALL,0TO99
2089,1022,2010,4217.42,ALL,ALL,ALL,0TO99
2093,1027,2010,8375.15,ALL,ALL,ALL,0TO99
2094,1026,2010,8637.28,ALL,ALL,ALL,0TO99
2073,1039,2010,6376.17,ALL,ALL,ALL,0TO99
2083,1034,2010,8085.55,ALL,ALL,ALL,0TO99
2098,1028,2010,8790.38,ALL,ALL,ALL,0TO99
2074,1043,2010,6210.29,ALL,ALL,ALL,0TO99
2087,1018,2010,6763.06,ALL,ALL,ALL,0TO99
2092,1036,2010,3092.29,ALL,ALL,ALL,0TO99
2075,1039,2010,6094.41,ALL,ALL,ALL,0TO99
2075,1037,2010,6848.35,ALL,ALL,ALL,0TO99
2082,1030,2010,8658.63,ALL,ALL,ALL,0TO99
2087,1019,2010,7047.59,ALL,ALL,ALL,0TO99
2086,1032,2010,9437.68,ALL,ALL,ALL,0TO99
2090,1035,2010,7282.58,ALL,ALL,ALL,0TO99
2092,1038,2010,3074.61,ALL,ALL,ALL,0TO99
2081,1042,2010,7429.21,ALL,ALL,ALL,0TO99
2100,1024,2010,5595.52,ALL,ALL,ALL,0TO99
2070,1042,2010,6994.04,ALL,ALL,ALL,0TO99
2084,1032,2010,8710.13,ALL,ALL,ALL,0TO99
2073,1038,2010,5599.46,ALL,ALL,ALL,0TO99
2084,1039,2010,6509.18,ALL,ALL,ALL,0TO99
2079,1039,2010,7358.75,ALL,ALL,ALL,0TO99
2074,1044,2010,6271.77,ALL,ALL,ALL,0TO99
2083,1023,2010,6790.77,ALL,ALL,ALL,0TO99
2085,1022,2010,7128.33,ALL,ALL,ALL,0TO99
2084,1036,2010,8014.67,ALL,ALL,ALL,0TO99
2088,1029,2010,31599.56,ALL,ALL,ALL,0TO99
2075,1038,2010,6362.19,ALL,ALL,ALL,0TO99
2081,1040,2010,7776.14,ALL,ALL,ALL,0TO99
2084,1025,2010,6851.65,ALL,ALL,ALL,0TO99
2091,1027,2010,5210.68,ALL,ALL,ALL,0TO99
2089,1032,2010,6716.73,ALL,ALL,ALL,0TO99
2088,1038,2010,6010.78,ALL,ALL,ALL,0TO99
2093,1034,2010,2743.96,ALL,ALL,ALL,0TO99
2087,1020,2010,7889.51,ALL,ALL,ALL,0TO99
2081,1037,2010,36456.24,ALL,ALL,ALL,0TO99
2087,1033,2010,7921.26,ALL,ALL,ALL,0TO99
2080,1042,2010,6095.93,ALL,ALL,ALL,0TO99
2080,1034,2010,6959.53,ALL,ALL,ALL,0TO99
2077,1039,2010,6730.66,ALL,ALL,ALL,0TO99
2089,1025,2010,6262.30,ALL,ALL,ALL,0TO99
2094,1030,2010,8686.76,ALL,ALL,ALL,0TO99
2084,1037,2010,6568.40,ALL,ALL,ALL,0TO99
2091,1030,2010,8668.22,ALL,ALL,ALL,0TO99
2086,1031,2010,9488.26,ALL,ALL,ALL,0TO99
2076,1040,2010,6096.69,ALL,ALL,ALL,0TO99
2096,1029,2010,13058.48,ALL,ALL,ALL,0TO99
2083,1033,2010,8622.46,ALL,ALL,ALL,0TO99
2080,1033,2010,6337.18,ALL,ALL,ALL,0TO99
