Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2255,391,D24HourMean,QuarterlyMean,Mean,3.88
2264,383,D24HourMean,QuarterlyMean,Mean,4.78
2258,319,D24HourMean,QuarterlyMean,Mean,5.86
2239,337,D24HourMean,QuarterlyMean,Mean,5.23
2288,375,D24HourMean,QuarterlyMean,Mean,4.37
2257,334,D24HourMean,QuarterlyMean,Mean,4.79
2280,394,D24HourMean,QuarterlyMean,Mean,4.32
2256,320,D24HourMean,QuarterlyMean,Mean,5.25
2250,338,D24HourMean,QuarterlyMean,Mean,5.71
2271,399,D24HourMean,QuarterlyMean,Mean,3.99
2297,425,D24HourMean,QuarterlyMean,Mean,3.37
2260,343,D24HourMean,QuarterlyMean,Mean,4.21
2278,340,D24HourMean,QuarterlyMean,Mean,4.99
2281,370,D24HourMean,QuarterlyMean,Mean,4.78
2261,396,D24HourMean,QuarterlyMean,Mean,4.56
2292,430,D24HourMean,QuarterlyMean,Mean,3.64
2255,337,D24HourMean,QuarterlyMean,Mean,5.17
2293,406,D24HourMean,QuarterlyMean,Mean,4.26
2279,397,D24HourMean,QuarterlyMean,Mean,4.43
2271,312,D24HourMean,QuarterlyMean,Mean,6.18
2282,399,D24HourMean,QuarterlyMean,Mean,4.21
2246,334,D24HourMean,QuarterlyMean,Mean,4.92
2290,403,D24HourMean,QuarterlyMean,Mean,4.26
2301,413,D24HourMean,QuarterlyMean,Mean,4.08
2274,370,D24HourMean,QuarterlyMean,Mean,5.05
2257,347,D24HourMean,QuarterlyMean,Mean,6.02
2262,400,D24HourMean,QuarterlyMean,Mean,5.66
2281,391,D24HourMean,QuarterlyMean,Mean,3.93
2263,376,D24HourMean,QuarterlyMean,Mean,4.06
2299,397,D24HourMean,QuarterlyMean,Mean,4.61
2286,396,D24HourMean,QuarterlyMean,Mean,4.48
2251,351,D24HourMean,QuarterlyMean,Mean,5.48
2280,357,D24HourMean,QuarterlyMean,Mean,4.61
2248,367,D24HourMean,QuarterlyMean,Mean,4.98
2272,404,D24HourMean,QuarterlyMean,Mean,5.53
2275,383,D24HourMean,QuarterlyMean,Mean,4.15
2253,350,D24HourMean,QuarterlyMean,Mean,5.80
2249,370,D24HourMean,QuarterlyMean,Mean,4.72
2255,339,D24HourMean,QuarterlyMean,Mean,5.25
2275,350,D24HourMean,QuarterlyMean,Mean,4.74
2269,379,D24HourMean,QuarterlyMean,Mean,4.21
2271,359,D24HourMean,QuarterlyMean,Mean,4.43
2275,392,D24HourMean,QuarterlyMean,Mean,4.98
2253,304,D24HourMean,QuarterlyMean,Mean,7.98
2274,394,D24HourMean,QuarterlyMean,Mean,4.37
2239,346,D24HourMean,QuarterlyMean,Mean,5.59
2262,382,D24HourMean,QuarterlyMean,Mean,4.21
2252,367,D24HourMean,QuarterlyMean,Mean,5.57
2255,336,D24HourMean,QuarterlyMean,Mean,5.34
2250,340,D24HourMean,QuarterlyMean,Mean,5.73
2244,391,D24HourMean,QuarterlyMean,Mean,4.74
2273,364,D24HourMean,QuarterlyMean,Mean,4.32
2279,348,D24HourMean,QuarterlyMean,Mean,4.57
2268,331,D24HourMean,QuarterlyMean,Mean,5.05
2269,402,D24HourMean,QuarterlyMean,Mean,4.39
2234,332,D24HourMean,QuarterlyMean,Mean,6.82
2259,351,D24HourMean,QuarterlyMean,Mean,5.19
2279,342,D24HourMean,QuarterlyMean,Mean,5.05
2250,339,D24HourMean,QuarterlyMean,Mean,5.44
2277,334,D24HourMean,QuarterlyMean,Mean,5.66
2276,346,D24HourMean,QuarterlyMean,Mean,4.70
2260,336,D24HourMean,QuarterlyMean,Mean,4.79
2258,386,D24HourMean,QuarterlyMean,Mean,4.43
2270,341,D24HourMean,QuarterlyMean,Mean,4.72
2294,412,D24HourMean,QuarterlyMean,Mean,4.50
2250,378,D24HourMean,QuarterlyMean,Mean,4.98
2235,331,D24HourMean,QuarterlyMean,Mean,6.80
2267,377,D24HourMean,QuarterlyMean,Mean,4.45
2286,394,D24HourMean,QuarterlyMean,Mean,4.04
2245,335,D24HourMean,QuarterlyMean,Mean,5.41
2288,368,D24HourMean,QuarterlyMean,Mean,4.56
2287,392,D24HourMean,QuarterlyMean,Mean,4.15
2245,382,D24HourMean,QuarterlyMean,Mean,5.26
2261,318,D24HourMean,QuarterlyMean,Mean,5.68
2274,402,D24HourMean,QuarterlyMean,Mean,3.93
2277,406,D24HourMean,QuarterlyMean,Mean,4.81
2289,391,D24HourMean,QuarterlyMean,Mean,4.57
2266,318,D24HourMean,QuarterlyMean,Mean,5.96
2256,398,D24HourMean,QuarterlyMean,Mean,4.17
2284,405,D24HourMean,QuarterlyMean,Mean,3.99
2249,378,D24HourMean,QuarterlyMean,Mean,5.05
2260,387,D24HourMean,QuarterlyMean,Mean,5.08
2259,312,D24HourMean,QuarterlyMean,Mean,6.50
2247,330,D24HourMean,QuarterlyMean,Mean,5.28
2254,338,D24HourMean,QuarterlyMean,Mean,5.57
2288,384,D24HourMean,QuarterlyMean,Mean,4.65
2268,379,D24HourMean,QuarterlyMean,Mean,4.15
2259,374,D24HourMean,QuarterlyMean,Mean,4.04
2272,359,D24HourMean,QuarterlyMean,Mean,4.43
2281,388,D24HourMean,QuarterlyMean,Mean,3.49
2255,308,D24HourMean,QuarterlyMean,Mean,6.98
2239,332,D24HourMean,QuarterlyMean,Mean,5.19
2241,343,D24HourMean,QuarterlyMean,Mean,4.79
2269,354,D24HourMean,QuarterlyMean,Mean,4.32
2272,326,D24HourMean,QuarterlyMean,Mean,5.44
2248,387,D24HourMean,QuarterlyMean,Mean,4.43
2253,313,D24HourMean,QuarterlyMean,Mean,5.93
2263,357,D24HourMean,QuarterlyMean,Mean,4.83
2272,385,D24HourMean,QuarterlyMean,Mean,3.95
2250,352,D24HourMean,QuarterlyMean,Mean,5.26
2282,370,D24HourMean,QuarterlyMean,Mean,4.94
2251,325,D24HourMean,QuarterlyMean,Mean,5.73
2269,385,D24HourMean,QuarterlyMean,Mean,4.32
2243,311,D24HourMean,QuarterlyMean,Mean,8.41
2246,331,D24HourMean,QuarterlyMean,Mean,5.28
2269,341,D24HourMean,QuarterlyMean,Mean,4.50
2251,374,D24HourMean,QuarterlyMean,Mean,6.25
2298,421,D24HourMean,QuarterlyMean,Mean,3.47
2303,411,D24HourMean,QuarterlyMean,Mean,4.45
2245,361,D24HourMean,QuarterlyMean,Mean,5.91
2291,423,D24HourMean,QuarterlyMean,Mean,3.80
2241,338,D24HourMean,QuarterlyMean,Mean,5.07
2243,340,D24HourMean,QuarterlyMean,Mean,4.79
2245,378,D24HourMean,QuarterlyMean,Mean,5.07
2258,389,D24HourMean,QuarterlyMean,Mean,4.54
2296,432,D24HourMean,QuarterlyMean,Mean,4.47
2262,313,D24HourMean,QuarterlyMean,Mean,6.27
2271,358,D24HourMean,QuarterlyMean,Mean,4.65
2245,336,D24HourMean,QuarterlyMean,Mean,4.99
2252,377,D24HourMean,QuarterlyMean,Mean,6.32
2275,397,D24HourMean,QuarterlyMean,Mean,4.21
2280,348,D24HourMean,QuarterlyMean,Mean,4.70
2297,428,D24HourMean,QuarterlyMean,Mean,3.39
2275,403,D24HourMean,QuarterlyMean,Mean,3.97
2267,357,D24HourMean,QuarterlyMean,Mean,4.61
2265,387,D24HourMean,QuarterlyMean,Mean,4.04
2269,374,D24HourMean,QuarterlyMean,Mean,4.67
2272,317,D24HourMean,QuarterlyMean,Mean,5.73
2281,390,D24HourMean,QuarterlyMean,Mean,4.10
2292,379,D24HourMean,QuarterlyMean,Mean,4.48
2293,436,D24HourMean,QuarterlyMean,Mean,7.00
2273,358,D24HourMean,QuarterlyMean,Mean,4.67
2243,369,D24HourMean,QuarterlyMean,Mean,5.61
2292,388,D24HourMean,QuarterlyMean,Mean,4.30
2243,313,D24HourMean,QuarterlyMean,Mean,7.63
2267,310,D24HourMean,QuarterlyMean,Mean,6.55
2269,400,D24HourMean,QuarterlyMean,Mean,4.65
2260,379,D24HourMean,QuarterlyMean,Mean,4.76
2260,320,D24HourMean,QuarterlyMean,Mean,5.53
2269,368,D24HourMean,QuarterlyMean,Mean,4.43
2285,385,D24HourMean,QuarterlyMean,Mean,5.16
2270,351,D24HourMean,QuarterlyMean,Mean,4.28
2243,315,D24HourMean,QuarterlyMean,Mean,5.96
2288,366,D24HourMean,QuarterlyMean,Mean,4.37
2253,307,D24HourMean,QuarterlyMean,Mean,7.03
2258,383,D24HourMean,QuarterlyMean,Mean,4.87
2264,312,D24HourMean,QuarterlyMean,Mean,6.57
2273,325,D24HourMean,QuarterlyMean,Mean,5.48
2264,379,D24HourMean,QuarterlyMean,Mean,4.54
2285,388,D24HourMean,QuarterlyMean,Mean,4.23
2253,372,D24HourMean,QuarterlyMean,Mean,5.10
2265,391,D24HourMean,QuarterlyMean,Mean,5.08
2267,328,D24HourMean,QuarterlyMean,Mean,5.32
2263,400,D24HourMean,QuarterlyMean,Mean,6.29
2288,395,D24HourMean,QuarterlyMean,Mean,4.52
2290,383,D24HourMean,QuarterlyMean,Mean,4.52
2244,344,D24HourMean,QuarterlyMean,Mean,4.43
2266,388,D24HourMean,QuarterlyMean,Mean,4.23
2274,391,D24HourMean,QuarterlyMean,Mean,4.99
2288,413,D24HourMean,QuarterlyMean,Mean,3.47
2264,319,D24HourMean,QuarterlyMean,Mean,6.59
2290,369,D24HourMean,QuarterlyMean,Mean,4.76
2265,337,D24HourMean,QuarterlyMean,Mean,4.59
2267,327,D24HourMean,QuarterlyMean,Mean,5.35
2242,331,D24HourMean,QuarterlyMean,Mean,5.25
2250,371,D24HourMean,QuarterlyMean,Mean,5.19
2259,334,D24HourMean,QuarterlyMean,Mean,4.74
2288,390,D24HourMean,QuarterlyMean,Mean,4.87
2276,327,D24HourMean,QuarterlyMean,Mean,5.98
2283,381,D24HourMean,QuarterlyMean,Mean,5.10
2245,356,D24HourMean,QuarterlyMean,Mean,5.64
2274,344,D24HourMean,QuarterlyMean,Mean,5.32
2278,401,D24HourMean,QuarterlyMean,Mean,5.14
2247,329,D24HourMean,QuarterlyMean,Mean,4.88
2269,395,D24HourMean,QuarterlyMean,Mean,4.21
2294,427,D24HourMean,QuarterlyMean,Mean,2.92
2253,322,D24HourMean,QuarterlyMean,Mean,5.34
2293,395,D24HourMean,QuarterlyMean,Mean,4.48
2294,392,D24HourMean,QuarterlyMean,Mean,4.06
2279,399,D24HourMean,QuarterlyMean,Mean,4.04
2251,337,D24HourMean,QuarterlyMean,Mean,5.55
2247,355,D24HourMean,QuarterlyMean,Mean,5.23
2261,324,D24HourMean,QuarterlyMean,Mean,5.73
2239,316,D24HourMean,QuarterlyMean,Mean,7.66
2278,362,D24HourMean,QuarterlyMean,Mean,4.67
2301,402,D24HourMean,QuarterlyMean,Mean,4.61
2295,390,D24HourMean,QuarterlyMean,Mean,4.28
2240,340,D24HourMean,QuarterlyMean,Mean,5.16
2261,312,D24HourMean,QuarterlyMean,Mean,6.34
2275,362,D24HourMean,QuarterlyMean,Mean,4.39
2250,350,D24HourMean,QuarterlyMean,Mean,5.59
2295,396,D24HourMean,QuarterlyMean,Mean,4.57
2292,409,D24HourMean,QuarterlyMean,Mean,4.15
2259,329,D24HourMean,QuarterlyMean,Mean,5.70
2286,393,D24HourMean,QuarterlyMean,Mean,3.99
2290,395,D24HourMean,QuarterlyMean,Mean,4.50
2256,385,D24HourMean,QuarterlyMean,Mean,5.71
2258,399,D24HourMean,QuarterlyMean,Mean,4.26
2294,387,D24HourMean,QuarterlyMean,Mean,4.68
2266,354,D24HourMean,QuarterlyMean,Mean,4.72
2269,337,D24HourMean,QuarterlyMean,Mean,5.16
2294,436,D24HourMean,QuarterlyMean,Mean,6.59
2299,411,D24HourMean,QuarterlyMean,Mean,4.01
2259,324,D24HourMean,QuarterlyMean,Mean,6.64
2264,322,D24HourMean,QuarterlyMean,Mean,5.61
2235,339,D24HourMean,QuarterlyMean,Mean,6.45
2276,375,D24HourMean,QuarterlyMean,Mean,4.06
2288,363,D24HourMean,QuarterlyMean,Mean,4.76
2240,327,D24HourMean,QuarterlyMean,Mean,5.46
2261,337,D24HourMean,QuarterlyMean,Mean,4.92
2259,316,D24HourMean,QuarterlyMean,Mean,5.95
2293,427,D24HourMean,QuarterlyMean,Mean,3.17
2295,429,D24HourMean,QuarterlyMean,Mean,3.86
2294,384,D24HourMean,QuarterlyMean,Mean,4.41
2266,313,D24HourMean,QuarterlyMean,Mean,6.16
2246,307,D24HourMean,QuarterlyMean,Mean,8.67
2280,423,D24HourMean,QuarterlyMean,Mean,4.99
2269,376,D24HourMean,QuarterlyMean,Mean,4.15
2282,388,D24HourMean,QuarterlyMean,Mean,3.76
2246,374,D24HourMean,QuarterlyMean,Mean,5.01
2300,406,D24HourMean,QuarterlyMean,Mean,4.85
2253,328,D24HourMean,QuarterlyMean,Mean,5.12
