Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2255,391,2010,595.54,ALL,ALL,ALL,0TO99
2264,383,2010,960.47,ALL,ALL,ALL,0TO99
2258,319,2010,2916.84,ALL,ALL,ALL,0TO99
2239,337,2010,1278.72,ALL,ALL,ALL,0TO99
2288,375,2010,3698.71,ALL,ALL,ALL,0TO99
2257,334,2010,740.15,ALL,ALL,ALL,0TO99
2280,394,2010,623.44,ALL,ALL,ALL,0TO99
2256,320,2010,3169.31,ALL,ALL,ALL,0TO99
2250,338,2010,764.82,ALL,ALL,ALL,0TO99
2271,399,2010,2677.63,ALL,ALL,ALL,0TO99
2297,425,2010,2267.25,ALL,ALL,ALL,0TO99
2260,343,2010,283.91,ALL,ALL,ALL,0TO99
2278,340,2010,4075.11,ALL,ALL,ALL,0TO99
2281,370,2010,3606.77,ALL,ALL,ALL,0TO99
2261,396,2010,1263.51,ALL,ALL,ALL,0TO99
2292,430,2010,2442.40,ALL,ALL,ALL,0TO99
2255,337,2010,566.19,ALL,ALL,ALL,0TO99
2293,406,2010,1287.32,ALL,ALL,ALL,0TO99
2279,397,2010,1296.34,ALL,ALL,ALL,0TO99
2271,312,2010,6403.44,ALL,ALL,ALL,0TO99
2282,399,2010,1290.04,ALL,ALL,ALL,0TO99
2246,334,2010,1254.01,ALL,ALL,ALL,0TO99
2290,403,2010,5763.45,ALL,ALL,ALL,0TO99
2301,413,2010,3657.07,ALL,ALL,ALL,0TO99
2274,370,2010,35070.56,ALL,ALL,ALL,0TO99
2257,347,2010,286.24,ALL,ALL,ALL,0TO99
2262,400,2010,1266.14,ALL,ALL,ALL,0TO99
2281,391,2010,920.41,ALL,ALL,ALL,0TO99
2263,376,2010,2674.30,ALL,ALL,ALL,0TO99
2299,397,2010,3354.56,ALL,ALL,ALL,0TO99
2286,396,2010,1701.49,ALL,ALL,ALL,0TO99
2251,351,2010,335.11,ALL,ALL,ALL,0TO99
2280,357,2010,4434.15,ALL,ALL,ALL,0TO99
2248,367,2010,777.45,ALL,ALL,ALL,0TO99
2272,404,2010,1469.39,ALL,ALL,ALL,0TO99
2275,383,2010,885.37,ALL,ALL,ALL,0TO99
2253,350,2010,325.45,ALL,ALL,ALL,0TO99
2249,370,2010,614.77,ALL,ALL,ALL,0TO99
2255,339,2010,308.26,ALL,ALL,ALL,0TO99
2275,350,2010,8372.27,ALL,ALL,ALL,0TO99
2269,379,2010,1117.23,ALL,ALL,ALL,0TO99
2271,359,2010,8469.51,ALL,ALL,ALL,0TO99
2275,392,2010,1552.12,ALL,ALL,ALL,0TO99
2253,304,2010,2082.93,ALL,ALL,ALL,0TO99
2274,394,2010,1778.68,ALL,ALL,ALL,0TO99
2239,346,2010,730.81,ALL,ALL,ALL,0TO99
2262,382,2010,1392.75,ALL,ALL,ALL,0TO99
2252,367,2010,557.13,ALL,ALL,ALL,0TO99
2255,336,2010,565.09,ALL,ALL,ALL,0TO99
2250,340,2010,841.70,ALL,ALL,ALL,0TO99
2244,391,2010,437.76,ALL,ALL,ALL,0TO99
2273,364,2010,57229.93,ALL,ALL,ALL,0TO99
2279,348,2010,10334.48,ALL,ALL,ALL,0TO99
2268,331,2010,2520.13,ALL,ALL,ALL,0TO99
2269,402,2010,1664.73,ALL,ALL,ALL,0TO99
2234,332,2010,2007.12,ALL,ALL,ALL,0TO99
2259,351,2010,592.84,ALL,ALL,ALL,0TO99
2279,342,2010,6909.31,ALL,ALL,ALL,0TO99
2250,339,2010,800.58,ALL,ALL,ALL,0TO99
2277,334,2010,3647.21,ALL,ALL,ALL,0TO99
2276,346,2010,3043.48,ALL,ALL,ALL,0TO99
2260,336,2010,803.88,ALL,ALL,ALL,0TO99
2258,386,2010,942.63,ALL,ALL,ALL,0TO99
2270,341,2010,14826.51,ALL,ALL,ALL,0TO99
2294,412,2010,2278.23,ALL,ALL,ALL,0TO99
2250,378,2010,353.87,ALL,ALL,ALL,0TO99
2235,331,2010,3525.78,ALL,ALL,ALL,0TO99
2267,377,2010,3017.74,ALL,ALL,ALL,0TO99
2286,394,2010,576.97,ALL,ALL,ALL,0TO99
2245,335,2010,1798.66,ALL,ALL,ALL,0TO99
2288,368,2010,3129.45,ALL,ALL,ALL,0TO99
2287,392,2010,586.98,ALL,ALL,ALL,0TO99
2245,382,2010,575.39,ALL,ALL,ALL,0TO99
2261,318,2010,1232.97,ALL,ALL,ALL,0TO99
2274,402,2010,1913.19,ALL,ALL,ALL,0TO99
2277,406,2010,3052.55,ALL,ALL,ALL,0TO99
2289,391,2010,2453.70,ALL,ALL,ALL,0TO99
2266,318,2010,1147.65,ALL,ALL,ALL,0TO99
2256,398,2010,997.89,ALL,ALL,ALL,0TO99
2284,405,2010,2395.41,ALL,ALL,ALL,0TO99
2249,378,2010,343.00,ALL,ALL,ALL,0TO99
2260,387,2010,797.01,ALL,ALL,ALL,0TO99
2259,312,2010,1724.09,ALL,ALL,ALL,0TO99
2247,330,2010,948.13,ALL,ALL,ALL,0TO99
2254,338,2010,482.10,ALL,ALL,ALL,0TO99
2288,384,2010,4880.06,ALL,ALL,ALL,0TO99
2268,379,2010,1098.88,ALL,ALL,ALL,0TO99
2259,374,2010,2880.43,ALL,ALL,ALL,0TO99
2272,359,2010,5670.59,ALL,ALL,ALL,0TO99
2281,388,2010,1013.11,ALL,ALL,ALL,0TO99
2255,308,2010,3408.68,ALL,ALL,ALL,0TO99
2239,332,2010,4317.22,ALL,ALL,ALL,0TO99
2241,343,2010,928.20,ALL,ALL,ALL,0TO99
2269,354,2010,5939.24,ALL,ALL,ALL,0TO99
2272,326,2010,2394.59,ALL,ALL,ALL,0TO99
2248,387,2010,310.84,ALL,ALL,ALL,0TO99
2253,313,2010,8284.98,ALL,ALL,ALL,0TO99
2263,357,2010,411.51,ALL,ALL,ALL,0TO99
2272,385,2010,863.04,ALL,ALL,ALL,0TO99
2250,352,2010,614.67,ALL,ALL,ALL,0TO99
2282,370,2010,2912.93,ALL,ALL,ALL,0TO99
2251,325,2010,1287.17,ALL,ALL,ALL,0TO99
2269,385,2010,829.89,ALL,ALL,ALL,0TO99
2243,311,2010,1713.37,ALL,ALL,ALL,0TO99
2246,331,2010,948.81,ALL,ALL,ALL,0TO99
2269,341,2010,11280.13,ALL,ALL,ALL,0TO99
2251,374,2010,484.83,ALL,ALL,ALL,0TO99
2298,421,2010,4157.01,ALL,ALL,ALL,0TO99
2303,411,2010,2259.30,ALL,ALL,ALL,0TO99
2245,361,2010,162.58,ALL,ALL,ALL,0TO99
2291,423,2010,2041.09,ALL,ALL,ALL,0TO99
2241,338,2010,1831.94,ALL,ALL,ALL,0TO99
2243,340,2010,809.72,ALL,ALL,ALL,0TO99
2245,378,2010,1181.14,ALL,ALL,ALL,0TO99
2258,389,2010,381.20,ALL,ALL,ALL,0TO99
2296,432,2010,1943.15,ALL,ALL,ALL,0TO99
2262,313,2010,2396.32,ALL,ALL,ALL,0TO99
2271,358,2010,5981.41,ALL,ALL,ALL,0TO99
