Column,Row,Metric,Seasonal Metric,Annual Metric,Values
617,851,D24HourMean,QuarterlyMean,Mean,10.61
618,849,D24HourMean,QuarterlyMean,Mean,11.71
618,850,D24HourMean,QuarterlyMean,Mean,12.05
630,883,D24HourMean,QuarterlyMean,Mean,9.89
630,884,D24HourMean,QuarterlyMean,Mean,11.27
631,883,D24HourMean,QuarterlyMean,Mean,7.97
631,884,D24HourMean,QuarterlyMean,Mean,12.14
632,880,D24HourMean,QuarterlyMean,Mean,7.34
632,881,D24HourMean,QuarterlyMean,Mean,6.72
632,882,D24HourMean,QuarterlyMean,Mean,5.94
632,883,D24HourMean,QuarterlyMean,Mean,6.42
632,884,D24HourMean,QuarterlyMean,Mean,9.06
632,885,D24HourMean,QuarterlyMean,Mean,9.48
633,879,D24HourMean,QuarterlyMean,Mean,7.38
633,880,D24HourMean,QuarterlyMean,Mean,6.33
633,881,D24HourMean,QuarterlyMean,Mean,5.49
633,882,D24HourMean,QuarterlyMean,Mean,5.27
633,883,D24HourMean,QuarterlyMean,Mean,5.83
633,884,D24HourMean,QuarterlyMean,Mean,6.72
633,885,D24HourMean,QuarterlyMean,Mean,6.71
634,875,D24HourMean,QuarterlyMean,Mean,8.46
634,879,D24HourMean,QuarterlyMean,Mean,6.82
634,880,D24HourMean,QuarterlyMean,Mean,5.52
634,881,D24HourMean,QuarterlyMean,Mean,4.51
634,882,D24HourMean,QuarterlyMean,Mean,4.70
634,883,D24HourMean,QuarterlyMean,Mean,5.28
634,884,D24HourMean,QuarterlyMean,Mean,6.39
634,885,D24HourMean,QuarterlyMean,Mean,6.86
635,874,D24HourMean,QuarterlyMean,Mean,7.92
635,875,D24HourMean,QuarterlyMean,Mean,7.85
635,876,D24HourMean,QuarterlyMean,Mean,7.73
635,877,D24HourMean,QuarterlyMean,Mean,6.45
635,878,D24HourMean,QuarterlyMean,Mean,6.31
635,879,D24HourMean,QuarterlyMean,Mean,6.15
635,880,D24HourMean,QuarterlyMean,Mean,5.30
635,881,D24HourMean,QuarterlyMean,Mean,4.38
635,882,D24HourMean,QuarterlyMean,Mean,4.46
635,883,D24HourMean,QuarterlyMean,Mean,5.50
635,884,D24HourMean,QuarterlyMean,Mean,6.68
635,885,D24HourMean,QuarterlyMean,Mean,7.14
636,874,D24HourMean,QuarterlyMean,Mean,7.55
636,875,D24HourMean,QuarterlyMean,Mean,7.27
636,876,D24HourMean,QuarterlyMean,Mean,6.76
636,877,D24HourMean,QuarterlyMean,Mean,6.04
636,878,D24HourMean,QuarterlyMean,Mean,6.13
636,879,D24HourMean,QuarterlyMean,Mean,6.12
636,880,D24HourMean,QuarterlyMean,Mean,5.13
636,881,D24HourMean,QuarterlyMean,Mean,4.85
636,882,D24HourMean,QuarterlyMean,Mean,5.02
636,883,D24HourMean,QuarterlyMean,Mean,5.61
636,884,D24HourMean,QuarterlyMean,Mean,6.52
636,885,D24HourMean,QuarterlyMean,Mean,7.09
637,872,D24HourMean,QuarterlyMean,Mean,8.01
637,873,D24HourMean,QuarterlyMean,Mean,7.57
637,874,D24HourMean,QuarterlyMean,Mean,6.92
637,875,D24HourMean,QuarterlyMean,Mean,6.90
637,876,D24HourMean,QuarterlyMean,Mean,6.21
637,877,D24HourMean,QuarterlyMean,Mean,6.34
637,878,D24HourMean,QuarterlyMean,Mean,5.83
637,879,D24HourMean,QuarterlyMean,Mean,5.87
637,880,D24HourMean,QuarterlyMean,Mean,5.46
637,881,D24HourMean,QuarterlyMean,Mean,6.07
637,882,D24HourMean,QuarterlyMean,Mean,6.38
637,883,D24HourMean,QuarterlyMean,Mean,6.04
637,884,D24HourMean,QuarterlyMean,Mean,6.49
637,885,D24HourMean,QuarterlyMean,Mean,7.17
638,870,D24HourMean,QuarterlyMean,Mean,8.27
638,871,D24HourMean,QuarterlyMean,Mean,7.94
638,872,D24HourMean,QuarterlyMean,Mean,7.99
638,873,D24HourMean,QuarterlyMean,Mean,7.47
638,874,D24HourMean,QuarterlyMean,Mean,7.52
638,875,D24HourMean,QuarterlyMean,Mean,7.43
638,876,D24HourMean,QuarterlyMean,Mean,6.62
638,877,D24HourMean,QuarterlyMean,Mean,6.78
638,878,D24HourMean,QuarterlyMean,Mean,6.38
638,879,D24HourMean,QuarterlyMean,Mean,6.45
638,880,D24HourMean,QuarterlyMean,Mean,6.12
638,881,D24HourMean,QuarterlyMean,Mean,7.20
638,882,D24HourMean,QuarterlyMean,Mean,7.34
638,883,D24HourMean,QuarterlyMean,Mean,6.64
638,884,D24HourMean,QuarterlyMean,Mean,6.90
638,885,D24HourMean,QuarterlyMean,Mean,7.57
639,869,D24HourMean,QuarterlyMean,Mean,8.15
639,870,D24HourMean,QuarterlyMean,Mean,8.01
639,871,D24HourMean,QuarterlyMean,Mean,7.69
639,872,D24HourMean,QuarterlyMean,Mean,7.50
639,873,D24HourMean,QuarterlyMean,Mean,7.36
639,874,D24HourMean,QuarterlyMean,Mean,7.29
639,875,D24HourMean,QuarterlyMean,Mean,7.45
639,876,D24HourMean,QuarterlyMean,Mean,7.10
639,877,D24HourMean,QuarterlyMean,Mean,7.52
639,878,D24HourMean,QuarterlyMean,Mean,7.08
639,879,D24HourMean,QuarterlyMean,Mean,6.68
639,880,D24HourMean,QuarterlyMean,Mean,6.98
639,881,D24HourMean,QuarterlyMean,Mean,7.27
639,882,D24HourMean,QuarterlyMean,Mean,7.09
639,883,D24HourMean,QuarterlyMean,Mean,6.92
639,884,D24HourMean,QuarterlyMean,Mean,7.51
639,885,D24HourMean,QuarterlyMean,Mean,8.90
640,868,D24HourMean,QuarterlyMean,Mean,7.75
640,869,D24HourMean,QuarterlyMean,Mean,7.38
640,870,D24HourMean,QuarterlyMean,Mean,7.20
