Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2020,980,D24HourMean,QuarterlyMean,Mean,14.57
2018,979,D24HourMean,QuarterlyMean,Mean,15.73
2010,973,D24HourMean,QuarterlyMean,Mean,11.67
2012,976,D24HourMean,QuarterlyMean,Mean,12.59
2024,978,D24HourMean,QuarterlyMean,Mean,14.40
2015,972,D24HourMean,QuarterlyMean,Mean,13.90
2021,978,D24HourMean,QuarterlyMean,Mean,16.30
2017,978,D24HourMean,QuarterlyMean,Mean,15.53
2019,975,D24HourMean,QuarterlyMean,Mean,15.75
2021,977,D24HourMean,QuarterlyMean,Mean,16.25
2006,976,D24HourMean,QuarterlyMean,Mean,12.46
2010,970,D24HourMean,QuarterlyMean,Mean,11.87
2023,979,D24HourMean,QuarterlyMean,Mean,14.62
2008,969,D24HourMean,QuarterlyMean,Mean,10.99
2024,971,D24HourMean,QuarterlyMean,Mean,14.32
2010,974,D24HourMean,QuarterlyMean,Mean,11.25
2018,969,D24HourMean,QuarterlyMean,Mean,14.61
2021,974,D24HourMean,QuarterlyMean,Mean,16.10
2010,975,D24HourMean,QuarterlyMean,Mean,11.43
2029,973,D24HourMean,QuarterlyMean,Mean,15.22
2022,974,D24HourMean,QuarterlyMean,Mean,14.78
2016,974,D24HourMean,QuarterlyMean,Mean,14.21
2025,973,D24HourMean,QuarterlyMean,Mean,14.33
2014,981,D24HourMean,QuarterlyMean,Mean,14.77
2014,971,D24HourMean,QuarterlyMean,Mean,13.35
2018,980,D24HourMean,QuarterlyMean,Mean,15.35
2007,972,D24HourMean,QuarterlyMean,Mean,12.11
2024,976,D24HourMean,QuarterlyMean,Mean,13.87
2015,980,D24HourMean,QuarterlyMean,Mean,16.39
2015,979,D24HourMean,QuarterlyMean,Mean,15.91
2016,972,D24HourMean,QuarterlyMean,Mean,14.18
2027,979,D24HourMean,QuarterlyMean,Mean,13.65
2019,978,D24HourMean,QuarterlyMean,Mean,15.23
2023,982,D24HourMean,QuarterlyMean,Mean,12.57
2025,972,D24HourMean,QuarterlyMean,Mean,14.80
2021,976,D24HourMean,QuarterlyMean,Mean,16.30
2020,974,D24HourMean,QuarterlyMean,Mean,16.10
2018,978,D24HourMean,QuarterlyMean,Mean,15.71
2023,972,D24HourMean,QuarterlyMean,Mean,14.45
2018,970,D24HourMean,QuarterlyMean,Mean,13.81
2009,975,D24HourMean,QuarterlyMean,Mean,11.70
2019,971,D24HourMean,QuarterlyMean,Mean,13.41
2009,978,D24HourMean,QuarterlyMean,Mean,14.48
2010,977,D24HourMean,QuarterlyMean,Mean,13.13
2010,971,D24HourMean,QuarterlyMean,Mean,11.60
2013,978,D24HourMean,QuarterlyMean,Mean,13.83
2019,974,D24HourMean,QuarterlyMean,Mean,15.64
2008,975,D24HourMean,QuarterlyMean,Mean,11.48
2015,971,D24HourMean,QuarterlyMean,Mean,13.93
2014,977,D24HourMean,QuarterlyMean,Mean,13.70
2007,971,D24HourMean,QuarterlyMean,Mean,11.82
2025,977,D24HourMean,QuarterlyMean,Mean,13.77
2011,970,D24HourMean,QuarterlyMean,Mean,11.67
2008,974,D24HourMean,QuarterlyMean,Mean,11.60
2017,971,D24HourMean,QuarterlyMean,Mean,13.96
2023,975,D24HourMean,QuarterlyMean,Mean,14.75
2009,974,D24HourMean,QuarterlyMean,Mean,11.67
2018,977,D24HourMean,QuarterlyMean,Mean,15.89
2024,974,D24HourMean,QuarterlyMean,Mean,14.50
2026,976,D24HourMean,QuarterlyMean,Mean,13.68
2014,972,D24HourMean,QuarterlyMean,Mean,13.70
2024,972,D24HourMean,QuarterlyMean,Mean,14.62
2025,980,D24HourMean,QuarterlyMean,Mean,13.60
2030,977,D24HourMean,QuarterlyMean,Mean,13.68
2026,978,D24HourMean,QuarterlyMean,Mean,13.65
2009,972,D24HourMean,QuarterlyMean,Mean,11.75
2010,980,D24HourMean,QuarterlyMean,Mean,15.79
2009,973,D24HourMean,QuarterlyMean,Mean,11.62
2007,973,D24HourMean,QuarterlyMean,Mean,11.87
2022,977,D24HourMean,QuarterlyMean,Mean,15.59
2012,979,D24HourMean,QuarterlyMean,Mean,15.36
2016,973,D24HourMean,QuarterlyMean,Mean,14.24
2024,973,D24HourMean,QuarterlyMean,Mean,14.55
2026,972,D24HourMean,QuarterlyMean,Mean,14.91
2023,977,D24HourMean,QuarterlyMean,Mean,15.03
2014,969,D24HourMean,QuarterlyMean,Mean,14.21
2014,974,D24HourMean,QuarterlyMean,Mean,13.75
2019,979,D24HourMean,QuarterlyMean,Mean,15.12
2030,976,D24HourMean,QuarterlyMean,Mean,13.65
2007,975,D24HourMean,QuarterlyMean,Mean,11.69
2015,976,D24HourMean,QuarterlyMean,Mean,13.68
2020,982,D24HourMean,QuarterlyMean,Mean,13.85
2021,981,D24HourMean,QuarterlyMean,Mean,13.96
2012,981,D24HourMean,QuarterlyMean,Mean,15.80
2022,978,D24HourMean,QuarterlyMean,Mean,15.99
2012,971,D24HourMean,QuarterlyMean,Mean,12.15
2022,973,D24HourMean,QuarterlyMean,Mean,14.73
2013,971,D24HourMean,QuarterlyMean,Mean,12.72
2023,974,D24HourMean,QuarterlyMean,Mean,14.93
