Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2020,980,2010,1157.96,ALL,ALL,ALL,0TO99
2018,979,2010,10164.10,ALL,ALL,ALL,0TO99
2010,973,2010,675.30,ALL,ALL,ALL,0TO99
2012,976,2010,1125.88,ALL,ALL,ALL,0TO99
2024,978,2010,5544.10,ALL,ALL,ALL,0TO99
2015,972,2010,3514.50,ALL,ALL,ALL,0TO99
2021,978,2010,3720.20,ALL,ALL,ALL,0TO99
2017,978,2010,3859.89,ALL,ALL,ALL,0TO99
2019,975,2010,1339.69,ALL,ALL,ALL,0TO99
2021,977,2010,5571.72,ALL,ALL,ALL,0TO99
2006,976,2010,3827.25,ALL,ALL,ALL,0TO99
2010,970,2010,4518.97,ALL,ALL,ALL,0TO99
2023,979,2010,4671.47,ALL,ALL,ALL,0TO99
2008,969,2010,4102.98,ALL,ALL,ALL,0TO99
2024,971,2010,4415.03,ALL,ALL,ALL,0TO99
2010,974,2010,4506.97,ALL,ALL,ALL,0TO99
2018,969,2010,985.66,ALL,ALL,ALL,0TO99
2021,974,2010,8095.00,ALL,ALL,ALL,0TO99
2010,975,2010,28918.02,ALL,ALL,ALL,0TO99
2029,973,2010,3526.91,ALL,ALL,ALL,0TO99
2022,974,2010,3766.73,ALL,ALL,ALL,0TO99
2016,974,2010,3769.65,ALL,ALL,ALL,0TO99
2025,973,2010,2308.94,ALL,ALL,ALL,0TO99
2014,981,2010,11122.48,ALL,ALL,ALL,0TO99
2014,971,2010,1895.85,ALL,ALL,ALL,0TO99
2018,980,2010,31834.05,ALL,ALL,ALL,0TO99
2007,972,2010,19741.13,ALL,ALL,ALL,0TO99
2024,976,2010,6568.50,ALL,ALL,ALL,0TO99
2015,980,2010,129888.37,ALL,ALL,ALL,0TO99
2015,979,2010,116024.36,ALL,ALL,ALL,0TO99
2016,972,2010,6984.26,ALL,ALL,ALL,0TO99
2027,979,2010,4354.11,ALL,ALL,ALL,0TO99
2019,978,2010,6533.05,ALL,ALL,ALL,0TO99
2023,982,2010,3595.62,ALL,ALL,ALL,0TO99
2025,972,2010,3410.63,ALL,ALL,ALL,0TO99
2021,976,2010,5193.32,ALL,ALL,ALL,0TO99
2020,974,2010,6331.94,ALL,ALL,ALL,0TO99
2018,978,2010,7378.55,ALL,ALL,ALL,0TO99
2023,972,2010,1022.77,ALL,ALL,ALL,0TO99
2018,970,2010,63.57,ALL,ALL,ALL,0TO99
2009,975,2010,3189.80,ALL,ALL,ALL,0TO99
2019,971,2010,59.04,ALL,ALL,ALL,0TO99
2009,978,2010,17288.13,ALL,ALL,ALL,0TO99
2010,977,2010,35145.73,ALL,ALL,ALL,0TO99
2010,971,2010,2739.69,ALL,ALL,ALL,0TO99
2013,978,2010,6140.80,ALL,ALL,ALL,0TO99
2019,974,2010,6269.50,ALL,ALL,ALL,0TO99
2008,975,2010,1987.75,ALL,ALL,ALL,0TO99
2015,971,2010,2454.27,ALL,ALL,ALL,0TO99
2014,977,2010,3235.95,ALL,ALL,ALL,0TO99
2007,971,2010,15024.28,ALL,ALL,ALL,0TO99
2025,977,2010,4754.07,ALL,ALL,ALL,0TO99
2011,970,2010,2471.68,ALL,ALL,ALL,0TO99
2008,974,2010,917.30,ALL,ALL,ALL,0TO99
2017,971,2010,351.16,ALL,ALL,ALL,0TO99
2023,975,2010,5462.73,ALL,ALL,ALL,0TO99
2009,974,2010,699.80,ALL,ALL,ALL,0TO99
2018,977,2010,10295.49,ALL,ALL,ALL,0TO99
2024,974,2010,1748.79,ALL,ALL,ALL,0TO99
2026,976,2010,5263.12,ALL,ALL,ALL,0TO99
2014,972,2010,3535.77,ALL,ALL,ALL,0TO99
2024,972,2010,4208.40,ALL,ALL,ALL,0TO99
2025,980,2010,8283.88,ALL,ALL,ALL,0TO99
2030,977,2010,2517.03,ALL,ALL,ALL,0TO99
2026,978,2010,3467.80,ALL,ALL,ALL,0TO99
2009,972,2010,1362.71,ALL,ALL,ALL,0TO99
2010,980,2010,41132.00,ALL,ALL,ALL,0TO99
2009,973,2010,648.47,ALL,ALL,ALL,0TO99
2007,973,2010,2145.20,ALL,ALL,ALL,0TO99
2022,977,2010,7519.42,ALL,ALL,ALL,0TO99
2012,979,2010,12537.10,ALL,ALL,ALL,0TO99
2016,973,2010,11722.87,ALL,ALL,ALL,0TO99
2024,973,2010,1422.87,ALL,ALL,ALL,0TO99
2026,972,2010,4720.90,ALL,ALL,ALL,0TO99
2023,977,2010,5852.56,ALL,ALL,ALL,0TO99
2014,969,2010,7337.73,ALL,ALL,ALL,0TO99
2014,974,2010,3310.06,ALL,ALL,ALL,0TO99
2019,979,2010,4626.98,ALL,ALL,ALL,0TO99
2030,976,2010,1971.57,ALL,ALL,ALL,0TO99
2007,975,2010,3619.55,ALL,ALL,ALL,0TO99
2015,976,2010,1552.59,ALL,ALL,ALL,0TO99
2020,982,2010,1188.42,ALL,ALL,ALL,0TO99
2021,981,2010,1907.07,ALL,ALL,ALL,0TO99
2012,981,2010,8916.72,ALL,ALL,ALL,0TO99
2022,978,2010,4695.68,ALL,ALL,ALL,0TO99
2012,971,2010,1670.62,ALL,ALL,ALL,0TO99
2022,973,2010,1647.24,ALL,ALL,ALL,0TO99
2013,971,2010,1486.01,ALL,ALL,ALL,0TO99
2023,974,2010,2004.82,ALL,ALL,ALL,0TO99
2017,975,2010,466.38,ALL,ALL,ALL,0TO99
2019,976,2010,4633.99,ALL,ALL,ALL,0TO99
2029,977,2010,2401.73,ALL,ALL,ALL,0TO99
2016,981,2010,22592.37,ALL,ALL,ALL,0TO99
2026,977,2010,5245.16,ALL,ALL,ALL,0TO99
2009,970,2010,18086.07,ALL,ALL,ALL,0TO99
2021,973,2010,6980.05,ALL,ALL,ALL,0TO99
2014,980,2010,46603.40,ALL,ALL,ALL,0TO99
2013,970,2010,20862.29,ALL,ALL,ALL,0TO99
2009,976,2010,4566.30,ALL,ALL,ALL,0TO99
2017,970,2010,321.70,ALL,ALL,ALL,0TO99
2020,979,2010,3422.01,ALL,ALL,ALL,0TO99
2020,977,2010,2316.22,ALL,ALL,ALL,0TO99
2009,980,2010,7945.94,ALL,ALL,ALL,0TO99
2024,979,2010,11708.22,ALL,ALL,ALL,0TO99
2029,975,2010,4211.72,ALL,ALL,ALL,0TO99
2016,977,2010,6058.67,ALL,ALL,ALL,0TO99
2013,974,2010,3289.43,ALL,ALL,ALL,0TO99
2020,973,2010,7540.56,ALL,ALL,ALL,0TO99
2014,978,2010,4687.12,ALL,ALL,ALL,0TO99
2023,976,2010,7747.63,ALL,ALL,ALL,0TO99
2025,981,2010,5008.37,ALL,ALL,ALL,0TO99
2007,976,2010,1420.93,ALL,ALL,ALL,0TO99
2029,978,2010,3495.98,ALL,ALL,ALL,0TO99
2023,981,2010,2876.26,ALL,ALL,ALL,0TO99
2016,975,2010,415.71,ALL,ALL,ALL,0TO99
2017,979,2010,12353.07,ALL,ALL,ALL,0TO99
2027,973,2010,3555.23,ALL,ALL,ALL,0TO99
2011,979,2010,22047.15,ALL,ALL,ALL,0TO99
2006,974,2010,6225.65,ALL,ALL,ALL,0TO99
2011,973,2010,657.84,ALL,ALL,ALL,0TO99
2019,980,2010,4167.21,ALL,ALL,ALL,0TO99
2020,975,2010,1961.68,ALL,ALL,ALL,0TO99
