Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1679,704,D24HourMean,QuarterlyMean,Mean,35.32
1679,705,D24HourMean,QuarterlyMean,Mean,36.10
1679,706,D24HourMean,QuarterlyMean,Mean,36.98
1679,707,D24HourMean,QuarterlyMean,Mean,37.10
1680,703,D24HourMean,QuarterlyMean,Mean,34.12
1680,704,D24HourMean,QuarterlyMean,Mean,35.09
1680,705,D24HourMean,QuarterlyMean,Mean,35.60
1680,706,D24HourMean,QuarterlyMean,Mean,36.67
1681,695,D24HourMean,QuarterlyMean,Mean,31.29
1681,696,D24HourMean,QuarterlyMean,Mean,31.23
1681,697,D24HourMean,QuarterlyMean,Mean,31.43
1681,699,D24HourMean,QuarterlyMean,Mean,32.16
1681,700,D24HourMean,QuarterlyMean,Mean,32.84
1681,701,D24HourMean,QuarterlyMean,Mean,33.30
1681,702,D24HourMean,QuarterlyMean,Mean,33.89
1681,703,D24HourMean,QuarterlyMean,Mean,34.64
1681,704,D24HourMean,QuarterlyMean,Mean,36.19
1681,705,D24HourMean,QuarterlyMean,Mean,36.09
1681,706,D24HourMean,QuarterlyMean,Mean,37.37
1681,707,D24HourMean,QuarterlyMean,Mean,36.95
1682,693,D24HourMean,QuarterlyMean,Mean,29.31
1682,694,D24HourMean,QuarterlyMean,Mean,30.05
1682,695,D24HourMean,QuarterlyMean,Mean,31.52
1682,696,D24HourMean,QuarterlyMean,Mean,31.06
1682,697,D24HourMean,QuarterlyMean,Mean,30.95
1682,698,D24HourMean,QuarterlyMean,Mean,31.68
1682,699,D24HourMean,QuarterlyMean,Mean,32.17
1682,700,D24HourMean,QuarterlyMean,Mean,32.58
1682,701,D24HourMean,QuarterlyMean,Mean,33.69
1682,702,D24HourMean,QuarterlyMean,Mean,33.54
1682,703,D24HourMean,QuarterlyMean,Mean,33.74
1682,704,D24HourMean,QuarterlyMean,Mean,36.26
1682,705,D24HourMean,QuarterlyMean,Mean,36.44
1682,706,D24HourMean,QuarterlyMean,Mean,37.63
1682,707,D24HourMean,QuarterlyMean,Mean,37.47
1682,708,D24HourMean,QuarterlyMean,Mean,37.02
1683,694,D24HourMean,QuarterlyMean,Mean,29.10
1683,695,D24HourMean,QuarterlyMean,Mean,29.77
1683,696,D24HourMean,QuarterlyMean,Mean,30.40
1683,697,D24HourMean,QuarterlyMean,Mean,31.80
1683,698,D24HourMean,QuarterlyMean,Mean,31.80
