Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1679,704,2010,2204.98,ALL,ALL,ALL,0TO99
1679,705,2010,2390.41,ALL,ALL,ALL,0TO99
1679,706,2010,3420.72,ALL,ALL,ALL,0TO99
1679,707,2010,2851.68,ALL,ALL,ALL,0TO99
1680,703,2010,2223.66,ALL,ALL,ALL,0TO99
1680,704,2010,2309.97,ALL,ALL,ALL,0TO99
1680,705,2010,2308.88,ALL,ALL,ALL,0TO99
1680,706,2010,2307.86,ALL,ALL,ALL,0TO99
1681,695,2010,609.18,ALL,ALL,ALL,0TO99
1681,696,2010,462.76,ALL,ALL,ALL,0TO99
1681,697,2010,482.18,ALL,ALL,ALL,0TO99
1681,699,2010,549.12,ALL,ALL,ALL,0TO99
1681,700,2010,467.34,ALL,ALL,ALL,0TO99
1681,701,2010,490.43,ALL,ALL,ALL,0TO99
1681,702,2010,1354.16,ALL,ALL,ALL,0TO99
1681,703,2010,2521.66,ALL,ALL,ALL,0TO99
1681,704,2010,2309.97,ALL,ALL,ALL,0TO99
1681,705,2010,2308.88,ALL,ALL,ALL,0TO99
1681,706,2010,2307.86,ALL,ALL,ALL,0TO99
1681,707,2010,2539.05,ALL,ALL,ALL,0TO99
1682,693,2010,587.61,ALL,ALL,ALL,0TO99
1682,694,2010,701.11,ALL,ALL,ALL,0TO99
1682,695,2010,563.59,ALL,ALL,ALL,0TO99
1682,696,2010,462.76,ALL,ALL,ALL,0TO99
1682,697,2010,462.57,ALL,ALL,ALL,0TO99
1682,698,2010,462.37,ALL,ALL,ALL,0TO99
1682,699,2010,462.17,ALL,ALL,ALL,0TO99
1682,700,2010,461.96,ALL,ALL,ALL,0TO99
1682,701,2010,461.77,ALL,ALL,ALL,0TO99
1682,702,2010,776.21,ALL,ALL,ALL,0TO99
1682,703,2010,2759.63,ALL,ALL,ALL,0TO99
1682,704,2010,2401.68,ALL,ALL,ALL,0TO99
1682,705,2010,2527.41,ALL,ALL,ALL,0TO99
1682,706,2010,2307.86,ALL,ALL,ALL,0TO99
1682,707,2010,2310.39,ALL,ALL,ALL,0TO99
1682,708,2010,2756.32,ALL,ALL,ALL,0TO99
1683,694,2010,670.28,ALL,ALL,ALL,0TO99
1683,695,2010,557.22,ALL,ALL,ALL,0TO99
1683,696,2010,462.76,ALL,ALL,ALL,0TO99
1683,697,2010,462.57,ALL,ALL,ALL,0TO99
1683,698,2010,462.37,ALL,ALL,ALL,0TO99
1683,699,2010,462.17,ALL,ALL,ALL,0TO99
1683,700,2010,461.96,ALL,ALL,ALL,0TO99
1683,701,2010,461.77,ALL,ALL,ALL,0TO99
1683,702,2010,513.20,ALL,ALL,ALL,0TO99
1683,703,2010,2359.81,ALL,ALL,ALL,0TO99
1683,704,2010,3016.81,ALL,ALL,ALL,0TO99
1683,705,2010,2772.14,ALL,ALL,ALL,0TO99
1683,706,2010,2307.86,ALL,ALL,ALL,0TO99
1683,707,2010,2306.80,ALL,ALL,ALL,0TO99
1683,708,2010,2277.65,ALL,ALL,ALL,0TO99
1683,709,2010,1715.77,ALL,ALL,ALL,0TO99
1683,710,2010,1545.89,ALL,ALL,ALL,0TO99
1683,711,2010,1499.85,ALL,ALL,ALL,0TO99
1683,712,2010,1560.31,ALL,ALL,ALL,0TO99
1683,713,2010,1915.92,ALL,ALL,ALL,0TO99
1684,694,2010,677.92,ALL,ALL,ALL,0TO99
1684,695,2010,627.82,ALL,ALL,ALL,0TO99
1684,696,2010,465.14,ALL,ALL,ALL,0TO99
1684,697,2010,462.57,ALL,ALL,ALL,0TO99
1684,698,2010,462.37,ALL,ALL,ALL,0TO99
1684,699,2010,462.17,ALL,ALL,ALL,0TO99
1684,700,2010,461.96,ALL,ALL,ALL,0TO99
1684,701,2010,461.77,ALL,ALL,ALL,0TO99
1684,702,2010,461.56,ALL,ALL,ALL,0TO99
1684,703,2010,1600.58,ALL,ALL,ALL,0TO99
1684,704,2010,3062.32,ALL,ALL,ALL,0TO99
1684,705,2010,3869.25,ALL,ALL,ALL,0TO99
1684,706,2010,4435.36,ALL,ALL,ALL,0TO99
1684,707,2010,3565.15,ALL,ALL,ALL,0TO99
1684,708,2010,2495.87,ALL,ALL,ALL,0TO99
1684,709,2010,1690.82,ALL,ALL,ALL,0TO99
1684,710,2010,1478.11,ALL,ALL,ALL,0TO99
1684,711,2010,1477.43,ALL,ALL,ALL,0TO99
1684,712,2010,1476.73,ALL,ALL,ALL,0TO99
1684,713,2010,1476.01,ALL,ALL,ALL,0TO99
1684,714,2010,1475.33,ALL,ALL,ALL,0TO99
1685,693,2010,670.09,ALL,ALL,ALL,0TO99
1685,694,2010,684.47,ALL,ALL,ALL,0TO99
1685,695,2010,671.04,ALL,ALL,ALL,0TO99
1685,696,2010,501.51,ALL,ALL,ALL,0TO99
1685,697,2010,462.57,ALL,ALL,ALL,0TO99
1685,698,2010,462.37,ALL,ALL,ALL,0TO99
1685,699,2010,462.17,ALL,ALL,ALL,0TO99
1685,700,2010,461.96,ALL,ALL,ALL,0TO99
1685,701,2010,461.77,ALL,ALL,ALL,0TO99
1685,702,2010,461.56,ALL,ALL,ALL,0TO99
1685,703,2010,2140.03,ALL,ALL,ALL,0TO99
1685,704,2010,5166.52,ALL,ALL,ALL,0TO99
1685,705,2010,6001.28,ALL,ALL,ALL,0TO99
1685,706,2010,6123.04,ALL,ALL,ALL,0TO99
1685,707,2010,6040.85,ALL,ALL,ALL,0TO99
1685,708,2010,5609.42,ALL,ALL,ALL,0TO99
1685,709,2010,2401.16,ALL,ALL,ALL,0TO99
1685,710,2010,1478.11,ALL,ALL,ALL,0TO99
1685,711,2010,1412.86,ALL,ALL,ALL,0TO99
1685,712,2010,1273.23,ALL,ALL,ALL,0TO99
1685,713,2010,1474.92,ALL,ALL,ALL,0TO99
1685,714,2010,1475.33,ALL,ALL,ALL,0TO99
1685,715,2010,1390.06,ALL,ALL,ALL,0TO99
1686,681,2010,1745.23,ALL,ALL,ALL,0TO99
1686,682,2010,1511.86,ALL,ALL,ALL,0TO99
1686,685,2010,1812.45,ALL,ALL,ALL,0TO99
1686,691,2010,734.42,ALL,ALL,ALL,0TO99
1686,692,2010,685.03,ALL,ALL,ALL,0TO99
1686,693,2010,684.75,ALL,ALL,ALL,0TO99
1686,694,2010,684.47,ALL,ALL,ALL,0TO99
1686,695,2010,690.72,ALL,ALL,ALL,0TO99
1686,696,2010,709.89,ALL,ALL,ALL,0TO99
1686,697,2010,639.53,ALL,ALL,ALL,0TO99
