Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2737,747,D24HourMean,QuarterlyMean,Mean,15.27
2796,779,D24HourMean,QuarterlyMean,Mean,17.07
2760,785,D24HourMean,QuarterlyMean,Mean,22.60
2760,736,D24HourMean,QuarterlyMean,Mean,15.96
2773,814,D24HourMean,QuarterlyMean,Mean,16.23
2776,766,D24HourMean,QuarterlyMean,Mean,17.00
2760,759,D24HourMean,QuarterlyMean,Mean,19.45
2771,819,D24HourMean,QuarterlyMean,Mean,13.15
2752,784,D24HourMean,QuarterlyMean,Mean,25.77
2760,771,D24HourMean,QuarterlyMean,Mean,25.17
2758,724,D24HourMean,QuarterlyMean,Mean,15.47
2775,778,D24HourMean,QuarterlyMean,Mean,18.11
2782,700,D24HourMean,QuarterlyMean,Mean,11.98
2777,844,D24HourMean,QuarterlyMean,Mean,6.64
2734,768,D24HourMean,QuarterlyMean,Mean,14.33
2751,753,D24HourMean,QuarterlyMean,Mean,18.72
2789,677,D24HourMean,QuarterlyMean,Mean,9.60
2758,825,D24HourMean,QuarterlyMean,Mean,13.45
2776,738,D24HourMean,QuarterlyMean,Mean,16.39
2780,710,D24HourMean,QuarterlyMean,Mean,12.80
2800,773,D24HourMean,QuarterlyMean,Mean,17.31
2781,816,D24HourMean,QuarterlyMean,Mean,13.39
2789,686,D24HourMean,QuarterlyMean,Mean,10.89
2728,772,D24HourMean,QuarterlyMean,Mean,13.94
2761,736,D24HourMean,QuarterlyMean,Mean,15.78
2747,794,D24HourMean,QuarterlyMean,Mean,18.85
2760,806,D24HourMean,QuarterlyMean,Mean,16.87
2802,773,D24HourMean,QuarterlyMean,Mean,17.76
2742,773,D24HourMean,QuarterlyMean,Mean,21.19
2762,730,D24HourMean,QuarterlyMean,Mean,16.93
2772,800,D24HourMean,QuarterlyMean,Mean,18.64
2741,781,D24HourMean,QuarterlyMean,Mean,20.87
2787,784,D24HourMean,QuarterlyMean,Mean,17.91
2811,775,D24HourMean,QuarterlyMean,Mean,19.69
2754,820,D24HourMean,QuarterlyMean,Mean,13.85
2778,796,D24HourMean,QuarterlyMean,Mean,16.57
2785,698,D24HourMean,QuarterlyMean,Mean,12.24
2762,829,D24HourMean,QuarterlyMean,Mean,11.52
2768,762,D24HourMean,QuarterlyMean,Mean,15.83
2792,694,D24HourMean,QuarterlyMean,Mean,12.53
2727,768,D24HourMean,QuarterlyMean,Mean,14.36
2755,820,D24HourMean,QuarterlyMean,Mean,14.23
2732,766,D24HourMean,QuarterlyMean,Mean,16.69
2735,796,D24HourMean,QuarterlyMean,Mean,17.90
2757,806,D24HourMean,QuarterlyMean,Mean,17.21
2769,743,D24HourMean,QuarterlyMean,Mean,16.36
2737,763,D24HourMean,QuarterlyMean,Mean,15.25
2780,729,D24HourMean,QuarterlyMean,Mean,15.91
2786,800,D24HourMean,QuarterlyMean,Mean,16.51
2770,825,D24HourMean,QuarterlyMean,Mean,13.04
2739,786,D24HourMean,QuarterlyMean,Mean,19.64
2745,781,D24HourMean,QuarterlyMean,Mean,22.12
2780,731,D24HourMean,QuarterlyMean,Mean,15.44
2766,766,D24HourMean,QuarterlyMean,Mean,18.79
2759,758,D24HourMean,QuarterlyMean,Mean,19.14
2748,731,D24HourMean,QuarterlyMean,Mean,14.46
2756,728,D24HourMean,QuarterlyMean,Mean,16.77
2744,795,D24HourMean,QuarterlyMean,Mean,20.34
2762,751,D24HourMean,QuarterlyMean,Mean,17.84
2757,825,D24HourMean,QuarterlyMean,Mean,13.55
2743,781,D24HourMean,QuarterlyMean,Mean,21.51
2735,781,D24HourMean,QuarterlyMean,Mean,16.97
2781,841,D24HourMean,QuarterlyMean,Mean,7.84
2761,829,D24HourMean,QuarterlyMean,Mean,11.49
2755,793,D24HourMean,QuarterlyMean,Mean,21.38
2748,811,D24HourMean,QuarterlyMean,Mean,15.64
2759,773,D24HourMean,QuarterlyMean,Mean,25.23
2792,692,D24HourMean,QuarterlyMean,Mean,11.24
2762,818,D24HourMean,QuarterlyMean,Mean,14.88
2745,743,D24HourMean,QuarterlyMean,Mean,14.76
2786,766,D24HourMean,QuarterlyMean,Mean,18.71
2755,731,D24HourMean,QuarterlyMean,Mean,16.13
2778,712,D24HourMean,QuarterlyMean,Mean,13.32
2756,762,D24HourMean,QuarterlyMean,Mean,22.42
2795,764,D24HourMean,QuarterlyMean,Mean,19.62
2753,760,D24HourMean,QuarterlyMean,Mean,23.33
2754,763,D24HourMean,QuarterlyMean,Mean,24.41
2756,802,D24HourMean,QuarterlyMean,Mean,19.18
2748,730,D24HourMean,QuarterlyMean,Mean,14.81
2754,731,D24HourMean,QuarterlyMean,Mean,16.00
2769,797,D24HourMean,QuarterlyMean,Mean,19.45
2768,780,D24HourMean,QuarterlyMean,Mean,20.47
2787,697,D24HourMean,QuarterlyMean,Mean,12.33
2760,818,D24HourMean,QuarterlyMean,Mean,15.23
2753,812,D24HourMean,QuarterlyMean,Mean,17.31
2773,729,D24HourMean,QuarterlyMean,Mean,18.87
2749,779,D24HourMean,QuarterlyMean,Mean,23.85
2769,755,D24HourMean,QuarterlyMean,Mean,16.00
2796,772,D24HourMean,QuarterlyMean,Mean,17.15
2751,736,D24HourMean,QuarterlyMean,Mean,16.51
2753,769,D24HourMean,QuarterlyMean,Mean,24.49
2771,801,D24HourMean,QuarterlyMean,Mean,18.29
2767,812,D24HourMean,QuarterlyMean,Mean,16.08
2776,746,D24HourMean,QuarterlyMean,Mean,18.02
2763,746,D24HourMean,QuarterlyMean,Mean,17.14
2784,831,D24HourMean,QuarterlyMean,Mean,9.20
2753,784,D24HourMean,QuarterlyMean,Mean,25.82
2784,820,D24HourMean,QuarterlyMean,Mean,11.78
2776,763,D24HourMean,QuarterlyMean,Mean,17.37
2769,802,D24HourMean,QuarterlyMean,Mean,18.84
2778,719,D24HourMean,QuarterlyMean,Mean,13.93
2735,765,D24HourMean,QuarterlyMean,Mean,14.48
2762,782,D24HourMean,QuarterlyMean,Mean,23.90
2753,737,D24HourMean,QuarterlyMean,Mean,17.67
2749,773,D24HourMean,QuarterlyMean,Mean,27.31
2765,773,D24HourMean,QuarterlyMean,Mean,20.45
2770,763,D24HourMean,QuarterlyMean,Mean,16.83
2744,768,D24HourMean,QuarterlyMean,Mean,20.47
2750,724,D24HourMean,QuarterlyMean,Mean,17.62
2772,747,D24HourMean,QuarterlyMean,Mean,16.52
2775,788,D24HourMean,QuarterlyMean,Mean,19.01
2782,788,D24HourMean,QuarterlyMean,Mean,17.65
2767,805,D24HourMean,QuarterlyMean,Mean,17.57
2739,795,D24HourMean,QuarterlyMean,Mean,19.08
2783,731,D24HourMean,QuarterlyMean,Mean,17.42
2731,768,D24HourMean,QuarterlyMean,Mean,15.36
2764,786,D24HourMean,QuarterlyMean,Mean,20.51
2772,822,D24HourMean,QuarterlyMean,Mean,14.10
2752,761,D24HourMean,QuarterlyMean,Mean,25.56
2779,771,D24HourMean,QuarterlyMean,Mean,16.82
2748,794,D24HourMean,QuarterlyMean,Mean,19.26
2766,758,D24HourMean,QuarterlyMean,Mean,18.04
2752,822,D24HourMean,QuarterlyMean,Mean,12.82
2767,764,D24HourMean,QuarterlyMean,Mean,17.00
2755,749,D24HourMean,QuarterlyMean,Mean,20.64
2762,769,D24HourMean,QuarterlyMean,Mean,23.04
2759,815,D24HourMean,QuarterlyMean,Mean,16.89
2773,829,D24HourMean,QuarterlyMean,Mean,10.75
2759,764,D24HourMean,QuarterlyMean,Mean,23.07
2787,688,D24HourMean,QuarterlyMean,Mean,10.98
2787,828,D24HourMean,QuarterlyMean,Mean,8.11
2757,729,D24HourMean,QuarterlyMean,Mean,17.32
2794,771,D24HourMean,QuarterlyMean,Mean,17.42
2766,777,D24HourMean,QuarterlyMean,Mean,21.00
2791,670,D24HourMean,QuarterlyMean,Mean,7.85
2736,780,D24HourMean,QuarterlyMean,Mean,17.15
2749,772,D24HourMean,QuarterlyMean,Mean,27.83
2767,737,D24HourMean,QuarterlyMean,Mean,18.92
2771,800,D24HourMean,QuarterlyMean,Mean,18.35
2762,796,D24HourMean,QuarterlyMean,Mean,20.82
2785,694,D24HourMean,QuarterlyMean,Mean,11.96
2782,696,D24HourMean,QuarterlyMean,Mean,12.25
2770,809,D24HourMean,QuarterlyMean,Mean,16.07
2746,738,D24HourMean,QuarterlyMean,Mean,14.25
2786,836,D24HourMean,QuarterlyMean,Mean,6.32
2749,738,D24HourMean,QuarterlyMean,Mean,14.51
2784,726,D24HourMean,QuarterlyMean,Mean,15.87
2752,819,D24HourMean,QuarterlyMean,Mean,13.32
2748,724,D24HourMean,QuarterlyMean,Mean,16.08
2757,720,D24HourMean,QuarterlyMean,Mean,16.98
2741,771,D24HourMean,QuarterlyMean,Mean,20.23
2751,803,D24HourMean,QuarterlyMean,Mean,19.16
2771,828,D24HourMean,QuarterlyMean,Mean,11.03
2767,752,D24HourMean,QuarterlyMean,Mean,16.72
2756,725,D24HourMean,QuarterlyMean,Mean,16.10
2789,672,D24HourMean,QuarterlyMean,Mean,8.89
2759,753,D24HourMean,QuarterlyMean,Mean,17.58
2791,784,D24HourMean,QuarterlyMean,Mean,17.58
2756,777,D24HourMean,QuarterlyMean,Mean,24.61
2753,773,D24HourMean,QuarterlyMean,Mean,27.51
2746,757,D24HourMean,QuarterlyMean,Mean,17.62
2778,755,D24HourMean,QuarterlyMean,Mean,17.80
2761,813,D24HourMean,QuarterlyMean,Mean,16.00
2791,686,D24HourMean,QuarterlyMean,Mean,10.52
2768,791,D24HourMean,QuarterlyMean,Mean,20.58
2767,730,D24HourMean,QuarterlyMean,Mean,16.90
2756,790,D24HourMean,QuarterlyMean,Mean,26.82
2771,836,D24HourMean,QuarterlyMean,Mean,8.55
2733,786,D24HourMean,QuarterlyMean,Mean,16.16
2753,819,D24HourMean,QuarterlyMean,Mean,13.57
2782,723,D24HourMean,QuarterlyMean,Mean,14.60
2761,741,D24HourMean,QuarterlyMean,Mean,16.28
2770,774,D24HourMean,QuarterlyMean,Mean,18.74
2764,725,D24HourMean,QuarterlyMean,Mean,19.38
2765,779,D24HourMean,QuarterlyMean,Mean,20.74
2747,812,D24HourMean,QuarterlyMean,Mean,14.47
2735,795,D24HourMean,QuarterlyMean,Mean,17.83
2751,721,D24HourMean,QuarterlyMean,Mean,17.24
2746,721,D24HourMean,QuarterlyMean,Mean,17.84
2752,823,D24HourMean,QuarterlyMean,Mean,13.24
2753,770,D24HourMean,QuarterlyMean,Mean,25.17
2783,766,D24HourMean,QuarterlyMean,Mean,17.76
2773,834,D24HourMean,QuarterlyMean,Mean,9.98
2755,746,D24HourMean,QuarterlyMean,Mean,19.72
2781,817,D24HourMean,QuarterlyMean,Mean,13.07
2752,776,D24HourMean,QuarterlyMean,Mean,27.58
2789,776,D24HourMean,QuarterlyMean,Mean,17.63
2803,774,D24HourMean,QuarterlyMean,Mean,17.80
2785,829,D24HourMean,QuarterlyMean,Mean,9.70
2750,792,D24HourMean,QuarterlyMean,Mean,21.24
2776,729,D24HourMean,QuarterlyMean,Mean,16.55
2769,759,D24HourMean,QuarterlyMean,Mean,15.78
2736,765,D24HourMean,QuarterlyMean,Mean,14.77
2770,814,D24HourMean,QuarterlyMean,Mean,16.02
2759,725,D24HourMean,QuarterlyMean,Mean,15.67
2756,753,D24HourMean,QuarterlyMean,Mean,18.74
2788,763,D24HourMean,QuarterlyMean,Mean,17.45
2773,806,D24HourMean,QuarterlyMean,Mean,16.77
2763,784,D24HourMean,QuarterlyMean,Mean,21.78
2789,691,D24HourMean,QuarterlyMean,Mean,10.98
2756,748,D24HourMean,QuarterlyMean,Mean,19.08
2792,764,D24HourMean,QuarterlyMean,Mean,18.50
2785,786,D24HourMean,QuarterlyMean,Mean,16.75
2787,781,D24HourMean,QuarterlyMean,Mean,17.29
2748,721,D24HourMean,QuarterlyMean,Mean,17.67
2770,766,D24HourMean,QuarterlyMean,Mean,18.20
2752,800,D24HourMean,QuarterlyMean,Mean,19.23
2775,811,D24HourMean,QuarterlyMean,Mean,16.69
2760,789,D24HourMean,QuarterlyMean,Mean,20.63
2771,826,D24HourMean,QuarterlyMean,Mean,12.13
2745,770,D24HourMean,QuarterlyMean,Mean,20.59
2788,678,D24HourMean,QuarterlyMean,Mean,10.57
2737,796,D24HourMean,QuarterlyMean,Mean,17.57
2755,789,D24HourMean,QuarterlyMean,Mean,23.71
2763,747,D24HourMean,QuarterlyMean,Mean,17.34
2771,818,D24HourMean,QuarterlyMean,Mean,13.60
2781,764,D24HourMean,QuarterlyMean,Mean,17.96
2771,797,D24HourMean,QuarterlyMean,Mean,18.90
2807,773,D24HourMean,QuarterlyMean,Mean,19.30
2734,773,D24HourMean,QuarterlyMean,Mean,14.21
2731,760,D24HourMean,QuarterlyMean,Mean,18.58
2770,757,D24HourMean,QuarterlyMean,Mean,15.93
2767,818,D24HourMean,QuarterlyMean,Mean,15.00
2776,750,D24HourMean,QuarterlyMean,Mean,18.69
2752,769,D24HourMean,QuarterlyMean,Mean,24.01
2753,808,D24HourMean,QuarterlyMean,Mean,17.11
2738,789,D24HourMean,QuarterlyMean,Mean,18.06
2755,767,D24HourMean,QuarterlyMean,Mean,23.18
2767,753,D24HourMean,QuarterlyMean,Mean,16.51
2748,799,D24HourMean,QuarterlyMean,Mean,19.06
2767,762,D24HourMean,QuarterlyMean,Mean,16.95
2782,721,D24HourMean,QuarterlyMean,Mean,14.46
2767,832,D24HourMean,QuarterlyMean,Mean,10.46
2775,801,D24HourMean,QuarterlyMean,Mean,17.10
2776,809,D24HourMean,QuarterlyMean,Mean,15.72
2768,775,D24HourMean,QuarterlyMean,Mean,19.84
2757,785,D24HourMean,QuarterlyMean,Mean,25.22
2757,751,D24HourMean,QuarterlyMean,Mean,17.94
2772,778,D24HourMean,QuarterlyMean,Mean,19.61
