Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2001,988,D24HourMean,QuarterlyMean,Mean,10.66
1989,989,D24HourMean,QuarterlyMean,Mean,10.76
1989,993,D24HourMean,QuarterlyMean,Mean,9.72
1993,992,D24HourMean,QuarterlyMean,Mean,10.66
2000,987,D24HourMean,QuarterlyMean,Mean,10.36
1995,991,D24HourMean,QuarterlyMean,Mean,10.89
1991,990,D24HourMean,QuarterlyMean,Mean,11.14
2000,986,D24HourMean,QuarterlyMean,Mean,10.10
1988,983,D24HourMean,QuarterlyMean,Mean,13.74
1986,987,D24HourMean,QuarterlyMean,Mean,10.55
1997,988,D24HourMean,QuarterlyMean,Mean,10.54
1993,987,D24HourMean,QuarterlyMean,Mean,11.49
1991,991,D24HourMean,QuarterlyMean,Mean,11.53
1990,988,D24HourMean,QuarterlyMean,Mean,11.13
1996,988,D24HourMean,QuarterlyMean,Mean,10.37
1991,983,D24HourMean,QuarterlyMean,Mean,13.50
1995,985,D24HourMean,QuarterlyMean,Mean,12.42
1992,986,D24HourMean,QuarterlyMean,Mean,12.20
1993,984,D24HourMean,QuarterlyMean,Mean,13.45
1990,982,D24HourMean,QuarterlyMean,Mean,13.48
1990,985,D24HourMean,QuarterlyMean,Mean,12.53
1994,990,D24HourMean,QuarterlyMean,Mean,11.33
1994,993,D24HourMean,QuarterlyMean,Mean,10.39
1995,988,D24HourMean,QuarterlyMean,Mean,10.27
1992,980,D24HourMean,QuarterlyMean,Mean,13.64
1987,989,D24HourMean,QuarterlyMean,Mean,10.36
1986,985,D24HourMean,QuarterlyMean,Mean,12.87
1997,987,D24HourMean,QuarterlyMean,Mean,9.93
1993,983,D24HourMean,QuarterlyMean,Mean,14.52
1998,986,D24HourMean,QuarterlyMean,Mean,10.40
1993,982,D24HourMean,QuarterlyMean,Mean,14.98
2000,988,D24HourMean,QuarterlyMean,Mean,10.42
1989,992,D24HourMean,QuarterlyMean,Mean,11.12
1989,988,D24HourMean,QuarterlyMean,Mean,10.91
1991,988,D24HourMean,QuarterlyMean,Mean,11.37
1994,988,D24HourMean,QuarterlyMean,Mean,10.90
1991,992,D24HourMean,QuarterlyMean,Mean,11.36
2000,985,D24HourMean,QuarterlyMean,Mean,9.84
1995,986,D24HourMean,QuarterlyMean,Mean,11.27
1998,985,D24HourMean,QuarterlyMean,Mean,9.45
1993,981,D24HourMean,QuarterlyMean,Mean,13.87
1992,990,D24HourMean,QuarterlyMean,Mean,10.63
1994,989,D24HourMean,QuarterlyMean,Mean,11.14
1989,991,D24HourMean,QuarterlyMean,Mean,10.77
1998,989,D24HourMean,QuarterlyMean,Mean,11.00
1998,988,D24HourMean,QuarterlyMean,Mean,10.98
1991,984,D24HourMean,QuarterlyMean,Mean,12.98
1988,989,D24HourMean,QuarterlyMean,Mean,10.61
1986,988,D24HourMean,QuarterlyMean,Mean,10.43
1992,991,D24HourMean,QuarterlyMean,Mean,11.04
1995,989,D24HourMean,QuarterlyMean,Mean,10.46
1988,992,D24HourMean,QuarterlyMean,Mean,10.37
1992,984,D24HourMean,QuarterlyMean,Mean,13.13
1990,983,D24HourMean,QuarterlyMean,Mean,13.38
1991,985,D24HourMean,QuarterlyMean,Mean,12.46
1992,994,D24HourMean,QuarterlyMean,Mean,10.03
1986,989,D24HourMean,QuarterlyMean,Mean,10.11
1995,984,D24HourMean,QuarterlyMean,Mean,13.14
1992,989,D24HourMean,QuarterlyMean,Mean,10.80
1991,987,D24HourMean,QuarterlyMean,Mean,11.78
1999,988,D24HourMean,QuarterlyMean,Mean,10.34
2000,989,D24HourMean,QuarterlyMean,Mean,10.87
1990,990,D24HourMean,QuarterlyMean,Mean,11.42
1990,992,D24HourMean,QuarterlyMean,Mean,11.38
1988,990,D24HourMean,QuarterlyMean,Mean,10.34
1994,985,D24HourMean,QuarterlyMean,Mean,12.90
1987,986,D24HourMean,QuarterlyMean,Mean,11.52
1989,987,D24HourMean,QuarterlyMean,Mean,11.50
1994,991,D24HourMean,QuarterlyMean,Mean,11.18
1998,987,D24HourMean,QuarterlyMean,Mean,10.49
1991,989,D24HourMean,QuarterlyMean,Mean,10.59
1995,987,D24HourMean,QuarterlyMean,Mean,10.39
1992,993,D24HourMean,QuarterlyMean,Mean,10.56
1996,989,D24HourMean,QuarterlyMean,Mean,10.71
1989,986,D24HourMean,QuarterlyMean,Mean,11.94
2002,987,D24HourMean,QuarterlyMean,Mean,11.90
1987,988,D24HourMean,QuarterlyMean,Mean,10.55
1997,989,D24HourMean,QuarterlyMean,Mean,10.49
1992,988,D24HourMean,QuarterlyMean,Mean,11.78
1994,979,D24HourMean,QuarterlyMean,Mean,14.18
1993,986,D24HourMean,QuarterlyMean,Mean,12.17
1996,986,D24HourMean,QuarterlyMean,Mean,10.37
1992,983,D24HourMean,QuarterlyMean,Mean,14.02
1992,985,D24HourMean,QuarterlyMean,Mean,12.48
1999,985,D24HourMean,QuarterlyMean,Mean,9.41
1999,989,D24HourMean,QuarterlyMean,Mean,10.81
1999,990,D24HourMean,QuarterlyMean,Mean,10.99
1996,985,D24HourMean,QuarterlyMean,Mean,11.52
1990,986,D24HourMean,QuarterlyMean,Mean,12.06
1987,987,D24HourMean,QuarterlyMean,Mean,10.87
1994,984,D24HourMean,QuarterlyMean,Mean,13.57
1988,987,D24HourMean,QuarterlyMean,Mean,11.07
1989,985,D24HourMean,QuarterlyMean,Mean,12.17
1999,986,D24HourMean,QuarterlyMean,Mean,9.91
2002,988,D24HourMean,QuarterlyMean,Mean,10.90
1988,984,D24HourMean,QuarterlyMean,Mean,13.24
1998,990,D24HourMean,QuarterlyMean,Mean,10.70
1993,979,D24HourMean,QuarterlyMean,Mean,13.96
1997,990,D24HourMean,QuarterlyMean,Mean,10.48
1992,992,D24HourMean,QuarterlyMean,Mean,11.11
1992,982,D24HourMean,QuarterlyMean,Mean,14.10
1997,991,D24HourMean,QuarterlyMean,Mean,11.38
1994,992,D24HourMean,QuarterlyMean,Mean,10.58
1994,980,D24HourMean,QuarterlyMean,Mean,13.76
1992,987,D24HourMean,QuarterlyMean,Mean,11.61
1994,983,D24HourMean,QuarterlyMean,Mean,14.55
1989,990,D24HourMean,QuarterlyMean,Mean,11.14
1995,990,D24HourMean,QuarterlyMean,Mean,10.96
1988,985,D24HourMean,QuarterlyMean,Mean,12.36
1995,992,D24HourMean,QuarterlyMean,Mean,10.76
1997,986,D24HourMean,QuarterlyMean,Mean,10.01
1993,991,D24HourMean,QuarterlyMean,Mean,11.09
1994,982,D24HourMean,QuarterlyMean,Mean,15.08
1990,984,D24HourMean,QuarterlyMean,Mean,12.90
1987,985,D24HourMean,QuarterlyMean,Mean,12.45
2003,988,D24HourMean,QuarterlyMean,Mean,11.50
1991,986,D24HourMean,QuarterlyMean,Mean,11.89
1989,984,D24HourMean,QuarterlyMean,Mean,13.28
1996,987,D24HourMean,QuarterlyMean,Mean,9.88
1990,987,D24HourMean,QuarterlyMean,Mean,11.72
1991,994,D24HourMean,QuarterlyMean,Mean,10.39
1989,983,D24HourMean,QuarterlyMean,Mean,13.96
1991,981,D24HourMean,QuarterlyMean,Mean,13.42
1993,980,D24HourMean,QuarterlyMean,Mean,13.79
1999,987,D24HourMean,QuarterlyMean,Mean,10.03
1996,990,D24HourMean,QuarterlyMean,Mean,10.99
1988,986,D24HourMean,QuarterlyMean,Mean,11.74
1993,989,D24HourMean,QuarterlyMean,Mean,11.14
1993,993,D24HourMean,QuarterlyMean,Mean,10.25
1993,990,D24HourMean,QuarterlyMean,Mean,11.03
1993,988,D24HourMean,QuarterlyMean,Mean,11.37
1990,989,D24HourMean,QuarterlyMean,Mean,10.90
1991,982,D24HourMean,QuarterlyMean,Mean,13.48
1990,991,D24HourMean,QuarterlyMean,Mean,11.94
1988,988,D24HourMean,QuarterlyMean,Mean,10.70
1994,986,D24HourMean,QuarterlyMean,Mean,11.61
2001,986,D24HourMean,QuarterlyMean,Mean,10.80
2001,989,D24HourMean,QuarterlyMean,Mean,10.92
1992,981,D24HourMean,QuarterlyMean,Mean,13.50
1994,987,D24HourMean,QuarterlyMean,Mean,11.34
1993,985,D24HourMean,QuarterlyMean,Mean,12.92
1988,991,D24HourMean,QuarterlyMean,Mean,10.55
1996,991,D24HourMean,QuarterlyMean,Mean,11.00
