Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2001,988,2010,4634.41,ALL,ALL,ALL,0TO99
1989,989,2010,4627.11,ALL,ALL,ALL,0TO99
1989,993,2010,5670.68,ALL,ALL,ALL,0TO99
1993,992,2010,4604.34,ALL,ALL,ALL,0TO99
2000,987,2010,5580.72,ALL,ALL,ALL,0TO99
1995,991,2010,4611.94,ALL,ALL,ALL,0TO99
1991,990,2010,4619.27,ALL,ALL,ALL,0TO99
2000,986,2010,5002.50,ALL,ALL,ALL,0TO99
1988,983,2010,4121.40,ALL,ALL,ALL,0TO99
1986,987,2010,4957.96,ALL,ALL,ALL,0TO99
1997,988,2010,4634.41,ALL,ALL,ALL,0TO99
1993,987,2010,4641.96,ALL,ALL,ALL,0TO99
1991,991,2010,4611.94,ALL,ALL,ALL,0TO99
1990,988,2010,4634.41,ALL,ALL,ALL,0TO99
1996,988,2010,4634.41,ALL,ALL,ALL,0TO99
1991,983,2010,4613.22,ALL,ALL,ALL,0TO99
1995,985,2010,4656.76,ALL,ALL,ALL,0TO99
1992,986,2010,4649.49,ALL,ALL,ALL,0TO99
1993,984,2010,4664.52,ALL,ALL,ALL,0TO99
1990,982,2010,4196.17,ALL,ALL,ALL,0TO99
1990,985,2010,4656.76,ALL,ALL,ALL,0TO99
1994,990,2010,4619.27,ALL,ALL,ALL,0TO99
1994,993,2010,4841.00,ALL,ALL,ALL,0TO99
1995,988,2010,4634.41,ALL,ALL,ALL,0TO99
1992,980,2010,3157.50,ALL,ALL,ALL,0TO99
1987,989,2010,4627.11,ALL,ALL,ALL,0TO99
1986,985,2010,4728.62,ALL,ALL,ALL,0TO99
1997,987,2010,4641.96,ALL,ALL,ALL,0TO99
1993,983,2010,4671.75,ALL,ALL,ALL,0TO99
1998,986,2010,5930.34,ALL,ALL,ALL,0TO99
1993,982,2010,1764.05,ALL,ALL,ALL,0TO99
2000,988,2010,4634.41,ALL,ALL,ALL,0TO99
1989,992,2010,4624.89,ALL,ALL,ALL,0TO99
1989,988,2010,4634.41,ALL,ALL,ALL,0TO99
1991,988,2010,4634.41,ALL,ALL,ALL,0TO99
1994,988,2010,4634.41,ALL,ALL,ALL,0TO99
1991,992,2010,5447.95,ALL,ALL,ALL,0TO99
2000,985,2010,4070.77,ALL,ALL,ALL,0TO99
1995,986,2010,4649.49,ALL,ALL,ALL,0TO99
1998,985,2010,6951.14,ALL,ALL,ALL,0TO99
1993,981,2010,2243.24,ALL,ALL,ALL,0TO99
1992,990,2010,4619.27,ALL,ALL,ALL,0TO99
1994,989,2010,4627.11,ALL,ALL,ALL,0TO99
1989,991,2010,4611.94,ALL,ALL,ALL,0TO99
1998,989,2010,4627.11,ALL,ALL,ALL,0TO99
1998,988,2010,4634.41,ALL,ALL,ALL,0TO99
1991,984,2010,4664.52,ALL,ALL,ALL,0TO99
1988,989,2010,4627.11,ALL,ALL,ALL,0TO99
1986,988,2010,4634.41,ALL,ALL,ALL,0TO99
1992,991,2010,4611.94,ALL,ALL,ALL,0TO99
1995,989,2010,4627.11,ALL,ALL,ALL,0TO99
