Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2679,1048,D24HourMean,QuarterlyMean,Mean,6.85
2679,1049,D24HourMean,QuarterlyMean,Mean,7.03
2679,1050,D24HourMean,QuarterlyMean,Mean,3.88
2679,1051,D24HourMean,QuarterlyMean,Mean,9.48
2680,1048,D24HourMean,QuarterlyMean,Mean,7.17
2680,1049,D24HourMean,QuarterlyMean,Mean,7.59
2680,1050,D24HourMean,QuarterlyMean,Mean,8.34
2680,1051,D24HourMean,QuarterlyMean,Mean,9.19
2681,1045,D24HourMean,QuarterlyMean,Mean,8.81
2681,1046,D24HourMean,QuarterlyMean,Mean,7.92
2681,1047,D24HourMean,QuarterlyMean,Mean,7.92
2681,1048,D24HourMean,QuarterlyMean,Mean,8.05
2681,1049,D24HourMean,QuarterlyMean,Mean,7.73
2681,1050,D24HourMean,QuarterlyMean,Mean,8.65
2681,1051,D24HourMean,QuarterlyMean,Mean,8.43
2681,1052,D24HourMean,QuarterlyMean,Mean,7.84
2682,1045,D24HourMean,QuarterlyMean,Mean,8.74
2682,1046,D24HourMean,QuarterlyMean,Mean,7.78
2682,1047,D24HourMean,QuarterlyMean,Mean,7.84
2682,1048,D24HourMean,QuarterlyMean,Mean,8.06
2682,1049,D24HourMean,QuarterlyMean,Mean,7.21
2682,1050,D24HourMean,QuarterlyMean,Mean,8.17
2682,1051,D24HourMean,QuarterlyMean,Mean,7.84
2682,1052,D24HourMean,QuarterlyMean,Mean,8.44
2682,1053,D24HourMean,QuarterlyMean,Mean,8.43
2683,1045,D24HourMean,QuarterlyMean,Mean,8.41
2683,1046,D24HourMean,QuarterlyMean,Mean,8.62
2683,1047,D24HourMean,QuarterlyMean,Mean,8.39
2683,1048,D24HourMean,QuarterlyMean,Mean,8.41
2683,1049,D24HourMean,QuarterlyMean,Mean,7.71
2683,1050,D24HourMean,QuarterlyMean,Mean,8.15
2683,1051,D24HourMean,QuarterlyMean,Mean,7.94
2683,1052,D24HourMean,QuarterlyMean,Mean,9.19
2683,1053,D24HourMean,QuarterlyMean,Mean,8.84
2683,1054,D24HourMean,QuarterlyMean,Mean,7.63
2684,1044,D24HourMean,QuarterlyMean,Mean,7.85
2684,1045,D24HourMean,QuarterlyMean,Mean,8.72
2684,1046,D24HourMean,QuarterlyMean,Mean,8.63
2684,1047,D24HourMean,QuarterlyMean,Mean,8.51
2684,1048,D24HourMean,QuarterlyMean,Mean,8.57
2684,1049,D24HourMean,QuarterlyMean,Mean,8.15
2684,1050,D24HourMean,QuarterlyMean,Mean,8.36
2684,1051,D24HourMean,QuarterlyMean,Mean,8.18
2684,1052,D24HourMean,QuarterlyMean,Mean,8.67
2684,1053,D24HourMean,QuarterlyMean,Mean,9.15
2684,1054,D24HourMean,QuarterlyMean,Mean,7.57
2685,1044,D24HourMean,QuarterlyMean,Mean,9.38
2685,1045,D24HourMean,QuarterlyMean,Mean,9.45
2685,1046,D24HourMean,QuarterlyMean,Mean,8.74
2685,1047,D24HourMean,QuarterlyMean,Mean,8.50
2685,1048,D24HourMean,QuarterlyMean,Mean,8.91
2685,1049,D24HourMean,QuarterlyMean,Mean,9.65
2685,1050,D24HourMean,QuarterlyMean,Mean,8.76
2685,1051,D24HourMean,QuarterlyMean,Mean,8.41
2685,1052,D24HourMean,QuarterlyMean,Mean,8.38
2685,1053,D24HourMean,QuarterlyMean,Mean,8.62
2685,1054,D24HourMean,QuarterlyMean,Mean,8.58
2686,1044,D24HourMean,QuarterlyMean,Mean,10.79
2686,1045,D24HourMean,QuarterlyMean,Mean,10.54
2686,1046,D24HourMean,QuarterlyMean,Mean,9.55
2686,1047,D24HourMean,QuarterlyMean,Mean,8.51
2686,1048,D24HourMean,QuarterlyMean,Mean,9.39
2686,1049,D24HourMean,QuarterlyMean,Mean,9.60
2686,1050,D24HourMean,QuarterlyMean,Mean,8.58
2686,1051,D24HourMean,QuarterlyMean,Mean,8.50
2686,1052,D24HourMean,QuarterlyMean,Mean,7.98
2686,1053,D24HourMean,QuarterlyMean,Mean,8.95
2686,1054,D24HourMean,QuarterlyMean,Mean,9.02
2687,1042,D24HourMean,QuarterlyMean,Mean,8.62
2687,1043,D24HourMean,QuarterlyMean,Mean,10.10
2687,1044,D24HourMean,QuarterlyMean,Mean,11.03
2687,1045,D24HourMean,QuarterlyMean,Mean,11.76
2687,1046,D24HourMean,QuarterlyMean,Mean,9.91
2687,1047,D24HourMean,QuarterlyMean,Mean,8.74
2687,1048,D24HourMean,QuarterlyMean,Mean,9.34
2687,1049,D24HourMean,QuarterlyMean,Mean,9.34
2687,1050,D24HourMean,QuarterlyMean,Mean,8.41
2687,1051,D24HourMean,QuarterlyMean,Mean,8.76
2687,1052,D24HourMean,QuarterlyMean,Mean,8.32
2687,1053,D24HourMean,QuarterlyMean,Mean,8.96
2687,1054,D24HourMean,QuarterlyMean,Mean,9.29
2688,1041,D24HourMean,QuarterlyMean,Mean,8.29
2688,1042,D24HourMean,QuarterlyMean,Mean,8.22
2688,1043,D24HourMean,QuarterlyMean,Mean,9.70
2688,1044,D24HourMean,QuarterlyMean,Mean,10.83
2688,1045,D24HourMean,QuarterlyMean,Mean,11.20
2688,1046,D24HourMean,QuarterlyMean,Mean,10.03
2688,1047,D24HourMean,QuarterlyMean,Mean,8.79
2688,1048,D24HourMean,QuarterlyMean,Mean,8.57
2688,1049,D24HourMean,QuarterlyMean,Mean,9.07
2688,1050,D24HourMean,QuarterlyMean,Mean,7.89
2688,1051,D24HourMean,QuarterlyMean,Mean,8.31
2688,1052,D24HourMean,QuarterlyMean,Mean,8.05
2688,1053,D24HourMean,QuarterlyMean,Mean,8.31
2688,1054,D24HourMean,QuarterlyMean,Mean,9.19
2689,1041,D24HourMean,QuarterlyMean,Mean,8.06
2689,1042,D24HourMean,QuarterlyMean,Mean,8.32
2689,1043,D24HourMean,QuarterlyMean,Mean,9.12
2689,1044,D24HourMean,QuarterlyMean,Mean,9.89
2689,1045,D24HourMean,QuarterlyMean,Mean,10.32
2689,1046,D24HourMean,QuarterlyMean,Mean,9.94
2689,1047,D24HourMean,QuarterlyMean,Mean,8.58
2689,1048,D24HourMean,QuarterlyMean,Mean,8.39
2689,1049,D24HourMean,QuarterlyMean,Mean,8.36
2689,1050,D24HourMean,QuarterlyMean,Mean,7.75
2689,1051,D24HourMean,QuarterlyMean,Mean,8.90
2689,1052,D24HourMean,QuarterlyMean,Mean,9.05
2689,1053,D24HourMean,QuarterlyMean,Mean,9.69
2689,1054,D24HourMean,QuarterlyMean,Mean,9.07
2690,1041,D24HourMean,QuarterlyMean,Mean,8.32
2690,1042,D24HourMean,QuarterlyMean,Mean,8.43
2690,1043,D24HourMean,QuarterlyMean,Mean,9.01
2690,1044,D24HourMean,QuarterlyMean,Mean,9.80
2690,1045,D24HourMean,QuarterlyMean,Mean,9.92
2690,1046,D24HourMean,QuarterlyMean,Mean,9.05
2690,1047,D24HourMean,QuarterlyMean,Mean,8.60
2690,1048,D24HourMean,QuarterlyMean,Mean,8.74
2690,1049,D24HourMean,QuarterlyMean,Mean,8.22
2690,1050,D24HourMean,QuarterlyMean,Mean,7.92
2690,1051,D24HourMean,QuarterlyMean,Mean,7.98
2690,1052,D24HourMean,QuarterlyMean,Mean,8.72
2690,1053,D24HourMean,QuarterlyMean,Mean,9.53
2690,1054,D24HourMean,QuarterlyMean,Mean,8.76
2691,1039,D24HourMean,QuarterlyMean,Mean,8.46
2691,1040,D24HourMean,QuarterlyMean,Mean,7.33
2691,1041,D24HourMean,QuarterlyMean,Mean,8.20
2691,1042,D24HourMean,QuarterlyMean,Mean,7.97
2691,1043,D24HourMean,QuarterlyMean,Mean,9.12
2691,1044,D24HourMean,QuarterlyMean,Mean,8.96
2691,1045,D24HourMean,QuarterlyMean,Mean,8.56
2691,1046,D24HourMean,QuarterlyMean,Mean,8.96
2691,1047,D24HourMean,QuarterlyMean,Mean,9.36
2691,1048,D24HourMean,QuarterlyMean,Mean,9.50
2691,1049,D24HourMean,QuarterlyMean,Mean,8.25
2691,1050,D24HourMean,QuarterlyMean,Mean,7.52
2691,1051,D24HourMean,QuarterlyMean,Mean,7.85
2691,1052,D24HourMean,QuarterlyMean,Mean,8.31
2691,1053,D24HourMean,QuarterlyMean,Mean,8.93
2691,1054,D24HourMean,QuarterlyMean,Mean,8.90
2692,1040,D24HourMean,QuarterlyMean,Mean,7.75
2692,1041,D24HourMean,QuarterlyMean,Mean,8.08
2692,1042,D24HourMean,QuarterlyMean,Mean,8.23
2692,1043,D24HourMean,QuarterlyMean,Mean,9.08
2692,1044,D24HourMean,QuarterlyMean,Mean,9.36
2692,1045,D24HourMean,QuarterlyMean,Mean,8.58
2692,1046,D24HourMean,QuarterlyMean,Mean,10.03
2692,1047,D24HourMean,QuarterlyMean,Mean,10.25
2692,1048,D24HourMean,QuarterlyMean,Mean,9.51
2692,1049,D24HourMean,QuarterlyMean,Mean,8.76
2692,1050,D24HourMean,QuarterlyMean,Mean,7.56
2692,1051,D24HourMean,QuarterlyMean,Mean,7.47
2692,1052,D24HourMean,QuarterlyMean,Mean,8.20
2692,1053,D24HourMean,QuarterlyMean,Mean,8.36
2692,1054,D24HourMean,QuarterlyMean,Mean,8.65
2693,1040,D24HourMean,QuarterlyMean,Mean,8.17
2693,1041,D24HourMean,QuarterlyMean,Mean,7.85
2693,1042,D24HourMean,QuarterlyMean,Mean,9.29
2693,1043,D24HourMean,QuarterlyMean,Mean,9.36
2693,1044,D24HourMean,QuarterlyMean,Mean,8.81
2693,1045,D24HourMean,QuarterlyMean,Mean,8.08
2693,1046,D24HourMean,QuarterlyMean,Mean,9.98
2693,1047,D24HourMean,QuarterlyMean,Mean,10.57
2693,1048,D24HourMean,QuarterlyMean,Mean,10.25
2693,1049,D24HourMean,QuarterlyMean,Mean,9.45
2693,1050,D24HourMean,QuarterlyMean,Mean,8.39
