Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2679,1048,2010,226.96,ALL,ALL,ALL,0TO99
2679,1049,2010,353.98,ALL,ALL,ALL,0TO99
2679,1050,2010,269.76,ALL,ALL,ALL,0TO99
2679,1051,2010,22.82,ALL,ALL,ALL,0TO99
2680,1048,2010,170.78,ALL,ALL,ALL,0TO99
2680,1049,2010,188.91,ALL,ALL,ALL,0TO99
2680,1050,2010,171.07,ALL,ALL,ALL,0TO99
2680,1051,2010,116.37,ALL,ALL,ALL,0TO99
2681,1045,2010,719.28,ALL,ALL,ALL,0TO99
2681,1046,2010,315.25,ALL,ALL,ALL,0TO99
2681,1047,2010,282.81,ALL,ALL,ALL,0TO99
2681,1048,2010,170.77,ALL,ALL,ALL,0TO99
2681,1049,2010,170.44,ALL,ALL,ALL,0TO99
2681,1050,2010,170.08,ALL,ALL,ALL,0TO99
2681,1051,2010,169.75,ALL,ALL,ALL,0TO99
2681,1052,2010,121.87,ALL,ALL,ALL,0TO99
2682,1045,2010,460.89,ALL,ALL,ALL,0TO99
2682,1046,2010,164.91,ALL,ALL,ALL,0TO99
2682,1047,2010,168.93,ALL,ALL,ALL,0TO99
2682,1048,2010,170.77,ALL,ALL,ALL,0TO99
2682,1049,2010,170.44,ALL,ALL,ALL,0TO99
2682,1050,2010,170.08,ALL,ALL,ALL,0TO99
2682,1051,2010,169.75,ALL,ALL,ALL,0TO99
2682,1052,2010,137.97,ALL,ALL,ALL,0TO99
2682,1053,2010,124.72,ALL,ALL,ALL,0TO99
2683,1045,2010,235.85,ALL,ALL,ALL,0TO99
2683,1046,2010,126.24,ALL,ALL,ALL,0TO99
2683,1047,2010,165.72,ALL,ALL,ALL,0TO99
2683,1048,2010,170.77,ALL,ALL,ALL,0TO99
2683,1049,2010,170.44,ALL,ALL,ALL,0TO99
2683,1050,2010,170.08,ALL,ALL,ALL,0TO99
2683,1051,2010,169.75,ALL,ALL,ALL,0TO99
2683,1052,2010,168.54,ALL,ALL,ALL,0TO99
2683,1053,2010,168.23,ALL,ALL,ALL,0TO99
2683,1054,2010,158.41,ALL,ALL,ALL,0TO99
2684,1044,2010,739.20,ALL,ALL,ALL,0TO99
2684,1045,2010,159.94,ALL,ALL,ALL,0TO99
2684,1046,2010,137.34,ALL,ALL,ALL,0TO99
2684,1047,2010,170.93,ALL,ALL,ALL,0TO99
2684,1048,2010,170.77,ALL,ALL,ALL,0TO99
2684,1049,2010,170.44,ALL,ALL,ALL,0TO99
2684,1050,2010,170.08,ALL,ALL,ALL,0TO99
2684,1051,2010,169.75,ALL,ALL,ALL,0TO99
2684,1052,2010,169.40,ALL,ALL,ALL,0TO99
2684,1053,2010,169.06,ALL,ALL,ALL,0TO99
2684,1054,2010,168.38,ALL,ALL,ALL,0TO99
2685,1044,2010,294.66,ALL,ALL,ALL,0TO99
2685,1045,2010,148.70,ALL,ALL,ALL,0TO99
2685,1046,2010,163.30,ALL,ALL,ALL,0TO99
2685,1047,2010,171.11,ALL,ALL,ALL,0TO99
2685,1048,2010,170.77,ALL,ALL,ALL,0TO99
2685,1049,2010,170.44,ALL,ALL,ALL,0TO99
2685,1050,2010,170.08,ALL,ALL,ALL,0TO99
2685,1051,2010,169.75,ALL,ALL,ALL,0TO99
2685,1052,2010,169.40,ALL,ALL,ALL,0TO99
2685,1053,2010,169.06,ALL,ALL,ALL,0TO99
2685,1054,2010,156.45,ALL,ALL,ALL,0TO99
2686,1044,2010,208.82,ALL,ALL,ALL,0TO99
2686,1045,2010,112.27,ALL,ALL,ALL,0TO99
2686,1046,2010,171.46,ALL,ALL,ALL,0TO99
2686,1047,2010,171.11,ALL,ALL,ALL,0TO99
2686,1048,2010,170.77,ALL,ALL,ALL,0TO99
2686,1049,2010,170.44,ALL,ALL,ALL,0TO99
2686,1050,2010,170.08,ALL,ALL,ALL,0TO99
2686,1051,2010,169.75,ALL,ALL,ALL,0TO99
2686,1052,2010,169.40,ALL,ALL,ALL,0TO99
2686,1053,2010,169.06,ALL,ALL,ALL,0TO99
2686,1054,2010,161.17,ALL,ALL,ALL,0TO99
2687,1042,2010,196.77,ALL,ALL,ALL,0TO99
2687,1043,2010,221.35,ALL,ALL,ALL,0TO99
2687,1044,2010,172.14,ALL,ALL,ALL,0TO99
2687,1045,2010,103.85,ALL,ALL,ALL,0TO99
2687,1046,2010,171.46,ALL,ALL,ALL,0TO99
2687,1047,2010,171.11,ALL,ALL,ALL,0TO99
2687,1048,2010,170.77,ALL,ALL,ALL,0TO99
2687,1049,2010,170.44,ALL,ALL,ALL,0TO99
2687,1050,2010,170.08,ALL,ALL,ALL,0TO99
2687,1051,2010,169.75,ALL,ALL,ALL,0TO99
2687,1052,2010,169.40,ALL,ALL,ALL,0TO99
2687,1053,2010,169.06,ALL,ALL,ALL,0TO99
2687,1054,2010,158.81,ALL,ALL,ALL,0TO99
2688,1041,2010,220.07,ALL,ALL,ALL,0TO99
2688,1042,2010,173.12,ALL,ALL,ALL,0TO99
2688,1043,2010,172.47,ALL,ALL,ALL,0TO99
2688,1044,2010,172.14,ALL,ALL,ALL,0TO99
2688,1045,2010,167.72,ALL,ALL,ALL,0TO99
2688,1046,2010,171.46,ALL,ALL,ALL,0TO99
2688,1047,2010,171.11,ALL,ALL,ALL,0TO99
2688,1048,2010,170.77,ALL,ALL,ALL,0TO99
2688,1049,2010,170.44,ALL,ALL,ALL,0TO99
2688,1050,2010,170.08,ALL,ALL,ALL,0TO99
2688,1051,2010,169.75,ALL,ALL,ALL,0TO99
2688,1052,2010,169.40,ALL,ALL,ALL,0TO99
2688,1053,2010,169.06,ALL,ALL,ALL,0TO99
2688,1054,2010,135.99,ALL,ALL,ALL,0TO99
2689,1041,2010,193.45,ALL,ALL,ALL,0TO99
2689,1042,2010,172.81,ALL,ALL,ALL,0TO99
2689,1043,2010,172.47,ALL,ALL,ALL,0TO99
2689,1044,2010,172.14,ALL,ALL,ALL,0TO99
2689,1045,2010,171.79,ALL,ALL,ALL,0TO99
2689,1046,2010,171.46,ALL,ALL,ALL,0TO99
2689,1047,2010,171.11,ALL,ALL,ALL,0TO99
2689,1048,2010,170.77,ALL,ALL,ALL,0TO99
2689,1049,2010,170.44,ALL,ALL,ALL,0TO99
2689,1050,2010,170.08,ALL,ALL,ALL,0TO99
2689,1051,2010,169.75,ALL,ALL,ALL,0TO99
2689,1052,2010,169.40,ALL,ALL,ALL,0TO99
2689,1053,2010,169.06,ALL,ALL,ALL,0TO99
2689,1054,2010,143.36,ALL,ALL,ALL,0TO99
2690,1041,2010,179.13,ALL,ALL,ALL,0TO99
2690,1042,2010,172.81,ALL,ALL,ALL,0TO99
2690,1043,2010,172.47,ALL,ALL,ALL,0TO99
2690,1044,2010,172.14,ALL,ALL,ALL,0TO99
2690,1045,2010,171.79,ALL,ALL,ALL,0TO99
2690,1046,2010,171.46,ALL,ALL,ALL,0TO99
2690,1047,2010,171.11,ALL,ALL,ALL,0TO99
2690,1048,2010,170.77,ALL,ALL,ALL,0TO99
2690,1049,2010,170.44,ALL,ALL,ALL,0TO99
2690,1050,2010,170.08,ALL,ALL,ALL,0TO99
2690,1051,2010,169.75,ALL,ALL,ALL,0TO99
2690,1052,2010,169.40,ALL,ALL,ALL,0TO99
2690,1053,2010,169.06,ALL,ALL,ALL,0TO99
2690,1054,2010,160.02,ALL,ALL,ALL,0TO99
2691,1039,2010,195.48,ALL,ALL,ALL,0TO99
2691,1040,2010,184.64,ALL,ALL,ALL,0TO99
2691,1041,2010,173.15,ALL,ALL,ALL,0TO99
2691,1042,2010,172.81,ALL,ALL,ALL,0TO99
2691,1043,2010,172.47,ALL,ALL,ALL,0TO99
2691,1044,2010,172.14,ALL,ALL,ALL,0TO99
2691,1045,2010,171.79,ALL,ALL,ALL,0TO99
2691,1046,2010,171.46,ALL,ALL,ALL,0TO99
2691,1047,2010,171.11,ALL,ALL,ALL,0TO99
2691,1048,2010,170.77,ALL,ALL,ALL,0TO99
2691,1049,2010,170.44,ALL,ALL,ALL,0TO99
2691,1050,2010,170.08,ALL,ALL,ALL,0TO99
2691,1051,2010,169.75,ALL,ALL,ALL,0TO99
2691,1052,2010,169.40,ALL,ALL,ALL,0TO99
2691,1053,2010,169.06,ALL,ALL,ALL,0TO99
2691,1054,2010,161.82,ALL,ALL,ALL,0TO99
2692,1040,2010,173.48,ALL,ALL,ALL,0TO99
2692,1041,2010,173.15,ALL,ALL,ALL,0TO99
2692,1042,2010,172.81,ALL,ALL,ALL,0TO99
2692,1043,2010,172.47,ALL,ALL,ALL,0TO99
2692,1044,2010,172.14,ALL,ALL,ALL,0TO99
2692,1045,2010,171.79,ALL,ALL,ALL,0TO99
2692,1046,2010,171.46,ALL,ALL,ALL,0TO99
2692,1047,2010,171.11,ALL,ALL,ALL,0TO99
2692,1048,2010,170.77,ALL,ALL,ALL,0TO99
2692,1049,2010,170.44,ALL,ALL,ALL,0TO99
2692,1050,2010,170.08,ALL,ALL,ALL,0TO99
2692,1051,2010,169.75,ALL,ALL,ALL,0TO99
2692,1052,2010,169.40,ALL,ALL,ALL,0TO99
2692,1053,2010,169.06,ALL,ALL,ALL,0TO99
2692,1054,2010,168.59,ALL,ALL,ALL,0TO99
2693,1040,2010,174.66,ALL,ALL,ALL,0TO99
2693,1041,2010,173.15,ALL,ALL,ALL,0TO99
2693,1042,2010,172.81,ALL,ALL,ALL,0TO99
2693,1043,2010,172.47,ALL,ALL,ALL,0TO99
2693,1044,2010,172.14,ALL,ALL,ALL,0TO99
2693,1045,2010,171.79,ALL,ALL,ALL,0TO99
2693,1046,2010,171.46,ALL,ALL,ALL,0TO99
2693,1047,2010,171.11,ALL,ALL,ALL,0TO99
2693,1048,2010,170.77,ALL,ALL,ALL,0TO99
2693,1049,2010,170.44,ALL,ALL,ALL,0TO99
2693,1050,2010,170.08,ALL,ALL,ALL,0TO99
2693,1051,2010,169.75,ALL,ALL,ALL,0TO99
2693,1052,2010,169.40,ALL,ALL,ALL,0TO99
2693,1053,2010,169.06,ALL,ALL,ALL,0TO99
2693,1054,2010,168.72,ALL,ALL,ALL,0TO99
2693,1055,2010,159.38,ALL,ALL,ALL,0TO99
2693,1056,2010,111.21,ALL,ALL,ALL,0TO99
2694,1040,2010,184.24,ALL,ALL,ALL,0TO99
2694,1041,2010,173.15,ALL,ALL,ALL,0TO99
2694,1042,2010,172.81,ALL,ALL,ALL,0TO99
2694,1043,2010,172.47,ALL,ALL,ALL,0TO99
2694,1044,2010,172.14,ALL,ALL,ALL,0TO99
2694,1045,2010,171.79,ALL,ALL,ALL,0TO99
2694,1046,2010,171.46,ALL,ALL,ALL,0TO99
2694,1047,2010,171.11,ALL,ALL,ALL,0TO99
2694,1048,2010,170.77,ALL,ALL,ALL,0TO99
2694,1049,2010,170.44,ALL,ALL,ALL,0TO99
2694,1050,2010,170.08,ALL,ALL,ALL,0TO99
2694,1051,2010,169.75,ALL,ALL,ALL,0TO99
2694,1052,2010,169.40,ALL,ALL,ALL,0TO99
2694,1053,2010,169.06,ALL,ALL,ALL,0TO99
2694,1054,2010,168.72,ALL,ALL,ALL,0TO99
2694,1055,2010,164.39,ALL,ALL,ALL,0TO99
2695,1040,2010,187.59,ALL,ALL,ALL,0TO99
2695,1041,2010,173.15,ALL,ALL,ALL,0TO99
2695,1042,2010,172.81,ALL,ALL,ALL,0TO99
2695,1043,2010,172.47,ALL,ALL,ALL,0TO99
2695,1044,2010,172.14,ALL,ALL,ALL,0TO99
2695,1045,2010,171.79,ALL,ALL,ALL,0TO99
2695,1046,2010,171.46,ALL,ALL,ALL,0TO99
2695,1047,2010,171.11,ALL,ALL,ALL,0TO99
2695,1048,2010,170.77,ALL,ALL,ALL,0TO99
2695,1049,2010,170.44,ALL,ALL,ALL,0TO99
2695,1050,2010,170.08,ALL,ALL,ALL,0TO99
2695,1051,2010,169.75,ALL,ALL,ALL,0TO99
2695,1052,2010,169.40,ALL,ALL,ALL,0TO99
2695,1053,2010,169.06,ALL,ALL,ALL,0TO99
2695,1054,2010,168.72,ALL,ALL,ALL,0TO99
2695,1055,2010,167.54,ALL,ALL,ALL,0TO99
2695,1056,2010,118.90,ALL,ALL,ALL,0TO99
2696,1040,2010,186.46,ALL,ALL,ALL,0TO99
2696,1041,2010,173.15,ALL,ALL,ALL,0TO99
2696,1042,2010,172.81,ALL,ALL,ALL,0TO99
2696,1043,2010,172.47,ALL,ALL,ALL,0TO99
2696,1044,2010,172.14,ALL,ALL,ALL,0TO99
2696,1045,2010,171.79,ALL,ALL,ALL,0TO99
2696,1046,2010,171.46,ALL,ALL,ALL,0TO99
2696,1047,2010,171.11,ALL,ALL,ALL,0TO99
2696,1048,2010,170.77,ALL,ALL,ALL,0TO99
2696,1049,2010,170.44,ALL,ALL,ALL,0TO99
2696,1050,2010,170.08,ALL,ALL,ALL,0TO99
2696,1051,2010,169.75,ALL,ALL,ALL,0TO99
2696,1052,2010,169.40,ALL,ALL,ALL,0TO99
2696,1053,2010,169.06,ALL,ALL,ALL,0TO99
2696,1054,2010,168.72,ALL,ALL,ALL,0TO99
2696,1055,2010,168.37,ALL,ALL,ALL,0TO99
2696,1056,2010,148.14,ALL,ALL,ALL,0TO99
2697,1039,2010,183.67,ALL,ALL,ALL,0TO99
2697,1040,2010,174.23,ALL,ALL,ALL,0TO99
2697,1041,2010,173.15,ALL,ALL,ALL,0TO99
2697,1042,2010,172.81,ALL,ALL,ALL,0TO99
2697,1043,2010,172.47,ALL,ALL,ALL,0TO99
2697,1044,2010,172.14,ALL,ALL,ALL,0TO99
2697,1045,2010,171.79,ALL,ALL,ALL,0TO99
2697,1046,2010,171.46,ALL,ALL,ALL,0TO99
2697,1047,2010,171.11,ALL,ALL,ALL,0TO99
2697,1048,2010,170.77,ALL,ALL,ALL,0TO99
2697,1049,2010,170.44,ALL,ALL,ALL,0TO99
2697,1050,2010,170.08,ALL,ALL,ALL,0TO99
2697,1051,2010,169.75,ALL,ALL,ALL,0TO99
2697,1052,2010,169.40,ALL,ALL,ALL,0TO99
2697,1053,2010,169.06,ALL,ALL,ALL,0TO99
2697,1054,2010,168.72,ALL,ALL,ALL,0TO99
2697,1055,2010,168.37,ALL,ALL,ALL,0TO99
2697,1056,2010,163.70,ALL,ALL,ALL,0TO99
2697,1058,2010,117.09,ALL,ALL,ALL,0TO99
2697,1059,2010,133.04,ALL,ALL,ALL,0TO99
2698,1038,2010,192.65,ALL,ALL,ALL,0TO99
2698,1039,2010,174.85,ALL,ALL,ALL,0TO99
2698,1040,2010,173.48,ALL,ALL,ALL,0TO99
2698,1041,2010,173.15,ALL,ALL,ALL,0TO99
2698,1042,2010,172.81,ALL,ALL,ALL,0TO99
2698,1043,2010,172.47,ALL,ALL,ALL,0TO99
2698,1044,2010,172.14,ALL,ALL,ALL,0TO99
2698,1045,2010,171.79,ALL,ALL,ALL,0TO99
2698,1046,2010,171.46,ALL,ALL,ALL,0TO99
2698,1047,2010,171.11,ALL,ALL,ALL,0TO99
2698,1048,2010,170.77,ALL,ALL,ALL,0TO99
2698,1049,2010,170.44,ALL,ALL,ALL,0TO99
2698,1050,2010,170.08,ALL,ALL,ALL,0TO99
2698,1051,2010,169.75,ALL,ALL,ALL,0TO99
2698,1052,2010,169.40,ALL,ALL,ALL,0TO99
2698,1053,2010,169.06,ALL,ALL,ALL,0TO99
2698,1054,2010,168.72,ALL,ALL,ALL,0TO99
2698,1055,2010,168.37,ALL,ALL,ALL,0TO99
2698,1056,2010,168.02,ALL,ALL,ALL,0TO99
2698,1057,2010,152.56,ALL,ALL,ALL,0TO99
2698,1058,2010,162.72,ALL,ALL,ALL,0TO99
2698,1059,2010,159.93,ALL,ALL,ALL,0TO99
2699,1038,2010,182.47,ALL,ALL,ALL,0TO99
2699,1039,2010,173.83,ALL,ALL,ALL,0TO99
2699,1040,2010,173.48,ALL,ALL,ALL,0TO99
2699,1041,2010,173.15,ALL,ALL,ALL,0TO99
2699,1042,2010,172.81,ALL,ALL,ALL,0TO99
2699,1043,2010,172.47,ALL,ALL,ALL,0TO99
2699,1044,2010,172.14,ALL,ALL,ALL,0TO99
2699,1045,2010,171.79,ALL,ALL,ALL,0TO99
2699,1046,2010,171.46,ALL,ALL,ALL,0TO99
2699,1047,2010,171.11,ALL,ALL,ALL,0TO99
2699,1048,2010,170.77,ALL,ALL,ALL,0TO99
2699,1049,2010,170.44,ALL,ALL,ALL,0TO99
2699,1050,2010,170.08,ALL,ALL,ALL,0TO99
2699,1051,2010,169.75,ALL,ALL,ALL,0TO99
