Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2123,408,2010,422.24,ALL,ALL,ALL,0TO99
2180,432,2010,146.40,ALL,ALL,ALL,0TO99
2180,405,2010,2087.06,ALL,ALL,ALL,0TO99
2180,397,2010,2891.82,ALL,ALL,ALL,0TO99
2155,441,2010,44.87,ALL,ALL,ALL,0TO99
2162,436,2010,375.57,ALL,ALL,ALL,0TO99
2171,439,2010,10.01,ALL,ALL,ALL,0TO99
2134,335,2010,169.65,ALL,ALL,ALL,0TO99
2199,401,2010,4833.82,ALL,ALL,ALL,0TO99
2185,419,2010,1277.98,ALL,ALL,ALL,0TO99
2163,437,2010,375.71,ALL,ALL,ALL,0TO99
2120,334,2010,398.89,ALL,ALL,ALL,0TO99
2181,438,2010,190.57,ALL,ALL,ALL,0TO99
2179,405,2010,2883.88,ALL,ALL,ALL,0TO99
2131,358,2010,4870.50,ALL,ALL,ALL,0TO99
2179,422,2010,381.88,ALL,ALL,ALL,0TO99
2147,327,2010,402.17,ALL,ALL,ALL,0TO99
2150,351,2010,1149.15,ALL,ALL,ALL,0TO99
2128,304,2010,5141.85,ALL,ALL,ALL,0TO99
2146,334,2010,1347.59,ALL,ALL,ALL,0TO99
2149,335,2010,1490.50,ALL,ALL,ALL,0TO99
2134,348,2010,1248.17,ALL,ALL,ALL,0TO99
2153,379,2010,454.11,ALL,ALL,ALL,0TO99
2148,344,2010,1294.77,ALL,ALL,ALL,0TO99
2154,431,2010,1216.02,ALL,ALL,ALL,0TO99
2187,428,2010,3258.77,ALL,ALL,ALL,0TO99
2190,425,2010,5655.11,ALL,ALL,ALL,0TO99
2110,411,2010,625.29,ALL,ALL,ALL,0TO99
2139,380,2010,237.06,ALL,ALL,ALL,0TO99
2184,426,2010,3756.90,ALL,ALL,ALL,0TO99
2130,325,2010,280.99,ALL,ALL,ALL,0TO99
2155,421,2010,2949.66,ALL,ALL,ALL,0TO99
2139,323,2010,235.24,ALL,ALL,ALL,0TO99
2140,387,2010,752.87,ALL,ALL,ALL,0TO99
2142,351,2010,1332.57,ALL,ALL,ALL,0TO99
2118,321,2010,189.34,ALL,ALL,ALL,0TO99
2125,336,2010,399.47,ALL,ALL,ALL,0TO99
2136,395,2010,2179.26,ALL,ALL,ALL,0TO99
2169,442,2010,59.47,ALL,ALL,ALL,0TO99
2170,390,2010,4079.50,ALL,ALL,ALL,0TO99
2148,390,2010,2048.66,ALL,ALL,ALL,0TO99
2129,363,2010,3106.32,ALL,ALL,ALL,0TO99
2144,377,2010,714.69,ALL,ALL,ALL,0TO99
2169,418,2010,805.24,ALL,ALL,ALL,0TO99
2127,343,2010,149.52,ALL,ALL,ALL,0TO99
2127,414,2010,865.35,ALL,ALL,ALL,0TO99
2161,429,2010,748.69,ALL,ALL,ALL,0TO99
2176,417,2010,811.50,ALL,ALL,ALL,0TO99
2116,400,2010,967.54,ALL,ALL,ALL,0TO99
2138,397,2010,2694.19,ALL,ALL,ALL,0TO99
2186,443,2010,107.58,ALL,ALL,ALL,0TO99
2122,404,2010,154.35,ALL,ALL,ALL,0TO99
2186,392,2010,1217.38,ALL,ALL,ALL,0TO99
2136,338,2010,174.68,ALL,ALL,ALL,0TO99
2138,373,2010,1067.08,ALL,ALL,ALL,0TO99
2124,414,2010,871.93,ALL,ALL,ALL,0TO99
2189,424,2010,7748.01,ALL,ALL,ALL,0TO99
2193,427,2010,5908.47,ALL,ALL,ALL,0TO99
2159,418,2010,1351.98,ALL,ALL,ALL,0TO99
2151,367,2010,381.82,ALL,ALL,ALL,0TO99
2182,392,2010,1350.53,ALL,ALL,ALL,0TO99
2107,405,2010,599.37,ALL,ALL,ALL,0TO99
2165,419,2010,803.63,ALL,ALL,ALL,0TO99
2144,379,2010,1219.57,ALL,ALL,ALL,0TO99
2202,448,2010,4753.71,ALL,ALL,ALL,0TO99
2156,372,2010,504.56,ALL,ALL,ALL,0TO99
2163,378,2010,1416.49,ALL,ALL,ALL,0TO99
2131,333,2010,141.01,ALL,ALL,ALL,0TO99
2141,353,2010,1834.46,ALL,ALL,ALL,0TO99
2191,405,2010,2999.32,ALL,ALL,ALL,0TO99
2128,345,2010,529.36,ALL,ALL,ALL,0TO99
2138,408,2010,1205.79,ALL,ALL,ALL,0TO99
2124,410,2010,411.87,ALL,ALL,ALL,0TO99
2191,401,2010,4696.83,ALL,ALL,ALL,0TO99
2143,342,2010,750.91,ALL,ALL,ALL,0TO99
2155,377,2010,1858.06,ALL,ALL,ALL,0TO99
2149,350,2010,1135.56,ALL,ALL,ALL,0TO99
2164,388,2010,1534.68,ALL,ALL,ALL,0TO99
2159,409,2010,2722.84,ALL,ALL,ALL,0TO99
2126,335,2010,390.29,ALL,ALL,ALL,0TO99
2132,324,2010,169.64,ALL,ALL,ALL,0TO99
2190,405,2010,3581.80,ALL,ALL,ALL,0TO99
2129,355,2010,6606.27,ALL,ALL,ALL,0TO99
2122,402,2010,402.54,ALL,ALL,ALL,0TO99
2205,418,2010,11426.91,ALL,ALL,ALL,0TO99
2112,409,2010,734.42,ALL,ALL,ALL,0TO99
2152,428,2010,2750.53,ALL,ALL,ALL,0TO99
2178,388,2010,3949.81,ALL,ALL,ALL,0TO99
2189,398,2010,1722.04,ALL,ALL,ALL,0TO99
2169,435,2010,26.28,ALL,ALL,ALL,0TO99
2143,369,2010,3936.42,ALL,ALL,ALL,0TO99
2176,411,2010,4440.27,ALL,ALL,ALL,0TO99
2184,388,2010,2430.90,ALL,ALL,ALL,0TO99
2201,406,2010,1565.39,ALL,ALL,ALL,0TO99
2153,333,2010,2453.50,ALL,ALL,ALL,0TO99
2162,429,2010,544.83,ALL,ALL,ALL,0TO99
2114,400,2010,963.94,ALL,ALL,ALL,0TO99
2144,320,2010,1803.20,ALL,ALL,ALL,0TO99
2151,318,2010,12511.80,ALL,ALL,ALL,0TO99
2121,401,2010,1105.85,ALL,ALL,ALL,0TO99
2134,333,2010,160.35,ALL,ALL,ALL,0TO99
2160,427,2010,1121.90,ALL,ALL,ALL,0TO99
2123,412,2010,898.73,ALL,ALL,ALL,0TO99
2122,293,2010,2181.95,ALL,ALL,ALL,0TO99
2164,419,2010,809.20,ALL,ALL,ALL,0TO99
2147,346,2010,890.25,ALL,ALL,ALL,0TO99
2160,381,2010,1423.96,ALL,ALL,ALL,0TO99
2158,418,2010,1443.42,ALL,ALL,ALL,0TO99
2189,414,2010,2294.87,ALL,ALL,ALL,0TO99
2126,401,2010,2599.49,ALL,ALL,ALL,0TO99
2145,326,2010,401.86,ALL,ALL,ALL,0TO99
2152,366,2010,381.59,ALL,ALL,ALL,0TO99
2183,427,2010,3284.82,ALL,ALL,ALL,0TO99
2156,436,2010,195.14,ALL,ALL,ALL,0TO99
2194,419,2010,4693.89,ALL,ALL,ALL,0TO99
2161,415,2010,1379.19,ALL,ALL,ALL,0TO99
2167,381,2010,2460.25,ALL,ALL,ALL,0TO99
2188,391,2010,1217.53,ALL,ALL,ALL,0TO99
2131,392,2010,2130.00,ALL,ALL,ALL,0TO99
2178,430,2010,398.00,ALL,ALL,ALL,0TO99
2200,449,2010,2161.54,ALL,ALL,ALL,0TO99
2204,444,2010,2536.38,ALL,ALL,ALL,0TO99
2200,440,2010,3345.94,ALL,ALL,ALL,0TO99
2147,325,2010,401.57,ALL,ALL,ALL,0TO99
2140,338,2010,761.94,ALL,ALL,ALL,0TO99
2182,441,2010,194.42,ALL,ALL,ALL,0TO99
2198,438,2010,2544.34,ALL,ALL,ALL,0TO99
2199,402,2010,3843.46,ALL,ALL,ALL,0TO99
2124,408,2010,411.48,ALL,ALL,ALL,0TO99
2136,393,2010,1584.98,ALL,ALL,ALL,0TO99
2142,313,2010,1963.54,ALL,ALL,ALL,0TO99
2186,439,2010,74.99,ALL,ALL,ALL,0TO99
2157,394,2010,5372.13,ALL,ALL,ALL,0TO99
2162,419,2010,1113.19,ALL,ALL,ALL,0TO99
2122,340,2010,284.01,ALL,ALL,ALL,0TO99
2116,407,2010,817.89,ALL,ALL,ALL,0TO99
2137,322,2010,169.38,ALL,ALL,ALL,0TO99
2145,333,2010,992.21,ALL,ALL,ALL,0TO99
2149,313,2010,10351.18,ALL,ALL,ALL,0TO99
2133,333,2010,142.05,ALL,ALL,ALL,0TO99
2124,415,2010,865.75,ALL,ALL,ALL,0TO99
2189,431,2010,1601.37,ALL,ALL,ALL,0TO99
2201,400,2010,5762.70,ALL,ALL,ALL,0TO99
2206,411,2010,5670.95,ALL,ALL,ALL,0TO99
2144,368,2010,5680.90,ALL,ALL,ALL,0TO99
2151,346,2010,1543.41,ALL,ALL,ALL,0TO99
2139,358,2010,1507.62,ALL,ALL,ALL,0TO99
2195,422,2010,4581.18,ALL,ALL,ALL,0TO99
2133,316,2010,3327.95,ALL,ALL,ALL,0TO99
2133,365,2010,5790.69,ALL,ALL,ALL,0TO99
2161,438,2010,373.84,ALL,ALL,ALL,0TO99
2137,349,2010,1374.79,ALL,ALL,ALL,0TO99
2138,309,2010,35492.73,ALL,ALL,ALL,0TO99
2129,412,2010,552.01,ALL,ALL,ALL,0TO99
2139,406,2010,1283.61,ALL,ALL,ALL,0TO99
2138,406,2010,1283.61,ALL,ALL,ALL,0TO99
2156,390,2010,3938.77,ALL,ALL,ALL,0TO99
2161,434,2010,375.28,ALL,ALL,ALL,0TO99
2174,390,2010,3031.19,ALL,ALL,ALL,0TO99
2139,360,2010,1602.49,ALL,ALL,ALL,0TO99
2143,314,2010,1960.03,ALL,ALL,ALL,0TO99
2164,412,2010,3818.06,ALL,ALL,ALL,0TO99
2133,374,2010,3318.96,ALL,ALL,ALL,0TO99
2181,388,2010,4770.99,ALL,ALL,ALL,0TO99
2125,324,2010,360.18,ALL,ALL,ALL,0TO99
2150,334,2010,1489.37,ALL,ALL,ALL,0TO99
2189,428,2010,2303.01,ALL,ALL,ALL,0TO99
2142,380,2010,237.06,ALL,ALL,ALL,0TO99
2145,354,2010,1950.34,ALL,ALL,ALL,0TO99
2151,435,2010,2647.41,ALL,ALL,ALL,0TO99
2163,394,2010,1488.01,ALL,ALL,ALL,0TO99
2197,421,2010,5160.16,ALL,ALL,ALL,0TO99
2142,366,2010,5526.48,ALL,ALL,ALL,0TO99
2147,376,2010,824.58,ALL,ALL,ALL,0TO99
2129,337,2010,141.42,ALL,ALL,ALL,0TO99
2130,340,2010,587.03,ALL,ALL,ALL,0TO99
2159,382,2010,1424.77,ALL,ALL,ALL,0TO99
2192,422,2010,2542.97,ALL,ALL,ALL,0TO99
2158,380,2010,1423.18,ALL,ALL,ALL,0TO99
2114,413,2010,1426.58,ALL,ALL,ALL,0TO99
2130,314,2010,35158.97,ALL,ALL,ALL,0TO99
2154,376,2010,501.48,ALL,ALL,ALL,0TO99
2118,412,2010,928.66,ALL,ALL,ALL,0TO99
2125,314,2010,358.10,ALL,ALL,ALL,0TO99
2158,393,2010,2614.42,ALL,ALL,ALL,0TO99
2122,410,2010,411.87,ALL,ALL,ALL,0TO99
2172,400,2010,7266.18,ALL,ALL,ALL,0TO99
2130,370,2010,21411.96,ALL,ALL,ALL,0TO99
2140,339,2010,703.11,ALL,ALL,ALL,0TO99
2157,371,2010,504.26,ALL,ALL,ALL,0TO99
2123,294,2010,1433.53,ALL,ALL,ALL,0TO99
2174,397,2010,5265.21,ALL,ALL,ALL,0TO99
2166,408,2010,3133.17,ALL,ALL,ALL,0TO99
2172,418,2010,838.88,ALL,ALL,ALL,0TO99
2196,408,2010,3811.24,ALL,ALL,ALL,0TO99
2175,385,2010,7858.18,ALL,ALL,ALL,0TO99
2170,387,2010,5974.20,ALL,ALL,ALL,0TO99
2129,310,2010,6840.50,ALL,ALL,ALL,0TO99
2129,329,2010,281.83,ALL,ALL,ALL,0TO99
2132,318,2010,529.36,ALL,ALL,ALL,0TO99
2109,401,2010,1472.53,ALL,ALL,ALL,0TO99
2148,431,2010,795.32,ALL,ALL,ALL,0TO99
2149,326,2010,2365.51,ALL,ALL,ALL,0TO99
2203,413,2010,5175.61,ALL,ALL,ALL,0TO99
2132,350,2010,1375.75,ALL,ALL,ALL,0TO99
2199,417,2010,2262.65,ALL,ALL,ALL,0TO99
2135,354,2010,1379.36,ALL,ALL,ALL,0TO99
2174,440,2010,10.01,ALL,ALL,ALL,0TO99
2143,389,2010,1003.88,ALL,ALL,ALL,0TO99
2162,386,2010,1535.71,ALL,ALL,ALL,0TO99
2182,424,2010,1265.27,ALL,ALL,ALL,0TO99
2201,446,2010,3453.44,ALL,ALL,ALL,0TO99
2132,355,2010,4521.60,ALL,ALL,ALL,0TO99
2152,385,2010,11199.74,ALL,ALL,ALL,0TO99
2136,344,2010,495.08,ALL,ALL,ALL,0TO99
2154,389,2010,2549.59,ALL,ALL,ALL,0TO99
2163,385,2010,1534.89,ALL,ALL,ALL,0TO99
2132,415,2010,1817.88,ALL,ALL,ALL,0TO99
2124,322,2010,492.35,ALL,ALL,ALL,0TO99
2195,412,2010,824.54,ALL,ALL,ALL,0TO99
2145,351,2010,953.17,ALL,ALL,ALL,0TO99
2123,306,2010,1444.37,ALL,ALL,ALL,0TO99
