Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1653,752,D24HourMean,QuarterlyMean,Mean,75.33
1734,744,D24HourMean,QuarterlyMean,Mean,134.41
1706,747,D24HourMean,QuarterlyMean,Mean,143.93
1646,763,D24HourMean,QuarterlyMean,Mean,80.45
1708,782,D24HourMean,QuarterlyMean,Mean,363.48
1715,813,D24HourMean,QuarterlyMean,Mean,153.19
1655,767,D24HourMean,QuarterlyMean,Mean,98.89
1707,726,D24HourMean,QuarterlyMean,Mean,60.18
1660,730,D24HourMean,QuarterlyMean,Mean,52.88
1707,758,D24HourMean,QuarterlyMean,Mean,224.08
1734,771,D24HourMean,QuarterlyMean,Mean,389.20
1717,743,D24HourMean,QuarterlyMean,Mean,114.89
1696,800,D24HourMean,QuarterlyMean,Mean,247.23
1685,757,D24HourMean,QuarterlyMean,Mean,152.88
1712,764,D24HourMean,QuarterlyMean,Mean,268.33
1675,783,D24HourMean,QuarterlyMean,Mean,153.14
1740,751,D24HourMean,QuarterlyMean,Mean,161.39
1688,749,D24HourMean,QuarterlyMean,Mean,127.23
1729,821,D24HourMean,QuarterlyMean,Mean,53.77
1735,762,D24HourMean,QuarterlyMean,Mean,274.35
1719,742,D24HourMean,QuarterlyMean,Mean,107.17
1721,755,D24HourMean,QuarterlyMean,Mean,208.19
1735,781,D24HourMean,QuarterlyMean,Mean,377.30
1728,741,D24HourMean,QuarterlyMean,Mean,105.96
1678,708,D24HourMean,QuarterlyMean,Mean,36.30
1653,769,D24HourMean,QuarterlyMean,Mean,96.26
1720,802,D24HourMean,QuarterlyMean,Mean,193.55
1725,774,D24HourMean,QuarterlyMean,Mean,391.89
1686,771,D24HourMean,QuarterlyMean,Mean,224.65
1691,805,D24HourMean,QuarterlyMean,Mean,194.48
1657,767,D24HourMean,QuarterlyMean,Mean,104.90
1696,730,D24HourMean,QuarterlyMean,Mean,62.71
1717,776,D24HourMean,QuarterlyMean,Mean,379.81
1642,746,D24HourMean,QuarterlyMean,Mean,68.83
1713,744,D24HourMean,QuarterlyMean,Mean,119.28
1736,813,D24HourMean,QuarterlyMean,Mean,70.60
1707,763,D24HourMean,QuarterlyMean,Mean,251.07
1678,738,D24HourMean,QuarterlyMean,Mean,74.09
1726,809,D24HourMean,QuarterlyMean,Mean,99.34
1699,754,D24HourMean,QuarterlyMean,Mean,172.93
1656,749,D24HourMean,QuarterlyMean,Mean,82.88
1690,812,D24HourMean,QuarterlyMean,Mean,175.87
1701,773,D24HourMean,QuarterlyMean,Mean,330.02
1678,785,D24HourMean,QuarterlyMean,Mean,181.47
1730,767,D24HourMean,QuarterlyMean,Mean,374.29
1641,766,D24HourMean,QuarterlyMean,Mean,70.41
1697,789,D24HourMean,QuarterlyMean,Mean,295.70
1701,783,D24HourMean,QuarterlyMean,Mean,347.36
1697,816,D24HourMean,QuarterlyMean,Mean,196.08
1684,764,D24HourMean,QuarterlyMean,Mean,174.51
1705,792,D24HourMean,QuarterlyMean,Mean,305.71
1730,777,D24HourMean,QuarterlyMean,Mean,411.49
1689,762,D24HourMean,QuarterlyMean,Mean,183.91
1701,748,D24HourMean,QuarterlyMean,Mean,142.36
1646,753,D24HourMean,QuarterlyMean,Mean,74.90
1668,737,D24HourMean,QuarterlyMean,Mean,70.92
1711,817,D24HourMean,QuarterlyMean,Mean,164.44
1721,718,D24HourMean,QuarterlyMean,Mean,47.78
1742,813,D24HourMean,QuarterlyMean,Mean,63.11
1644,746,D24HourMean,QuarterlyMean,Mean,69.99
1716,811,D24HourMean,QuarterlyMean,Mean,144.63
1680,783,D24HourMean,QuarterlyMean,Mean,195.44
1714,825,D24HourMean,QuarterlyMean,Mean,99.52
1700,761,D24HourMean,QuarterlyMean,Mean,219.82
1734,780,D24HourMean,QuarterlyMean,Mean,387.96
1669,771,D24HourMean,QuarterlyMean,Mean,122.47
1674,742,D24HourMean,QuarterlyMean,Mean,79.85
1733,819,D24HourMean,QuarterlyMean,Mean,53.80
1727,787,D24HourMean,QuarterlyMean,Mean,300.27
1744,719,D24HourMean,QuarterlyMean,Mean,40.92
1734,747,D24HourMean,QuarterlyMean,Mean,169.94
1727,731,D24HourMean,QuarterlyMean,Mean,64.66
1668,717,D24HourMean,QuarterlyMean,Mean,41.68
1723,790,D24HourMean,QuarterlyMean,Mean,277.86
1692,713,D24HourMean,QuarterlyMean,Mean,39.91
1659,766,D24HourMean,QuarterlyMean,Mean,112.79
1674,731,D24HourMean,QuarterlyMean,Mean,56.75
1685,801,D24HourMean,QuarterlyMean,Mean,180.52
1687,727,D24HourMean,QuarterlyMean,Mean,58.92
1671,747,D24HourMean,QuarterlyMean,Mean,102.22
1693,792,D24HourMean,QuarterlyMean,Mean,253.04
1681,806,D24HourMean,QuarterlyMean,Mean,135.88
1650,754,D24HourMean,QuarterlyMean,Mean,73.94
1683,783,D24HourMean,QuarterlyMean,Mean,212.13
1727,773,D24HourMean,QuarterlyMean,Mean,403.43
1648,770,D24HourMean,QuarterlyMean,Mean,89.22
1732,817,D24HourMean,QuarterlyMean,Mean,58.68
1730,823,D24HourMean,QuarterlyMean,Mean,50.30
1684,809,D24HourMean,QuarterlyMean,Mean,149.22
1640,747,D24HourMean,QuarterlyMean,Mean,68.78
1659,772,D24HourMean,QuarterlyMean,Mean,115.10
1685,771,D24HourMean,QuarterlyMean,Mean,215.81
1677,762,D24HourMean,QuarterlyMean,Mean,140.16
1704,788,D24HourMean,QuarterlyMean,Mean,318.26
1716,726,D24HourMean,QuarterlyMean,Mean,58.46
1651,744,D24HourMean,QuarterlyMean,Mean,69.54
1699,817,D24HourMean,QuarterlyMean,Mean,199.20
1648,750,D24HourMean,QuarterlyMean,Mean,74.08
1698,733,D24HourMean,QuarterlyMean,Mean,70.49
1733,775,D24HourMean,QuarterlyMean,Mean,398.21
1723,781,D24HourMean,QuarterlyMean,Mean,392.55
1678,789,D24HourMean,QuarterlyMean,Mean,167.23
1725,758,D24HourMean,QuarterlyMean,Mean,246.18
1713,733,D24HourMean,QuarterlyMean,Mean,72.94
1644,750,D24HourMean,QuarterlyMean,Mean,74.99
1709,750,D24HourMean,QuarterlyMean,Mean,159.58
1727,785,D24HourMean,QuarterlyMean,Mean,344.75
1717,787,D24HourMean,QuarterlyMean,Mean,310.92
1735,751,D24HourMean,QuarterlyMean,Mean,177.23
1668,744,D24HourMean,QuarterlyMean,Mean,82.66
1733,809,D24HourMean,QuarterlyMean,Mean,87.85
1698,771,D24HourMean,QuarterlyMean,Mean,308.91
1740,740,D24HourMean,QuarterlyMean,Mean,101.81
1693,727,D24HourMean,QuarterlyMean,Mean,58.50
1717,821,D24HourMean,QuarterlyMean,Mean,88.19
1699,722,D24HourMean,QuarterlyMean,Mean,53.04
1670,790,D24HourMean,QuarterlyMean,Mean,109.52
1680,712,D24HourMean,QuarterlyMean,Mean,38.04
1681,749,D24HourMean,QuarterlyMean,Mean,112.63
1699,819,D24HourMean,QuarterlyMean,Mean,188.21
1718,819,D24HourMean,QuarterlyMean,Mean,85.43
1657,744,D24HourMean,QuarterlyMean,Mean,78.20
1692,806,D24HourMean,QuarterlyMean,Mean,194.97
1722,774,D24HourMean,QuarterlyMean,Mean,382.37
1707,778,D24HourMean,QuarterlyMean,Mean,361.97
1669,732,D24HourMean,QuarterlyMean,Mean,60.08
1724,726,D24HourMean,QuarterlyMean,Mean,58.21
1670,783,D24HourMean,QuarterlyMean,Mean,119.02
1704,726,D24HourMean,QuarterlyMean,Mean,58.95
1673,732,D24HourMean,QuarterlyMean,Mean,62.35
1712,780,D24HourMean,QuarterlyMean,Mean,374.10
1722,759,D24HourMean,QuarterlyMean,Mean,242.66
1729,779,D24HourMean,QuarterlyMean,Mean,407.17
1727,807,D24HourMean,QuarterlyMean,Mean,111.34
1718,762,D24HourMean,QuarterlyMean,Mean,252.74
1714,776,D24HourMean,QuarterlyMean,Mean,373.22
1715,732,D24HourMean,QuarterlyMean,Mean,68.71
1712,817,D24HourMean,QuarterlyMean,Mean,157.58
1726,750,D24HourMean,QuarterlyMean,Mean,168.23
1704,770,D24HourMean,QuarterlyMean,Mean,329.54
1637,724,D24HourMean,QuarterlyMean,Mean,43.40
1642,766,D24HourMean,QuarterlyMean,Mean,72.00
1683,755,D24HourMean,QuarterlyMean,Mean,135.62
1719,720,D24HourMean,QuarterlyMean,Mean,47.48
1680,767,D24HourMean,QuarterlyMean,Mean,169.91
1738,746,D24HourMean,QuarterlyMean,Mean,144.99
1692,774,D24HourMean,QuarterlyMean,Mean,262.05
1731,765,D24HourMean,QuarterlyMean,Mean,337.18
1717,767,D24HourMean,QuarterlyMean,Mean,334.38
1681,804,D24HourMean,QuarterlyMean,Mean,145.36
1708,749,D24HourMean,QuarterlyMean,Mean,154.57
1728,725,D24HourMean,QuarterlyMean,Mean,56.92
1640,742,D24HourMean,QuarterlyMean,Mean,31.88
1693,774,D24HourMean,QuarterlyMean,Mean,268.53
1732,820,D24HourMean,QuarterlyMean,Mean,52.68
1684,790,D24HourMean,QuarterlyMean,Mean,200.57
1664,747,D24HourMean,QuarterlyMean,Mean,89.89
1736,781,D24HourMean,QuarterlyMean,Mean,366.87
1737,811,D24HourMean,QuarterlyMean,Mean,73.30
1722,733,D24HourMean,QuarterlyMean,Mean,71.16
1685,798,D24HourMean,QuarterlyMean,Mean,184.84
1701,813,D24HourMean,QuarterlyMean,Mean,236.03
1726,807,D24HourMean,QuarterlyMean,Mean,114.91
1711,790,D24HourMean,QuarterlyMean,Mean,294.81
1720,823,D24HourMean,QuarterlyMean,Mean,65.58
1675,762,D24HourMean,QuarterlyMean,Mean,129.12
1692,812,D24HourMean,QuarterlyMean,Mean,184.44
1639,761,D24HourMean,QuarterlyMean,Mean,73.51
1701,756,D24HourMean,QuarterlyMean,Mean,195.57
1675,784,D24HourMean,QuarterlyMean,Mean,150.52
1699,761,D24HourMean,QuarterlyMean,Mean,217.64
1706,744,D24HourMean,QuarterlyMean,Mean,116.92
1667,725,D24HourMean,QuarterlyMean,Mean,50.87
1681,710,D24HourMean,QuarterlyMean,Mean,36.77
1644,731,D24HourMean,QuarterlyMean,Mean,47.75
