Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1653,752,2010,23.70,ALL,ALL,ALL,0TO99
1734,744,2010,7.15,ALL,ALL,ALL,0TO99
1706,747,2010,2.33,ALL,ALL,ALL,0TO99
1646,763,2010,23.54,ALL,ALL,ALL,0TO99
1708,782,2010,5.54,ALL,ALL,ALL,0TO99
1715,813,2010,9.83,ALL,ALL,ALL,0TO99
1655,767,2010,23.48,ALL,ALL,ALL,0TO99
1707,726,2010,249.27,ALL,ALL,ALL,0TO99
1660,730,2010,652.77,ALL,ALL,ALL,0TO99
1707,758,2010,5.62,ALL,ALL,ALL,0TO99
1734,771,2010,7.03,ALL,ALL,ALL,0TO99
1717,743,2010,7.16,ALL,ALL,ALL,0TO99
1696,800,2010,3.57,ALL,ALL,ALL,0TO99
1685,757,2010,5.64,ALL,ALL,ALL,0TO99
1712,764,2010,5.60,ALL,ALL,ALL,0TO99
1675,783,2010,3.62,ALL,ALL,ALL,0TO99
1740,751,2010,7.12,ALL,ALL,ALL,0TO99
1688,749,2010,145.70,ALL,ALL,ALL,0TO99
1729,821,2010,9.77,ALL,ALL,ALL,0TO99
1735,762,2010,7.07,ALL,ALL,ALL,0TO99
1719,742,2010,7.16,ALL,ALL,ALL,0TO99
1721,755,2010,7.11,ALL,ALL,ALL,0TO99
1735,781,2010,6.98,ALL,ALL,ALL,0TO99
1728,741,2010,7.17,ALL,ALL,ALL,0TO99
1678,708,2010,3557.92,ALL,ALL,ALL,0TO99
1653,769,2010,23.45,ALL,ALL,ALL,0TO99
1720,802,2010,3.57,ALL,ALL,ALL,0TO99
1725,774,2010,5.56,ALL,ALL,ALL,0TO99
1686,771,2010,5.59,ALL,ALL,ALL,0TO99
1691,805,2010,3.56,ALL,ALL,ALL,0TO99
1657,767,2010,23.48,ALL,ALL,ALL,0TO99
1696,730,2010,141.14,ALL,ALL,ALL,0TO99
1717,776,2010,5.56,ALL,ALL,ALL,0TO99
1642,746,2010,208.68,ALL,ALL,ALL,0TO99
