Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2375,358,D24HourMean,QuarterlyMean,Mean,8.32
2377,355,D24HourMean,QuarterlyMean,Mean,10.11
2376,359,D24HourMean,QuarterlyMean,Mean,10.13
2377,357,D24HourMean,QuarterlyMean,Mean,9.91
2377,359,D24HourMean,QuarterlyMean,Mean,10.08
2378,356,D24HourMean,QuarterlyMean,Mean,10.13
2434,362,D24HourMean,QuarterlyMean,Mean,12.06
2377,358,D24HourMean,QuarterlyMean,Mean,9.77
2375,356,D24HourMean,QuarterlyMean,Mean,9.77
2374,356,D24HourMean,QuarterlyMean,Mean,10.06
2375,355,D24HourMean,QuarterlyMean,Mean,9.84
2375,357,D24HourMean,QuarterlyMean,Mean,9.92
2378,357,D24HourMean,QuarterlyMean,Mean,10.01
2377,356,D24HourMean,QuarterlyMean,Mean,9.82
2374,355,D24HourMean,QuarterlyMean,Mean,9.96
2376,355,D24HourMean,QuarterlyMean,Mean,10.06
2378,358,D24HourMean,QuarterlyMean,Mean,10.30
2376,356,D24HourMean,QuarterlyMean,Mean,9.87
2376,357,D24HourMean,QuarterlyMean,Mean,9.85
2376,358,D24HourMean,QuarterlyMean,Mean,9.77
