Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2375,358,2010,79282.98,ALL,ALL,ALL,0TO99
2377,355,2010,49332.72,ALL,ALL,ALL,0TO99
2376,359,2010,61120.87,ALL,ALL,ALL,0TO99
2377,357,2010,42917.71,ALL,ALL,ALL,0TO99
2377,359,2010,68320.13,ALL,ALL,ALL,0TO99
2378,356,2010,14208.09,ALL,ALL,ALL,0TO99
2434,362,2010,11489.12,ALL,ALL,ALL,0TO99
2377,358,2010,56414.65,ALL,ALL,ALL,0TO99
2375,356,2010,80087.51,ALL,ALL,ALL,0TO99
2374,356,2010,3453.54,ALL,ALL,ALL,0TO99
2375,355,2010,16229.12,ALL,ALL,ALL,0TO99
2375,357,2010,232168.88,ALL,ALL,ALL,0TO99
2378,357,2010,48436.55,ALL,ALL,ALL,0TO99
2377,356,2010,26142.11,ALL,ALL,ALL,0TO99
2374,355,2010,6231.18,ALL,ALL,ALL,0TO99
2376,355,2010,39919.96,ALL,ALL,ALL,0TO99
2378,358,2010,25765.63,ALL,ALL,ALL,0TO99
2376,356,2010,82374.92,ALL,ALL,ALL,0TO99
2376,357,2010,87033.68,ALL,ALL,ALL,0TO99
2376,358,2010,147159.41,ALL,ALL,ALL,0TO99
