Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2142,420,D24HourMean,QuarterlyMean,Mean,6.14
2142,456,D24HourMean,QuarterlyMean,Mean,7.01
2158,413,D24HourMean,QuarterlyMean,Mean,6.82
2151,417,D24HourMean,QuarterlyMean,Mean,6.60
2149,414,D24HourMean,QuarterlyMean,Mean,7.08
2143,425,D24HourMean,QuarterlyMean,Mean,8.32
2153,395,D24HourMean,QuarterlyMean,Mean,7.54
2133,423,D24HourMean,QuarterlyMean,Mean,6.99
2149,405,D24HourMean,QuarterlyMean,Mean,6.39
2141,418,D24HourMean,QuarterlyMean,Mean,5.88
2135,423,D24HourMean,QuarterlyMean,Mean,6.41
2149,422,D24HourMean,QuarterlyMean,Mean,5.21
2140,442,D24HourMean,QuarterlyMean,Mean,6.82
2147,448,D24HourMean,QuarterlyMean,Mean,6.82
2153,404,D24HourMean,QuarterlyMean,Mean,6.32
2149,403,D24HourMean,QuarterlyMean,Mean,6.60
2147,406,D24HourMean,QuarterlyMean,Mean,6.25
2148,422,D24HourMean,QuarterlyMean,Mean,7.20
2136,462,D24HourMean,QuarterlyMean,Mean,7.08
2138,460,D24HourMean,QuarterlyMean,Mean,7.73
2146,417,D24HourMean,QuarterlyMean,Mean,7.66
2152,389,D24HourMean,QuarterlyMean,Mean,6.92
2158,404,D24HourMean,QuarterlyMean,Mean,7.68
2149,417,D24HourMean,QuarterlyMean,Mean,7.13
2141,423,D24HourMean,QuarterlyMean,Mean,6.41
2141,432,D24HourMean,QuarterlyMean,Mean,7.52
2135,446,D24HourMean,QuarterlyMean,Mean,6.07
2139,451,D24HourMean,QuarterlyMean,Mean,6.53
2135,449,D24HourMean,QuarterlyMean,Mean,6.82
2144,431,D24HourMean,QuarterlyMean,Mean,7.36
2146,447,D24HourMean,QuarterlyMean,Mean,6.16
2140,458,D24HourMean,QuarterlyMean,Mean,6.80
2134,418,D24HourMean,QuarterlyMean,Mean,6.59
2136,430,D24HourMean,QuarterlyMean,Mean,5.80
2130,422,D24HourMean,QuarterlyMean,Mean,6.62
2152,415,D24HourMean,QuarterlyMean,Mean,6.53
2148,406,D24HourMean,QuarterlyMean,Mean,6.14
2141,437,D24HourMean,QuarterlyMean,Mean,7.55
2137,424,D24HourMean,QuarterlyMean,Mean,6.27
2130,424,D24HourMean,QuarterlyMean,Mean,7.13
2155,417,D24HourMean,QuarterlyMean,Mean,5.95
2138,440,D24HourMean,QuarterlyMean,Mean,6.80
2141,450,D24HourMean,QuarterlyMean,Mean,6.05
2151,407,D24HourMean,QuarterlyMean,Mean,6.98
2135,461,D24HourMean,QuarterlyMean,Mean,6.68
2149,397,D24HourMean,QuarterlyMean,Mean,8.98
2136,425,D24HourMean,QuarterlyMean,Mean,6.14
2150,399,D24HourMean,QuarterlyMean,Mean,6.71
2138,439,D24HourMean,QuarterlyMean,Mean,6.82
2145,400,D24HourMean,QuarterlyMean,Mean,6.43
2136,439,D24HourMean,QuarterlyMean,Mean,6.18
2138,420,D24HourMean,QuarterlyMean,Mean,6.12
2150,420,D24HourMean,QuarterlyMean,Mean,5.46
2145,429,D24HourMean,QuarterlyMean,Mean,8.32
2155,414,D24HourMean,QuarterlyMean,Mean,6.71
2136,423,D24HourMean,QuarterlyMean,Mean,5.89
2131,423,D24HourMean,QuarterlyMean,Mean,6.94
2131,464,D24HourMean,QuarterlyMean,Mean,6.76
2134,423,D24HourMean,QuarterlyMean,Mean,6.78
2153,406,D24HourMean,QuarterlyMean,Mean,6.71
2143,454,D24HourMean,QuarterlyMean,Mean,7.33
2158,406,D24HourMean,QuarterlyMean,Mean,7.24
2149,406,D24HourMean,QuarterlyMean,Mean,6.32
2134,441,D24HourMean,QuarterlyMean,Mean,6.50
2139,434,D24HourMean,QuarterlyMean,Mean,7.10
2147,421,D24HourMean,QuarterlyMean,Mean,8.22
2137,438,D24HourMean,QuarterlyMean,Mean,6.23
2154,416,D24HourMean,QuarterlyMean,Mean,6.11
2141,454,D24HourMean,QuarterlyMean,Mean,7.33
