Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2142,420,2010,17816.62,ALL,ALL,ALL,0TO99
2142,456,2010,12725.72,ALL,ALL,ALL,0TO99
2158,413,2010,13352.61,ALL,ALL,ALL,0TO99
2151,417,2010,13287.55,ALL,ALL,ALL,0TO99
2149,414,2010,8669.26,ALL,ALL,ALL,0TO99
2143,425,2010,15314.75,ALL,ALL,ALL,0TO99
2153,395,2010,9841.35,ALL,ALL,ALL,0TO99
2133,423,2010,14482.06,ALL,ALL,ALL,0TO99
2149,405,2010,11331.88,ALL,ALL,ALL,0TO99
2141,418,2010,35785.75,ALL,ALL,ALL,0TO99
2135,423,2010,24068.13,ALL,ALL,ALL,0TO99
2149,422,2010,2563.59,ALL,ALL,ALL,0TO99
2140,442,2010,3389.84,ALL,ALL,ALL,0TO99
2147,448,2010,1737.06,ALL,ALL,ALL,0TO99
2153,404,2010,43371.71,ALL,ALL,ALL,0TO99
2149,403,2010,20023.58,ALL,ALL,ALL,0TO99
2147,406,2010,10496.14,ALL,ALL,ALL,0TO99
2148,422,2010,0.00,ALL,ALL,ALL,0TO99
2136,462,2010,5589.76,ALL,ALL,ALL,0TO99
2138,460,2010,2250.01,ALL,ALL,ALL,0TO99
2146,417,2010,25872.67,ALL,ALL,ALL,0TO99
2152,389,2010,10974.71,ALL,ALL,ALL,0TO99
2158,404,2010,11595.38,ALL,ALL,ALL,0TO99
2149,417,2010,10025.65,ALL,ALL,ALL,0TO99
2141,423,2010,21192.51,ALL,ALL,ALL,0TO99
2141,432,2010,16.41,ALL,ALL,ALL,0TO99
2135,446,2010,10433.91,ALL,ALL,ALL,0TO99
2139,451,2010,47.84,ALL,ALL,ALL,0TO99
2135,449,2010,93.35,ALL,ALL,ALL,0TO99
2144,431,2010,3065.88,ALL,ALL,ALL,0TO99
2146,447,2010,0.00,ALL,ALL,ALL,0TO99
2140,458,2010,2162.63,ALL,ALL,ALL,0TO99
2134,418,2010,14908.81,ALL,ALL,ALL,0TO99
2136,430,2010,18266.62,ALL,ALL,ALL,0TO99
2130,422,2010,22779.08,ALL,ALL,ALL,0TO99
2152,415,2010,12118.95,ALL,ALL,ALL,0TO99
2148,406,2010,7023.59,ALL,ALL,ALL,0TO99
2141,437,2010,4694.37,ALL,ALL,ALL,0TO99
2137,424,2010,20911.40,ALL,ALL,ALL,0TO99
2130,424,2010,20390.41,ALL,ALL,ALL,0TO99
2155,417,2010,22578.28,ALL,ALL,ALL,0TO99
2138,440,2010,5794.24,ALL,ALL,ALL,0TO99
2141,450,2010,5280.96,ALL,ALL,ALL,0TO99
2151,407,2010,17407.03,ALL,ALL,ALL,0TO99
2135,461,2010,6397.63,ALL,ALL,ALL,0TO99
2149,397,2010,31335.79,ALL,ALL,ALL,0TO99
2136,425,2010,21271.52,ALL,ALL,ALL,0TO99
2150,399,2010,23901.95,ALL,ALL,ALL,0TO99
2138,439,2010,1214.93,ALL,ALL,ALL,0TO99
2145,400,2010,9066.95,ALL,ALL,ALL,0TO99
