Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2944,590,D24HourMean,QuarterlyMean,Mean,9.74
2966,622,D24HourMean,QuarterlyMean,Mean,7.94
2825,593,D24HourMean,QuarterlyMean,Mean,15.59
2834,606,D24HourMean,QuarterlyMean,Mean,9.91
2948,594,D24HourMean,QuarterlyMean,Mean,8.81
2938,596,D24HourMean,QuarterlyMean,Mean,8.24
2912,576,D24HourMean,QuarterlyMean,Mean,12.58
2935,579,D24HourMean,QuarterlyMean,Mean,10.68
2964,608,D24HourMean,QuarterlyMean,Mean,7.66
2944,593,D24HourMean,QuarterlyMean,Mean,9.08
2951,597,D24HourMean,QuarterlyMean,Mean,7.87
2921,580,D24HourMean,QuarterlyMean,Mean,11.91
2930,589,D24HourMean,QuarterlyMean,Mean,10.74
2828,579,D24HourMean,QuarterlyMean,Mean,14.71
2829,596,D24HourMean,QuarterlyMean,Mean,13.15
2815,609,D24HourMean,QuarterlyMean,Mean,8.55
2964,614,D24HourMean,QuarterlyMean,Mean,8.20
2975,616,D24HourMean,QuarterlyMean,Mean,8.58
2914,580,D24HourMean,QuarterlyMean,Mean,13.13
2842,588,D24HourMean,QuarterlyMean,Mean,13.49
2807,614,D24HourMean,QuarterlyMean,Mean,9.22
2971,627,D24HourMean,QuarterlyMean,Mean,7.76
2969,610,D24HourMean,QuarterlyMean,Mean,8.77
2932,579,D24HourMean,QuarterlyMean,Mean,12.68
2834,589,D24HourMean,QuarterlyMean,Mean,13.55
2830,601,D24HourMean,QuarterlyMean,Mean,11.06
2818,600,D24HourMean,QuarterlyMean,Mean,12.33
2937,590,D24HourMean,QuarterlyMean,Mean,11.24
2826,587,D24HourMean,QuarterlyMean,Mean,14.05
2931,578,D24HourMean,QuarterlyMean,Mean,11.64
2809,613,D24HourMean,QuarterlyMean,Mean,8.27
2967,618,D24HourMean,QuarterlyMean,Mean,7.59
2832,603,D24HourMean,QuarterlyMean,Mean,11.79
2938,589,D24HourMean,QuarterlyMean,Mean,9.96
2958,609,D24HourMean,QuarterlyMean,Mean,8.30
2899,577,D24HourMean,QuarterlyMean,Mean,11.84
2959,609,D24HourMean,QuarterlyMean,Mean,8.30
2931,584,D24HourMean,QuarterlyMean,Mean,10.95
2989,612,D24HourMean,QuarterlyMean,Mean,7.70
2956,591,D24HourMean,QuarterlyMean,Mean,8.84
2972,605,D24HourMean,QuarterlyMean,Mean,8.06
2837,582,D24HourMean,QuarterlyMean,Mean,16.26
2970,612,D24HourMean,QuarterlyMean,Mean,8.53
2939,582,D24HourMean,QuarterlyMean,Mean,10.79
2937,583,D24HourMean,QuarterlyMean,Mean,10.49
2950,607,D24HourMean,QuarterlyMean,Mean,8.32
2926,588,D24HourMean,QuarterlyMean,Mean,10.45
2928,587,D24HourMean,QuarterlyMean,Mean,9.50
2986,610,D24HourMean,QuarterlyMean,Mean,8.48
2814,599,D24HourMean,QuarterlyMean,Mean,12.18
2963,612,D24HourMean,QuarterlyMean,Mean,8.56
2949,601,D24HourMean,QuarterlyMean,Mean,9.62
2904,577,D24HourMean,QuarterlyMean,Mean,11.45
2982,612,D24HourMean,QuarterlyMean,Mean,7.99
2829,606,D24HourMean,QuarterlyMean,Mean,10.30
2919,587,D24HourMean,QuarterlyMean,Mean,11.18
