Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2944,590,2010,177.74,ALL,ALL,ALL,0TO99
2966,622,2010,7408.97,ALL,ALL,ALL,0TO99
2825,593,2010,9002.08,ALL,ALL,ALL,0TO99
2834,606,2010,18503.88,ALL,ALL,ALL,0TO99
2948,594,2010,235.46,ALL,ALL,ALL,0TO99
2938,596,2010,1260.98,ALL,ALL,ALL,0TO99
2912,576,2010,3778.76,ALL,ALL,ALL,0TO99
2935,579,2010,447.76,ALL,ALL,ALL,0TO99
2964,608,2010,575.17,ALL,ALL,ALL,0TO99
2944,593,2010,235.49,ALL,ALL,ALL,0TO99
2951,597,2010,235.39,ALL,ALL,ALL,0TO99
2921,580,2010,3584.56,ALL,ALL,ALL,0TO99
2930,589,2010,5141.58,ALL,ALL,ALL,0TO99
2828,579,2010,15198.86,ALL,ALL,ALL,0TO99
2829,596,2010,4184.26,ALL,ALL,ALL,0TO99
2815,609,2010,2717.66,ALL,ALL,ALL,0TO99
2964,614,2010,5978.15,ALL,ALL,ALL,0TO99
2975,616,2010,1503.96,ALL,ALL,ALL,0TO99
2914,580,2010,5121.78,ALL,ALL,ALL,0TO99
2842,588,2010,1164.82,ALL,ALL,ALL,0TO99
2807,614,2010,20314.24,ALL,ALL,ALL,0TO99
2971,627,2010,2885.60,ALL,ALL,ALL,0TO99
2969,610,2010,1919.12,ALL,ALL,ALL,0TO99
2932,579,2010,447.76,ALL,ALL,ALL,0TO99
2834,589,2010,2159.77,ALL,ALL,ALL,0TO99
2830,601,2010,1541.98,ALL,ALL,ALL,0TO99
2818,600,2010,2300.44,ALL,ALL,ALL,0TO99
2937,590,2010,523.54,ALL,ALL,ALL,0TO99
2826,587,2010,7614.10,ALL,ALL,ALL,0TO99
2931,578,2010,447.80,ALL,ALL,ALL,0TO99
2809,613,2010,3601.56,ALL,ALL,ALL,0TO99
2967,618,2010,3407.85,ALL,ALL,ALL,0TO99
2832,603,2010,1471.03,ALL,ALL,ALL,0TO99
2938,589,2010,475.71,ALL,ALL,ALL,0TO99
2958,609,2010,1473.61,ALL,ALL,ALL,0TO99
2899,577,2010,1105.64,ALL,ALL,ALL,0TO99
2959,609,2010,2241.18,ALL,ALL,ALL,0TO99
2931,584,2010,442.66,ALL,ALL,ALL,0TO99
2989,612,2010,1918.52,ALL,ALL,ALL,0TO99
2956,591,2010,105.59,ALL,ALL,ALL,0TO99
2972,605,2010,6713.63,ALL,ALL,ALL,0TO99
2837,582,2010,536.89,ALL,ALL,ALL,0TO99
2970,612,2010,1918.52,ALL,ALL,ALL,0TO99
2939,582,2010,139.07,ALL,ALL,ALL,0TO99
2937,583,2010,221.01,ALL,ALL,ALL,0TO99
2950,607,2010,7182.48,ALL,ALL,ALL,0TO99
2926,588,2010,763.43,ALL,ALL,ALL,0TO99
2928,587,2010,661.03,ALL,ALL,ALL,0TO99
2986,610,2010,1919.12,ALL,ALL,ALL,0TO99
2814,599,2010,4159.36,ALL,ALL,ALL,0TO99
2963,612,2010,7362.81,ALL,ALL,ALL,0TO99
2949,601,2010,353.69,ALL,ALL,ALL,0TO99
2904,577,2010,16874.51,ALL,ALL,ALL,0TO99
2982,612,2010,1918.52,ALL,ALL,ALL,0TO99
2829,606,2010,95.22,ALL,ALL,ALL,0TO99
