Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1980,315,D24HourMean,QuarterlyMean,Mean,5.98
1984,279,D24HourMean,QuarterlyMean,Mean,8.11
1996,310,D24HourMean,QuarterlyMean,Mean,4.10
1995,299,D24HourMean,QuarterlyMean,Mean,7.24
1974,279,D24HourMean,QuarterlyMean,Mean,7.17
1956,321,D24HourMean,QuarterlyMean,Mean,6.87
1980,303,D24HourMean,QuarterlyMean,Mean,5.88
1977,364,D24HourMean,QuarterlyMean,Mean,5.09
1970,337,D24HourMean,QuarterlyMean,Mean,4.67
1975,328,D24HourMean,QuarterlyMean,Mean,5.23
1985,360,D24HourMean,QuarterlyMean,Mean,5.00
1993,340,D24HourMean,QuarterlyMean,Mean,4.63
1992,350,D24HourMean,QuarterlyMean,Mean,6.29
1995,361,D24HourMean,QuarterlyMean,Mean,5.72
1981,305,D24HourMean,QuarterlyMean,Mean,5.79
1985,370,D24HourMean,QuarterlyMean,Mean,5.91
1989,366,D24HourMean,QuarterlyMean,Mean,6.13
1954,367,D24HourMean,QuarterlyMean,Mean,6.27
1973,298,D24HourMean,QuarterlyMean,Mean,5.75
1978,379,D24HourMean,QuarterlyMean,Mean,6.87
1945,356,D24HourMean,QuarterlyMean,Mean,5.97
1964,283,D24HourMean,QuarterlyMean,Mean,14.37
1932,365,D24HourMean,QuarterlyMean,Mean,8.34
1988,348,D24HourMean,QuarterlyMean,Mean,5.50
2034,379,D24HourMean,QuarterlyMean,Mean,7.28
1931,360,D24HourMean,QuarterlyMean,Mean,12.62
1957,363,D24HourMean,QuarterlyMean,Mean,5.61
1956,301,D24HourMean,QuarterlyMean,Mean,11.78
1986,337,D24HourMean,QuarterlyMean,Mean,5.17
1935,383,D24HourMean,QuarterlyMean,Mean,7.01
1958,379,D24HourMean,QuarterlyMean,Mean,8.89
1959,362,D24HourMean,QuarterlyMean,Mean,5.72
1991,336,D24HourMean,QuarterlyMean,Mean,4.90
1958,341,D24HourMean,QuarterlyMean,Mean,6.05
1976,278,D24HourMean,QuarterlyMean,Mean,6.99
1991,337,D24HourMean,QuarterlyMean,Mean,4.85
1952,351,D24HourMean,QuarterlyMean,Mean,6.91
1993,308,D24HourMean,QuarterlyMean,Mean,7.43
1985,362,D24HourMean,QuarterlyMean,Mean,4.93
1960,293,D24HourMean,QuarterlyMean,Mean,7.13
1996,291,D24HourMean,QuarterlyMean,Mean,7.96
1989,336,D24HourMean,QuarterlyMean,Mean,5.10
1981,380,D24HourMean,QuarterlyMean,Mean,7.57
1985,297,D24HourMean,QuarterlyMean,Mean,6.41
1945,378,D24HourMean,QuarterlyMean,Mean,5.84
1947,339,D24HourMean,QuarterlyMean,Mean,9.74
1989,292,D24HourMean,QuarterlyMean,Mean,7.80
2008,353,D24HourMean,QuarterlyMean,Mean,6.73
1997,367,D24HourMean,QuarterlyMean,Mean,8.08
1946,331,D24HourMean,QuarterlyMean,Mean,12.29
1986,313,D24HourMean,QuarterlyMean,Mean,3.50
1988,317,D24HourMean,QuarterlyMean,Mean,6.21
2000,297,D24HourMean,QuarterlyMean,Mean,4.68
1974,293,D24HourMean,QuarterlyMean,Mean,7.12
1976,374,D24HourMean,QuarterlyMean,Mean,5.34
1930,389,D24HourMean,QuarterlyMean,Mean,6.82
1986,283,D24HourMean,QuarterlyMean,Mean,8.27
1949,362,D24HourMean,QuarterlyMean,Mean,5.05
1979,317,D24HourMean,QuarterlyMean,Mean,6.20
1989,380,D24HourMean,QuarterlyMean,Mean,7.17
2004,365,D24HourMean,QuarterlyMean,Mean,6.29
1978,328,D24HourMean,QuarterlyMean,Mean,5.08
1994,370,D24HourMean,QuarterlyMean,Mean,7.03
1970,351,D24HourMean,QuarterlyMean,Mean,4.54
1985,335,D24HourMean,QuarterlyMean,Mean,5.86
1952,295,D24HourMean,QuarterlyMean,Mean,15.41
1980,383,D24HourMean,QuarterlyMean,Mean,7.45
1992,310,D24HourMean,QuarterlyMean,Mean,3.86
1989,344,D24HourMean,QuarterlyMean,Mean,4.83
1979,376,D24HourMean,QuarterlyMean,Mean,6.07
1986,372,D24HourMean,QuarterlyMean,Mean,5.86
1988,320,D24HourMean,QuarterlyMean,Mean,6.27
1990,362,D24HourMean,QuarterlyMean,Mean,6.68
1994,287,D24HourMean,QuarterlyMean,Mean,7.29
1946,382,D24HourMean,QuarterlyMean,Mean,6.23
1968,329,D24HourMean,QuarterlyMean,Mean,4.98
1997,357,D24HourMean,QuarterlyMean,Mean,6.73
1932,375,D24HourMean,QuarterlyMean,Mean,6.68
1963,327,D24HourMean,QuarterlyMean,Mean,4.54
2004,345,D24HourMean,QuarterlyMean,Mean,5.84
1979,316,D24HourMean,QuarterlyMean,Mean,6.04
1951,315,D24HourMean,QuarterlyMean,Mean,9.67
1974,347,D24HourMean,QuarterlyMean,Mean,4.90
1986,304,D24HourMean,QuarterlyMean,Mean,6.90
1984,293,D24HourMean,QuarterlyMean,Mean,6.68
1995,286,D24HourMean,QuarterlyMean,Mean,7.66
1930,369,D24HourMean,QuarterlyMean,Mean,7.47
1957,282,D24HourMean,QuarterlyMean,Mean,14.88
1971,345,D24HourMean,QuarterlyMean,Mean,4.78
1939,354,D24HourMean,QuarterlyMean,Mean,6.94
1971,357,D24HourMean,QuarterlyMean,Mean,4.39
1978,337,D24HourMean,QuarterlyMean,Mean,5.48
2007,342,D24HourMean,QuarterlyMean,Mean,7.06
1962,349,D24HourMean,QuarterlyMean,Mean,4.78
1979,311,D24HourMean,QuarterlyMean,Mean,5.70
1970,363,D24HourMean,QuarterlyMean,Mean,4.80
1954,354,D24HourMean,QuarterlyMean,Mean,6.09
2007,346,D24HourMean,QuarterlyMean,Mean,6.83
1961,335,D24HourMean,QuarterlyMean,Mean,6.43
1999,304,D24HourMean,QuarterlyMean,Mean,4.37
1976,280,D24HourMean,QuarterlyMean,Mean,6.68
1989,362,D24HourMean,QuarterlyMean,Mean,6.16
1964,379,D24HourMean,QuarterlyMean,Mean,6.91
1991,288,D24HourMean,QuarterlyMean,Mean,7.05
1984,317,D24HourMean,QuarterlyMean,Mean,6.34
1968,381,D24HourMean,QuarterlyMean,Mean,7.42
1993,299,D24HourMean,QuarterlyMean,Mean,7.66
2000,335,D24HourMean,QuarterlyMean,Mean,6.48
1973,359,D24HourMean,QuarterlyMean,Mean,4.38
2007,375,D24HourMean,QuarterlyMean,Mean,7.85
1946,334,D24HourMean,QuarterlyMean,Mean,11.66
1991,273,D24HourMean,QuarterlyMean,Mean,8.41
2005,378,D24HourMean,QuarterlyMean,Mean,7.89
2004,371,D24HourMean,QuarterlyMean,Mean,6.89
2008,364,D24HourMean,QuarterlyMean,Mean,6.00
1928,367,D24HourMean,QuarterlyMean,Mean,9.67
1954,296,D24HourMean,QuarterlyMean,Mean,13.48
1966,295,D24HourMean,QuarterlyMean,Mean,6.07
1995,366,D24HourMean,QuarterlyMean,Mean,7.73
1930,376,D24HourMean,QuarterlyMean,Mean,6.78
1948,341,D24HourMean,QuarterlyMean,Mean,8.30
1961,302,D24HourMean,QuarterlyMean,Mean,6.05
1957,350,D24HourMean,QuarterlyMean,Mean,5.89
1996,340,D24HourMean,QuarterlyMean,Mean,5.89
1963,371,D24HourMean,QuarterlyMean,Mean,8.13
1999,338,D24HourMean,QuarterlyMean,Mean,6.52
1962,336,D24HourMean,QuarterlyMean,Mean,6.18
1965,294,D24HourMean,QuarterlyMean,Mean,6.53
1970,361,D24HourMean,QuarterlyMean,Mean,4.69
1961,339,D24HourMean,QuarterlyMean,Mean,5.89
2000,308,D24HourMean,QuarterlyMean,Mean,7.17
2004,340,D24HourMean,QuarterlyMean,Mean,6.66
1954,353,D24HourMean,QuarterlyMean,Mean,6.11
1950,343,D24HourMean,QuarterlyMean,Mean,7.36
1987,380,D24HourMean,QuarterlyMean,Mean,7.08
1997,283,D24HourMean,QuarterlyMean,Mean,7.87
1965,339,D24HourMean,QuarterlyMean,Mean,5.70
1973,314,D24HourMean,QuarterlyMean,Mean,5.12
1967,277,D24HourMean,QuarterlyMean,Mean,10.22
2009,354,D24HourMean,QuarterlyMean,Mean,6.83
1928,379,D24HourMean,QuarterlyMean,Mean,7.66
1989,345,D24HourMean,QuarterlyMean,Mean,4.88
