Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1980,315,2010,63.94,ALL,ALL,ALL,0TO99
1984,279,2010,42.83,ALL,ALL,ALL,0TO99
1996,310,2010,33.73,ALL,ALL,ALL,0TO99
1995,299,2010,19.09,ALL,ALL,ALL,0TO99
1974,279,2010,32.72,ALL,ALL,ALL,0TO99
1956,321,2010,23.74,ALL,ALL,ALL,0TO99
1980,303,2010,32.88,ALL,ALL,ALL,0TO99
1977,364,2010,122.25,ALL,ALL,ALL,0TO99
1970,337,2010,280.01,ALL,ALL,ALL,0TO99
1975,328,2010,81.21,ALL,ALL,ALL,0TO99
1985,360,2010,203.18,ALL,ALL,ALL,0TO99
1993,340,2010,77.86,ALL,ALL,ALL,0TO99
1992,350,2010,113.72,ALL,ALL,ALL,0TO99
1995,361,2010,42.19,ALL,ALL,ALL,0TO99
1981,305,2010,23.54,ALL,ALL,ALL,0TO99
1985,370,2010,260.93,ALL,ALL,ALL,0TO99
1989,366,2010,260.29,ALL,ALL,ALL,0TO99
1954,367,2010,64.49,ALL,ALL,ALL,0TO99
1973,298,2010,32.74,ALL,ALL,ALL,0TO99
1978,379,2010,250.55,ALL,ALL,ALL,0TO99
1945,356,2010,56.70,ALL,ALL,ALL,0TO99
1964,283,2010,27.99,ALL,ALL,ALL,0TO99
1932,365,2010,40.66,ALL,ALL,ALL,0TO99
1988,348,2010,100.48,ALL,ALL,ALL,0TO99
2034,379,2010,302.62,ALL,ALL,ALL,0TO99
1931,360,2010,37.43,ALL,ALL,ALL,0TO99
1957,363,2010,39.55,ALL,ALL,ALL,0TO99
1956,301,2010,28.44,ALL,ALL,ALL,0TO99
1986,337,2010,67.75,ALL,ALL,ALL,0TO99
1935,383,2010,61.28,ALL,ALL,ALL,0TO99
1958,379,2010,1871.22,ALL,ALL,ALL,0TO99
1959,362,2010,39.52,ALL,ALL,ALL,0TO99
1991,336,2010,99.27,ALL,ALL,ALL,0TO99
1958,341,2010,153.05,ALL,ALL,ALL,0TO99
1976,278,2010,42.80,ALL,ALL,ALL,0TO99
1991,337,2010,97.38,ALL,ALL,ALL,0TO99
1952,351,2010,109.24,ALL,ALL,ALL,0TO99
1993,308,2010,33.68,ALL,ALL,ALL,0TO99
