Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1908,707,D24HourMean,QuarterlyMean,Mean,38.29
1809,706,D24HourMean,QuarterlyMean,Mean,27.20
1875,752,D24HourMean,QuarterlyMean,Mean,41.76
1920,786,D24HourMean,QuarterlyMean,Mean,55.94
1927,712,D24HourMean,QuarterlyMean,Mean,53.67
1915,786,D24HourMean,QuarterlyMean,Mean,56.49
1853,716,D24HourMean,QuarterlyMean,Mean,31.27
1854,712,D24HourMean,QuarterlyMean,Mean,30.26
1883,705,D24HourMean,QuarterlyMean,Mean,35.10
1839,691,D24HourMean,QuarterlyMean,Mean,26.19
1948,761,D24HourMean,QuarterlyMean,Mean,52.34
1901,712,D24HourMean,QuarterlyMean,Mean,40.48
1946,774,D24HourMean,QuarterlyMean,Mean,54.33
1947,735,D24HourMean,QuarterlyMean,Mean,85.09
1885,755,D24HourMean,QuarterlyMean,Mean,41.29
1936,778,D24HourMean,QuarterlyMean,Mean,63.81
1918,770,D24HourMean,QuarterlyMean,Mean,64.56
1886,731,D24HourMean,QuarterlyMean,Mean,38.06
1904,704,D24HourMean,QuarterlyMean,Mean,38.18
1944,726,D24HourMean,QuarterlyMean,Mean,78.02
1880,719,D24HourMean,QuarterlyMean,Mean,38.32
1892,771,D24HourMean,QuarterlyMean,Mean,52.92
1830,698,D24HourMean,QuarterlyMean,Mean,27.86
1938,712,D24HourMean,QuarterlyMean,Mean,59.82
1917,753,D24HourMean,QuarterlyMean,Mean,49.52
1876,715,D24HourMean,QuarterlyMean,Mean,34.97
1922,765,D24HourMean,QuarterlyMean,Mean,62.31
1902,706,D24HourMean,QuarterlyMean,Mean,37.05
1878,764,D24HourMean,QuarterlyMean,Mean,46.30
1890,720,D24HourMean,QuarterlyMean,Mean,41.57
1920,747,D24HourMean,QuarterlyMean,Mean,60.90
1908,711,D24HourMean,QuarterlyMean,Mean,41.54
1844,736,D24HourMean,QuarterlyMean,Mean,45.08
1878,714,D24HourMean,QuarterlyMean,Mean,35.89
1857,715,D24HourMean,QuarterlyMean,Mean,30.05
1877,768,D24HourMean,QuarterlyMean,Mean,51.88
1936,762,D24HourMean,QuarterlyMean,Mean,57.11
1848,731,D24HourMean,QuarterlyMean,Mean,40.88
1904,701,D24HourMean,QuarterlyMean,Mean,38.34
1883,714,D24HourMean,QuarterlyMean,Mean,39.43
1927,782,D24HourMean,QuarterlyMean,Mean,60.31
1928,721,D24HourMean,QuarterlyMean,Mean,67.56
