Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1908,707,2010,92.93,ALL,ALL,ALL,0TO99
1809,706,2010,3036.80,ALL,ALL,ALL,0TO99
1875,752,2010,76.41,ALL,ALL,ALL,0TO99
1920,786,2010,5.04,ALL,ALL,ALL,0TO99
1927,712,2010,16.06,ALL,ALL,ALL,0TO99
1915,786,2010,5.04,ALL,ALL,ALL,0TO99
1853,716,2010,187.81,ALL,ALL,ALL,0TO99
1854,712,2010,198.69,ALL,ALL,ALL,0TO99
1883,705,2010,6424.94,ALL,ALL,ALL,0TO99
1839,691,2010,10059.27,ALL,ALL,ALL,0TO99
1948,761,2010,5.13,ALL,ALL,ALL,0TO99
1901,712,2010,92.71,ALL,ALL,ALL,0TO99
1946,774,2010,5.08,ALL,ALL,ALL,0TO99
1947,735,2010,15.87,ALL,ALL,ALL,0TO99
1885,755,2010,112.75,ALL,ALL,ALL,0TO99
1936,778,2010,5.07,ALL,ALL,ALL,0TO99
1918,770,2010,5.10,ALL,ALL,ALL,0TO99
1886,731,2010,189.13,ALL,ALL,ALL,0TO99
1904,704,2010,1852.76,ALL,ALL,ALL,0TO99
1944,726,2010,15.95,ALL,ALL,ALL,0TO99
1880,719,2010,190.31,ALL,ALL,ALL,0TO99
1892,771,2010,111.58,ALL,ALL,ALL,0TO99
1830,698,2010,18535.14,ALL,ALL,ALL,0TO99
1938,712,2010,16.06,ALL,ALL,ALL,0TO99
1917,753,2010,5.15,ALL,ALL,ALL,0TO99
1876,715,2010,132.29,ALL,ALL,ALL,0TO99
1922,765,2010,5.11,ALL,ALL,ALL,0TO99
1902,706,2010,1833.82,ALL,ALL,ALL,0TO99
1878,764,2010,112.10,ALL,ALL,ALL,0TO99
1890,720,2010,190.22,ALL,ALL,ALL,0TO99
1920,747,2010,5.17,ALL,ALL,ALL,0TO99
1908,711,2010,92.76,ALL,ALL,ALL,0TO99
1844,736,2010,185.86,ALL,ALL,ALL,0TO99
1878,714,2010,94.43,ALL,ALL,ALL,0TO99
1857,715,2010,187.90,ALL,ALL,ALL,0TO99
1877,768,2010,95.81,ALL,ALL,ALL,0TO99
1936,762,2010,5.12,ALL,ALL,ALL,0TO99
1848,731,2010,186.37,ALL,ALL,ALL,0TO99
1904,701,2010,1855.23,ALL,ALL,ALL,0TO99
1883,714,2010,93.12,ALL,ALL,ALL,0TO99
1927,782,2010,5.05,ALL,ALL,ALL,0TO99
1928,721,2010,15.99,ALL,ALL,ALL,0TO99
1826,697,2010,1751.22,ALL,ALL,ALL,0TO99
1887,704,2010,7002.70,ALL,ALL,ALL,0TO99
1834,706,2010,823.31,ALL,ALL,ALL,0TO99
1893,695,2010,14263.63,ALL,ALL,ALL,0TO99
1842,710,2010,1309.45,ALL,ALL,ALL,0TO99
1879,744,2010,113.50,ALL,ALL,ALL,0TO99
1910,728,2010,91.97,ALL,ALL,ALL,0TO99
1912,773,2010,5.09,ALL,ALL,ALL,0TO99
1927,710,2010,16.08,ALL,ALL,ALL,0TO99
1942,714,2010,142.16,ALL,ALL,ALL,0TO99
1854,728,2010,186.67,ALL,ALL,ALL,0TO99
1867,741,2010,65.38,ALL,ALL,ALL,0TO99
1944,720,2010,16.00,ALL,ALL,ALL,0TO99
1919,708,2010,92.89,ALL,ALL,ALL,0TO99
1877,748,2010,106.60,ALL,ALL,ALL,0TO99
1834,687,2010,7607.40,ALL,ALL,ALL,0TO99
1878,712,2010,94.52,ALL,ALL,ALL,0TO99
1916,705,2010,93.01,ALL,ALL,ALL,0TO99
1907,755,2010,112.75,ALL,ALL,ALL,0TO99
1895,714,2010,94.43,ALL,ALL,ALL,0TO99
1899,752,2010,112.96,ALL,ALL,ALL,0TO99
1916,747,2010,5.17,ALL,ALL,ALL,0TO99
1847,734,2010,177.74,ALL,ALL,ALL,0TO99
1927,743,2010,5.18,ALL,ALL,ALL,0TO99
1932,780,2010,5.06,ALL,ALL,ALL,0TO99
1892,701,2010,4257.98,ALL,ALL,ALL,0TO99
1919,710,2010,92.80,ALL,ALL,ALL,0TO99
1886,735,2010,188.72,ALL,ALL,ALL,0TO99
1894,746,2010,113.36,ALL,ALL,ALL,0TO99
1869,707,2010,3896.00,ALL,ALL,ALL,0TO99
1945,774,2010,5.08,ALL,ALL,ALL,0TO99
1921,794,2010,5.21,ALL,ALL,ALL,0TO99
1895,751,2010,113.02,ALL,ALL,ALL,0TO99
1914,756,2010,5.14,ALL,ALL,ALL,0TO99
1848,700,2010,9034.12,ALL,ALL,ALL,0TO99
1923,706,2010,16.11,ALL,ALL,ALL,0TO99
1813,704,2010,8276.07,ALL,ALL,ALL,0TO99
1831,699,2010,9393.95,ALL,ALL,ALL,0TO99
1902,695,2010,2462.32,ALL,ALL,ALL,0TO99
1919,791,2010,5.02,ALL,ALL,ALL,0TO99
1839,698,2010,4547.21,ALL,ALL,ALL,0TO99
1831,684,2010,7616.36,ALL,ALL,ALL,0TO99
1858,722,2010,187.25,ALL,ALL,ALL,0TO99
1870,707,2010,3878.66,ALL,ALL,ALL,0TO99
1921,778,2010,5.07,ALL,ALL,ALL,0TO99
1869,699,2010,10677.25,ALL,ALL,ALL,0TO99
1885,703,2010,6430.76,ALL,ALL,ALL,0TO99
1951,773,2010,5.09,ALL,ALL,ALL,0TO99
1882,746,2010,113.36,ALL,ALL,ALL,0TO99
1872,764,2010,112.10,ALL,ALL,ALL,0TO99
1905,741,2010,113.69,ALL,ALL,ALL,0TO99
1917,698,2010,1746.20,ALL,ALL,ALL,0TO99
1852,746,2010,187.54,ALL,ALL,ALL,0TO99
1952,753,2010,5.15,ALL,ALL,ALL,0TO99
1923,779,2010,5.07,ALL,ALL,ALL,0TO99
1890,703,2010,7016.61,ALL,ALL,ALL,0TO99
1940,787,2010,5.32,ALL,ALL,ALL,0TO99
1919,758,2010,5.14,ALL,ALL,ALL,0TO99
1925,766,2010,5.11,ALL,ALL,ALL,0TO99
1929,765,2010,5.11,ALL,ALL,ALL,0TO99
1919,725,2010,92.11,ALL,ALL,ALL,0TO99
1817,694,2010,1796.24,ALL,ALL,ALL,0TO99
1925,708,2010,15.09,ALL,ALL,ALL,0TO99
1935,726,2010,15.95,ALL,ALL,ALL,0TO99
1885,692,2010,21238.72,ALL,ALL,ALL,0TO99
1861,739,2010,61.86,ALL,ALL,ALL,0TO99
1938,746,2010,5.17,ALL,ALL,ALL,0TO99
1919,694,2010,1132.54,ALL,ALL,ALL,0TO99
1923,753,2010,5.15,ALL,ALL,ALL,0TO99
1870,746,2010,113.36,ALL,ALL,ALL,0TO99
1927,729,2010,15.92,ALL,ALL,ALL,0TO99
1887,760,2010,112.39,ALL,ALL,ALL,0TO99
1915,782,2010,5.05,ALL,ALL,ALL,0TO99
1941,753,2010,5.15,ALL,ALL,ALL,0TO99
1835,709,2010,0.00,ALL,ALL,ALL,0TO99
1897,775,2010,111.28,ALL,ALL,ALL,0TO99
1896,761,2010,112.32,ALL,ALL,ALL,0TO99
1883,754,2010,112.82,ALL,ALL,ALL,0TO99
1895,729,2010,189.34,ALL,ALL,ALL,0TO99
1910,712,2010,92.71,ALL,ALL,ALL,0TO99
1856,748,2010,187.31,ALL,ALL,ALL,0TO99
1849,700,2010,8885.32,ALL,ALL,ALL,0TO99
1861,755,2010,111.79,ALL,ALL,ALL,0TO99
1878,721,2010,190.12,ALL,ALL,ALL,0TO99
1812,707,2010,1435.85,ALL,ALL,ALL,0TO99
