Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1851,618,2010,7644.82,ALL,ALL,ALL,0TO99
1853,683,2010,10429.97,ALL,ALL,ALL,0TO99
1856,679,2010,7555.93,ALL,ALL,ALL,0TO99
1863,667,2010,4554.46,ALL,ALL,ALL,0TO99
1864,685,2010,10574.01,ALL,ALL,ALL,0TO99
1901,690,2010,7776.52,ALL,ALL,ALL,0TO99
1846,644,2010,127329.94,ALL,ALL,ALL,0TO99
1882,624,2010,33849.27,ALL,ALL,ALL,0TO99
1866,675,2010,13162.95,ALL,ALL,ALL,0TO99
1877,609,2010,75520.59,ALL,ALL,ALL,0TO99
1908,680,2010,11496.77,ALL,ALL,ALL,0TO99
1927,690,2010,3888.87,ALL,ALL,ALL,0TO99
1880,677,2010,41658.86,ALL,ALL,ALL,0TO99
1883,647,2010,8632.77,ALL,ALL,ALL,0TO99
1890,625,2010,28326.08,ALL,ALL,ALL,0TO99
1916,688,2010,3051.28,ALL,ALL,ALL,0TO99
1856,654,2010,9187.19,ALL,ALL,ALL,0TO99
1832,634,2010,13989.82,ALL,ALL,ALL,0TO99
1856,661,2010,3527.36,ALL,ALL,ALL,0TO99
1902,637,2010,5527.50,ALL,ALL,ALL,0TO99
1934,665,2010,31190.54,ALL,ALL,ALL,0TO99
1873,676,2010,30111.26,ALL,ALL,ALL,0TO99
1900,634,2010,10087.00,ALL,ALL,ALL,0TO99
1906,656,2010,6175.45,ALL,ALL,ALL,0TO99
1907,693,2010,4969.94,ALL,ALL,ALL,0TO99
1860,694,2010,16553.98,ALL,ALL,ALL,0TO99
1893,631,2010,19956.95,ALL,ALL,ALL,0TO99
1941,690,2010,0.00,ALL,ALL,ALL,0TO99
1897,641,2010,10747.19,ALL,ALL,ALL,0TO99
1860,612,2010,39925.64,ALL,ALL,ALL,0TO99
1862,631,2010,18727.18,ALL,ALL,ALL,0TO99
1868,627,2010,12197.84,ALL,ALL,ALL,0TO99
1899,687,2010,10625.48,ALL,ALL,ALL,0TO99
1930,694,2010,3905.81,ALL,ALL,ALL,0TO99
1867,679,2010,15137.78,ALL,ALL,ALL,0TO99
1913,645,2010,7990.14,ALL,ALL,ALL,0TO99
1925,658,2010,7005.97,ALL,ALL,ALL,0TO99
1902,679,2010,21453.27,ALL,ALL,ALL,0TO99
1905,664,2010,6160.22,ALL,ALL,ALL,0TO99
1906,690,2010,7708.16,ALL,ALL,ALL,0TO99
1883,642,2010,7105.53,ALL,ALL,ALL,0TO99
1905,631,2010,4872.19,ALL,ALL,ALL,0TO99
1830,637,2010,12422.89,ALL,ALL,ALL,0TO99
1858,633,2010,31885.05,ALL,ALL,ALL,0TO99
1895,679,2010,30462.64,ALL,ALL,ALL,0TO99
1859,626,2010,10735.22,ALL,ALL,ALL,0TO99
1860,667,2010,6398.85,ALL,ALL,ALL,0TO99
1864,666,2010,4555.96,ALL,ALL,ALL,0TO99
1867,691,2010,12447.53,ALL,ALL,ALL,0TO99
1875,628,2010,87376.06,ALL,ALL,ALL,0TO99
1881,676,2010,36225.22,ALL,ALL,ALL,0TO99
1859,627,2010,12222.69,ALL,ALL,ALL,0TO99
1842,685,2010,12558.34,ALL,ALL,ALL,0TO99
1880,680,2010,26233.15,ALL,ALL,ALL,0TO99
1836,627,2010,61443.07,ALL,ALL,ALL,0TO99
1854,689,2010,19745.77,ALL,ALL,ALL,0TO99
1898,654,2010,13147.87,ALL,ALL,ALL,0TO99
1844,650,2010,1766.55,ALL,ALL,ALL,0TO99
1884,668,2010,16602.29,ALL,ALL,ALL,0TO99
1888,642,2010,12762.53,ALL,ALL,ALL,0TO99
1889,636,2010,25269.30,ALL,ALL,ALL,0TO99
1843,642,2010,30371.43,ALL,ALL,ALL,0TO99
1868,666,2010,5248.74,ALL,ALL,ALL,0TO99
1856,630,2010,26246.88,ALL,ALL,ALL,0TO99
1868,673,2010,14535.40,ALL,ALL,ALL,0TO99
1880,662,2010,8507.41,ALL,ALL,ALL,0TO99
1853,672,2010,9497.39,ALL,ALL,ALL,0TO99
1915,682,2010,3076.59,ALL,ALL,ALL,0TO99
1853,659,2010,3529.56,ALL,ALL,ALL,0TO99
1905,687,2010,21069.73,ALL,ALL,ALL,0TO99
1902,675,2010,23219.27,ALL,ALL,ALL,0TO99
1858,619,2010,36358.61,ALL,ALL,ALL,0TO99
1846,667,2010,7326.04,ALL,ALL,ALL,0TO99
1934,690,2010,4456.23,ALL,ALL,ALL,0TO99
1939,687,2010,0.00,ALL,ALL,ALL,0TO99
1918,644,2010,4847.45,ALL,ALL,ALL,0TO99
1895,639,2010,7644.86,ALL,ALL,ALL,0TO99
1854,662,2010,4351.13,ALL,ALL,ALL,0TO99
1868,619,2010,110217.88,ALL,ALL,ALL,0TO99
1866,676,2010,15321.67,ALL,ALL,ALL,0TO99
1879,676,2010,31732.64,ALL,ALL,ALL,0TO99
1890,622,2010,10414.48,ALL,ALL,ALL,0TO99
1845,667,2010,7315.35,ALL,ALL,ALL,0TO99
1881,680,2010,41282.96,ALL,ALL,ALL,0TO99
1882,655,2010,26552.00,ALL,ALL,ALL,0TO99
1838,624,2010,8713.04,ALL,ALL,ALL,0TO99
1864,605,2010,27235.65,ALL,ALL,ALL,0TO99
1874,676,2010,45953.93,ALL,ALL,ALL,0TO99
1831,631,2010,20470.42,ALL,ALL,ALL,0TO99
1858,648,2010,9018.42,ALL,ALL,ALL,0TO99
1883,679,2010,39940.56,ALL,ALL,ALL,0TO99
1870,619,2010,202648.08,ALL,ALL,ALL,0TO99
1845,692,2010,3958.49,ALL,ALL,ALL,0TO99
1909,670,2010,9204.75,ALL,ALL,ALL,0TO99
1938,692,2010,0.00,ALL,ALL,ALL,0TO99
1840,636,2010,39519.95,ALL,ALL,ALL,0TO99
1876,653,2010,10964.67,ALL,ALL,ALL,0TO99
1849,696,2010,3935.79,ALL,ALL,ALL,0TO99
1886,682,2010,46167.18,ALL,ALL,ALL,0TO99
1935,696,2010,88.42,ALL,ALL,ALL,0TO99
1902,652,2010,4019.15,ALL,ALL,ALL,0TO99
1851,673,2010,11281.99,ALL,ALL,ALL,0TO99
1862,625,2010,32630.40,ALL,ALL,ALL,0TO99
1860,689,2010,7669.99,ALL,ALL,ALL,0TO99
1848,674,2010,10916.33,ALL,ALL,ALL,0TO99
1916,636,2010,1050.21,ALL,ALL,ALL,0TO99
1835,636,2010,13925.34,ALL,ALL,ALL,0TO99
1860,657,2010,3570.57,ALL,ALL,ALL,0TO99
1836,658,2010,2833.87,ALL,ALL,ALL,0TO99
1902,643,2010,4432.43,ALL,ALL,ALL,0TO99
1878,645,2010,4811.89,ALL,ALL,ALL,0TO99
1944,680,2010,6981.43,ALL,ALL,ALL,0TO99
1854,684,2010,11935.27,ALL,ALL,ALL,0TO99
1913,689,2010,5030.41,ALL,ALL,ALL,0TO99
1879,663,2010,8504.72,ALL,ALL,ALL,0TO99
1860,603,2010,16191.60,ALL,ALL,ALL,0TO99
1918,671,2010,5931.26,ALL,ALL,ALL,0TO99
1897,659,2010,14250.99,ALL,ALL,ALL,0TO99
1897,665,2010,8359.74,ALL,ALL,ALL,0TO99
1850,685,2010,15859.08,ALL,ALL,ALL,0TO99
1913,629,2010,4874.31,ALL,ALL,ALL,0TO99
1880,661,2010,8510.12,ALL,ALL,ALL,0TO99
1901,632,2010,9398.45,ALL,ALL,ALL,0TO99
1933,665,2010,20854.64,ALL,ALL,ALL,0TO99
1843,633,2010,46980.45,ALL,ALL,ALL,0TO99
1877,666,2010,18950.39,ALL,ALL,ALL,0TO99
1890,657,2010,43816.54,ALL,ALL,ALL,0TO99
1845,690,2010,5193.33,ALL,ALL,ALL,0TO99
1900,671,2010,22208.72,ALL,ALL,ALL,0TO99
1869,684,2010,23299.18,ALL,ALL,ALL,0TO99
1885,640,2010,8541.80,ALL,ALL,ALL,0TO99
1912,637,2010,1049.96,ALL,ALL,ALL,0TO99
1888,625,2010,25253.95,ALL,ALL,ALL,0TO99
1896,655,2010,13860.14,ALL,ALL,ALL,0TO99
1876,646,2010,8894.76,ALL,ALL,ALL,0TO99
1922,640,2010,5238.39,ALL,ALL,ALL,0TO99
1919,664,2010,8124.60,ALL,ALL,ALL,0TO99
