Column,Row,Metric,Seasonal Metric,Annual Metric,Values
951,689,D24HourMean,QuarterlyMean,Mean,6.89
959,691,D24HourMean,QuarterlyMean,Mean,7.20
955,686,D24HourMean,QuarterlyMean,Mean,7.99
938,688,D24HourMean,QuarterlyMean,Mean,10.50
931,688,D24HourMean,QuarterlyMean,Mean,8.98
942,678,D24HourMean,QuarterlyMean,Mean,6.71
953,688,D24HourMean,QuarterlyMean,Mean,7.34
947,686,D24HourMean,QuarterlyMean,Mean,6.90
940,687,D24HourMean,QuarterlyMean,Mean,8.89
955,695,D24HourMean,QuarterlyMean,Mean,6.87
958,704,D24HourMean,QuarterlyMean,Mean,8.18
946,686,D24HourMean,QuarterlyMean,Mean,7.29
941,677,D24HourMean,QuarterlyMean,Mean,8.18
962,681,D24HourMean,QuarterlyMean,Mean,7.15
945,679,D24HourMean,QuarterlyMean,Mean,5.23
960,678,D24HourMean,QuarterlyMean,Mean,8.51
960,687,D24HourMean,QuarterlyMean,Mean,8.65
961,700,D24HourMean,QuarterlyMean,Mean,8.48
950,704,D24HourMean,QuarterlyMean,Mean,7.54
955,704,D24HourMean,QuarterlyMean,Mean,7.43
949,702,D24HourMean,QuarterlyMean,Mean,9.32
947,674,D24HourMean,QuarterlyMean,Mean,-1.45
953,671,D24HourMean,QuarterlyMean,Mean,8.93
953,693,D24HourMean,QuarterlyMean,Mean,6.89
962,702,D24HourMean,QuarterlyMean,Mean,8.22
944,698,D24HourMean,QuarterlyMean,Mean,7.26
959,689,D24HourMean,QuarterlyMean,Mean,8.43
967,703,D24HourMean,QuarterlyMean,Mean,7.61
961,680,D24HourMean,QuarterlyMean,Mean,7.24
950,676,D24HourMean,QuarterlyMean,Mean,6.66
952,686,D24HourMean,QuarterlyMean,Mean,8.06
962,695,D24HourMean,QuarterlyMean,Mean,7.76
954,699,D24HourMean,QuarterlyMean,Mean,6.90
939,692,D24HourMean,QuarterlyMean,Mean,7.68
937,692,D24HourMean,QuarterlyMean,Mean,7.36
954,676,D24HourMean,QuarterlyMean,Mean,8.03
941,696,D24HourMean,QuarterlyMean,Mean,8.48
960,671,D24HourMean,QuarterlyMean,Mean,9.84
950,672,D24HourMean,QuarterlyMean,Mean,4.47
957,678,D24HourMean,QuarterlyMean,Mean,8.27
934,682,D24HourMean,QuarterlyMean,Mean,9.67
962,683,D24HourMean,QuarterlyMean,Mean,7.36
958,670,D24HourMean,QuarterlyMean,Mean,8.76
953,699,D24HourMean,QuarterlyMean,Mean,7.31
957,688,D24HourMean,QuarterlyMean,Mean,8.13
959,674,D24HourMean,QuarterlyMean,Mean,11.68
940,680,D24HourMean,QuarterlyMean,Mean,8.01
928,685,D24HourMean,QuarterlyMean,Mean,5.61
964,690,D24HourMean,QuarterlyMean,Mean,7.75
962,705,D24HourMean,QuarterlyMean,Mean,8.36
935,681,D24HourMean,QuarterlyMean,Mean,7.99
955,697,D24HourMean,QuarterlyMean,Mean,7.38
945,674,D24HourMean,QuarterlyMean,Mean,8.34
968,704,D24HourMean,QuarterlyMean,Mean,7.93
943,686,D24HourMean,QuarterlyMean,Mean,7.13
951,672,D24HourMean,QuarterlyMean,Mean,8.17
959,705,D24HourMean,QuarterlyMean,Mean,8.81
950,670,D24HourMean,QuarterlyMean,Mean,9.41
962,691,D24HourMean,QuarterlyMean,Mean,6.80
952,690,D24HourMean,QuarterlyMean,Mean,8.96
960,706,D24HourMean,QuarterlyMean,Mean,9.60
957,698,D24HourMean,QuarterlyMean,Mean,8.03
948,678,D24HourMean,QuarterlyMean,Mean,6.62
963,691,D24HourMean,QuarterlyMean,Mean,7.52
940,676,D24HourMean,QuarterlyMean,Mean,7.64
931,689,D24HourMean,QuarterlyMean,Mean,9.39
934,688,D24HourMean,QuarterlyMean,Mean,7.82
957,689,D24HourMean,QuarterlyMean,Mean,8.27
960,685,D24HourMean,QuarterlyMean,Mean,7.50
959,704,D24HourMean,QuarterlyMean,Mean,8.30
955,700,D24HourMean,QuarterlyMean,Mean,8.25
965,686,D24HourMean,QuarterlyMean,Mean,8.49
935,691,D24HourMean,QuarterlyMean,Mean,7.36
954,678,D24HourMean,QuarterlyMean,Mean,6.48
956,677,D24HourMean,QuarterlyMean,Mean,7.43
944,674,D24HourMean,QuarterlyMean,Mean,6.90
960,701,D24HourMean,QuarterlyMean,Mean,8.22
949,688,D24HourMean,QuarterlyMean,Mean,8.03
950,679,D24HourMean,QuarterlyMean,Mean,7.15
931,687,D24HourMean,QuarterlyMean,Mean,7.96
965,705,D24HourMean,QuarterlyMean,Mean,6.69
945,693,D24HourMean,QuarterlyMean,Mean,7.12
934,683,D24HourMean,QuarterlyMean,Mean,9.07
944,688,D24HourMean,QuarterlyMean,Mean,7.82
950,689,D24HourMean,QuarterlyMean,Mean,7.73
961,682,D24HourMean,QuarterlyMean,Mean,7.96
956,703,D24HourMean,QuarterlyMean,Mean,7.73
936,690,D24HourMean,QuarterlyMean,Mean,6.78
951,705,D24HourMean,QuarterlyMean,Mean,7.66
951,674,D24HourMean,QuarterlyMean,Mean,5.63
954,702,D24HourMean,QuarterlyMean,Mean,7.45
936,684,D24HourMean,QuarterlyMean,Mean,8.72
964,707,D24HourMean,QuarterlyMean,Mean,7.61
935,688,D24HourMean,QuarterlyMean,Mean,7.48
952,697,D24HourMean,QuarterlyMean,Mean,7.80
945,678,D24HourMean,QuarterlyMean,Mean,9.65
960,688,D24HourMean,QuarterlyMean,Mean,8.65
962,696,D24HourMean,QuarterlyMean,Mean,7.13
965,696,D24HourMean,QuarterlyMean,Mean,8.44
960,676,D24HourMean,QuarterlyMean,Mean,7.78
943,692,D24HourMean,QuarterlyMean,Mean,6.71
945,684,D24HourMean,QuarterlyMean,Mean,7.54
