Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1862,1082,D24HourMean,QuarterlyMean,Mean,13.96
1869,1087,D24HourMean,QuarterlyMean,Mean,14.08
1849,1078,D24HourMean,QuarterlyMean,Mean,15.82
1865,1088,D24HourMean,QuarterlyMean,Mean,12.56
1855,1088,D24HourMean,QuarterlyMean,Mean,13.00
1864,1086,D24HourMean,QuarterlyMean,Mean,13.47
1849,1084,D24HourMean,QuarterlyMean,Mean,16.34
1858,1074,D24HourMean,QuarterlyMean,Mean,14.78
1850,1088,D24HourMean,QuarterlyMean,Mean,14.83
1865,1079,D24HourMean,QuarterlyMean,Mean,14.31
1850,1077,D24HourMean,QuarterlyMean,Mean,16.79
1852,1083,D24HourMean,QuarterlyMean,Mean,16.14
1867,1081,D24HourMean,QuarterlyMean,Mean,14.41
1864,1087,D24HourMean,QuarterlyMean,Mean,13.05
1843,1075,D24HourMean,QuarterlyMean,Mean,15.76
1846,1076,D24HourMean,QuarterlyMean,Mean,16.84
1863,1082,D24HourMean,QuarterlyMean,Mean,13.68
1871,1083,D24HourMean,QuarterlyMean,Mean,14.82
1860,1085,D24HourMean,QuarterlyMean,Mean,13.01
1854,1080,D24HourMean,QuarterlyMean,Mean,15.60
1852,1085,D24HourMean,QuarterlyMean,Mean,15.17
1849,1081,D24HourMean,QuarterlyMean,Mean,15.63
1861,1085,D24HourMean,QuarterlyMean,Mean,13.28
1843,1080,D24HourMean,QuarterlyMean,Mean,17.67
1870,1086,D24HourMean,QuarterlyMean,Mean,14.09
1868,1092,D24HourMean,QuarterlyMean,Mean,13.20
1859,1074,D24HourMean,QuarterlyMean,Mean,14.55
1856,1094,D24HourMean,QuarterlyMean,Mean,13.05
1855,1077,D24HourMean,QuarterlyMean,Mean,16.28
1863,1085,D24HourMean,QuarterlyMean,Mean,13.25
1848,1082,D24HourMean,QuarterlyMean,Mean,17.64
1857,1082,D24HourMean,QuarterlyMean,Mean,13.84
1849,1088,D24HourMean,QuarterlyMean,Mean,15.30
1867,1087,D24HourMean,QuarterlyMean,Mean,13.73
1852,1084,D24HourMean,QuarterlyMean,Mean,16.24
1863,1089,D24HourMean,QuarterlyMean,Mean,12.16
1844,1075,D24HourMean,QuarterlyMean,Mean,15.46
1847,1082,D24HourMean,QuarterlyMean,Mean,17.70
1866,1088,D24HourMean,QuarterlyMean,Mean,13.02
1850,1080,D24HourMean,QuarterlyMean,Mean,15.16
1855,1079,D24HourMean,QuarterlyMean,Mean,15.05
1863,1084,D24HourMean,QuarterlyMean,Mean,13.46
1855,1074,D24HourMean,QuarterlyMean,Mean,15.54
1866,1080,D24HourMean,QuarterlyMean,Mean,14.08
1853,1081,D24HourMean,QuarterlyMean,Mean,15.70
1860,1087,D24HourMean,QuarterlyMean,Mean,13.10
1839,1072,D24HourMean,QuarterlyMean,Mean,15.97
1852,1074,D24HourMean,QuarterlyMean,Mean,15.43
1849,1079,D24HourMean,QuarterlyMean,Mean,15.25
1858,1083,D24HourMean,QuarterlyMean,Mean,13.95
1864,1090,D24HourMean,QuarterlyMean,Mean,12.39
1855,1078,D24HourMean,QuarterlyMean,Mean,16.11
1867,1093,D24HourMean,QuarterlyMean,Mean,14.75
1856,1091,D24HourMean,QuarterlyMean,Mean,12.04
1859,1079,D24HourMean,QuarterlyMean,Mean,15.30
1861,1081,D24HourMean,QuarterlyMean,Mean,13.73
1854,1086,D24HourMean,QuarterlyMean,Mean,-3.20
1857,1090,D24HourMean,QuarterlyMean,Mean,12.19
1862,1091,D24HourMean,QuarterlyMean,Mean,12.10
1857,1076,D24HourMean,QuarterlyMean,Mean,14.63
1869,1083,D24HourMean,QuarterlyMean,Mean,14.96
1862,1086,D24HourMean,QuarterlyMean,Mean,13.11
1859,1092,D24HourMean,QuarterlyMean,Mean,12.50
1843,1079,D24HourMean,QuarterlyMean,Mean,18.19
1861,1082,D24HourMean,QuarterlyMean,Mean,13.64
1842,1073,D24HourMean,QuarterlyMean,Mean,16.49
1867,1092,D24HourMean,QuarterlyMean,Mean,13.55
1861,1073,D24HourMean,QuarterlyMean,Mean,15.11
1840,1074,D24HourMean,QuarterlyMean,Mean,16.48
1855,1080,D24HourMean,QuarterlyMean,Mean,14.75
1865,1086,D24HourMean,QuarterlyMean,Mean,13.48
1864,1085,D24HourMean,QuarterlyMean,Mean,13.70
1860,1082,D24HourMean,QuarterlyMean,Mean,13.24
1865,1080,D24HourMean,QuarterlyMean,Mean,14.20
1843,1078,D24HourMean,QuarterlyMean,Mean,18.15
1841,1076,D24HourMean,QuarterlyMean,Mean,15.86
1859,1069,D24HourMean,QuarterlyMean,Mean,17.17
1846,1083,D24HourMean,QuarterlyMean,Mean,15.62
1866,1083,D24HourMean,QuarterlyMean,Mean,14.25
1856,1080,D24HourMean,QuarterlyMean,Mean,14.33
1864,1079,D24HourMean,QuarterlyMean,Mean,14.58
1852,1077,D24HourMean,QuarterlyMean,Mean,16.81
1860,1093,D24HourMean,QuarterlyMean,Mean,12.40
1861,1089,D24HourMean,QuarterlyMean,Mean,12.24
1870,1083,D24HourMean,QuarterlyMean,Mean,14.79
1844,1081,D24HourMean,QuarterlyMean,Mean,16.61
1849,1085,D24HourMean,QuarterlyMean,Mean,15.54
1868,1093,D24HourMean,QuarterlyMean,Mean,14.04
1855,1082,D24HourMean,QuarterlyMean,Mean,15.13
1868,1081,D24HourMean,QuarterlyMean,Mean,14.70
1858,1081,D24HourMean,QuarterlyMean,Mean,13.23
1872,1089,D24HourMean,QuarterlyMean,Mean,12.79
1846,1077,D24HourMean,QuarterlyMean,Mean,18.04
1859,1080,D24HourMean,QuarterlyMean,Mean,14.37
1849,1087,D24HourMean,QuarterlyMean,Mean,14.70
1841,1073,D24HourMean,QuarterlyMean,Mean,16.37
1856,1076,D24HourMean,QuarterlyMean,Mean,15.06
1856,1089,D24HourMean,QuarterlyMean,Mean,12.43
1855,1076,D24HourMean,QuarterlyMean,Mean,16.07
1837,1074,D24HourMean,QuarterlyMean,Mean,17.26
1857,1080,D24HourMean,QuarterlyMean,Mean,14.36
1856,1090,D24HourMean,QuarterlyMean,Mean,12.26
1862,1084,D24HourMean,QuarterlyMean,Mean,13.46
1859,1090,D24HourMean,QuarterlyMean,Mean,12.17
1857,1083,D24HourMean,QuarterlyMean,Mean,14.28
1858,1073,D24HourMean,QuarterlyMean,Mean,14.73
1858,1088,D24HourMean,QuarterlyMean,Mean,12.95
1862,1078,D24HourMean,QuarterlyMean,Mean,15.07
1851,1082,D24HourMean,QuarterlyMean,Mean,15.69
1850,1079,D24HourMean,QuarterlyMean,Mean,14.91
1835,1072,D24HourMean,QuarterlyMean,Mean,16.50
1858,1077,D24HourMean,QuarterlyMean,Mean,15.53
1865,1081,D24HourMean,QuarterlyMean,Mean,13.94
1846,1082,D24HourMean,QuarterlyMean,Mean,17.30
1866,1093,D24HourMean,QuarterlyMean,Mean,14.74
1853,1083,D24HourMean,QuarterlyMean,Mean,16.56
1856,1085,D24HourMean,QuarterlyMean,Mean,15.91
1863,1087,D24HourMean,QuarterlyMean,Mean,12.86
1851,1084,D24HourMean,QuarterlyMean,Mean,15.69
1865,1089,D24HourMean,QuarterlyMean,Mean,12.72
1860,1086,D24HourMean,QuarterlyMean,Mean,13.09
1868,1087,D24HourMean,QuarterlyMean,Mean,13.76
1858,1082,D24HourMean,QuarterlyMean,Mean,13.53
1859,1076,D24HourMean,QuarterlyMean,Mean,14.76
1842,1079,D24HourMean,QuarterlyMean,Mean,17.65
1858,1075,D24HourMean,QuarterlyMean,Mean,14.70
1856,1073,D24HourMean,QuarterlyMean,Mean,15.49
1865,1085,D24HourMean,QuarterlyMean,Mean,14.02
1845,1081,D24HourMean,QuarterlyMean,Mean,17.28
1852,1076,D24HourMean,QuarterlyMean,Mean,17.43
1853,1076,D24HourMean,QuarterlyMean,Mean,17.84
1871,1091,D24HourMean,QuarterlyMean,Mean,13.54
1858,1090,D24HourMean,QuarterlyMean,Mean,11.99
1862,1079,D24HourMean,QuarterlyMean,Mean,14.80
1859,1085,D24HourMean,QuarterlyMean,Mean,13.61
1857,1084,D24HourMean,QuarterlyMean,Mean,15.95
1852,1087,D24HourMean,QuarterlyMean,Mean,14.91
1866,1084,D24HourMean,QuarterlyMean,Mean,14.15
1850,1082,D24HourMean,QuarterlyMean,Mean,16.25
1865,1092,D24HourMean,QuarterlyMean,Mean,13.69
1860,1070,D24HourMean,QuarterlyMean,Mean,15.73
1854,1082,D24HourMean,QuarterlyMean,Mean,15.64
1848,1077,D24HourMean,QuarterlyMean,Mean,17.97
1871,1089,D24HourMean,QuarterlyMean,Mean,13.00
1847,1081,D24HourMean,QuarterlyMean,Mean,17.13
1844,1076,D24HourMean,QuarterlyMean,Mean,16.04
1853,1079,D24HourMean,QuarterlyMean,Mean,15.76
1853,1082,D24HourMean,QuarterlyMean,Mean,15.92
1842,1076,D24HourMean,QuarterlyMean,Mean,16.49
1872,1091,D24HourMean,QuarterlyMean,Mean,13.58
1854,1077,D24HourMean,QuarterlyMean,Mean,17.37
1859,1075,D24HourMean,QuarterlyMean,Mean,14.72
1868,1094,D24HourMean,QuarterlyMean,Mean,15.44
1863,1081,D24HourMean,QuarterlyMean,Mean,13.84
1845,1075,D24HourMean,QuarterlyMean,Mean,15.16
1860,1069,D24HourMean,QuarterlyMean,Mean,17.34
1850,1086,D24HourMean,QuarterlyMean,Mean,14.85
1859,1084,D24HourMean,QuarterlyMean,Mean,13.58
1860,1084,D24HourMean,QuarterlyMean,Mean,13.19
1857,1092,D24HourMean,QuarterlyMean,Mean,12.73
1852,1082,D24HourMean,QuarterlyMean,Mean,15.85
1861,1086,D24HourMean,QuarterlyMean,Mean,12.99
1870,1089,D24HourMean,QuarterlyMean,Mean,13.05
1845,1076,D24HourMean,QuarterlyMean,Mean,16.19
1841,1074,D24HourMean,QuarterlyMean,Mean,16.68
1843,1077,D24HourMean,QuarterlyMean,Mean,17.11
1856,1092,D24HourMean,QuarterlyMean,Mean,12.74
1865,1090,D24HourMean,QuarterlyMean,Mean,13.43
1866,1090,D24HourMean,QuarterlyMean,Mean,13.39
1856,1088,D24HourMean,QuarterlyMean,Mean,12.81
1853,1073,D24HourMean,QuarterlyMean,Mean,15.07
1854,1085,D24HourMean,QuarterlyMean,Mean,-3.27
1845,1080,D24HourMean,QuarterlyMean,Mean,18.57
1836,1075,D24HourMean,QuarterlyMean,Mean,16.98
1844,1080,D24HourMean,QuarterlyMean,Mean,18.28
1870,1088,D24HourMean,QuarterlyMean,Mean,13.53
1855,1075,D24HourMean,QuarterlyMean,Mean,16.11
1864,1092,D24HourMean,QuarterlyMean,Mean,12.82
1867,1084,D24HourMean,QuarterlyMean,Mean,14.13
1862,1074,D24HourMean,QuarterlyMean,Mean,14.92
1860,1079,D24HourMean,QuarterlyMean,Mean,15.84
1838,1074,D24HourMean,QuarterlyMean,Mean,16.83
1869,1088,D24HourMean,QuarterlyMean,Mean,13.24
1861,1076,D24HourMean,QuarterlyMean,Mean,14.82
