Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1862,1082,2010,39773.77,ALL,ALL,ALL,0TO99
1869,1087,2010,7344.21,ALL,ALL,ALL,0TO99
1849,1078,2010,36025.48,ALL,ALL,ALL,0TO99
1865,1088,2010,7327.20,ALL,ALL,ALL,0TO99
1855,1088,2010,3380.58,ALL,ALL,ALL,0TO99
1864,1086,2010,9188.33,ALL,ALL,ALL,0TO99
1849,1084,2010,113762.81,ALL,ALL,ALL,0TO99
1858,1074,2010,32743.25,ALL,ALL,ALL,0TO99
1850,1088,2010,6783.02,ALL,ALL,ALL,0TO99
1865,1079,2010,20545.29,ALL,ALL,ALL,0TO99
1850,1077,2010,33031.48,ALL,ALL,ALL,0TO99
1852,1083,2010,71280.85,ALL,ALL,ALL,0TO99
1867,1081,2010,18992.71,ALL,ALL,ALL,0TO99
1864,1087,2010,7354.07,ALL,ALL,ALL,0TO99
1843,1075,2010,46357.38,ALL,ALL,ALL,0TO99
1846,1076,2010,18053.19,ALL,ALL,ALL,0TO99
1863,1082,2010,45373.04,ALL,ALL,ALL,0TO99
1871,1083,2010,17345.11,ALL,ALL,ALL,0TO99
1860,1085,2010,19941.96,ALL,ALL,ALL,0TO99
1854,1080,2010,35179.93,ALL,ALL,ALL,0TO99
1852,1085,2010,548.09,ALL,ALL,ALL,0TO99
1849,1081,2010,30558.62,ALL,ALL,ALL,0TO99
1861,1085,2010,20615.70,ALL,ALL,ALL,0TO99
1843,1080,2010,261630.75,ALL,ALL,ALL,0TO99
1870,1086,2010,8671.13,ALL,ALL,ALL,0TO99
1868,1092,2010,8353.39,ALL,ALL,ALL,0TO99
1859,1074,2010,22361.95,ALL,ALL,ALL,0TO99
1856,1094,2010,532.52,ALL,ALL,ALL,0TO99
1855,1077,2010,44098.68,ALL,ALL,ALL,0TO99
1863,1085,2010,20135.21,ALL,ALL,ALL,0TO99
1848,1082,2010,53943.72,ALL,ALL,ALL,0TO99
1857,1082,2010,23147.41,ALL,ALL,ALL,0TO99
1849,1088,2010,14062.47,ALL,ALL,ALL,0TO99
1867,1087,2010,7344.21,ALL,ALL,ALL,0TO99
1852,1084,2010,12783.71,ALL,ALL,ALL,0TO99
1863,1089,2010,8318.64,ALL,ALL,ALL,0TO99
1844,1075,2010,44606.01,ALL,ALL,ALL,0TO99
1847,1082,2010,45436.66,ALL,ALL,ALL,0TO99
1866,1088,2010,7326.99,ALL,ALL,ALL,0TO99
1850,1080,2010,36617.97,ALL,ALL,ALL,0TO99
1855,1079,2010,22644.51,ALL,ALL,ALL,0TO99
1863,1084,2010,17308.69,ALL,ALL,ALL,0TO99
1855,1074,2010,147390.05,ALL,ALL,ALL,0TO99
